,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2416115427005735311,True,451,349.266,6073.0,Coming Out Day,https://www.instagram.com/p/CGHxC4DBKGP/,1,"🌈 Sunday 11 October is Coming Out Day. On that day, attention is paid to the moment a lesbian, gay, bisexual, transgender or other person (LGBT+) openly expresses a sexual orientation or gender identity: ‘coming out’. This is not a one-off event, because a new context with new people always requires a new legitimation or acceptance of someone's gender and / or sexuality. A (first) coming out can therefore be personal and vulnerable, but it is often experienced as a relief afterwards. What does that mean?

In this video, 5 students share their opinion on Coming Out Day❤️

#comingoutday #lgbtq #lgbt #universityofamsterdam #uvapride",2020-10-09 11:37:56,6
2435859304768070562,False,1403,,,,https://www.instagram.com/p/CHN6SHHh-Oi/,1,⛅️🤩,2020-11-05 17:24:38,12
2390213737702510348,True,145,320.166,2197.0,Hoe is het om nu te beginnen aan de studie?  Student Vlogs  Maaike  UvA,https://www.instagram.com/p/CErvrsFBE8M/,1,"Hi!
Ik ben Maaike, ik ben 19 jaar en ik kom uit Nederland, maar ben ook half Canadees. Ik studeer de internationale track van Communication Science! Als je vragen hebt, dm mij op Instagram, @maaike_elisabeth!

Ben jij benieuwd hoe het onze eerstejaars afgaat? Kijk dan onze nieuwe serie studentenvlogs. Vier eerstejaarsstudenten delen hun ervaringen over het starten van een studie in deze gekke tijd. 

#StudentVlog #Universitylife #UniversityofAmsterdam",2020-09-03 17:57:56,2
2434381872206604247,False,1055,,,,https://www.instagram.com/p/CHIqWo0hmfX/,1,"Both Bachelor's and Master's programmes at the UvA have considerably more first year students this year than last year, with 17% and 19% increases, respectively. We are now with more than 39,000 students! 🤩

Students are not just studying in Amsterdam right now, but all over the world. 🌍 We want to showcase some of your study spots in other countries. Share a photo of where you are studying (tag @uva_amsterdam or DM us) and we might share it in our stories! 🇩🇪🇮🇳🇺🇸🇯🇵

PS. This photo was taken last year, before the corona virus, by Bob Bronshoff",2020-11-03 16:29:15,7
2530759927778461122,True,431,323.533,6946.0,Matthijs Rooduijn (Political Scientist @ UvA) on the Dutch elections ✍🏼,https://www.instagram.com/p/CMfEL7rB0XC/,1,"Are the Dutch elections abracadabra for you? 🤷‍♂️ Matthijs Rooduijn (Political Scientist at the UvA) answered three questions regarding Dutch politics and elections to help you understand better 🙌

What kind of voting system do we have in the Netherlands? Which political parties take part in the elections and how do they relate to each other? What are the important developments during this specific election? Find out in this IGTV 👏",2021-03-16 16:02:42,22
2623482433756227857,False,977,,,,https://www.instagram.com/p/CRoe1-qhGkR/,1,We’re always looking for ways to improve. That’s why we’d love to hear your thoughts on our Instagram account. Head over to our stories to answer some questions🕺,2021-07-22 14:18:18,7
2482684618081604560,True,238,36.533,3086.0,,https://www.instagram.com/p/CJ0RIGeFJPQ/,1,"At the #uvaopenhouse you can get to know our programmes through various themes. Our new theme week is all about the brain 🧠. 
We know a lot about it but there’s still so much that we don’t know🤷. More and more study programmes are concerned with it, for example those involving Big Data and AI. During this theme week, you will broaden your outlook and discover how different programmes, students and scientists all view the brain differently. Want to know more or register for online live sessions? Check our story or our link in bio 🕺",2021-01-09 08:07:01,2
2552970603783416956,False,1302,,,,https://www.instagram.com/p/CNt-Tzohmx8/,4,"Have you picked up any new hobbies during lockdown? 👋Meet Rick (student Business Administration) and his Corona hobby: learning Korean in part 4 of our hobby series.

Rick: “When I was younger and living abroad, I had no choice than to pick up the local language. Ever since, I am intrigued by the science of language learning. And in addition to that, I don’t like feeling like a tourist when I am visiting a country 😁

I was supposed to go to South Korea after finishing my Bachelor’s degree past summer, but unfortunately that did not happen. I would like to live and work there for at least a few years in the future. So, having an (basic) understanding of the language is only going to be beneficial. Therefore, I started learning Korean during the lockdown. And also because Chinese or Japanese seemed too difficult to me (for now), ha-ha. I believe language learning is good for personal development and widening your view on the world by understanding how different cultures work. The Korean language is pleasant to the ears because of the specific intonation and the avoidance of hard consonants like the infamous Dutch letter ‘G’.

A quote I live by is “mind over matter”. I think it’s more important than ever before to focus on the things you can control. See the positives in life like grabbing a coffee with a friend or going for a walk. Try to invest in yourself a little more during these difficult times.”

Amazing 📸 by @ilsoovandijk",2021-04-16 07:23:53,18
2537145565473879263,False,1628,,,,https://www.instagram.com/p/CM1wHMNhzTf/,1,"Have you ever seen this name on the bridge while strolling to the M building? 🚶‍♂️

The bridge is named after Laura Mazirel, better known as ""Lau"". She was a resistance fighter in World War II and next to that she was an early proponent of LGBT rights and the rights of Romani people.",2021-03-25 11:22:22,6
2415433020330098225,False,577,,,,https://www.instagram.com/p/CGFV4jThj4x/,2,"What is and what isn’t possible on campus❓And when can I go there?❓To answer these questions, we’ve made an infographic. You can always find the latest updates and FAQ’s via www.uva.nl/coronavirus",2020-10-08 13:01:16,4
2439454049863763571,False,1355,,,,https://www.instagram.com/p/CHaroiYBIZz/,1,"A very popular lockdown activity is baking! 🧁🍪 Today, we present in our stories all the beautiful creations our followers made during one of the lockdowns in the Great UvA Bake Off.",2020-11-10 16:26:45,11
2436372948949668483,False,2155,,,,https://www.instagram.com/p/CHPvEnihBKD/,5,"Maybe a little bit different than usual this year but that doesn’t make graduating less special! 🎓 Congratulations to all students who attained their diploma in the middle of a pandemic 🎉 You can be really proud of yourselves!

📸 Jasper ter Schetter",2020-11-06 10:25:10,45
2487889297559459349,False,1765,,,,https://www.instagram.com/p/CKGwiJ9hxYV/,3,"Are you an international student and interested in doing your Bachelor's or Master's in Amsterdam? At the #uvaopenhouse you can find out everything you need to know. This theme week is all about studying in Amsterdam ❌❌❌

You can join live Q&A sessions with current UvA students from your part of the world 💬, discover tips and helpful information and get a feel for student life in Amsterdam 👩‍🎓 Want to know more or register for the live Q&A’s? Check our story or link in bio.

📸 by @msivolap",2021-01-16 12:18:57,8
2587171728480766196,False,1747,,,,https://www.instagram.com/p/CPnevrJB4j0/,1,"Want to meet other new UvA students before your programme starts in September? Check out @uva.bios - a student-run Instagram account where you can meet other students and introduce yourself to everyone else! 👍

Check out our stories to see how last year’s new students found friends, relationships and more by connecting with each other through @uva.bios 😊",2021-06-02 11:55:25,5
2390214688870099225,True,579,298.933,6259.0,Moving in and cooking for the first time!  Student Vlogs  Leila  UvA,https://www.instagram.com/p/CErv5h7BekZ/,1,"Hey everyone! 

My name is Leila, I’m 18, from Lebanon, studying Communication Science at the University of Amsterdam. Really excited to show you guys how my first year in the Netherlands goes, so I hope you enjoy my vlog series :D 

We are incredibly excited to share this new series of student vlogs with you!! Four first-year students have been documenting their experiences of coming to Amsterdam and starting their studies in the fall of 2020. As this academic year looks different compared to others we thought it would be interesting to see how students are experiencing this change. 

#StudentVlog #Universitylife #UniversityofAmsterdam",2020-09-03 17:58:17,19
2590857806802791070,False,610,,,,https://www.instagram.com/p/CP0k3LGByqe/,3,"A sneak peek of the re-opening of the Allard Pierson Museum. The Allard Pierson manages and presents the heritage collections of the University of Amsterdam. You can travel through 10,000 years of cultural history in our 'From the Nile to the Amstel' exhibition. Or pay a visit at the first exhibition in the Netherlands devoted to the Art Nouveau fascination for the female figure. Students and researchers can also consult the heritage of the UvA in the Reading Hall.

Btw, there’s an nice espresso bar downstairs 😊.",2021-06-07 13:59:00,6
