,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
On-the-go chic. ⠀⠀⠀⠀⠀⠀⠀⠀⠀,<Post Cc8ho7wuJH->,91,1,"['ableasyouare', 'ableclothing']",29/04/22,"On-the-go chic.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@kendall.kingsford 
#ABLEasyouare #ableclothing",73,"[{'text': 'Love the long coat ❤️', 'length': 21}]"
Stories of Motherhood,<Post Ccg41hcuQ_K>,454,14,"['ableasyouare', 'ableclothing']",19/04/22,"Stories of Motherhood 💐
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Jen is ABLE’s VP of Sales + Marketing and the mother to two beautiful children. Read more about Jen in our stories.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",187,"[{'text': '❤️❤️❤️', 'length': 6}, {'text': 'This is precious!! 🤍', 'length': 20}, {'text': 'Love this ❤️', 'length': 12}, {'text': 'Amazing perspective and well said! 🤗🤗', 'length': 37}, {'text': 'The cutest family ❤️', 'length': 20}, {'text': '😍😍😍😍', 'length': 4}, {'text': '😍😍😍', 'length': 3}, {'text': 'She’s the real deal 👏🏻', 'length': 22}, {'text': 'The best mama!!! 👏🏼👏🏼👏🏼', 'length': 23}, {'text': 'Cannot handle the cuteness @jen.s.milam 🤍😵 and your words are even sweeter. Love this!!', 'length': 87}, {'text': 'Omigosh this family is too cute!🔥🥰', 'length': 34}, {'text': 'What a beautiful perspective 💕', 'length': 30}, {'text': 'Jen, you are amazing! Love this', 'length': 31}, {'text': 'Beautiful story! ❤️', 'length': 19}]"
Give her a,<Post Cc3p7OgOvCv>,156,3,"['ableasyouare', 'ableclothing']",27/04/22,"Give her a meaningful gift that tells her how much you appreciate her. Painted by artist @perrynryanart , this one-of-a-kind artisanal piece celebrates women growing and blooming together. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",227,"[{'text': 'Prettiest wallet in life 😍', 'length': 26}, {'text': 'Will there be a Mother’s Day sale?', 'length': 34}]"
LAST chance to,<Post Cc1JOpdOBx6>,192,0,"['ableasyouare', 'ableclothing']",26/04/22,"LAST chance to shop 20% off sitewide — ends at midnight. Don't miss your chance to shop our biggest sale of the season. Use code LOVEYOUMOM.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",178,None
We're serving up,<Post Cc0RX5wu_iM>,73,1,"['ableasyouare', 'ableclothing']",26/04/22,"We're serving up savings until midnight. LAST day to save 20% off sitewide with code LOVEYOUMOM. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",135,"[{'text': '😍❤️🎉', 'length': 4}]"
We're inspired by,<Post CczFWKluZe->,109,0,"['ableasyouare', 'ableclothing']",26/04/22,"We're inspired by our ABLE community every day. Tag the inspirations in your life that continue to help you move forward.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",159,None
Say something special,<Post Ccym-b-u-aF>,136,2,"['ableasyouare', 'ableclothing']",25/04/22,"Say something special before it's too late. Tomorrow (4/26) is your LAST chance to place a personalized jewelry order for guaranteed delivery by Mother's Day. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@annebanksblackwell
#ABLEasyouare #ableclothing",217,"[{'text': '😍😍 love!', 'length': 8}, {'text': 'Stunning hat, love the bangle too!', 'length': 34}]"
Introducing our new,<Post Cct8SvmOhZO>,94,0,"['ableasyouare', 'ableclothing']",24/04/22,"Introducing our new affirmation candle collection, crafted by @rangerstation.co. Light these candles as a reminder that you are brave, worthy, and loved. Which word resonates with you the most?
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",231,None
Speaking of Mother's,<Post CcqZ9v2OOPO>,133,3,"['ableasyouare', 'ableclothing', 'earthday']",22/04/22,"Speaking of Mother's Day, let's not forget about Mother Nature. These pieces were inspired by the view from our jewelry studio windows. There is so much beauty and hope found in the clouds, sky, and beyond.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
P.S. - Check out our stories to see how our jewelry packaging is useful, not wasteful.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing #earthday",351,"[{'text': '😍', 'length': 1}, {'text': 'Would love to see the nimbus necklace pictured on someone', 'length': 57}, {'text': 'Love this', 'length': 9}]"
Tag the women,<Post Ccnlqo9urjy>,112,0,"['ableasyouare', 'ableclothing']",21/04/22,"Tag the women in your life and let them know what they mean to you by telling them that our Mother’s Day sale starts now! 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Take 20% off sitewide with code LOVEYOUMOM.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",214,None
We've got spring,<Post CclPfKMuJIX>,178,1,"['ableasyouare', 'ableclothing']",20/04/22,"We've got spring in the bag. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@kendall.kingsford 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing.",98,"[{'text': 'This is gorgeous!', 'length': 17}]"
When things are,<Post CclFaG-u-lW>,269,2,"['ableasyouare', 'ableclothing']",20/04/22,"When things are looking up, but you still want to look down at your cute dress.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@simplymelanielo
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",144,"[{'text': 'I’ve worn these sandals almost every day since I got them 🙃', 'length': 59}, {'text': '😍😍😍', 'length': 3}]"
Our handmade jewelry,<Post CciUMXuutLF>,228,6,"['ableasyouare', 'ableclothing']",19/04/22,"Our handmade jewelry pieces provide an opportunity for the women in our jewelry studio to write a new story for themselves and for you to write your own story.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@csleecreative_
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",223,"[{'text': 'the best jewelry😍', 'length': 17}, {'text': 'Please make more petite friendly sizes.', 'length': 39}, {'text': '💖✨', 'length': 2}, {'text': 'My favorite everyday pieces are from @able', 'length': 42}, {'text': 'HEY fam👋, I got a business proposal for you, 8k deal HMU and see if you’d like to give it a shot💸\n🇺🇸🇨🇦', 'length': 102}]"
"This Mother's Day,",<Post Ccfz_otO3zz>,163,0,"['ableasyouare', 'ableclothing']",18/04/22,"This Mother's Day, we've created gift guides to help you tell your mom and the women in your life who have helped you grow what they mean to you.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Find these pieces for the one who is always welcoming and other gift guides at ableclothing.com.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",290,None
Because we think,<Post Ccc9TlKuuuu>,753,4,"['ableasyouare', 'ableclothing']",17/04/22,"Because we think it's important to celebrate that you are #ABLEasyouare, we've placed these words on the mirrors in our Flagship as a reminder. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
@simplymelanielo
#ableclothing",185,"[{'text': '❤️❤️❤️❤️', 'length': 8}, {'text': '😍😍😍', 'length': 3}, {'text': 'This was my Easter dress! Love!', 'length': 31}]"
"Roses are red,",<Post Ccb6cz0D2vq>,90,2,"['ableasyouare', 'ableclothing']",17/04/22,"Roses are red, violets are blue, now that it's spring, we have new arrivals for you!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",122,"[{'text': 'So pretty!!!', 'length': 12}, {'text': 'So excited to see these!', 'length': 24}]"
Leading up to,<Post Cca_PPYOj-t>,216,7,"['ableasyouare', 'ableclothing']",16/04/22,"Leading up to Mother’s Day, we want to share stories about motherhood from our ABLE community.  We invite you to celebrate the women in your life who have made you who you are too.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",218,"[{'text': 'KATE 😍😍😍', 'length': 8}, {'text': '@katehemb kattttttttte', 'length': 22}, {'text': 'Kate!!!!', 'length': 8}, {'text': '❤️Kate❤️', 'length': 8}, {'text': 'Well hey there @katehemb', 'length': 24}, {'text': '🙌 I love Able for all the joy they’ve brought to Kate’s life. So much more than a job!! She has made friendships for life!', 'length': 122}]"
Cross it like,<Post CcYLN5ZOqKP>,251,1,"['ableasyouare', 'ableclothing']",15/04/22,"Cross it like it's hot with our Gessi Crossbody.

#ABLEasyouare #ableclothing",77,"[{'text': 'Oh I love this one!!', 'length': 20}]"
Our Debre Wallet,<Post CcS9AqhudhC>,113,1,"['ableasyouare', 'ableclothing']",13/04/22,"Our Debre Wallet in our Beach colorway - so you can take that vacay vibe with you wherever you go.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",136,"[{'text': 'I have gone back and forth on buying this - but im worried it will get super dirty????', 'length': 86}]"
The ruffle sleeves,<Post CcRYVGkOBkg>,154,3,"['ableasyouare', 'ableclothing']",13/04/22,"The ruffle sleeves on the Toni add a touch of subtle sophistication to your look.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",119,"[{'text': 'Love!!', 'length': 6}, {'text': 'Will these pants restock?', 'length': 25}]"
It's sandal season.,<Post CcQJ40HOk9l>,87,0,"['ableasyouare', 'ableclothing']",12/04/22,"It's sandal season. Have fun in the sun and sand wearing our newest sandals.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#ABLEasyouare #ableclothing",114,None
