,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
"Leave a legacy,",<Post Cc8kW4GjYSl>,276,1,['leavenotrace'],29/04/22,"Leave a legacy, not a trace ⛰️

We all have a role to play to treat the great outdoors with respect, so we can return to the same beautiful spot again. When we are not mindful of our impact, the places we love can be significantly damaged for ourselves and future generations.

Here’s how to safeguard our beautiful lands, from the @nationalparkservice on its 7 Leave No Trace Principles:
- Plan ahead and prepare
- Travel and camp on durable surfaces
- Dispose of waste properly
- Leave what you find
- Minimize campfire impacts
- Respect wildlife
- Be considerate of other visitors
There is a beautiful world to explore - let’s do it with the respect nature deserves!
#leavenotrace",683,"[{'text': '👏👏👏', 'length': 3}]"
Did you know?,<Post Cc6D1u7vF9s>,115,6,[],28/04/22,"Did you know?
The maximum weight for a carry-on on the strictest airline is 15lbs.
The Carry-On Capsule weighs less than 1lb.

5 Styles. 2+ Weeks of Outfits.
Endless Destinations.",179,"[{'text': '😍😍😍', 'length': 3}, {'text': 'My gi is way heavier than this wtf @meg.he #ADAY2024', 'length': 52}, {'text': 'love this wrap😍', 'length': 15}]"
Change the way,<Post Cc3Y9wXj47R>,148,0,[],27/04/22,"Change the way you travel ✈️
Here are 3 ways to travel more intentionally this Summer.

1. Take your time
Just because you’ve been there once, doesn’t mean you’ve seen it all before. Return to the places and people you love this Summer with an open mind and a fresh perspective.

2. Know your impact
Be mindful of how tourism is impacting your destination. Make good choices that support the local economy and environment.

3. Offset your trip
We’ve teamed up with Cool Effect to help you offset your travels. 100% of each offset goes towards planting trees and protecting forests to assist in carbon capture",608,None
Snack time 🌎🍿,<Post CcyQYz6IQmD>,42,1,[],25/04/22,"Snack time 🌎🍿 

We’re starting the week off with a new series - Sustainable Snacks. 

Follow along for sustainability terms, simplified 🌱",137,"[{'text': 'Super useful!', 'length': 13}]"
Today we took,<Post CcqooBVI5Z0>,131,2,['earthday'],22/04/22,"Today we took the day off. To spend time outside, with family, friends or just ourselves. To breathe the fresh air we are privileged to breathe and to appreciate the beauty of our planet.

At ADAY, #earthday is everyday. We believe in the power of every choice we make, 365 days of the year. So that we can continue to create the future we want and raise the standard for clothing and our industry. There is so much work to be done, and we are ready for it. But today, we celebrate 🌎💚

If you need a reminder to get out and do the same, this is it.

Happy Earth Day. 

Love, Team Aday",584,"[{'text': 'Beautiful 🌳🤍', 'length': 12}]"
Starting off this,<Post Ccf3ADQjXsI>,1168,27,"['savinaofficial', 'weeklycapsulewardrobe', 'capsulewardrobe', 'capsulecloset', 'capsulewardrobeblogger', 'capsulewardrobechallenge', 'sustainablefashion', 'sustainablestyle', 'sustainablefashionblogger', 'simpleoutfit', 'simpleoutfits', 'casualoutfit', 'athleisurestyle', 'londonfashionblogger', 'londonstyleblogger', 'ukstyle', 'ukfashion', 'grwm', 'getreadywithme', 'springfashion', 'springoutfit', 'springoutfitideas', 'springoutfits', 'fashion2022', 'petitestyle', 'petitefashionblogger', 'casualstyle', 'ootd']",18/04/22,"Starting off this week’s capsule wardrobe series with one of my most worn outfit combos - a pair of comfy leggings, white hoodie, long coat and chunky trainers. 🤌🏼 

This is my look on the go when I don’t know/ can’t be bothered/ can’t decide what to wear. Which still happens sometimes! 😁

Outfit linked in bio.

#savinaofficial #weeklycapsulewardrobe 

#capsulewardrobe #capsulecloset #capsulewardrobeblogger #capsulewardrobechallenge #sustainablefashion #sustainablestyle #sustainablefashionblogger #simpleoutfit #simpleoutfits #casualoutfit #athleisurestyle #londonfashionblogger #londonstyleblogger #ukstyle #ukfashion #grwm #getreadywithme #springfashion #springoutfit #springoutfitideas #springoutfits #fashion2022 #petitestyle #petitefashionblogger #casualstyle #ootd",775,"[{'text': 'Fantastic! 🔥🔥 What is this wardrobe series exactly made of?', 'length': 59}, {'text': 'HEAD TO TOE OBSESSED!', 'length': 21}, {'text': 'Love your sporty looks🤍', 'length': 23}, {'text': 'Adoreeeee this so much ❤️', 'length': 25}, {'text': 'Love this my babe ❤️', 'length': 20}, {'text': 'Awww love this outfit!! 😍', 'length': 25}, {'text': '🙌🙌', 'length': 2}, {'text': 'The comfiest outfit 😍😍😍 Love this green colour, perfect for spring 💚💚💚 Gorgeous 🤍🤍🤍', 'length': 83}, {'text': 'Omg your reel starts as mine that I just posted looool ❤️ vibing on same wavelengths', 'length': 84}, {'text': 'Мога да се опитам да го пресъздам, но ще е в сиво и розово 😁', 'length': 60}, {'text': 'What jacket is this? 😍', 'length': 22}, {'text': 'Which leggings are these?', 'length': 25}]"
Who’s got plans,<Post CcYGRF_o9-4>,65,12,[],15/04/22,Who’s got plans this weekend ✨ tell us where you’re headed in the comments below👇,81,"[{'text': 'Alsace! 🧳🍷🧀', 'length': 11}, {'text': 'Austin, TX 🤠', 'length': 12}, {'text': 'Ballyfin, Ireland 🇮🇪!', 'length': 21}, {'text': 'NYC! 🍎', 'length': 6}, {'text': 'Greece 😍😍😍', 'length': 10}, {'text': 'Coming home from Jerusalem/Egypt/Jordan. On to Barcelona and Mallorca next!', 'length': 75}, {'text': 'Isolation 😢', 'length': 11}]"
✨ Back by,<Post CcTsYtSoqi7>,68,7,[],13/04/22,"✨ Back by popular demand ✨ 5 lightweight, wrinkle free  styles, perfect for travelling carry-on only. Meet the Carry-On Capsule.",128,"[{'text': 'Yessss 😍', 'length': 8}, {'text': '🧳🧳🧳', 'length': 3}, {'text': 'Amazing! Do you know when will the layered leggings be back in stock? I’ve been waiting since November or so with fingers crossed!!!', 'length': 132}, {'text': '😍😍✈️', 'length': 4}, {'text': 'Be nice to see different body sizes and shapes reflected in your advertising.', 'length': 77}]"
My no makeup,<Post CcOU_QwJNk0>,285,23,[],11/04/22,"My no makeup work from home outfit featuring the @aday Destination Jumpsuit—I wear it cropped in the evening. Wanna go out tonight, @hej.its.lars ? ✨",149,"[{'text': 'Ugh 🥵', 'length': 5}, {'text': 'That jumpsuit is insane - I am officially OBSESSED!!\nAnd you look amazing', 'length': 73}, {'text': '🙌🙌🙌 Keep doing what makes you happy 💕', 'length': 37}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'So beautiful 😍😍😍', 'length': 16}, {'text': '🔥🔥', 'length': 2}, {'text': 'The coolest!! 😎👏', 'length': 16}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '🙌❤️😍', 'length': 4}, {'text': 'Please, dont...', 'length': 15}, {'text': 'so fucking hot', 'length': 14}, {'text': 'Send pic on ❤️ @paradise.of.black', 'length': 33}]"
Today is a,<Post CcETHFGoGv6>,277,12,[],07/04/22,"Today is a good day. Congratulations Justice Ketanji Brown Jackson for being the first Black woman confirmed to the US Supreme Court 💪

Repost @meena",149,"[{'text': 'Genuinely the first time I’ve felt this happy in two months', 'length': 59}, {'text': '👏👏👏👏👏', 'length': 5}, {'text': 'Damn right', 'length': 10}, {'text': '👏👏👏👏👏😍', 'length': 6}, {'text': '🙌🙌🙌🙌🙌🙌🙌', 'length': 7}, {'text': '🙌🙌', 'length': 2}, {'text': 'Please stop with the politics ughhhhh I want my feed to inspire with fashion and ideas not political virtue signaling', 'length': 117}, {'text': ""Sex offenders everywhere are getting ready to send their case upppppppppp to SCOTUS 🕺🕺🕺 she's got your back! #freesexoffenders"", 'length': 126}]"
