,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Access to nature,<Post Cc5mRTSFUG8>,743,23,[],28/04/22,"Access to nature is not equal. It’s too often dictated by where you live, your race and income level. 

Together with @voicefornature.co & @sugiproject, we used the Miyawaki Method to create three ultra-dense biodiverse forests of native species right in our own backyard of the Berkeley Unified School District, California. These SUGi Outdoor Classrooms will give local children, their families, teachers, and neighbors access to lessons in biodiversity. We’ll be planting more outdoor classrooms like these across the globe, so stay tuned for more.",550,"[{'text': '💚 We hope you make more SUGi Outdoor Classrooms with you soon! 🌿', 'length': 64}, {'text': '🙌 teaching our younger generations the importance of biodiversity and instilling a love of our earth! Amazing work!', 'length': 115}, {'text': 'Sustainable community engagement is fun and fruitful! 💛🌿', 'length': 56}, {'text': 'That’s awesome, good job 👏👏', 'length': 27}, {'text': 'This is amazing!!', 'length': 17}, {'text': 'Beautiful work💛', 'length': 15}, {'text': 'Awesome! 👏🙌', 'length': 11}, {'text': '🙌 We love biodiversity', 'length': 22}, {'text': 'Amazing 🙌', 'length': 9}, {'text': '👏👏👏👏', 'length': 4}, {'text': '👏👏', 'length': 2}, {'text': 'Would be having a teacher appreciation sale?', 'length': 44}, {'text': '@voicefornature.co joy and safeness for the children, for the future..🙏🌱👌👋', 'length': 74}]"
This sun has,<Post Cc3D_6bljDN>,883,7,[],27/04/22,This sun has us ready for shorts season.,40,"[{'text': 'Love these!', 'length': 11}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'Love', 'length': 4}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'When will these be available in the UK?', 'length': 39}, {'text': '💯💯☀️', 'length': 4}, {'text': 'allbirds please my bank account is only so strong', 'length': 49}]"
The R&R Sweat,<Post Cc0THUoM1vt>,855,21,[],26/04/22,"The R&R Sweat Short is here. It’s everything you know and love about our loungewear collection, but shorts, so you can stop rolling up your sweatpants.",151,"[{'text': '@dzagayer these would look good on you :)', 'length': 41}, {'text': 'Wow, amazing 👏', 'length': 14}, {'text': 'Did you get hacked? The link looks suspicious on your bio .. just wanting to check', 'length': 82}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'Been waiting for these 😍', 'length': 24}, {'text': 'These look so comfortable AND we can appreciate a functional pocket. Can’t wait to try these! 🔥', 'length': 95}, {'text': 'When will these be released in New Zealand?', 'length': 43}, {'text': 'Oohhh! Comfy', 'length': 12}, {'text': 'Love this! 🔥', 'length': 12}, {'text': 'Oh I love', 'length': 9}, {'text': 'Ooooo', 'length': 5}, {'text': '🥰🥰', 'length': 2}, {'text': '❤️', 'length': 2}, {'text': 'Wow these are great, who can I speak with about collabs?  @allbirds', 'length': 67}, {'text': '@antondiezt ojito', 'length': 17}, {'text': '@harvey_aitken', 'length': 14}, {'text': '@fitkiwitess', 'length': 12}, {'text': 'Entrepreneurship isn’t easy, just like protesting when you don’t have clue of what’s going on that’s why I encourage people to passively do something spectacular incase you’re seeking for an option on how to make money online, to in touch with @official_gina_fx', 'length': 261}]"
That’s the sound,<Post Ccs0C4KF0mN>,616,6,['keeptheamazonprime'],23/04/22,"That’s the sound of 10% of our planet’s biodiversity. 

Let’s make sure it doesn’t go quiet.

We are matching donations to @amazonwatch for the month of April up to a total of $50,000. Link in bio to #keeptheamazonprime",219,"[{'text': 'Wow! Amazing. Now, that’s music to my ears!! Imagining this was how earth was, in a time when it was untouched by humans.', 'length': 121}, {'text': 'Beautiful sound!', 'length': 16}, {'text': 'Amazing! 😍', 'length': 10}, {'text': 'Fantastic..', 'length': 11}, {'text': '👏👏👏', 'length': 3}, {'text': '👏', 'length': 1}]"
It deserves to,<Post Ccql2WJPT-z>,2221,14,['keeptheamazonprime'],22/04/22,"It deserves to be shouted from the mountain tops, but we’ll take a couple street corners in Seattle and the @nytimes 👀

For the month of April, we’re matching donations to @amazonwatch up to a total of $50,000. Link in bio to #keeptheamazonprime",245,"[{'text': 'this!!!', 'length': 7}, {'text': '👏👏👏', 'length': 3}, {'text': 'Best copy and domain use I’ve seen in a while. 👏👏👏', 'length': 50}, {'text': 'We sure can not👏🏻👏🏻', 'length': 19}, {'text': 'LLAAMZING 🙏🦙💛☀️', 'length': 15}, {'text': 'Super cool initiative. I have the feeling though that it costed you more the advertising than the amount you will donate 😮', 'length': 122}, {'text': 'Yes. Yes. YES.', 'length': 14}, {'text': 'You truly can’t', 'length': 15}, {'text': 'Nice!! 🤘🏼🤘🏼🤘🏼', 'length': 13}, {'text': 'Nice! 🌏', 'length': 7}, {'text': '👏👏👏', 'length': 3}, {'text': 'It’s all disappearing from greedy governments… nothing we as individuals can do to save it. It’ll be our downfall', 'length': 113}, {'text': '@clair3beluga, love this!', 'length': 25}]"
Join the thousands,<Post CcnnpJIlMMA>,296,10,[],21/04/22,"Join the thousands of people who agree…the Amazon is worth saving! Same-day delivery of oxygen! Unlimited streaming of streams!

This Earth Day, we’re donating to @amazonwatch, and you can too. Go to keeptheamazonprime.com to learn more now!",241,"[{'text': 'Need more advertising/marketing why we should invest into the environment. Xx', 'length': 77}, {'text': 'The writing + messaging in this is incredible 🌎👏🏻✨', 'length': 50}, {'text': 'Wow free same day delivery of oxygen! Hope all the workers packaging up that oxygen around the clock and paid fairly! 😂', 'length': 119}, {'text': 'Allbirds is always (approximately) 1,000,000 steps ahead of the rest of the sustainability game', 'length': 95}, {'text': 'Peak creative work 🔥❤️', 'length': 22}, {'text': '🌎🤍😍', 'length': 3}, {'text': '🙌🙌', 'length': 2}, {'text': '❤️', 'length': 2}, {'text': 'Way to go @allbirds! You’re definitely a brand we have our eyes on 👀', 'length': 68}]"
"This Earth Day,",<Post CclXpTyPh9b>,598,6,['keeptheamazonprime'],20/04/22,"This Earth Day, join us in protecting the Amazon you truly can’t live without — the vast rainforest that absorbs and stores enough carbon to help regulate the global climate. For the month of April, we’re matching donations to @amazonwatch up to a total of $50,000. Link in bio to #keeptheamazonprime",300,"[{'text': '🔥', 'length': 1}, {'text': 'This is the weirdest teaser I have seen in a while. But oh man.. it does the job. 😍', 'length': 83}, {'text': 'should prob get Bolsonaro to stop destroying it', 'length': 47}, {'text': '😍🙌🙏💚✌️', 'length': 6}, {'text': 'Priceless!😂', 'length': 11}, {'text': 'Приветствую! \nНаписал Вам, но кажется сообщение попало в скрытые(', 'length': 65}]"
Same-day delivery of,<Post CckumUeF_7d>,1812,41,['keeptheamazonprime'],20/04/22,"Same-day delivery of toothpaste and garden gnomes is great and all. But there’s another global platform that could use some attention these days. 

The Amazon rainforest absorbs and stores vast amounts of carbon, which is being released into the atmosphere through rampant deforestation. Help us turn this tipping point into a turning point by donating to @AmazonWatch. 

Amazon Watch protects millions of acres of rainforest every year by partnering with Indigenous peoples to directly challenge the corporate and government powers that threaten the Amazon and our global climate. 

For the rest of April, Allbirds will match all donations to Amazon Watch, up to a total of $50,000. Follow the link in our bio to donate today. 

#keeptheamazonprime",749,"[{'text': 'Here for the @amazon roasts 😂🤌🏽🤌🏽🤌🏽', 'length': 35}, {'text': 'Lol yes', 'length': 7}, {'text': 'Bahahah brilliant', 'length': 17}, {'text': '😂😂', 'length': 2}, {'text': 'I just love you @allbirds', 'length': 25}, {'text': 'Yaaaas!', 'length': 7}, {'text': '👏👏👏', 'length': 3}, {'text': 'Sign me up for keeptheamazonprime.com haha let’s go allbirds', 'length': 60}, {'text': 'Hell yes to this!! 👏🏾👏🏾👏🏾👏🏾👏🏾', 'length': 29}, {'text': 'So so good', 'length': 10}, {'text': 'So cool! 🌍 👟', 'length': 12}, {'text': 'amazing 😂😂', 'length': 10}, {'text': 'This is WILD...ly funny and good. Thanks for not making Earth Day boring.', 'length': 73}, {'text': 'LOVE This! So refreshing! ❤️', 'length': 28}, {'text': 'So good 😂👏👏👏💪', 'length': 13}, {'text': 'This is so good!', 'length': 16}, {'text': 'So good 👏🌲', 'length': 10}, {'text': '🙌🙌🙌🙌', 'length': 4}, {'text': '👏🏽👏🏽👏🏽', 'length': 6}, {'text': 'Lol 😂', 'length': 5}, {'text': 'Most comfortable trainers ever!!', 'length': 32}, {'text': '🏆', 'length': 1}, {'text': 'Clever marketing👏🙌', 'length': 18}, {'text': '👏👏👏👏', 'length': 4}, {'text': '🌍 🌱 💙', 'length': 5}, {'text': 'R/AllBirds ✅', 'length': 12}, {'text': 'y so smart 😢', 'length': 12}, {'text': '🌎👟🤝✨', 'length': 4}, {'text': 'This is so great 👏🏾 girl bye @amazon', 'length': 36}, {'text': 'If only you had decent customer service that actually responded to consumer complaints. @allbirds', 'length': 97}, {'text': '🙌', 'length': 1}, {'text': 'Let’s save the Amazon ladies and gentlemen', 'length': 42}, {'text': '💯💯💯💯💯', 'length': 5}, {'text': '🤌🤌🤌🤌😁', 'length': 5}, {'text': 'yessssssssssss 💚💚', 'length': 17}, {'text': '💪🌴🌳🌲', 'length': 4}, {'text': '👏🏻👏🏻👏🏻', 'length': 6}, {'text': '🙌🙌', 'length': 2}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '🌎✨', 'length': 2}]"
10/10 would recommend,<Post CciJ0HmrSH5>,478,8,[],19/04/22,"10/10 would recommend tuning in tomorrow. 

Set a reminder 🔔",60,"[{'text': 'I’m confused 🤔 also make your new stuff in size 14s plz&thx', 'length': 59}, {'text': ""I owe you an apology ma’am doubting your sincerity and It's was just like a dream to me when I received my first payment.\xa0 After my second payment it became a reality now it has become a way of life @official_gina_fx"", 'length': 216}, {'text': '👀👀👀', 'length': 3}, {'text': '🔔🔔🔔 reminder set.', 'length': 17}, {'text': 'Any chance of a size 15 coming down the pipeline?', 'length': 49}, {'text': '🤔👀', 'length': 2}]"
Celebrating nature with,<Post CcdfzD8Jodk>,776,8,[],17/04/22,"Celebrating nature with @storiesbehindthings at our Covent Garden, London store 🌱🍵🌷

The morning began with @jenkimatcha leading a breathwork session with a twist - using matcha as a meditation tool. Followed by a workshop with @flowersbyimogen teaching us about seasonal flowers and bouquet making! 

Tap the link in bio to find more Allgood events near you.",359,"[{'text': '😍', 'length': 1}, {'text': 'The best way to start our Sunday morning 💚🌱⚡️', 'length': 45}, {'text': 'It was so much fun 🌷🌿', 'length': 21}, {'text': 'So good!', 'length': 8}, {'text': '🙌🙌', 'length': 2}, {'text': '🙌🙌', 'length': 2}, {'text': 'Wow what a great way to connect with people and the earth 🌷', 'length': 59}, {'text': 'Amazing 😍', 'length': 9}]"
Want to try,<Post CcVf2BwrxSL>,3084,80,['adidasxallbirds'],14/04/22,"Want to try our ultralight running shoe created with @adidas IRL? Head to any of our U.S. or New Zealand stores! At 2.94 kg CO2e a pair, this shoe represents our personal best. 

#adidasxAllbirds",195,"[{'text': 'I hesitated on the first collab release and to my sadness missed out.  Happy to report i got a pair of these on the way! 🙌🙌🙌', 'length': 124}, {'text': 'Coming back in stock soon?', 'length': 26}, {'text': 'How about Germany?', 'length': 18}, {'text': 'How many color variants are there? I have the white ones but these look darker than the ones posted yesterday?', 'length': 110}, {'text': 'Is woman size 40 EU the same as men size 41,5 EU? It says they are both 26,5 cm long', 'length': 84}, {'text': 'How about sending some to the uk?', 'length': 33}, {'text': 'Are these available for sale in the New Zealand store?', 'length': 54}, {'text': 'Are they for sale online?', 'length': 25}, {'text': 'They are beautiful. Can you make ‘em water resistant like the mizzles please? Can’t use them in Seattle otherwise.', 'length': 114}, {'text': 'Will Canada be getting them?', 'length': 28}, {'text': 'Never released in the UK 👎🏻', 'length': 27}, {'text': '#boycottadidas', 'length': 14}, {'text': 'Are they available in other colors?', 'length': 35}, {'text': 'can i test it and give my opinion?!', 'length': 35}, {'text': 'I saw them on istiklal road', 'length': 27}, {'text': 'Bought two- runners and wool loungers back in 2017 and the shoes were so tough and long lasting that I never needed to buy a new one. But, 5 years later, here we are. Waiting for my new runners!', 'length': 194}, {'text': 'They sold out so fast!', 'length': 22}, {'text': 'How’s the arch support in these?', 'length': 32}, {'text': 'I got a pair of the first release I love them😍', 'length': 46}, {'text': 'It’s my birthday how can I buy myself those shoes as a present', 'length': 62}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'How about the EU?🤩', 'length': 18}, {'text': '@allbirds will this be released to the Canadian market???', 'length': 57}, {'text': ""@allbirds will you bring in more sizes online? Women's mostly sold out"", 'length': 70}, {'text': '@njf181008 we should get matching pair when they come to aus', 'length': 60}, {'text': '@jim_jam___', 'length': 11}, {'text': '@sherylldenglinayao 😱😱😱', 'length': 23}, {'text': '@kayls.13 these are the shoes', 'length': 29}, {'text': '@arnacraig !!', 'length': 13}, {'text': '@samfitz_93', 'length': 11}, {'text': 'When are you releasing these in the UK?', 'length': 39}, {'text': 'Beautifully designed 👏', 'length': 22}, {'text': 'I have bought your products before but printing such blatant anxiety ridden language as ‘carbon footprint’ on your product is shocking, grotesque and misguided. The term was created by fossil fuel giants to put responsibility for the climate crisis on to the shoulders (feet) of the consumer. Given your agenda, you must know this. Unbelievable that you are now leveraging it to sell products.', 'length': 393}, {'text': 'Shoot! I missed out on my size 😫', 'length': 32}, {'text': 'Is there one specifically fit for women??', 'length': 41}, {'text': '14?', 'length': 3}, {'text': 'Is this coming to AU site please? 😭😭😭 been waiting for over a year already', 'length': 74}, {'text': ""I feel that you could be doing better with the packaging 🤔 I mean, it's more then 3 times the transportation 😳"", 'length': 110}, {'text': ""It'd be cool to try these out if there were size 14s 😢😔"", 'length': 55}, {'text': 'Hi! Could you please check your dms?', 'length': 36}, {'text': ""Just ordered a pair!  I've been waiting for these!  So excited to get them!"", 'length': 75}, {'text': 'Are any still available in store?', 'length': 33}, {'text': 'When is the Corte Madeira store opening up?', 'length': 43}, {'text': 'Can they be bought in the US? and then shipped to Denmark?', 'length': 58}, {'text': 'Will they be coming to Ireland?', 'length': 31}, {'text': 'Open a store in hawaii', 'length': 22}, {'text': 'Amazeballs🤯', 'length': 11}, {'text': '❤️', 'length': 2}, {'text': 'They look good!!!!! 🔥🔥🔥🔥🔥', 'length': 25}, {'text': '👀👀👀', 'length': 3}]"
“Everything adds up.,<Post CcTYcIbvgJv>,880,12,[],13/04/22,"“Everything adds up. I am very aware of the planet’s health and try to be as sustainably conscious as I can.” — @cienciaynutricion

Together with @adidas, we reimagined what an ultralight running shoe could be. At 2.94 kg CO2e a pair, this shoe created represents our personal best. 

Want to discover the shoe IRL? Head to any of our U.S. stores or shop online through the link in bio (coming to other regions later this month).",429,"[{'text': 'All sold out', 'length': 12}, {'text': 'Don’t work with Zanna!', 'length': 22}, {'text': '🔥', 'length': 1}, {'text': 'Just picked mine up at the Allbirds Chicago, Lincoln Park location! 🔥❤️', 'length': 71}, {'text': 'I love to run/hike would these work for both?', 'length': 45}, {'text': '🤩', 'length': 1}, {'text': 'It runs out of my size - will it be replenished or is there any way to check the availability in store? This is the only color right?', 'length': 133}, {'text': 'She’s not sustainable. Read this…https://tattle.life/threads/zanna-van-dijk-16-her-teeth-sure-do-glow-wont-mention-the-war-unless-her-engagement-is-low.28306/page-26#post-9307058', 'length': 178}, {'text': 'What what happened to you offering size 14? @allbirds @adidas', 'length': 61}]"
Meet the ADIZERO,<Post CcQX7CcNmg7>,2933,82,[],12/04/22,"Meet the ADIZERO x ALLBIRDS 2.94 KG CO2E – the next evolution of our collaboration with @adidas.

To make a shoe that fits the planet, we had to radically rethink materials and every step in the process. We reduced, refined and rethought every component of the shoe. We designed more with less, maximizing performance benefits with minimal materials.

This Allbirds exclusive color is available now in stores, online at the link in bio (U.S. and New Zealand), and on the iOS app (U.S. only). Other regions dropping later this month.",532,"[{'text': 'Where are women’s online NZ?? I can only find men’s 😔', 'length': 53}, {'text': 'Is the only difference between men and women is sizing? Can I buy a womens shoes with a men’s size for my boyfriend?', 'length': 116}, {'text': 'Will these sell out quick?', 'length': 26}, {'text': 'When is this available in Canada? 🇨🇦', 'length': 36}, {'text': 'How do these compare to the Tree Dasher 2 when it comes to running and width? Equivalent 5-10k?', 'length': 95}, {'text': 'And Europe 😢', 'length': 12}, {'text': 'These are sick!!', 'length': 16}, {'text': 'Why are you teaming up.. why not stay unique and focused.. I love you products. Don’t become fast fashion and part of the problem you started out trying to fix.', 'length': 160}, {'text': '😍Oookay, these are DOPE', 'length': 23}, {'text': 'Kinda bummed 😬 I have bought Allbirds to AVOID brands that are perpetuating issues that Adidas participates in…', 'length': 111}, {'text': 'Ist the shoe vegan aswell…? 🌱', 'length': 29}, {'text': 'When will these beauties be available in the UK? Many thanks!', 'length': 61}, {'text': 'What is the ""footprint"" of a typical running shoe?', 'length': 50}, {'text': 'I ran in mine for the first time today, I’ve never run in All Birds before or Adidas but heard All Birds recommended on a running podcast for being one of the biggest innovations of the decade, very happy new customer, I hope you make a lot of money from this and continue to develop performance shoes and do good things for the world 🌎', 'length': 336}, {'text': 'Can’t wait to try these!🔥', 'length': 25}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'Are they vegan friendly (I know the material is but is the glue synthetic?)', 'length': 75}, {'text': ""How's the sizing, true to fit 🤔"", 'length': 31}, {'text': 'These are awesome👏', 'length': 18}, {'text': 'Love them 🔥', 'length': 11}, {'text': 'So 🔥', 'length': 4}, {'text': '⚠️Reminder that less consumerism (i.e. buying another shoe you don’t need) is better than a 2.94 kg CO2E shoe.', 'length': 110}, {'text': 'Ooooo love this!!!!', 'length': 19}, {'text': 'Are these ones vegan friendly 🤞🏼', 'length': 32}, {'text': 'Oh and furthermore I’m starting to get concerned about your fair pay and working conditions policy ..', 'length': 101}, {'text': 'Hi! I just sent a dm ❤️', 'length': 23}, {'text': 'LOVE', 'length': 4}, {'text': 'Well those are pretty 😍', 'length': 23}, {'text': '@lilyorme', 'length': 9}, {'text': 'Where happened to @allbirds offering size 14? 😢', 'length': 47}, {'text': '😍😍😍', 'length': 3}, {'text': '❤️❤️❤️', 'length': 6}, {'text': ""It's a shame you designed these only for your customers with narrow feet. I'm a D width and the sides of my feet spill over the edge."", 'length': 133}, {'text': 'WTF happened to Allbirds?! Aside from the ugly styles, now pairing with a disgustingly woke and virtue signalling company!', 'length': 122}, {'text': 'Could you please check your DMS?', 'length': 32}, {'text': 'Awesome 👏', 'length': 9}, {'text': 'Do they only come in one color?', 'length': 31}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Love you Allbirds, but the “Adidas|Allbirds” branding on the sides just looks tacky.', 'length': 84}, {'text': '🔥🔥🔥🙌🏽', 'length': 5}, {'text': 'Those are 🔥🔥🔥', 'length': 13}, {'text': '@lb_n', 'length': 5}, {'text': 'Is this just pure production or does the include the full life cycle of carbon emissions (ie shipping, end of life)', 'length': 115}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'Those are lit! 🔥🔥🔥', 'length': 18}, {'text': 'And no size 14 for this one…?', 'length': 29}, {'text': 'Will these be available in size 35 for the EU?', 'length': 46}, {'text': 'Will the all white colour way be coming back to NZ? 🤞🏻', 'length': 54}, {'text': '@donovangryannz  new running shoes for you?', 'length': 43}, {'text': '🔥🔥🔥', 'length': 3}]"
ADIZERO X ALLBIRDS,<Post CcQOfD6sOtK>,2355,21,['adidasxallbirds'],12/04/22,"ADIZERO X ALLBIRDS 2.94 KG CO2E

The lowest carbon emissions performance running shoe we have ever created. An evolution of the FUTURECRAFT.FOOTPRINT, our first shoe to ever go below 3kg CO2e per pair: 2.94kg to be precise. 

Shop the link in bio. Now in four colorways, availability may vary across regions.​​

#adidasxAllbirds",328,"[{'text': '🙌🔥🔥🔥🔥🔥', 'length': 6}, {'text': '😍😍😍', 'length': 3}, {'text': 'Oooo yes!', 'length': 9}, {'text': '😍😍😍', 'length': 3}, {'text': '😍🙌🌍', 'length': 3}, {'text': 'Love this 🤍', 'length': 11}, {'text': '🔥🔥', 'length': 2}, {'text': '🙌❤️', 'length': 3}, {'text': '👏💚🌎', 'length': 3}, {'text': 'The same like the og version?', 'length': 29}, {'text': '💚🏁', 'length': 2}, {'text': '👏👏👏', 'length': 3}, {'text': 'Llamazing 👏🦙💛', 'length': 13}, {'text': 'What are you thinking about, baby?🌶🌭', 'length': 36}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'Will this be sold in the UK at some point?', 'length': 42}, {'text': '@adidasrunning do these fit more like all birds or more like adidas? If I wear a Womens 7 in Ultraboost DNA 5.0, what would you suggest?', 'length': 136}, {'text': 'You do a 14 is everything else. Why not this? @allbirds', 'length': 55}]"
ADIZERO x ALLBIRDS,<Post CcNjCFBNyrP>,1011,18,['adidasxallbirds'],11/04/22,"ADIZERO x ALLBIRDS 2.94 KG CO2E

April 12, 2022

#adidasxallbirds",65,"[{'text': 'You guys should make a skate shoe 👟 🛹', 'length': 37}, {'text': 'HYPED', 'length': 5}, {'text': 'Taupe?! Please let it be taupe', 'length': 30}, {'text': '😳👀😳👀😳👀', 'length': 6}, {'text': 'Innovation + sustainability 🔥', 'length': 29}, {'text': '🔥🔥🔥🔥🔥🔥 let’s gooo.', 'length': 18}, {'text': 'Reducing the carbon footprint one sole 🦶🏽 at a time 😉', 'length': 53}, {'text': 'We can’t wait to see! 🙌', 'length': 23}, {'text': '😮', 'length': 1}, {'text': '👀 I’m listening!', 'length': 16}, {'text': '👀👀', 'length': 2}, {'text': 'Available in 🇨🇦 this time around?? 🙏🏻', 'length': 37}, {'text': 'Already ordered my pair! Love the early release on the app!', 'length': 59}, {'text': '🔥🔥', 'length': 2}, {'text': '@anouchkarenaudeck @annesophie_soudoplatoff @frtwty.corp 🔥🔥', 'length': 59}]"
Friends that wear,<Post CcLPWf3tI8Q>,371,3,[],10/04/22,"Friends that wear Allbirds together, stay together.",51,"[{'text': ""Called to recycle some of my pre-2017 Allbirds. Was told there's no recycling program?"", 'length': 86}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'Why is the sweat shirt in SLIM ?  Slim was out five years.  Really disappointed.', 'length': 80}]"
