,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
S'more of the,<Post Cc8fERoFqBt>,2943,9,[],29/04/22,S'more of the Cookie Dough Chunks you love. Find new Cookie Dough Mixes in freezers near you at the link in our bio!,116,"[{'text': '@katelyneldredge lol idgaf if we are slimming down for summer. There are a must!', 'length': 80}, {'text': '@benandjerrys please bring back peanut butter world 😢', 'length': 53}, {'text': 'This is art', 'length': 11}, {'text': 'We would love to collab 🍦 💙', 'length': 27}, {'text': '❤️❤️❤️❤️❤️', 'length': 10}, {'text': 'thank god', 'length': 9}, {'text': '@kaylafrier', 'length': 11}, {'text': 'It was only a matter of time', 'length': 28}]"
Few people know,<Post Cc5bNSTMqFj>,1664,12,[],28/04/22,"Few people know more about the impact of racism and the legacy of slavery in America than Jeffery Robinson, a renowned lawyer who’s been fighting for justice for decades. On our latest episode of Into the Mix, host @smashfizzle got his take. Listen now at the link in our bio!",276,"[{'text': 'Icon. Legend. Love this. 👏', 'length': 26}, {'text': '❤️', 'length': 2}, {'text': 'What are you doing November 8th?', 'length': 32}, {'text': 'Juwanna Mann ❤️', 'length': 15}, {'text': '🇵🇸', 'length': 2}, {'text': 'Based ice cream.', 'length': 16}, {'text': 'Back the Blue!! 🇺🇸🇺🇸', 'length': 20}, {'text': 'hell to the yes', 'length': 15}]"
Celebrating a 2022,<Post Cc283AWuh5l>,4931,21,[],27/04/22,"Celebrating a 2022 grad? 🎓 Congrats! ⁠
From cakes to custom catering and take-out, your Scoop Shop has plenty of ways to sweeten up your celebration. Find your nearest shop at the link in our bio and start planning now!",219,"[{'text': 'Y’all should come up with a birthday cake flavor!', 'length': 49}, {'text': ""I thought it said 'Chad' there for a second"", 'length': 43}, {'text': 'Congrats Cod', 'length': 12}, {'text': 'Congrats God', 'length': 12}, {'text': 'Yummy', 'length': 5}, {'text': 'i graduate with my b.s. in marketing on may 6th!', 'length': 48}, {'text': '❤️❤️❤️❤️❤️❤️', 'length': 12}, {'text': '😍😍😍', 'length': 3}, {'text': 'IM A 2022 GRAD', 'length': 14}, {'text': 'let me send you guys an graduation announcement, be. and jerry’s pints got me through my worst nights in college and it’s coming to an end', 'length': 138}, {'text': 'Back the Blue!! 🇺🇸🇺🇸', 'length': 20}, {'text': 'No thanks and I have two grads one college and one high school', 'length': 62}, {'text': ""No thx. I'd rather not curse a grad with your garbage"", 'length': 53}, {'text': '@kjhealy 😮', 'length': 10}, {'text': '@wcoast2east 👀 lol', 'length': 18}]"
"New look, who",<Post Cc04MWsF5GO>,9912,93,[],26/04/22,"New look, who dis?⁠
⁠
Find limited edition 25th anniversary Phish Food pints featuring artwork by @pollockprints near you at the link in our bio!",145,"[{'text': 'TOP 3 FAVORITES', 'length': 15}, {'text': 'Literally the best flavor 😋', 'length': 27}, {'text': 'my absolute favorite😤😤 and cherry garcia', 'length': 40}, {'text': 'Happy twenty phish 🕺', 'length': 20}, {'text': ""Can't find the new containers here in CO yet."", 'length': 45}, {'text': 'Where is Peanut Butter World?!!!!!!????', 'length': 39}, {'text': 'Still looking for the new pollock design.\n\nMaybe I have to buy up the current local supply, so they restock?', 'length': 108}, {'text': 'My favvvv', 'length': 9}, {'text': 'My favorite ever !!!🔥❤️', 'length': 23}, {'text': 'My favorite flavor!', 'length': 19}, {'text': 'My favorite flavor!!! Yummy', 'length': 27}, {'text': 'My favorite', 'length': 11}, {'text': '😍 My favorite', 'length': 13}, {'text': 'So happy a vegan version of this exists 😊😊', 'length': 42}, {'text': 'Yummy', 'length': 5}, {'text': 'My Favorite!! 😍', 'length': 15}, {'text': 'Love it! 😍', 'length': 10}, {'text': '👀', 'length': 1}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': 'This is awesome 😍', 'length': 17}, {'text': '25 years?! Wow amazing! So glad you have a vegan version now!', 'length': 61}, {'text': 'When will you sell the fish separately??? I need that deliciousness in my life by the handful 😋', 'length': 95}, {'text': '@phil.metayer', 'length': 13}, {'text': '@ry_storm', 'length': 9}, {'text': '@ep1794', 'length': 7}, {'text': '@calebprue', 'length': 10}, {'text': '@arwenvangrafhorst dut klinkt heel chill', 'length': 40}, {'text': '@misterbresident @wabom2', 'length': 24}, {'text': '@youthsalmonprotectors', 'length': 22}, {'text': '@markus.sidwell', 'length': 15}, {'text': 'Best ice cream 😋', 'length': 16}, {'text': 'Would it be possible to make bags of just the fudge fish? Like the edible cookie dough', 'length': 86}, {'text': 'I LOVE FISH🐟🐟🐟🐟💪💪💪🏳️\u200d🌈', 'length': 22}, {'text': 'Will phish good ever come to Ontario? I dream of it ever since I had it in Watkins Glen .. in niagara I’ve never seen it 😔', 'length': 122}, {'text': 'Phish is on top! In both ice cream AND music.', 'length': 45}, {'text': 'My favorite 😍', 'length': 13}, {'text': '🤤 😍 🍦', 'length': 5}, {'text': ""My mom's favorite ice cream. Always makes me think of her🖤🖤"", 'length': 59}, {'text': 'My favorite flavor 😍', 'length': 20}, {'text': 'hey guys could you maybe bring back chip happens', 'length': 48}, {'text': 'Love it!! Just please don’t (ever) change the recipe. Phish food is perfect!!!', 'length': 78}, {'text': ""The cutest Ben and Jerry's Icecream ever! 😍"", 'length': 43}, {'text': ""Haven't been able to find this in canada for almost a decade"", 'length': 60}, {'text': 'Hands down favorite!!! Might take an allergy pill for this one!!! 😂 (Not supposed to have tree nuts or dairy... But this was my FAVORITE!)', 'length': 138}, {'text': 'that’s my girl', 'length': 14}, {'text': 'YES', 'length': 3}, {'text': 'I am a big fan of your icecream (your dirt cake flavor is top tier) and it would mean the world if you guys would follow me back, my friends would think I’m so cool 😫', 'length': 166}, {'text': 'PLEASE BRING IT TO CANADA', 'length': 25}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'Yassss🔥', 'length': 7}]"
If research shows,<Post CcyIpEnlEJ2>,4641,121,[],25/04/22,"If research shows that there’s no correlation between police spending and the crime rate, what can we do to actually keep communities safe? Link in our bio!",156,"[{'text': '👍🏼👏🏽👏🏽👏🏽', 'length': 8}, {'text': '👏🏾👏🏾👏🏾👏🏾👏🏾', 'length': 10}, {'text': '💙', 'length': 1}, {'text': '❤️❤️', 'length': 4}, {'text': ""Common Ben and Jerry's W"", 'length': 24}, {'text': 'When people have their basic needs met (housing, food, education, child care) they’re happy, and happy people are less likely to commit a violent crime', 'length': 151}, {'text': ""Let's have them stop looking for small amounts of drugs on people and instead have them only focus on violent offenses and duis"", 'length': 127}, {'text': 'ben and jerrys hot takes', 'length': 24}, {'text': 'I just like the ice cream bro', 'length': 29}, {'text': 'our new safety project will be certifying venues once they have received our training, consultancy and advice on policies and procedures to make the night time economy safer! let us know any venues that you want to see partner with us 💛', 'length': 236}, {'text': '🇵🇸🇵🇸🇵🇸', 'length': 6}, {'text': 'i love yall', 'length': 11}, {'text': 'Defunding the police is not the answer', 'length': 38}, {'text': 'Abolish the police!!!', 'length': 21}, {'text': 'i love u', 'length': 8}, {'text': 'Yeah it went up in the last two years in the name of “Defend the Police.” It is NOT rocket science. Just Cause and Effect.', 'length': 122}, {'text': 'Can you explain low-level non violent incidents that people are arrested for?', 'length': 77}, {'text': '👏🏾💯👏🏾', 'length': 5}, {'text': 'Police are not only incapable of stopping a murder, they also rarely solve them after the fact also.', 'length': 100}, {'text': 'ACAB.', 'length': 5}, {'text': ""Sadly part of a police departments budget goes to pay for the lawsuits and settlements filed against them. So the public is literally paying tab for bad cop's crimes."", 'length': 166}, {'text': '🗣', 'length': 1}, {'text': '❤️❤️❤️', 'length': 6}, {'text': '🔥', 'length': 1}, {'text': 'We need to start paying people to clean up vacant lots and to illuminate and patrol the streets!! Good plan.  Having people work to support and build their communities is always a great idea.  Social responsibility for improving the community is a core foundation.', 'length': 264}, {'text': 'I like your ice cream not your politics', 'length': 39}, {'text': 'Investing in children and youth! Train officers in de-escalation and FETI! And other trauma informed responses.', 'length': 111}, {'text': 'I love you @benandjerrys ❤️', 'length': 27}, {'text': '@ataylorjr84', 'length': 12}, {'text': 'Why don’t you tell us which demographic is most responsible for the rise in murder and violent crimes? @benandjerrys', 'length': 116}, {'text': 'Who wants to live in a world without law and order? I love how people in vermont think about crime and murder because its ground zero?', 'length': 134}, {'text': 'No but closing our border will by stopping the influx of drugs that cause people to commit violent crimes to support their habits!!!!!', 'length': 134}, {'text': 'Yes', 'length': 3}, {'text': ""Murders have spiked amongst Black Americans in 2020 by 32% when comparing to the year prior. THAT is the stat that matters...because it's in alignment with the nonsense you push. Stop comparing timeliness that have no relationship to push your propaganda."", 'length': 255}, {'text': ""Ha. Ben and Jerry's says murder and violent crime have gone up the last two years, but WON'T give those demographic statistics!! HILARIOUS STUFF!!! 😂 😃 😄 😁 🤣"", 'length': 157}, {'text': 'You worried bout the wrong things first fix your ingredients and stop poisoning us legally D bags', 'length': 97}, {'text': 'What race is committed the majority of these crimes? You guys hate white people so much, surely it’s them, right?', 'length': 113}, {'text': ""What can you do? LOLOLOL Maybe report CORRECT statistics? Black men make up less than 10% of the population , but commit 50% (or MORE) of the violent crimes... but, you want MISLEAD your base, and ACT LIKE it's the police fault!!! 🤣 You're not fooling ANYBODY... @benandjerrys"", 'length': 276}]"
You'd never guess.,<Post CcxmTr7lTv_>,6526,182,"['benandjerrys', 'icecream', 'dessert', 'yum', 'didyouknow', 'fyp', 'foryou', 'reels']",25/04/22,"You'd never guess. 

#benandjerrys #icecream #dessert #yum #didyouknow #fyp #foryou #reels",90,"[{'text': ""I know that for being the truth because it's definitely my first choice of 😋 #cantgowrong #promising #vanilla"", 'length': 109}, {'text': 'I’ve never even seen plain vanilla being sold lol', 'length': 49}, {'text': 'You make plain vanilla? Wtf...', 'length': 30}, {'text': 'It pairs well with A&W root beer! The only two ingredients I will make them with☺️🍺🍦', 'length': 84}, {'text': 'Not hard to believe! The best Vanilla around 🤤🤩😍', 'length': 48}, {'text': 'Vanilla is my favorite and Phish food is a close runner up', 'length': 58}, {'text': 'But do people actually eat just the plain vanilla, or do they add syrup or  toppings, put it over pie, or put it in the milkshakes?', 'length': 131}, {'text': 'vanilla ice cream ❤️ #thebest', 'length': 29}, {'text': 'ur lying', 'length': 8}, {'text': 'Never plain! #globalspicetradehistory !', 'length': 39}, {'text': 'You have to have vanilla for your floats though 😍', 'length': 49}, {'text': ""For me it's the most versatile and also comforting, so it makes sense!"", 'length': 70}, {'text': 'I had no idea B&J made vanilla!', 'length': 31}, {'text': 'It pairs with everything so it makes sense', 'length': 42}, {'text': 'Nothing plain about vanilla 😍', 'length': 29}, {'text': 'Vanilla for the win 😌✨', 'length': 22}, {'text': 'I love plain vanilla!! 🍨', 'length': 24}, {'text': 'Well I love 🤍🤍🤍it!', 'length': 18}, {'text': 'Yep 🙌', 'length': 5}, {'text': 'My favorite!!❤️', 'length': 15}, {'text': 'Yep! My go to for over pie and cake!', 'length': 36}, {'text': 'My daughters favorite', 'length': 21}, {'text': 'Is the BEST 😍', 'length': 13}, {'text': 'Do… they know about Phish Food?', 'length': 31}, {'text': 'Maniacal. The one ice cream company with all the awesome creative flavors and this world predominantly chooses to buy vanilla from them 🤨🤨🤨', 'length': 139}, {'text': '@benandjerrys peanut butter half baked is my jam!!', 'length': 50}, {'text': '@askasub 🥲🥲🥲', 'length': 12}, {'text': 'Not shocked at this at all. I love a good ol’ pint of Vanilla ice cream. What i also love is caramel core and i cant find it ANYWHERE!! @benandjerrys did you discontinue caramel core?', 'length': 183}, {'text': 'Not just ANY Vanilla 😉 \nHas to be @benandjerrys \nVanilla 🤍🙌 🤍 😋', 'length': 63}, {'text': '@james_carroll_310 😮', 'length': 20}, {'text': ""Too many companies spend too much time making nonsense flavours and they can't make a decent vanilla. Get a decent vegan vanilla made."", 'length': 134}, {'text': 'Boring😄😢😄😢😄😢😄😢😄😢', 'length': 16}, {'text': 'Lol. Vanilla was my favorite flavor, too! It’s the best when eating anything a la mode. Please make a vegan version!', 'length': 116}, {'text': '🤮 chocolate all the way!!!!!!', 'length': 29}, {'text': 'The world is a dark place', 'length': 25}, {'text': 'There’s a lot of nuance in what many consider to be a basic flavor. ❤️🍨', 'length': 71}, {'text': 'i thought it would b cookie dough bc it’s the only one i’ve seen everywhere', 'length': 75}, {'text': 'i Thought it would’ve been cookie dough😂', 'length': 40}, {'text': 'I don’t understand why that’s shocking? Y’all do know food allergies and sensitivities are real right?  Vanilla is not only a relatively safe flavor it’s also very tasty.', 'length': 170}, {'text': 'Damn shame', 'length': 10}, {'text': 'I have the same refrigerator, but if you open the freezer, it’s all Cherry Garcia.', 'length': 82}, {'text': 'Vanilla is for vanilla people🥱', 'length': 30}, {'text': 'I knew that.  However, you can manipulate its flavor with everything.', 'length': 69}, {'text': 'Vanilla is underappreciated', 'length': 27}, {'text': 'Lmao oh reallly? I thought it was mint chip', 'length': 43}, {'text': 'Not surprising at all!', 'length': 22}, {'text': 'Team chocolate!', 'length': 15}, {'text': 'Incorrect. It is the most purchased. There’s a difference.', 'length': 58}, {'text': 'Who spends $100 on a small bucket of vanilla ice cream🤣🤣!', 'length': 57}, {'text': ""It pairs with everything and it's the most accessible"", 'length': 53}]"
It's like Milk,<Post CcvWDsJu5Ae>,6465,45,[],24/04/22,"It's like Milk & Cookies, but extra chocolate-ified. 🍫

Link in our bio!",72,"[{'text': 'Am I the only one who doesn’t understand how to eat the topped flavors?  Do you just have to eat an inch of fudge before you get to the ice cream?', 'length': 146}, {'text': 'Y’all need a cake batter flavor', 'length': 31}, {'text': 'I need to try this!', 'length': 19}, {'text': 'Oh lawd 😳', 'length': 9}, {'text': 'Sounds delicious', 'length': 16}, {'text': 'That is a good flavor 👍', 'length': 23}, {'text': 'just tried this one. so good!', 'length': 29}, {'text': 'GIVE IT TO ME', 'length': 13}, {'text': 'I love you', 'length': 10}, {'text': 'Neeeeeed some this at HEB in Austin!!! Please!!! 👏🙌', 'length': 51}, {'text': 'Oooof, I have been waiting for this flavor! Is there a non-dairy version? 😍', 'length': 75}, {'text': 'Any chance SNAFU will ever come back for a limited release?', 'length': 59}, {'text': 'Yessir👍', 'length': 7}, {'text': '😍', 'length': 1}, {'text': 'Yum', 'length': 3}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'topped….', 'length': 8}, {'text': 'Too bad it can’t be found anywhere in stores.', 'length': 45}, {'text': '😋😋😋', 'length': 3}, {'text': 'Do you own a business/company/brand that falls under any of the below categories?\n\n•Health\n•Beauty\n•Lifestyle\n•Fashion\n•Food\n\nDo you feel as if your instagram business account isn’t reaching its full potential, stuck, not reaching much persons or is just not growing in general?\n\nLook no future✨ in todays society we live in EVERYTHING is going online which means there’s a lot more competition when it comes to social media ⬇️\n\nThis means we need to step up our game and “follow the trends” but also dominate them‼️\n\nMy name is Rayanna Boucher and I am a Content Creator☺️\n\nI help you and your business/company/brand create quality content to expand your reach, engage with your audience and push your page into the spotlight.\n\nIf you are interested in hearing more feel free to message me privately ☺️', 'length': 803}, {'text': '@devikasudhir we must try', 'length': 25}, {'text': 'When am I going to find this?!? @lily.naert WANT 🍪🥛', 'length': 51}, {'text': '@sean_d_203', 'length': 11}, {'text': '@amacqueens help me', 'length': 19}, {'text': '@lyndstayjax 🤤', 'length': 14}, {'text': '@mrs_purdue', 'length': 11}, {'text': '@jimhick', 'length': 8}, {'text': '@laures7815', 'length': 11}, {'text': 'Non diary please! @benandjerrys', 'length': 31}, {'text': 'omfg @alanagiggins', 'length': 18}, {'text': 'It’s not a vegan flavor?', 'length': 24}, {'text': 'You guys should make a mother cookies frosted circus animals cookie flavor!', 'length': 75}, {'text': '❤️', 'length': 2}, {'text': 'Back the Blue!! 🇺🇸🇺🇸', 'length': 20}, {'text': ""Just case you aren't fat enough!"", 'length': 32}]"
Putin’s war in,<Post Ccp7hNpLnto>,5027,69,['earthday'],22/04/22,"Putin’s war in Ukraine should prompt the international community to stop investing in fossil fuels and commit to renewable energy instead. 🌎 This #EarthDay, learn more at the link in our bio.",191,"[{'text': ""ben and jerry's we love you for being smart"", 'length': 43}, {'text': '💙💛', 'length': 2}, {'text': 'When an ice cream company tries to act like an expert 😂 stick with your dairy', 'length': 77}, {'text': '🙌🙌🙌❤️', 'length': 5}, {'text': 'Not disagreeing. But until lithium batteries aren’t being harvested by child labor, have a solution to their waste after they expire, don’t rely on fossil fuel to recharge and our grids can actually support hundreds of thousands of electric cars and such charging at the same time, we need to step back.', 'length': 303}, {'text': 'first oh my god', 'length': 15}, {'text': 'I seem to remember Bernie being laughed at because he said that climate change as a result of fossil fuels was going to create exactly this scenario.', 'length': 149}, {'text': '🇷🇸🤝🇷🇺', 'length': 5}, {'text': 'Ben and Jerry’s just stopped the war by posting this thank god', 'length': 62}, {'text': 'The hire ups in the world are full of greed and we’ll never be able to grow because of this', 'length': 91}, {'text': 'WHY IS AN ICE CREAM COMPANY MORE BASED THAN THE GOVERNMENT', 'length': 58}, {'text': ""Finally Ben & Jerry's is talking about what's going on in Ukraine! I was impatient to learn about the company's point of view. Very interesting as always!"", 'length': 154}, {'text': 'i can’t believe this is an ice cream brand i love you so much', 'length': 61}, {'text': '👏🔥💜🤝✊️', 'length': 6}, {'text': ""I like this post but i think addiction is the wrong word for this. I would probably use dependency instead. Many many vehicles and homes depend on fossil fuels. We depend on it because it's cheaper. I bet if renewable energy was more accessible, we wouldn't have to depend on fossil fuels. But for now it's all we have unfortunatly. I hope that changes one day"", 'length': 360}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Substitute for fossil fuels is electric cars and electric this and that. You have to burn coal for a lot of our electricity right now and you have to kind lithium for the 100s of millions of batteries they will produce.', 'length': 219}, {'text': 'Bidenflation is all Biden’s fault. He has no clue where he is or what he’s doing!', 'length': 81}, {'text': 'This isn\'t ""Putin\'s war"", rather it\'s a conflict which has been instigated for decades by the West.  NATO, an alliance created to destroy the USSR, and now Russia, has been expanding to the border, against promises made, for 30 years.  Furthermore, the coup in 2014 installed a Western sympathetic government which proceeded to carry out massacres, pogroms and repression against the resistance, ethnic Russians and Muslims in Eastern Ukraine.  We must recognise that the culprit is the West, and the victims the Ukrainian and Russian working class', 'length': 548}, {'text': 'Could have been a great argument FOR nuclear.', 'length': 45}, {'text': 'Let’s mine lithium for your battery world and we will kill the planet even quicker. Stop posting stupid things Ben and Jerry’s. If we didn’t have a spineless president Russia wouldn’t be in Ukraine. Facts', 'length': 204}, {'text': 'There’s only one part you need to take out, and that’s about the rising gas prices due to the war… They’ve been going up! For the past year! People need to quit perpetuating the notion that it was the war that caused it. No, the war just brought a higher price hike- but that’s been going on for months. Ben & Jerrys sometimes you are too “left.”', 'length': 346}, {'text': ""It's nice to have competitors. If they have fuel and you want it thats your country's problem. America has been taking over countries for years over oil. Russia does it and it's a big deal. That's not fair. #standwithrussia🇷🇺 #standwithafrica #standwithpalestine🇵🇸 #standwithlebanon🇱🇧 and all the other places that need help. England still owns north of Ireland. Why don't people care about us."", 'length': 394}, {'text': 'Forgot to mention NATO has been killing innocent civilians and committing war crimes for decades before Putin decided it was his turn', 'length': 133}, {'text': 'Absolutely irrelevant stop hiding the fact that your ice cream is poison', 'length': 72}, {'text': 'Dear friends! There is no Putin war. Open your eyes. Start thinking. The reasons of that war are in the White House. And in Ukrainian nazists. Time will settle everything', 'length': 170}, {'text': 'Gas was going up before the war .  Poor and middle class people can’t afford electric cars period .  Until we can make a affordable Ev car this is the case .  Gas is still the cheapest and most affordable energy.  By a Tesla and charge it at home .  Watch your energy bills go up .  Either way we spend more', 'length': 307}, {'text': 'Also check out @scientistrebellion @xr_nyc @extinctionrebellion @sunrisemvmt @climbitjustice', 'length': 92}, {'text': 'Check out nasa climate scientist @climatehuman he’s full of info and helpful tips on what we should be doing', 'length': 108}, {'text': 'I’m still smiling! It’s been so beneficial trying someone new. So glad I came across @joan___aaron112', 'length': 101}, {'text': ""Slide 4 is a whole bunch of dumbassery, people are saying that about domestic oil so reliance on countries shouldn't be a problem like it's proven to be"", 'length': 152}, {'text': 'I gave a trial and I’m still amazed at the result my $1500 turned to $15200 within a week @trade.with.precious', 'length': 110}, {'text': ""Nuclear power so clean energy you nuts!! And it's a lie that the world is gonna stop consuming oil and gas, solar panels are produced part with oil."", 'length': 148}, {'text': 'Greedy old men are going to drive this planet and humanity into the ground. 😢', 'length': 77}]"
"If you're grilling,",<Post CcndOqdMW7Q>,2436,18,[],21/04/22,"If you're grilling, we're chilling. 🍔

Order your favorites for delivery at the link in our bio!",96,"[{'text': '😍😍😍', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': 'My fav!❤️', 'length': 9}, {'text': 'make a weed flavored ice cream', 'length': 30}, {'text': 'Please bring back cheesecake brownie', 'length': 36}, {'text': 'bring the red velvet back 😭', 'length': 27}, {'text': 'Yum😍', 'length': 4}, {'text': 'Yum', 'length': 3}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '😍', 'length': 1}, {'text': 'Mid + overpriced', 'length': 16}, {'text': 'I just tested positive for COVID on Saturday, and your ice cream is truly, the only thing making me feel better!!! Chocolate Chip Cookie 🍪 Dough is my favorite!!🍪', 'length': 162}, {'text': 'Back the Blue!! 🇺🇸🇺🇸', 'length': 20}, {'text': 'Nobody likes your gross liberal Ice Cream', 'length': 41}, {'text': '@nudzi_mi_sie_w_rzyciu 😋 to na nie wydalismy ostatnie pieniadze', 'length': 63}]"
Cannabis Justice Now!!,<Post CclkAO4Fimn>,6534,105,[],20/04/22,Cannabis Justice Now!!,22,"[{'text': '❗❗❗❗', 'length': 4}, {'text': '👏👏👏', 'length': 3}, {'text': '👏👏', 'length': 2}, {'text': 'Thank you for all that you guys do for the black community!', 'length': 59}, {'text': 'Ben and Jerry’s going off', 'length': 25}, {'text': 'Always the dems bringing up race when they “don’t see color”', 'length': 60}, {'text': 'And this is why we GLADLY drop those extra couple bucks for Ben and Jerry 🍃❤', 'length': 76}, {'text': 'This is the best message I’ve read all day ❤️', 'length': 45}, {'text': 'This campaign makes me happy \n🙌🔥❤️❤️❤️❤️', 'length': 40}, {'text': 'make hash ice cream. 2000 mg per pint', 'length': 37}, {'text': ""Y'all need to make a infused ice cream when it is legal"", 'length': 55}, {'text': 'Helpin the people take a stand. 🗣🤝🦾', 'length': 35}, {'text': 'been waiting for this one 👏', 'length': 27}, {'text': 'Im litterally so proud to read this post. I honestly love you guys sooooooooooooooooooo much. Since I was a kid to my adulthood now with full vegan options ! Thoughtful honest and real as it gets . Thank you Ben & Jerry’s!', 'length': 222}, {'text': 'It’s one thing to start a business and actually contribute to society with their needs and it’s another to be involved in illegal activities while holding/under the influence 🤦🏻\u200d♂️', 'length': 180}, {'text': 'Love y’all for this 🙌', 'length': 21}, {'text': 'I tip my hat off to you guys for trying to be part of the solution! Thank you!', 'length': 78}, {'text': 'Have y’all heard of the MORE act? This could finally be our chance!!!', 'length': 69}, {'text': 'Well said.', 'length': 10}, {'text': ""listen, I'm high, I love you guys and buy you everyday...but why is it that I the masterpiece of Cookies and Cream Cheesecake Core is not available anywhere????😢😢😢😢"", 'length': 164}, {'text': 'PLEASE FOR MY 21st BIRTHDAY', 'length': 27}, {'text': 'Ever notice how most people making money from ice cream are white?', 'length': 66}, {'text': 'LOOK AT MY DM', 'length': 13}, {'text': '📠 💯', 'length': 3}, {'text': '👏👏👏👏🙌🙌🙌🙌', 'length': 8}, {'text': '💚💚💚💚💚💚💚💚💚💚 @benandjerrys you are ethics in action ! Thank you for always shining light on social injustices as a corporation!', 'length': 125}, {'text': ""Let's discuss @benandjerrys"", 'length': 27}, {'text': 'We love y’all @benandjerrys 🙌🏿', 'length': 30}, {'text': '🎯🎯‼‼🙏🏾👌🏾🙌🏾👏🏾 @benandjerrys  thanks for using your platform to advocate', 'length': 70}, {'text': '@juanitofranco20', 'length': 16}, {'text': 'Your an ice cream company shut up.', 'length': 34}, {'text': 'lol half baked nice 1', 'length': 21}, {'text': 'I’m here for this 🔥', 'length': 19}, {'text': '🤡 🤡🤡🤡🤡🤡', 'length': 7}, {'text': 'Lol', 'length': 3}, {'text': 'Thats pretty interesting for more info look up ben and jerrys israel palestine', 'length': 78}, {'text': '🔥🔥🔥🔥🔥🔥🔥🔥🔥', 'length': 9}, {'text': 'Bruh, stick to making ice cream', 'length': 31}, {'text': 'Love 🤎', 'length': 6}, {'text': 'This is why I support ben and Jerry', 'length': 35}, {'text': 'You tell ‘em!', 'length': 13}, {'text': 'You guys are awesome. Going to buy some of your ice cream asap!!!', 'length': 65}, {'text': 'Don’t you make ice cream??', 'length': 26}, {'text': 'Ben and Jerry’s can’t even make good ice cream and y’all taking political advice from them', 'length': 90}, {'text': 'Take action now! Donate money so BLM can purchase more mansions in White neighborhoods', 'length': 86}, {'text': 'I’m buying some Ben and Jerry’s today 😢👏😂🙌🔥❤️', 'length': 45}, {'text': 'Ben & Jerry a real one for this 🔥🔥', 'length': 34}, {'text': 'Or make it illegal and both the whites and blacks get in trouble 👍', 'length': 66}, {'text': '🔥🔥🔥🔥🔥', 'length': 5}, {'text': '!!!', 'length': 3}]"
