,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Swipe for some,<Post Cc8mJ8zp5K_>,212,3,[],29/04/22,"Swipe for some ways to make cleaning fun ➡️⁠
⁠
1. Play your favorite music ⁠
2. Listen to a podcast⁠ or audiobook
3. Call & catch up with a friend ⁠
4. Set a timer and tackle a room as fast as possible⁠
5. Turn it into a game and reward yourself⁠
⁠
How do you make cleaning fun?!",279,"[{'text': 'I used to listen to music while I clean...if i do now its rock an metal...pop makes me want to dance to much. Or i listen to horror podcast. Nothing gets your blood pumping like trying to figure out if Captain Stix is going to help little old Ms. Park stay safe from the ""bad man"" aka demon in her house.', 'length': 304}, {'text': 'I do laundry in record time when talking to my mom.', 'length': 51}, {'text': 'Always gotta have music on while cleaning 🧼 🧽 🧹', 'length': 47}]"
(GIVEAWAY CLOSED) 💐🌷SPRING,<Post Cc5wAARu7vp>,1525,1565,[],28/04/22,"(GIVEAWAY CLOSED) 
💐🌷SPRING CLEANING GIVEAWAY 💐🌷⁠
⁠
We've partnered with some of our favorite brands to share all you need for a spring cleaning. You'll get everything from beauty to cleaning supplies to health and wellness to give your home the clean refresh it needs. ⁠
⁠
One winner will receive: @beekeepers_naturals B.Immune, B.Biome, B.Smart, and B.Soothed Lozenges 🐝; @indie_lee full skincare routine 🧖‍♀️; ✌️ @getopenspaces large wire baskets; @branchbasics glass starter kit 🧼; and a 3 month supply of @drink.sound ✨⁠
⁠
To enter:⁠
✔️ LIKE this photo⁠
✔️ FOLLOW @drink.sound @beekeepers_naturals @indie_lee @getopenspaces & @branchbasics⁠
✔️ TAG your bestie! ⁠
⁠
Bonus entry: Share this post in your stories!⁠
⁠
* Giveaway will be open until Sunday, May 1 at 11:59 PST. Winner will be contacted by Sound via DM. Open to the 48 contiguous states + winner must be 18 years or older. This giveaway is in no way sponsored or endorsed by Instagram.",950,"[{'text': '@gabbypollockk', 'length': 14}, {'text': '@bellaalampi', 'length': 12}, {'text': '@hannahkauppila', 'length': 15}, {'text': '@kirstindunce I need this! Branch basics is already on my house wishlist and there is something 🐝 related!! 😉', 'length': 109}, {'text': 'All things SPRING🌷💐 @aliannsimpson', 'length': 34}, {'text': '@christinarecchi', 'length': 16}, {'text': '@8766jennifer', 'length': 13}, {'text': '@wellfednutrition so much goodness!', 'length': 35}, {'text': '@emmagresi', 'length': 10}, {'text': '@fedandfulfilled 😍', 'length': 18}, {'text': '@sq1102', 'length': 7}, {'text': '@victoriadkanahele', 'length': 18}, {'text': '@thesuzieq', 'length': 10}, {'text': '@dsolizmilw', 'length': 11}, {'text': '@ohheyitsheatherrenee', 'length': 21}, {'text': '@nichola_dean_2008', 'length': 18}, {'text': '@katieannclark', 'length': 14}, {'text': '@chelbyrush', 'length': 11}, {'text': '@yamm_a_gram', 'length': 12}, {'text': '@carlsannn', 'length': 10}, {'text': '@cnikvus', 'length': 8}, {'text': '@ashleigh_hack ❤️', 'length': 17}, {'text': '@sam_martinez12', 'length': 15}, {'text': '@cgaita', 'length': 7}, {'text': '@tator_tats_101', 'length': 15}, {'text': '@halinka81', 'length': 10}, {'text': '@danielaedwardson', 'length': 17}, {'text': '@gcast49', 'length': 8}, {'text': '@megan_marie84', 'length': 14}, {'text': '@_twalsh21', 'length': 10}, {'text': '@heatherbycz 😍😍', 'length': 15}, {'text': '@kedster182', 'length': 11}, {'text': '@sandis087', 'length': 10}, {'text': '@loe_limbs', 'length': 10}, {'text': '@jo.andreson', 'length': 12}, {'text': '@johncutrell', 'length': 12}, {'text': '@ashlynkayyy_', 'length': 13}, {'text': '@dance_twink_wink', 'length': 17}, {'text': '@carlylynnmcminn 🤠', 'length': 18}, {'text': '@vitale_jillian', 'length': 15}, {'text': '@5unnycharle5 😍 love all of these!!', 'length': 35}, {'text': '@jayybryant', 'length': 11}, {'text': '@cwink9896', 'length': 10}, {'text': '@kcamacho86', 'length': 11}, {'text': '@binkelbug', 'length': 10}, {'text': '@sburns930 ❤️', 'length': 13}, {'text': '@chrissydrinibartz', 'length': 18}, {'text': '@samanthaebusse', 'length': 15}, {'text': '@alliesementelli', 'length': 16}, {'text': '@honeygirlbabybear', 'length': 18}]"
Cleaning...but make it,<Post Cc3EVHDsrzi>,1111,18,[],27/04/22,"Cleaning...but make it fun 🤩⁠
⁠
📷 Image: Bored Panda",52,"[{'text': ""😂 I've graduated to audiobooks thriller or mysteries work best for me"", 'length': 69}, {'text': 'All day long!', 'length': 13}, {'text': '😂😂😂 so true', 'length': 11}, {'text': 'Music is a must in my book!', 'length': 27}, {'text': 'Wait, people clean without music ?! 😂', 'length': 37}, {'text': 'Without audiobooks ❤️', 'length': 21}, {'text': 'Absolutely!!! Movement and joy in our hearts through music is so good!!! ❤️', 'length': 75}, {'text': 'Haha yes!', 'length': 9}, {'text': '🙌❤️❤️ yes', 'length': 9}, {'text': 'this is facts', 'length': 13}, {'text': '100%', 'length': 4}, {'text': '😂😂😂', 'length': 3}, {'text': 'White people cleaning their OWN house ? Riiiiiiiiight 😂', 'length': 55}, {'text': 'Agreed👏', 'length': 7}, {'text': '💯', 'length': 1}, {'text': '🤣', 'length': 1}, {'text': '@jacquesayin 😂', 'length': 14}]"
Do your white,<Post Cc0YggDsLFA>,754,35,[],26/04/22,"Do your white shoes need a good clean? Follow the steps below!⁠
⁠
1. Spray 👟👟 with All-Purpose⁠
⁠
2. Sprinkle Oxygen Boost ⁠
(or mix OB with a little water in a bowl)⁠
⁠
3. Scrub the shoes until it gets soapy 🧼⁠
⁠
4. Let this sit a few hours or soak overnight ⁠
⁠
5. Rinse and scrub clean! Repeat if necessary. ✨",312,"[{'text': 'Mine still has yellow marks on them after doing this. Any other tips or just repeat it?', 'length': 87}, {'text': 'I just used a little paste with All Purpose and Oxygen Boost to clean dirty shoelaces and soles and sides of my sneaks yesterday that I got muddy on a walk. They look great!', 'length': 173}, {'text': 'Thank you!!!! Was just going to message you about shoe cleaning. I’ve leather sneakers with sparkles on top. They stink inside where the insert is a fine leather. Any ideas? Xx', 'length': 176}, {'text': 'Can you use the OB on color clothing, shoes, fabrics, etc? Or should you water it down? If so, how much? (I have a recent stain on a pillow case I’d like to try to get out 😬)', 'length': 174}, {'text': 'Are your plastic containers BPA free?', 'length': 37}, {'text': 'Do you air dry them?', 'length': 20}, {'text': 'What is all purpose? Is that like Mr Clean', 'length': 42}, {'text': 'Does this work for shoes that aren’t white as well? Silly question I’m sure', 'length': 75}, {'text': 'I just did this! It works!!!', 'length': 28}, {'text': 'Just did this last week! 👟', 'length': 26}, {'text': 'I need to try this!!! 👏', 'length': 23}, {'text': '😮😮', 'length': 2}, {'text': 'I wanna see the after of this pic!', 'length': 34}, {'text': ""That's nice 👌"", 'length': 13}, {'text': '@branchbasics my cream Yorks have some small leather parts in the side so I can’t soak them and not sure I should spray in fear of damaging leather. Any tips in how to clean them?', 'length': 179}, {'text': '@23kuphal', 'length': 9}, {'text': '@yoursoberpal The product I was telling you about for your chucks 🤍', 'length': 67}, {'text': '@mrskatieree', 'length': 12}, {'text': '@jacobritter23', 'length': 14}, {'text': '@thrillaminella I feel like you need this 😂', 'length': 43}]"
👇 Drop your,<Post CcyRoCZJdXF>,145,15,['linkinbio'],25/04/22,"👇 Drop your favorite song(s) to play while cleaning!⁠
⁠
If you're in need of a playlist, tap our #linkinbio for our Cleaning Day Playlist 🎵⁠",140,"[{'text': 'Throwback 90’s rock 🙌', 'length': 21}, {'text': 'mr. Jones by counting crows', 'length': 27}, {'text': 'Oh love this, thank you! Love cleaning every evening for 15 minutes to a playlist.', 'length': 82}, {'text': 'September by Earth, Wind & Fire!!!😍', 'length': 35}, {'text': 'So fresh, so clean by Outkast', 'length': 29}, {'text': 'Any 90s early 00s pop rock alternative or a great podcast', 'length': 57}, {'text': 'Love this!', 'length': 10}, {'text': 'I listen to podcasts while cleaning', 'length': 35}, {'text': 'Carpenters and Air Supply:)', 'length': 27}, {'text': 'Better Days by Citizen King', 'length': 27}, {'text': 'Nice question', 'length': 13}, {'text': ""There's Nothing That Our God Can't Do by @PassionMusic 🎧💃🏽🙏🏽"", 'length': 60}, {'text': '@selenaqofficial ❤️', 'length': 19}, {'text': '@jimmylevy for the win 🙌🔥', 'length': 25}, {'text': '@johnmayer always!!!', 'length': 20}]"
"""If you make",<Post CcvJapAs245>,309,6,[],24/04/22,"""If you make your bed every morning, you will have accomplished the first task of the day. It will give you a small sense of pride and it will encourage you to do another task and another and another.⁠
⁠
By the end of the day, that one task completed will have turned into many tasks completed. Making your bed will also reinforce the fact that little things in life matter...⁠
⁠
And if by chance have a miserable day, you will come home to a bed that is made, that you made."" ⁠
⁠
- William McRaven⁠",499,"[{'text': 'Always!', 'length': 7}, {'text': 'Done! And I have a load of wash finishing up. Today’s plan is to do some prep work in my little garden and dinner out. I’m ready for a margarita.', 'length': 145}, {'text': 'If we have a subscription for concentrate will the price stay the same?', 'length': 71}, {'text': 'My dog and I take too many naps though. ❤️', 'length': 42}, {'text': ""Just don't cover it leave it to air and cool down"", 'length': 49}]"
Easy Stovetop Clean,<Post CctJKFBJ0n7>,259,8,"['stovetop', 'branchbasics', 'springcleaning']",23/04/22,"Easy Stovetop Clean Up 🤩⁠
⁠
1. Spray All-Purpose,⁠
2. Let it sit a minute or so⁠
3. Wipe clean ✨⁠
⁠
#stovetop #branchbasics ⁠
#springcleaning",141,"[{'text': 'Can u use the all-purpose and icy boost to clean the inside of the oven?', 'length': 72}, {'text': 'Wish it worked for glass stovetops. It doesn’t get the burned on bits off even with the oxy boost & sitting.', 'length': 108}, {'text': '@aunimb wow look at that stove!!!!', 'length': 34}, {'text': 'Is it safe on granite??', 'length': 23}]"
Happy Earth Day!,<Post CcqYk_XJ3yK>,222,9,[],22/04/22,"Happy Earth Day! 🌎 ⁠
⁠
At BB, we're always striving for cleaner and greener ways to do things. Here are a few ways we're making positive impact, and why you can feel good about helping the earth every time you use our products. ⁠
⁠
Refillable vs. non-refillable bottles means:⁠
• 89% less fossil fuel use⁠
• 85% less greenhouse gas emissions⁠
• 88% less water used in packaging production⁠
⁠
This is equal to...⁠
✔️ 111,064 liters of gasoline saved⁠
✔️ 55 cars off the road ⁠
✔️ 26 million gallons of water saved⁠
⁠
Plus, our Made Safe certification ensures our ingredients are always biodegradable and screened for environmental toxicity.",639,"[{'text': 'This is amazing! We appreciate your products and mission!', 'length': 57}, {'text': 'When are you guys raising your prices?', 'length': 38}, {'text': '@branchbasics when will the dishwasher pods be restocked?', 'length': 57}, {'text': 'I love your product. I’ve been using it for several years now. At the same time, have you considered developing a tablet or powder concentrate to be able eliminate the plastic bottle?', 'length': 183}, {'text': 'Do the plastic containers contain endocrine disrupters?', 'length': 55}]"
So many precious,<Post CcqAAmcMjru>,909,1,[],22/04/22,"So many precious memories spent outside on the ranch with our girls 💚 Feeling extra grateful for this beautiful earth we get to call home. ⁠
⁠
Try to take advantage of the free medicine it provides - breathe fresh air, get sunlight in your eyes, or walk barefoot in the grass, dirt or sand 🦶🏼 Even just a few minutes can make a big difference! ⁠
⁠
Happy Earth Day 🌎 🌱🌳",368,"[{'text': '😍😍😍', 'length': 3}]"
⭐ UP NEXT,<Post CcnppS7gKg7>,74,3,[],21/04/22,"⭐ UP NEXT ⭐⁠
⁠
Nikki joins us to discuss how she launched her successful business around ancient rituals, why saffron is such a powerful spice and her career inspiration 👇 ⁠
⁠
🎙""This idea of people tapping into their intuition and still staying knowledgable, still reading, but then going back to what feels right for me or am I making this decision based on fear? Or based on what I truly believe is good for me, for my highest good or my children's highest good..."" ⁠
⁠
Tune into Nikki's full podcast on Spotify or Apple. Link in bio!",536,"[{'text': '@dr_akhimien Am really grateful and thankful for what @dr_akhimien has done for me and my family.  I have been suffering from HERPES for years with no solution, the disease almost took my life and because I was unable to work and I was also loosing Lots of money for medication, but one faith- ful day when I went online I met lots of  testimonies about this great man so i decided to give it a try to God be the glory he did it for me.', 'length': 436}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Send you guys a DM! 🌿', 'length': 21}]"
