,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
For the perfect,<Post Cc9B4gHg4ZB>,761,14,['chantecaille'],29/04/22,"For the perfect rosy cheek sweep on NEW HD Radiant Blush. 🌸 Packaged with a mess-free flow-through brush, this buildable formula features smoothing ingredients that creates a silky feel and blurs the skin for a filtered effect. #Chantecaille",241,"[{'text': 'So excited for this blush! Hope to snag it next month!', 'length': 54}, {'text': 'This looks beautiful!', 'length': 21}, {'text': 'The perfect rose 😍', 'length': 18}, {'text': 'Gorgeous ❤️', 'length': 11}, {'text': 'I’ve bought the HD powder a couple of times but after about half the product it stops to dispense the product. 🤥', 'length': 112}, {'text': 'Unfortunately this is not as rosy as it looks here, I received it and it had a lot of brown in it and was very patchy on the cheeks.', 'length': 132}, {'text': '👏🏾👏🏾👏🏾', 'length': 6}, {'text': '❤️', 'length': 2}, {'text': '😍', 'length': 1}, {'text': '🤩', 'length': 1}, {'text': 'Beautiful', 'length': 9}, {'text': '@chantecaille I can’t wait to try this!! I hope it gets to Oz soon 🤞🏻', 'length': 69}]"
The ultimate #mama,<Post Cc6TxPgu8k_>,2161,31,"['mama', 'chantecaille', 'giftguide']",28/04/22,"The ultimate #mama must-haves! These glamorous essentials will delight mothers—and mother figures—of all ages and stages.
#Chantecaille #GiftGuide

Featured L to R:
Limited Edition Lip Chic, Le Chrome Luxe Eye Shade Duo, Rose de Mai Eye Lift, HD Radiant Blush, Faux Cils Longest Lash Mascara",291,"[{'text': 'Loveeeee these! I need them all. So beautiful for the face 😍', 'length': 60}, {'text': 'This collection is wonderful love it', 'length': 36}, {'text': '❤️Just amazing collection !!😍', 'length': 29}, {'text': 'Love, love, LOVE Chantecaille—-especially the rosewater spritz!😄', 'length': 64}, {'text': 'Just gorgeous 💕', 'length': 15}, {'text': '😍😍😍😍', 'length': 4}, {'text': 'I think this needs to be forwarded immediately. What a great surprise gift it would be😍', 'length': 87}, {'text': 'Can this be a kit? I need everything 😍✨', 'length': 39}, {'text': 'Absolutely the best makeup in the world! 💄 I‘m faithful to Chantecaille for  over a decade! 😍', 'length': 93}, {'text': 'Beautiiiful', 'length': 11}, {'text': ""I'd love to get these❤️❤️❤️"", 'length': 27}, {'text': '👏❤️❤️', 'length': 5}, {'text': 'Yes please!', 'length': 11}, {'text': 'I love everything about this photo', 'length': 34}, {'text': 'So beautiful!😍', 'length': 14}, {'text': 'Oh yes ❤️😍', 'length': 10}, {'text': 'Love your line-Can you tell me if you have a cheek bronzer or one similar to it? Thanks so much!', 'length': 96}, {'text': 'What color is the Lip Chic?', 'length': 27}, {'text': '🌸🌸🌸🌷🌷🌷🌸🌸🌸', 'length': 9}, {'text': 'The eye shade duo is lovely!', 'length': 28}, {'text': '❤️❤️❤️', 'length': 6}, {'text': '🙋\u200d♀️🙋\u200d♀️', 'length': 8}, {'text': '❤️', 'length': 2}, {'text': '💖', 'length': 1}]"
Hello to Tembo!,<Post Cc3gML8Bpyb>,-1,4,"['chantecaille', 'kikitembo']",27/04/22,"Hello to Tembo! We created  Bébé Bundles (link in bio) for your little ones which include this adorable elie created in collaboration with the Elephant Project. He supports our longtime elephant conservation partner @SheldrickTrust. #Chantecaille #KikiTembo

🐘 Bébé Flower Petal Hair & Body Wash: gentle, calming organic wash infused with orange blossom and chamomile floral waters. 

🐘Bébé Wild Moss Rose Body Lotion: soothing, hydrating lotion developed for fragile skin to help calm and nourish. Infused with organic flower waters.",534,"[{'text': 'I sent a message 👏🏾', 'length': 19}, {'text': 'Aww the best and cutest bundle for sure!! 😍', 'length': 43}, {'text': 'Too cute 🐘🐘', 'length': 11}, {'text': 'The cutest bundle 😍', 'length': 19}]"
It’s almost #MothersDay!,<Post Cc0K5g-gBRf>,302,6,"['mothersday', 'chantecaille']",26/04/22,It’s almost #MothersDay! Show the Mamans in your life how much they mean to you with vegan-friendly best-sellers they’re sure to love. Shop our botanical-infused beauty gift guide through the link in bio. #Chantecaille,218,"[{'text': 'I would love to meet one of your rep to learn more about your products, especially lipsticks.', 'length': 93}, {'text': '😍', 'length': 1}, {'text': 'I’ll take one of each! ☺️ they are always so beautifully packaged and the formulations are always spot on!', 'length': 106}, {'text': 'My favorites ✨', 'length': 14}, {'text': 'Definitely want to try these 😍', 'length': 30}, {'text': 'This bundle truly amazing♥️♥️', 'length': 29}]"
These sweet little,<Post CcxmHWwAAMD>,-1,6,"['kikitembo', 'chantecaille']",25/04/22,These sweet little elies were created in collaboration with the Elephant Project (@theelephantprojectofficial) and supports our longtime elephant conservation partner @SheldrickTrust. Learn more about our special collaboration on Le Magazine (link in bio). #KikiTembo #Chantecaille,281,"[{'text': 'Adore them!! 😍 so cute and I want to cuddle them all 😍', 'length': 54}, {'text': 'Those stuffed elies are adorable! 🐘💕🐘💕🐘', 'length': 39}, {'text': 'What’s the elephant on the left with the pale pink dress called? Can’t find it on the Chantecaille website XOXO', 'length': 111}, {'text': 'Sweet 🌸🌸🌸🌸✨🤍', 'length': 12}, {'text': 'A trio to be treasured forever', 'length': 30}]"
The perfect present,<Post CcvINZeAyYt>,568,8,"['earthday', 'chantecaille', 'mothersday']",24/04/22,"The perfect present for the Philanthropy Mama in your life! Our #EarthDay event ends today— buy one, get one 25% off when you buy our give-back Philanthropy Collection with code EARTH25. #Chantecaille #MothersDay",212,"[{'text': 'The Joy of the Horse is my first try of your products.', 'length': 54}, {'text': 'The perfect set and create your own for the best gift for yourself or someone else! 😍', 'length': 85}, {'text': 'Hello! I would like to know \nhow much of the profit is donated to Philanthropy? ❤️ tks', 'length': 86}, {'text': 'Absolutely the best! 😍', 'length': 22}, {'text': 'How do I take advantage of this sale when I live in Australia', 'length': 61}, {'text': '@juicyjasofficial  I’d love to see you do a tutorial with this line of cosmetics', 'length': 80}, {'text': '😍😍😍😍😍', 'length': 5}, {'text': 'That blush 😍', 'length': 12}]"
@OliviaChantecaille shares her,<Post CctFv_LBBgg>,417,5,[],23/04/22,"@OliviaChantecaille shares her beauty favorites from our give-back Philanthropy Collection. “During the day, I wear Luminescent Eye Shade in Cheetah, a warm champagne. For night, I like to apply a smooth, clean sweep of Elephant, a shimmering gray taupe on my lid with lots of Faux Cils Longest Lash Mascara. For foundation, I’m wearing Future Skin Cushion Skincare Foundation in shade Vanilla.”

Luminescent Eye Shade in Cheetah supports @ccfcheetah
Luminescent Eye Shade in Elephant supports @spaceforgiants 
Future Skin Cushion Skincare Foundation supports @SheldrickTrust",575,"[{'text': 'Beautiful ✨✨🦋🌸🐆🐘💞💞💞', 'length': 19}, {'text': 'Babe', 'length': 4}, {'text': 'so beautiful 🤩🤩', 'length': 15}, {'text': 'So beautiful in this shot!! 😍', 'length': 29}, {'text': '🌺🌸🌹♥️🌺🌸♥️🌹', 'length': 10}]"
Lip Veil uses,<Post CcsjZo7A-JZ>,383,7,"['chantecaille', 'earthmonth']",23/04/22,"Lip Veil uses ethically and sustainably harvested Baobab oil from Zimbabwe for intense hydration in every swipe of color. We created Lip Veil to support @SpaceforGiants, an innovative conservation non-profit working to preserve the safety of elephants in Africa. For a limited-time buy one, get one 25% off when you buy our give-back Philanthropy Collection with code EARTH25. #Chantecaille #EarthMonth 🐘💄",405,"[{'text': 'Gorgeous 😍', 'length': 10}, {'text': '😍😍😍', 'length': 3}, {'text': 'So in love with your shades with the lip veil!! 😍', 'length': 49}, {'text': 'Beautiful shade', 'length': 15}, {'text': 'Absolutely love these 🤍', 'length': 23}, {'text': 'I just received mine and love them!! 😍', 'length': 38}, {'text': 'Bold and beautiful just like the brand behind it', 'length': 48}]"
Happy #EarthDay! Our,<Post Ccqci-ggXvz>,178,7,"['earthday', 'chantecaille']",22/04/22,"Happy #EarthDay! Our incredible wildlife partners give thanks and share how our contributions support their extraordinary work. Our commitment to protect and preserve the planet’s beautiful wild animals is made even more impactful with your support. Thank you! #Chantecaille 

@sheldricktrust @thesujanlife @spaceforgiants @freewildhorses @grevyszebratrust @lionguardians_ @tikkiyhywoodfoundation @xercessociety @ccfcheetah",423,"[{'text': '♥️♥️♥️♥️♥️♥️♥️', 'length': 14}, {'text': 'Thank you for doing this❤️', 'length': 26}, {'text': ""This is so great and touching. And beautiful to watch, especially as a reel! Hugs to all our Gorgeous Wildlife partners And they're beautiful animals They protect every day.😘🤗"", 'length': 175}, {'text': '♥️♥️♥️ @sheldricktrust. I dream to go there.', 'length': 44}, {'text': 'That’s my make up!!! ❤️❤️🐘🐆🦓', 'length': 28}, {'text': 'Wonderful.', 'length': 10}, {'text': 'We are humbled by the love and grateful for having you in our life , incredibly proud to be a small part of your work.', 'length': 118}]"
Happy #EarthDay! We’re,<Post Ccp3vE3AEBA>,-1,21,"['earthday', 'chantecaille', 'kikitembo']",22/04/22,"Happy #EarthDay! We’re celebrating with Kiki and Tembo—elies from our sweet collaboration with The Elephant Project. They have a mighty purpose: to raise awareness about conservation, which is urgent for these gentle giants. 100% of net proceeds will be donated to our long-standing elephant conservation partner @SheldrickTrust. 

In honor of Earth Day, we’re gifting one lucky winner a set of these darling stuffed elephants. They serve as symbols of how important advocacy around conservation is. We hope to inspire children and grownups alike to spring into action. #Chantecaille #KikiTembo

To enter:
🐘Like this post
🐘Tag 1 friend in the comments and share how you invest in our planet
🐘Must be following @Chantecaille @theelephantprojectofficial
🐘Enter by 11:59 pm EST, April 23
Open to US & CA residents only.",816,"[{'text': 'So cute❤️', 'length': 9}, {'text': '🌸🐘🙏🏻', 'length': 4}, {'text': 'The cutest!!! I love these they’re too adorable!! 😍', 'length': 51}, {'text': 'I would love to buy these if they’re available.', 'length': 47}, {'text': 'I love your products. I feel like it would be so much more earth friendly to sell refills for your compact foundation. Please! 🙏🏽🙏🏽', 'length': 131}, {'text': '@enchantedtamara we make sure we always recycle and reuse all of our product canisters! We’ve made a conscious effort and my son is into recycling so much! 😍', 'length': 157}, {'text': '@dianeyphillips ❤️ I reuse my makeup tins as storage boxes to store keys, hair pins, and coins 🪙', 'length': 96}, {'text': '@chivalry_is_ded I recycle, and reuse product containers (e.g. empty candle vessels) whenever possible. ♻️', 'length': 106}, {'text': '@niharika_anand07 I buy clean beauty products also I opt for recyclable packaging, use the empty containers to store my cute little things. I love my Earth 🌍 😍❤️', 'length': 161}, {'text': '🐘🐘❤️❤️ @simplykatielucille I use biodegradable straws, reusable drink ware, pick up trash in my community, and am a responsible citizen 🌎❤️', 'length': 139}, {'text': 'They are so cute! I am trying to reuse and recycle to help investing in our planet. @nyusha_toy_schnauzer', 'length': 105}, {'text': '@debchau recycle,reuse, decrease unnecessary water usage', 'length': 56}, {'text': '@remember_the_allienoal \nShower water bucket🪣 collect excess for plants', 'length': 71}, {'text': '@hellogorgeousbyjenn I invest in our planet by reducing the amount of plastic I use.', 'length': 84}, {'text': '@annielee3 check out these cute stuffies! The boys love learning about animals and our environment. They know how to sort recyclables and are interested in gardening.', 'length': 166}, {'text': 'They are so cute!! @chodgkins2736 we do our part by picking up after our furbabies. Remember when Chewie got Honorable Mention in the Canines For Clean Water contest? 😂', 'length': 168}, {'text': '@bethellencohenart composting! Recycling and eliminating as much food waste as possible 🙌', 'length': 89}, {'text': '@lvukang So cute!! We recycle and compost to help the planet :)', 'length': 63}, {'text': 'How adorable! I am actively trying to reduce food waste and reduce my plastic consumption, also recycling wherever possible @tscott_53', 'length': 134}, {'text': '@andrewjordanblum buy nothing project, and thoughtful stonk investing', 'length': 69}]"
