,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
💅🏿💅🏽💅🏼 Raise your,<Post Cc8C-NZOU-2>,720,15,[],29/04/22,"💅🏿💅🏽💅🏼 Raise your hand if you want a Chobani Oat mani @chillhouse . From 4/29 to 5/19, you’re invited to @chillhouse for a limited edition mani in-store. Or spend $50 at chillhouse.com and receive free Chobani™ Oat Chill Tips. Use code CHOBANIOAT at checkout. Promotional period begins 4/28/22 until limited supplies last.",322,"[{'text': 'We do!! 🙋\u200d♀️', 'length': 12}, {'text': '🙌🙌🙌🙌', 'length': 4}, {'text': 'Love it!!!', 'length': 10}, {'text': '👏👏👏👏🔥🔥🔥🔥😍😍😍😍', 'length': 12}, {'text': 'Those nails are so gorgeous!! Oh my gosh, my dream 😍', 'length': 52}, {'text': '🤚', 'length': 1}, {'text': '🙋🏼\u200d♀️🙋🏼\u200d♀️', 'length': 10}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '🥰🥰', 'length': 2}, {'text': '🙌🙌', 'length': 2}, {'text': 'fly me out bro i will come😢', 'length': 27}, {'text': 'chobani i simply do not live in new yotk', 'length': 40}, {'text': '@chobani I love this!  Sounds fun! 🙌❤️', 'length': 38}, {'text': 'Where we’re out invites? @tsaglimbeni', 'length': 37}, {'text': 'Why does @chobani charge more for products in minority, black and indigenous neighborhoods?  #endracism #lovetrumpshate', 'length': 119}]"
The best way,<Post Cc6Y_kULG3E>,818,35,[],28/04/22,"The best way to spend a Thursday? Invite all your friends to @chillhouse, treat them to Chobani Oat inspired manis and Chill Tips, sip non-dairy oatmilk lattes, and … chill. And we want to share this feeling with all of you. Something special is coming soon. 💅🏿💅🏽💅🏼",265,"[{'text': '🤍🤍🤍', 'length': 3}, {'text': 'I want to chill with Chobani🙏', 'length': 29}, {'text': 'Do we need to make an appointment??? We want to come Saturday. How does this work??', 'length': 83}, {'text': 'This would be a dream 😍', 'length': 23}, {'text': 'Chobani press ons???? Oh my gosh please! Two of my favorite things!', 'length': 67}, {'text': 'Looks so fun!!!!', 'length': 16}, {'text': 'chobani oat plain extra creamy is hands down the best oat milk out there you heard it here first', 'length': 96}, {'text': 'this is my dream', 'length': 16}, {'text': 'Omgeeee!!!', 'length': 10}, {'text': 'Maya!!', 'length': 6}, {'text': '👏👏👏', 'length': 3}, {'text': '😍😍', 'length': 2}, {'text': '🔥', 'length': 1}, {'text': 'Wow gotta invite me 2 y’all! 🔥', 'length': 30}, {'text': 'i know that mullet anywhere, slay eric !!', 'length': 41}, {'text': 'Can I get the invite🙏🏻🙏🏻🙏🏻please and thank you', 'length': 46}, {'text': 'Can I book an appointment ahead of time or is it walk ins?', 'length': 58}, {'text': 'What?? This is so freaking cool!!', 'length': 33}, {'text': '*Chillhouse launches new tips*\n\n*Fulfillment center needs temp third shift to cover order volume*\n\nI’m speaking from experience people!!', 'length': 136}, {'text': 'I think my invite got lost in the mail😢', 'length': 39}, {'text': 'YESSSSS 💅🏼', 'length': 10}, {'text': '💅💅💅', 'length': 3}, {'text': '😍😍😍', 'length': 3}, {'text': '@vicss_picss rude we weren’t invited but ok', 'length': 43}, {'text': '@chobani this is cool', 'length': 21}, {'text': 'Kurdish  family owned company 🔥🔥🔥 @chobani', 'length': 42}, {'text': 'Do I spy @kristyke11y???? 👀', 'length': 27}, {'text': '@ricotaquito is that u?', 'length': 23}]"
"💥NEW💥Chobani® Flip® Red,",<Post Cc3m9bdvkbf>,1000,52,[],27/04/22,"💥NEW💥Chobani® Flip® Red, White, & Poppin’ is a firework of flavor with popping candy pieces in lemon low-fat Greek Yogurt. Excited to try it? Leave a 💥",151,"[{'text': 'love it', 'length': 7}, {'text': 'woooo', 'length': 5}, {'text': 'Yum!!', 'length': 5}, {'text': 'So yummy! 😋 definitely gonna pik up some more.', 'length': 46}, {'text': 'Already tried it!! Yum 😍🎆', 'length': 25}, {'text': 'Perfect for summer 💥', 'length': 20}, {'text': 'OMG have to try this!!!', 'length': 23}, {'text': 'Yum!!!', 'length': 6}, {'text': '💥💥💥💥💥 \nYummy, yummy, yummy \nI’ll have that in my tummy!!!!!', 'length': 59}, {'text': 'just in time for my 🍋 July 🇺🇲 4th 🎂', 'length': 35}, {'text': 'Taste like cotton candy to me. The lemon yogurt with the popping rocks topping! 👌🏽👌🏽 one of my favorites, hands down!', 'length': 117}, {'text': 'I love this one ❤️🤍💙\U0001faf6🏻', 'length': 22}, {'text': 'Love this and the poppin candy', 'length': 30}, {'text': 'I have to get that one!!\nChobani Flips are the best …', 'length': 53}, {'text': 'amazing bro 🔥❤️', 'length': 15}, {'text': 'Nice 🙌', 'length': 6}, {'text': '💥 👏🔥', 'length': 4}, {'text': 'We already tried it and love it!!!', 'length': 34}, {'text': 'It was nice 🎇🎆', 'length': 14}, {'text': 'Our new favorite! My son loves the pop!!', 'length': 40}, {'text': 'Perfect flavor', 'length': 14}, {'text': '💥💥💥💥💥', 'length': 5}, {'text': '💥💥💥💥', 'length': 4}, {'text': 'My kids love lemon and this quickly became their favorite yogurt!', 'length': 65}, {'text': ""My kids loved it. I would love it if you'd bring back the mint chocolate creamer."", 'length': 81}, {'text': 'Woot Woot!', 'length': 10}, {'text': '💥', 'length': 1}, {'text': '💥', 'length': 1}, {'text': 'This one sounds 🤩 @marge.soderberg', 'length': 34}, {'text': '@shannnnonandres poppin off', 'length': 27}, {'text': '💥', 'length': 1}, {'text': '💥', 'length': 1}, {'text': '💥💥💥', 'length': 3}, {'text': '💥', 'length': 1}, {'text': '🙌', 'length': 1}, {'text': '💥💥💥💥', 'length': 4}, {'text': 'When’s a new creamer coming out?! Missing my st paddy’s lucky batch!', 'length': 68}, {'text': 'Oooo Interesting, Possibly Future Taste !?💥💥', 'length': 44}, {'text': ""Spent like ten minutes and couldn't find the emoji 😭😭 but yes 🔥🔥🔥"", 'length': 65}, {'text': 'Baby you’re a firework 💥', 'length': 24}, {'text': ""What's poppin?"", 'length': 14}, {'text': 'Fireworks popping🔥', 'length': 18}, {'text': 'I love popping Candy!!!!!!', 'length': 26}, {'text': 'Wonder how patriotism tastes like...', 'length': 36}, {'text': 'Yes', 'length': 3}, {'text': 'WHOO hoo!', 'length': 9}, {'text': 'Yes!!', 'length': 5}, {'text': '💥💥💥💥', 'length': 4}, {'text': 'Can we get a #fjb yogurt? 🙌❤️', 'length': 29}, {'text': '💥', 'length': 1}]"
"You know, the",<Post CcvZUioMzhs>,321,31,['sundayscaries'],24/04/22,"You know, the one that keeps the #SundayScaries away?",53,"[{'text': 'Love us some Chobani Flip! 🍪🥛', 'length': 29}, {'text': 'I love mostly all the Chobani flips ❤️❤️❤️', 'length': 42}, {'text': 'Zero sugar any flavor!', 'length': 22}, {'text': 'In love with the red white and poppin flip. Please don’t stop making it!!!', 'length': 74}, {'text': 'the banana strawberry yogurt drink 🥰', 'length': 36}, {'text': 'Lemon yoghurt', 'length': 13}, {'text': 'Chobani Zero Sugar Milk and Cookies, frozen for 2 hours! With a big side of  fresh pineapple and papaya!🥰', 'length': 105}, {'text': 'THE FLIPS!!!', 'length': 12}, {'text': 'Nothing beat the strawberry banana drink 👌🏻', 'length': 43}, {'text': 'Vanilla with a handful of red seedless grapes 😍', 'length': 47}, {'text': 'Raspberry lemonade 👩🏾\u200d🍳💋', 'length': 24}, {'text': 'Key lime yogurt', 'length': 15}, {'text': 'Mixed berry blended yogurt❤️', 'length': 28}, {'text': 'Chobani drinkables!', 'length': 19}, {'text': 'Flip, any flavor👍🏾', 'length': 18}, {'text': 'Whole Milk Plain with Everything but the bagel seasoning!!! \U0001fae0', 'length': 61}, {'text': 'I love you so much I would absolutely devour 10 full trucks full of chobani products within 2 days I  would eat them even if they spoil like you don’t understand how much love in my heart I have for you. I will eat chobani for breakfast lunch dinner and a late night snack.', 'length': 273}, {'text': 'chobani flip!', 'length': 13}, {'text': 'Yogurt parfait with berries! And sugar-free chocolate chips with macadamia nuts!', 'length': 80}, {'text': 'Key lime!!', 'length': 10}, {'text': 'It used to be hot chocolate spice but it’s gone 😭😭😭', 'length': 51}, {'text': 'Zero sugar cookies & cream!! Wish I could find them where I am😭', 'length': 63}, {'text': 'Peach cobbler flip', 'length': 18}, {'text': 'passionfruit 😢', 'length': 14}, {'text': 'PLZ BRING BACK COOKIES AND CREAM CREAMER', 'length': 40}, {'text': 'Sour cream lol', 'length': 14}, {'text': 'The vanilla OAT based yogurt with OAT flakes pumpkin seed sliced Strawberries and Blueberries. At least two or three mornings a weeks. BUT WE CANT FIND IT ANYMORE! METRO has been completely out for over a month now. Who else in Toronto sells it? HELP PLEASE', 'length': 257}, {'text': 'need more flips in my house rn!!!', 'length': 33}, {'text': 'Chobani oat vanilla yogurt ❤️', 'length': 29}, {'text': '@chobani you should make overnight oats similar to the mush brand with all vegan gluten free and naturally sweetened with maple syrup etc , flavours such as blueberry, chocolate, carrot cake, banana bread 🔥🔥🔥🔥', 'length': 209}]"
Happy #EarthDay 🌏❤️,<Post CcqCZ3_uuFv>,435,10,['earthday'],22/04/22,Happy #EarthDay 🌏❤️,19,"[{'text': ""💲$8̳,0̳0̳0̳  f̳o̳r̳ 𝐭𝐡𝐞 F̳i̳r̳s̳t̳ 7 ᴛᴏ ᴅᴍ 'S̴U̴P̴P̴O̴R̴T̴'"", 'length': 59}, {'text': 'Love 🤍', 'length': 6}, {'text': '👏🥕🥬🥒', 'length': 4}, {'text': '❤️❤️\U0001faf6🏽\U0001faf6🏽', 'length': 8}, {'text': 'Huh?', 'length': 4}, {'text': '🤮🤮🤮', 'length': 3}, {'text': 'Sea weed gew lol bomb chinese food - china 🇨🇳 lol lol hah lol', 'length': 61}, {'text': 'Yeah', 'length': 4}, {'text': 'Lol', 'length': 3}, {'text': 'Is it true?! Are you REALLY getting out of dairy to hit the #plantbased market completely?!? 😍💚🖤 pls say yes pls say yes pls say yes!! @chobani', 'length': 143}]"
We don't know,<Post CclHRMmDM8l>,668,33,['nationalcoldbrewday'],20/04/22,We don't know who needs to hear this... But 4/20 is also #nationalcoldbrewday,77,"[{'text': 'How can I  Contact you the milk I purchased turned blue ?', 'length': 57}, {'text': 'My fav cold brew 👏👏👏', 'length': 20}, {'text': 'Same 😍', 'length': 6}, {'text': 'i NEED this', 'length': 11}, {'text': 'i need that', 'length': 11}, {'text': 'Love this cold brew!!!! ❤️❤️❤️', 'length': 30}, {'text': ""The way I'm craving coffee now 😂"", 'length': 32}, {'text': 'need this😍', 'length': 10}, {'text': '👏👏', 'length': 2}, {'text': '😮🔥😍', 'length': 3}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '#bülentyiğit', 'length': 12}, {'text': 'Holy moly that is awesome! Hot coffee is too acidic for me, yalls cold brew is goood', 'length': 84}, {'text': 'Love coffee.', 'length': 12}, {'text': 'Literally the best coffee', 'length': 25}, {'text': 'Omg yes please 🙌🙌', 'length': 17}, {'text': '😍😍😍', 'length': 3}, {'text': 'Cold brew 4 life', 'length': 16}, {'text': 'NATIONAL COLD BREW DAY!!! How did I kiss that!!', 'length': 47}, {'text': 'Can’t wait until I get my hands on this! What grocery stores can this be found out?', 'length': 83}, {'text': 'Look looks bomb!', 'length': 16}, {'text': 'Can you make this same box with the oat milk cold brew?????', 'length': 59}, {'text': 'I have fell in love with the cold brew coffee! The vanilla is my favorite! ❤️', 'length': 77}, {'text': 'Where to buy this', 'length': 17}, {'text': 'Please sponsor me!!', 'length': 19}, {'text': 'Literally just restocked my fridge - so good!', 'length': 45}, {'text': 'Was overjoyed to see Chobani cold brew back in stock again! Felt like a mad woman when I wasn’t able to find it!', 'length': 112}, {'text': 'When will we be sponsors for Chobani? @tsaglimbeni', 'length': 50}, {'text': '@chobani where is this size available for purchase??', 'length': 52}, {'text': ""@Alicia_bell_fx am not really familiar with trading forex and stocks but I am receiving $7,600 after investing $1,000 is something i couldn't imagine."", 'length': 150}]"
"Chobani has creamy,",<Post CcjD8n-hwaJ>,394,17,[],19/04/22,"Chobani has creamy, delicious oatmilk, so everyone can have creamy, delicious oatmilk.",86,"[{'text': '👏', 'length': 1}, {'text': 'Please don’t ever stop making this #oatmilk #barista 🤤', 'length': 54}, {'text': 'The BEST oatmilk. AMAZING in coffee.', 'length': 36}, {'text': 'true 🙌', 'length': 6}, {'text': '🙌', 'length': 1}, {'text': 'can u make it without rapeseed oil pls i love ur oat milk so much but i can’t drink it anymore 😪', 'length': 96}, {'text': 'Why have I not been able to find it in stores the past couple weeks ???', 'length': 71}, {'text': 'LEGIT THE BEST. (Literally a game changer)', 'length': 42}, {'text': 'I’m an addict (not kidding)', 'length': 27}, {'text': 'yum', 'length': 3}, {'text': 'Organic version coming soon?', 'length': 28}, {'text': 'Preciso experimentar', 'length': 20}, {'text': 'Why not soy?', 'length': 12}, {'text': 'Why does @chobani cost more in cities with minorities & indigenous people?  Shameful!  #stopracism', 'length': 98}]"
Tag someone who,<Post CaA6cIPMrlJ>,840,41,[],15/02/22,Tag someone who could use some flowers today.,45,"[{'text': 'Needed and love it', 'length': 18}, {'text': 'I LOVE U CHOBANI 🤎', 'length': 18}, {'text': '@bleujeens ILY', 'length': 14}, {'text': '@beany333s ❤️', 'length': 13}, {'text': '@knottyknitter', 'length': 14}, {'text': 'Aww thanks! ILY ❤️', 'length': 18}, {'text': '@nat.harbeson', 'length': 13}, {'text': '@maureenmcbride12345  no one else up there on Instagram so you get the bouquet🥰', 'length': 79}, {'text': '@purpleplanes', 'length': 13}, {'text': '@dgoins1212 ❤️❤️❤️', 'length': 18}, {'text': '@aklare11', 'length': 9}, {'text': 'Thank you😍', 'length': 10}, {'text': '@ashlyn_m05', 'length': 11}, {'text': '@lizzyrobbi', 'length': 11}, {'text': '@shannnnonandres', 'length': 16}, {'text': '@minty__mocha ❤️', 'length': 16}, {'text': 'Love your company (and your yogurt!😋', 'length': 36}, {'text': '@lilgormet', 'length': 10}, {'text': '@katiestover13 @fallonryan @reghanmaureen ❤️💐', 'length': 45}, {'text': '@brookevincent89 xox', 'length': 20}, {'text': 'Oh shucks thank you ❤️', 'length': 22}, {'text': '@dissasociation_king \nFor u :3', 'length': 30}, {'text': '@fortuna_annamichelis', 'length': 21}, {'text': '@hopecash', 'length': 9}, {'text': '@priyanka.kapur92', 'length': 17}, {'text': '@aylin.h_m', 'length': 10}, {'text': '@ktleaning lol', 'length': 14}, {'text': 'Sent to both my daughters!!', 'length': 27}]"
On our way,<Post CcYlnAHhnuy>,352,15,[],15/04/22,On our way to festival season 🕶️ 🌴,34,"[{'text': 'That outdoor stage hits every time 😩😍', 'length': 37}, {'text': 'Goes well with oatmeal & Cold frosted mini wheat.#Inspired', 'length': 58}, {'text': 'i’ll be at the oatmilk tent', 'length': 27}, {'text': 'Crème de la crème 🥛', 'length': 19}, {'text': 'Dónde lo tienen a la venta?', 'length': 27}, {'text': 'Please don’t use lesser quality ingredients, you are one of two company’s I drink and trust.', 'length': 92}, {'text': 'Can you guys please do a fruit flavored one !?? Strawberry 🍓or blueberry 🫐Please pretty pleaseeeeeee. 🙏🏼🙏🏼🙏🏼', 'length': 108}, {'text': 'outdoor stageeeee', 'length': 17}, {'text': 'best oatmilk out there!', 'length': 23}, {'text': 'Our school feeding program and need chobani support', 'length': 51}, {'text': 'I need somebody to explain why this tastes so good. I wish somebody would’ve told me sooner; I would’ve switched to Oat milk a long time ago. This milk is delicious!!!', 'length': 167}, {'text': '🤮🤮🤮', 'length': 3}, {'text': 'Our guard dog 🐶 loves ❤️ your Oatmilk 🥛 @chobani', 'length': 48}]"
"Phones down, spoons",<Post CcTIAoqjv2a>,386,14,['spring'],13/04/22,"Phones down, spoons up #spring",30,"[{'text': 'are you guys not selling your complete smoothies in whole foods/walgreens anymore?', 'length': 82}, {'text': 'The cookies and cream is my favorite!! So good!', 'length': 47}, {'text': ""Can't decide which flavor we like more! 😋"", 'length': 41}, {'text': 'Phones always up when chobani posts😩', 'length': 36}, {'text': 'Don’t forget that you shrunk the sizes of your yogurts but charge the same prices.', 'length': 82}, {'text': 'Now open up you yogurt in your ad and it will show a 1/2 container of product. Disgraceful!\nShow an open container.', 'length': 115}, {'text': 'I’m 🅿️aying $4000 to the first 16 people hit me up now with “SUPPORT ”cus it’s a new year,stay blessed y’all🥶💰', 'length': 110}, {'text': '@chobani the last five to ten yogurts I have purchased have been separated and curdled. This has been so disappointing. What’s going on is this normal?', 'length': 151}, {'text': ""Can you please check your dms ..\n\nSo gross 🤢 \n\nAbout a couple of minutes ago I was eating a greek yogurt @Chobani as usual because I like it a lot, as I was eating I felt something on my tongue and it didn't feel like a strawberry. I pulled it off my tongue it was a worm or other type of animal . 🤢😩 🤮"", 'length': 302}, {'text': 'Why did you guys discontinue the chocolate oat milk? @chobani', 'length': 61}]"
