,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
@jennyzhengafl was celebrating,<Post Cc3kTWWLogg>,481,20,"['earthday2022', 'evian', 'evianxmate', 'earthdaylive', 'ridetowardschange']",27/04/22,"@jennyzhengafl was celebrating this special #earthday2022 by riding her evian x MATE e-bike to work. And you, how are you celebrating? 🚲💦🌎
We have teamed up with @mate.bike to give away these limited-edition e-bikes in the iconic pink. Join the competition now in our latest post!

#evian #evianxmate #earthdaylive #ridetowardschange",333,"[{'text': 'I want that bike, and the water!', 'length': 32}, {'text': 'It looks amazing 😍', 'length': 18}, {'text': '😍😍😍', 'length': 3}, {'text': 'Love this!! 👏👏', 'length': 14}, {'text': '🙌 je participe pour gagner ce magnifique vélo, merci pour ce concours 😍', 'length': 71}, {'text': 'Hoe mooi zal het zijn dat ik uit een fietsland zoals Holland zo een exclusieve fiets zou rijden', 'length': 95}, {'text': '🔥🔥🔥🔥', 'length': 4}, {'text': 'Make me wet evian water', 'length': 23}, {'text': '❤️🚲🥇🥤', 'length': 5}, {'text': '🤩🤩', 'length': 2}, {'text': '😍', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': '😍', 'length': 1}, {'text': '😍😍', 'length': 2}, {'text': '🙌', 'length': 1}, {'text': '😍', 'length': 1}, {'text': '@tarafukugohan @kshnhrk \U0001faf0❤️\u200d🔥', 'length': 29}, {'text': '@fraugruber_brewing @tinawillmeer', 'length': 33}, {'text': '@gem_oyhka @hona_matakondo', 'length': 26}, {'text': '@dropsofdiamond @thewitnesses', 'length': 29}]"
Look out @stanwawrinka85,<Post Cc0hakuqeAH>,654,25,"['evian', 'evian', 'evianxmate', 'ridetowardschange']",26/04/22,"Look out @stanwawrinka85 is coming through on his limited-edition evian x @mate.bike e-bike 🔋🚲
We have teamed up with @mate.bike to give away these limited edition e-bikes in our iconic #evian pink. Have you joined in the competition already? 

#evian #evianxmate #ridetowardschange",282,"[{'text': 'Sick🔥', 'length': 5}, {'text': 'So cool 🔥🔥', 'length': 10}, {'text': 'AWESOME🔥🔥🔥', 'length': 10}, {'text': 'Yessss💗💗💗💗', 'length': 10}, {'text': 'I have. Fingers crossed I win', 'length': 29}, {'text': 'How can I join', 'length': 14}, {'text': '🙌🙌yes', 'length': 5}, {'text': 'Yes I have 🙌🙌', 'length': 13}, {'text': '🔥😍', 'length': 2}, {'text': '💕', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '🤯💗', 'length': 2}, {'text': 'avian dasani', 'length': 12}, {'text': '@tystrickler @lnv_84', 'length': 20}, {'text': '@marcolundhansen @samuelavellaneda10', 'length': 36}, {'text': '@cerrillafiorellatorres @cerrillaandrada', 'length': 40}, {'text': '@yuuuuuuu8273 @k____ne.918 ❤️❤️❤️', 'length': 33}, {'text': '@nuriammunoz @carmen_itmx  chicas this is super cool!', 'length': 53}, {'text': '@noah_moeckie @grammygslam', 'length': 26}, {'text': '@sammi_jean2 @rcaputo18 ❤️', 'length': 26}, {'text': '@sophiegracethompson @lumbeiro', 'length': 30}, {'text': '@gracey0630 @boleblark', 'length': 22}, {'text': '@mariaradoje @maxkrishnarayan its a Pink ebike, innit?', 'length': 54}, {'text': 'Oh my god if i win one i definitely would customize mine to have my name @evianwater', 'length': 84}]"
evian x MATE,<Post CczhIFmq0Wi>,726,5,"['evianxmate', 'ridetowardschange', 'limitededition']",26/04/22,"evian x MATE pop up in Tokyo 🚲💦! 
If you’re in town, visit the pop-up in Shibuya and check out our limited edition e-bike in our iconic evian pink!
We will be there until May 15th😎

#evianxmate #ridetowardschange #limitededition",228,"[{'text': '🔥🔥🔥', 'length': 3}, {'text': '🤩💦💕', 'length': 3}, {'text': '😍😍😍', 'length': 3}, {'text': 'eco 🖤', 'length': 5}, {'text': 'Where in Shibuya, it is so huge.', 'length': 32}]"
@emmaraducanu hits the,<Post CcxtxyfK71N>,1443,155,"['ridetowardschange', 'evianxmate', 'emmaraducanu', 'earthday2022', 'giveaway']",25/04/22,"@emmaraducanu hits the streets on the exclusive new limited-edition evian x @mate.bike e-bike. It’s a fun, fast and eco-friendly way to travel ⚡🚲
 
Join Emma as we #ridetowardschange. Click our bio link to find out how you could win this exclusive e-bike for yourself 👀

#evianxmate #emmaraducanu #earthday2022 #giveaway",320,"[{'text': '@ttalbot2805 @michele.stanley @sazthorn @pandasims2009 @sarahdurbs @gemaskew', 'length': 76}, {'text': '@bilboa39 @__fandandy', 'length': 21}, {'text': '@fernsidericardo @hairbytania2187 @nicola.caffrey', 'length': 49}, {'text': '@emma_blum @bryce_crane14 @will__blum', 'length': 37}, {'text': '@corkybarlow @imyoliver @fred_a_m_mason_', 'length': 40}, {'text': 'Holy moly @olgaredinova @aliyah.curtis', 'length': 38}, {'text': '@misss_wenddy @lauraellcoach', 'length': 28}, {'text': '@alfienewins @d1gwe how about a ride on this bad boy ..?', 'length': 56}, {'text': '@joshcfuller @nikkivburress', 'length': 27}, {'text': '@peterc1731 @kymseesghosts cool bike', 'length': 36}, {'text': '@abbynaverysmom @whitetigress1 🚵\u200d♀️🚴\u200d♀️🚵\u200d♀️🚴\u200d♀️🚵\u200d♀️🚴\u200d♀️🚵\u200d♀️🚴\u200d♀️', 'length': 63}, {'text': '@frogger1886 @fighting_fashionista', 'length': 34}, {'text': '@pow_fournier @geo73sgl', 'length': 23}, {'text': '@cgrisoni_ @bad3rz', 'length': 18}, {'text': '@elainegasper @aloxolotl 🚴\u200d♀️🚴', 'length': 30}, {'text': '@luis_tachiquin1 @nancyazrod 🚴🏻\u200d♀️🚵🏻\u200d♀️🚴🏼\u200d♂️', 'length': 44}, {'text': '@kaylamrz @dominic_parker6', 'length': 26}, {'text': '@kaylamrz @dominic_parker6', 'length': 26}, {'text': '@xzaxel99 @axaxx_11 je croise les doigts pour gagner 😍', 'length': 54}, {'text': '@ukah13 @shawn.sh1n', 'length': 19}, {'text': '@alinapruteanu @andra200886', 'length': 27}, {'text': '@kellybutler31 @jonnyhodge84', 'length': 28}, {'text': '@iamgabiduncan @veecruickshank 🚴🏽\u200d♀️', 'length': 36}, {'text': '@iamgabiduncan @veecruickshank 🚴🏽\u200d♀️', 'length': 36}, {'text': '@frillypop @hollytalbs 😍 🚲', 'length': 26}, {'text': '@camila_csgb @savannaboards', 'length': 27}, {'text': '@shivneomi @christahhhl !!!!', 'length': 28}, {'text': '@e_y_e_a_m_k @togashi_0801', 'length': 26}, {'text': '@cyclo.path @jameswalker300 🚴\u200d♀️🚵\u200d♀️🚴\u200d♀️', 'length': 40}, {'text': '@russ_hamilton75, @alanishamiltontennis', 'length': 39}, {'text': '@monique_03_ @cjenewein19 Evian, pog.', 'length': 37}, {'text': '@alicehiggins @brendadavies1708 🚴\u200d♀️🚴\u200d♀️💕', 'length': 41}, {'text': '@cheneghan211 @davidb466', 'length': 24}, {'text': '@tsungyin @asian_with_big_eyes', 'length': 30}, {'text': '@alexandraotoiu @carmen__t__', 'length': 28}, {'text': '@mm.clouse @tristantryder', 'length': 25}, {'text': '@baebrams77 @jrdnwtkns', 'length': 22}, {'text': '@kay_keyur_patel @rosh_patel1', 'length': 29}, {'text': '@yoniihelbitz @annahelbitz', 'length': 26}, {'text': '@golden.doodle.harley @fat_girl_no_1', 'length': 36}, {'text': '@kartikjsh @aparnadileep90', 'length': 26}, {'text': '@clarkrenfro @mallorymrenfro', 'length': 28}, {'text': '@nica_esteves @jackiehammali need a new bike 🙂', 'length': 46}, {'text': '@clemb2702 @gmanolo__', 'length': 21}, {'text': '@jkaizuka @lillyyhoff', 'length': 21}, {'text': '@nickohowe @kitmaclaren', 'length': 23}, {'text': '@mae.711 @john_wyatt19', 'length': 22}, {'text': '@samuel_young5 @nils.menz', 'length': 25}, {'text': '@amy.b.jackson_ @jettjackson_', 'length': 29}, {'text': '@marshlll_ @teddydanziger', 'length': 25}]"
@barbaramalewicz takes us,<Post Ccsex-aqZPs>,435,18,"['ridetowardschange', 'evianxmate']",23/04/22,"@barbaramalewicz takes us on a spring-time ride through Paris on the limited-edition evian x MATE e-bike ⚡🚲  

Be green while riding pink 💚💕💚

@mate.bike #ridetowardschange #evianxmate",184,"[{'text': 'Would look good in Perth too 😉', 'length': 30}, {'text': 'So cool', 'length': 7}, {'text': 'Love this 🔥❤️🔥', 'length': 14}, {'text': 'Ooh la la 😍', 'length': 11}, {'text': '🙌 super 😮 je participe pour gagner ce magnifique vélo 😍🤞🍀', 'length': 57}, {'text': 'Superbe ! 👏', 'length': 11}, {'text': 'REALLY ECO FRIENDLY', 'length': 19}, {'text': '🙌👏🙌🙌', 'length': 4}, {'text': '🤍⚡️🌍', 'length': 4}, {'text': '🔥🔥🔥', 'length': 3}, {'text': 'Good аftеrnoon, сheck Dirеct ( hiddеn )', 'length': 39}, {'text': '@evianwater , dont support the war #boycottrussia #bucha #irpin #mariupol', 'length': 73}, {'text': 'Wow it look so cool I know #ecowarrior @raphael_tan_84 would love this 😂', 'length': 72}, {'text': '@barbaramalewicz 🌸🌸 @evianwater 🌸🌸 @mate.bike', 'length': 45}, {'text': '@svn___k @nnkt_7', 'length': 16}, {'text': 'Magnifique @barbaramalewicz 🤩', 'length': 29}]"
@catburns and @hypebeast,<Post Ccp--qrKI-O>,679,34,"['evian', 'evianxmate', 'ridetowardschange', 'earthday', 'earthday2022', 'earthdayeveryday']",22/04/22,"@catburns and @hypebeast took the limited-edition e-bike out for a test spin to show off how stylish eco-friendly travel can be as we ride towards change ⚡🚲
 
Created in collaboration with @mate.bike our e-bike celebrates the iconic evian pink and includes a water bottle holder especially designed for our rPET 75cL sport cap bottle. 

To celebrate Earth Day 🌎 we’re giving away ten of these exclusive bikes. Check our last post to participate 👀 
 
#evian #evianxmate #ridetowardschange #earthday #earthday2022 #earthdayeveryday",529,"[{'text': '#BOYCOTTRUSSIA', 'length': 14}, {'text': 'Why do u support the Russia? #bucha', 'length': 35}, {'text': 'Awesome bike and great collaboration 🔥', 'length': 38}, {'text': 'Love it! 💕', 'length': 10}, {'text': 'Please stop working with Russia!!', 'length': 33}, {'text': '❤️🔥❤️🔥❤️', 'length': 8}, {'text': 'So sick 💥💥🚲', 'length': 11}, {'text': 'annie_deacon  peter.james357', 'length': 28}, {'text': 'Co＠o＠l👍', 'length': 7}, {'text': 'LOVELY SET OF WHEELS AND COLOUR,ONE OF A KIND', 'length': 45}, {'text': '💖🚲🌎', 'length': 3}, {'text': '🙌', 'length': 1}, {'text': '#stoprussianaggression  #saveukraine 🇺🇦🇺🇦🇺🇦', 'length': 43}, {'text': 'Why do you support the genocide of the Ukrainian 🇺🇦 people? #Bucha', 'length': 66}, {'text': '@evianwater , leave russian market #boycottrussia', 'length': 49}, {'text': '@gwenmzr @julia.bse je veux ce vélo', 'length': 35}, {'text': '@brune.seyss @edmond_deseyssel go for this bike❤️❤️', 'length': 51}, {'text': '@catburns @evianwater Seems like a bold move to promote plastic water bottles on Earth Day… am I missing something?  And yeah I know your plastic is whatever percent recycled and you’re B Corp, blabla.  At the end of the day.. it’s 2022.. it’s one time use plastic.  We know this is bad.  Promoting this on Earth day is in poor taste.', 'length': 334}, {'text': '@it.isnt.mine @tatsuya_noisycell', 'length': 32}, {'text': '@shingo20090727\n@hiroki.yy', 'length': 26}, {'text': '@kaooochi1226 @siroop_p_462', 'length': 27}, {'text': '@jessicagoodkin', 'length': 15}, {'text': '@courtneygoodyy', 'length': 15}, {'text': '@evianwater i’ve been drinking Evian since i was a baby in france, winning this would mean the world', 'length': 100}, {'text': '@evianwater this looks amazing i need this in my life please @evianwater', 'length': 72}, {'text': '@annie_deacon  @peter.james357', 'length': 30}, {'text': 'Wow always great to see innovation, thanks to the @evianwater team and love all the sustainable work the brand is doing  @raphael_tan_84 has been a fan of the brand for the longest time and is a fellow #ecowarrior and absolutely in awe of the work the team and brand does to make the products more sustainable. Thanks to the team, Happy Earth Day !', 'length': 348}]"
To celebrate Earth,<Post CcpewpRuDOS>,4167,4253,"['evian', 'evianxmate', 'earthday', 'ridetowardschange', 'giveaway', 'contest', 'earthday2022']",22/04/22,"To celebrate Earth Day we’re giving away 10 limited-edition evian x @mate.bike e-bikes to help us ride towards change⚡🚲   

For your chance to win this stylish and eco-friendly item simply: 
1. Like this post 
2. Follow @evianwater and @mate.bike 
3. Tag two friends in the comments below

Check the link in bio for T&Cs. Winners have been contacted via DM on April 29th.

#evian #evianxmate #earthday #ridetowardschange #giveaway #contest #earthday2022",453,"[{'text': '#evianwater ⚡️ \n@mikewei69 @jo.shb', 'length': 34}, {'text': '@ineschdk & @axellecht & @ambrechdk ❤️❤️❤️', 'length': 42}, {'text': '@londonyx @onmychinnychinchin @evianwater @mate.bike', 'length': 52}, {'text': '@londonyx @onmychinnychinchin @evianwater @mate.bike', 'length': 52}, {'text': '@evianwater @mate.bike @londonyx @onmychinnychinchin', 'length': 52}, {'text': 'This bike just suits me perfectly!!!!!! Love it!!!! And I can really use a good e-bike. @meykemus @kikylotta_ @lonbondesign', 'length': 123}, {'text': '@johan_djourou @milky__way', 'length': 26}, {'text': '@bethmay5 @stu_kendall See me rolling round MW with this 😎', 'length': 58}, {'text': '@irenetolx @maaikevdx  PINK🌸🌸😍', 'length': 30}, {'text': '@walsh.tracey @123lenni123 If I win one of these I’ll let you ride it 🥳\n🚲🚲🚲', 'length': 75}, {'text': '@omgitsmagela @loucoffee 🧚🧚', 'length': 27}, {'text': '@j21o3 @merylvazelle ❤️🙌', 'length': 24}, {'text': '@joe_newtown @chris.n.killerup 🙏❤️', 'length': 34}, {'text': '@tom_mccaig  @tobygreen01 I can cycle to london now', 'length': 51}, {'text': '@ju_vchd @agathe_russello', 'length': 25}, {'text': '@williowski24 @wilovefood_', 'length': 26}, {'text': '@marionrd__ @clarahnrs I want it 🙌🏼 🚲', 'length': 37}, {'text': '@hannahmaestranzi @sebastianbar7on fingers crossed love to be travelling to work on this 🙌', 'length': 90}, {'text': '@ballexbaby @gullsbrundin', 'length': 25}, {'text': '@anthonyp7 @questography', 'length': 24}, {'text': '@beccadovener @juliet.madeleine ☀️🍶💙', 'length': 36}, {'text': '@sarakrmc @ines_martel.gouv.fr 🤞🏻🤞🏻🤞🏻', 'length': 37}, {'text': '@poggimartin @ineskolli', 'length': 23}, {'text': '@malaika_kapadia @sej72', 'length': 23}, {'text': '@malaika_kapadia @sej72', 'length': 23}, {'text': ""@vandankoria @aashnap98 I'll be cycling before you know it 🚴🏾\u200d♀️"", 'length': 64}, {'text': '@c.j.snyder.8 @michaelboeh this is my dream 🚲🌸🚲🌸', 'length': 48}, {'text': '@steph_v24  @jen_nhi_fer', 'length': 24}, {'text': '@aude.pjl @colinepages_', 'length': 23}, {'text': '@antoineparisi @maxime_b2a', 'length': 26}, {'text': '@rosiestobbs @hannahwilliams54', 'length': 30}, {'text': '@corentln @marie_puil 😍😍😍', 'length': 25}, {'text': '@emma__tara @fadhel210896', 'length': 25}, {'text': '@alexanderugoh @etaiwo_', 'length': 23}, {'text': '@alex.agranat @_otis_9', 'length': 22}, {'text': '@y.vna @francois_souvanna 🚲🚲', 'length': 28}, {'text': '@jonathanhcheung @mirelabalan20', 'length': 31}, {'text': '@sarah_zaiid @zaid_9.1.1', 'length': 24}, {'text': '@samshaw.nz @ektahx I want this bike ❤️', 'length': 39}, {'text': '@littletycoon @sweetiepie49_2 💖🚲', 'length': 32}, {'text': '@anarajme @ana_ague', 'length': 19}, {'text': '@mwv1970 @clarindamuir', 'length': 22}, {'text': '@aliceebrt @caroolivier ❤️🔥', 'length': 27}, {'text': '@nakano_taira @saku当たりますように🌸', 'length': 28}, {'text': '🙌🙌🙌 @2itit8 @dodog1501', 'length': 22}, {'text': '@luis_29bq @cristian.astucuri', 'length': 29}, {'text': '@2mcdo4u @emamediamole', 'length': 22}, {'text': '@sharniking92 @louisajane_ck', 'length': 28}, {'text': '@g.lrw_ @jibaboooom', 'length': 19}, {'text': '@io_cris @andreea.chi 😍', 'length': 23}]"
Introducing the exclusive,<Post Cck29HfKYyE>,449,36,"['evian', 'evianxmate', 'ridetowardschange', 'earthday']",20/04/22,"Introducing the exclusive evian x @mate.bike e-bike! 🚲
 
With iconic evian pink design you can ride sustainably and in style 👀 just like @Catburns who gave it a test spin with @hypebeast. 
 As a proud B Corp company, we’re dedicated to a sustainable future. So this Earth Day 🌎 we’re giving away ten limited-edition e-bike. Stay tuned to find out how to enter. 
 
#evian #evianxmate #ridetowardschange #earthday",411,"[{'text': 'かわいい欲しい🚴\u200d♀️💘', 'length': 12}, {'text': '💣!!', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': '🙌 😮 je participe pour gagner ce magnifique vélo 🤞🍀', 'length': 50}, {'text': 'love it❤️❤️🔥', 'length': 12}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'OH i thought you were taking about the tea for a second', 'length': 55}, {'text': 'What do you think about wars? Do you know what is peace!? Is it okay to sponsor Russian aggression? Do you know how many children are dead? Just stop! #BOYCOTTRUSSIA #stopwar', 'length': 174}, {'text': 'Love!', 'length': 5}, {'text': 'Thats cool', 'length': 10}, {'text': 'cool!', 'length': 5}, {'text': 'ほちい', 'length': 3}, {'text': 'Nice 🙌', 'length': 6}, {'text': '🧡🧡🧡', 'length': 3}, {'text': '🔥❤️', 'length': 3}, {'text': '💧🤍', 'length': 2}, {'text': 'Great bike 😍🙌 @mulfenneke @joande.jong 😍🙌🔥', 'length': 42}, {'text': '@naokimaru3 @pnkz0101 \n🌏🌿🌈🌸', 'length': 27}, {'text': '@anneb0yle @lau.fleming', 'length': 23}, {'text': '@evianwater , stop your business with aggressor #boycottrussia', 'length': 62}, {'text': '@what_tex @maxx1380  magnifique vélo électrique pour camille', 'length': 60}, {'text': 'from 🇯🇵✨🗻🚲🌏@yuuumi0309 @saecogram', 'length': 33}, {'text': '@m.arni_ @mevenheven 🔥🔥🔥', 'length': 24}, {'text': '@s.hunsk @m.arni_', 'length': 17}, {'text': '@aaron.modeart @trycia_ck', 'length': 25}, {'text': '@ynsk_0917 @hir2161 アースデーにこんなイベントしてくださるなんて🌎🌿すっごく素敵です🚲🤍', 'length': 54}, {'text': 'Shout out @catburns 🔥🔥🔥', 'length': 23}, {'text': 'Yess great initiative!! @dinekewiersema 💚🌍', 'length': 42}, {'text': '@dasha.romashko @karimbdj10', 'length': 27}, {'text': '@raffaeladana', 'length': 13}, {'text': '🙌😍', 'length': 2}, {'text': '❤️🙌🏼', 'length': 4}, {'text': 'Stop sponsoring violence', 'length': 24}, {'text': '🏔 x 🚲 = 🤍🌎', 'length': 10}]"
Festival season is,<Post Cci9e91qX7Q>,389,9,"['taodesertnights', 'evian', 'evianwater', 'eviandrinktrue']",19/04/22,"Festival season is officially on 🙌 ! Lights on the amazing @sweetlikeoyin, staying at the top of her game – and hydration – at the evian x #TaoDesertNights last weekend 💧

#evian #evianwater #eviandrinktrue",206,"[{'text': 'Hi @evianwater how can I recycle your bottles in Singapore? Please point me to the correct resource, thanks in advance!', 'length': 119}, {'text': 'Ok', 'length': 2}, {'text': 'Amo Evian❤️', 'length': 11}, {'text': '@doctorfriedman @jerseyjoe34 @taogrouphospitality 🙌🙌', 'length': 52}, {'text': 'Best water hands down', 'length': 21}, {'text': 'Please stop business in russia!!!', 'length': 33}, {'text': 'russia is killing 🇺🇦 children!!!', 'length': 32}, {'text': '@evianwater , leave russian market #boycottrussia', 'length': 49}, {'text': ""Let's go 💯"", 'length': 10}]"
Giveaway alert!⁣ To,<Post CccaDjNjkOP>,1386,389,"['evian', 'maplestory', 'evianxmaplestory', 'giveaway']",17/04/22,"Giveaway alert!⁣
To celebrate our collaboration, we are giving away exclusive evian x MapleStory tote bags to 10 lucky winners!⁣
⁣
All you have to do is:⁣
- Follow @evianwater⁣
- Like this post ⁣
- Tag 2 friends in the comments section 👇⁣
⁣
Winners will be contacted via DM on 21th April, so stay tuned!⁣
⁣
#evian #maplestory #evianxmaplestory #giveaway⁣",354,"[{'text': '@tara_p_king @paulertl I need my Evian for real💧', 'length': 48}, {'text': '@piana.stefania @richard_ronco_kozak 😍😍😍', 'length': 40}, {'text': '@liannejhare @becca0288 I want dis please 😍', 'length': 43}, {'text': '@fany_dvn @thibault.cpt 🔥', 'length': 25}, {'text': '@strawberryfairy36 @k.ronaldo2016', 'length': 33}, {'text': '@fxnnnf @kaischaos_', 'length': 19}, {'text': 'Omg, @jason.a.mcconnell and @susan.w.lovell.3 for some reason this made me think of you', 'length': 87}, {'text': '@dcx_emma @decrouxpatrice 😍🥳', 'length': 28}, {'text': '@camik_coco @steffen.scholl 🙈😎', 'length': 30}, {'text': '@paulhulme12 @rcdb_fanpage', 'length': 26}, {'text': '@elsacostaiii @sofia_barreira 🙌', 'length': 31}, {'text': '@ameline.rle @thibault.cpt 😍😍', 'length': 29}, {'text': '@sailor_bratzilla @adema_81', 'length': 27}, {'text': '@theo_brn19 @ameline.rle omg', 'length': 28}, {'text': '@ellieshanwu @juliet.madeleine 💙', 'length': 32}, {'text': '@brd_mnn @sarahlkl 💦💕💧', 'length': 22}, {'text': '@carnucciogliottone @mattdiva ❤️', 'length': 32}, {'text': '@darryljamiel @__shairamarie', 'length': 28}, {'text': '@damian_alcala19 @gabythequeen', 'length': 30}, {'text': '@aleksborzy @beccasidhu', 'length': 23}, {'text': '@kianalisettee @savannahpuglisi', 'length': 31}, {'text': '@4m44nj @susanna.c.m', 'length': 20}, {'text': '@mo.hickey @ermattes', 'length': 20}, {'text': '@allie_else1 @ktbrown39', 'length': 23}, {'text': '@johnny.hulme @rcdb_fanpage sry 😭😭', 'length': 34}, {'text': '💦💕 @ninonchaton @marin.chaton', 'length': 29}, {'text': '@mathh_vrl @maria_gaed', 'length': 22}, {'text': '@maria_radic  @tonm36', 'length': 21}, {'text': '@hanasazari @river.g11', 'length': 22}, {'text': '@theedinburghwife @lucy.drennan ☺️💕💧😍', 'length': 37}, {'text': '@itscourtrenee @nikoncourt', 'length': 26}, {'text': '@liv_mantle @abbypratt', 'length': 22}, {'text': '@aubreysuxx @itsjohnnycyrus', 'length': 27}, {'text': '@madisonjacob__ @aubreysuxx', 'length': 27}, {'text': '@stevienightlive @stevieroseconrad', 'length': 34}, {'text': '@nikkii_kozakk @alexamsoca', 'length': 26}, {'text': '@lauren.crouch @amandaigarcia', 'length': 29}, {'text': '@brynnallo @lillianmatthews_', 'length': 28}, {'text': '@lilymignogna @itss.jena', 'length': 24}, {'text': '@saminuke4 @tstudie', 'length': 19}, {'text': '@grace_gallucci @naty.marg', 'length': 26}, {'text': '@alanieloisa @nannaperez', 'length': 24}, {'text': '@n.casillo @mar.schroder', 'length': 24}, {'text': '@pouledair @m4fh0w', 'length': 18}, {'text': '@_tattooed.goddess_ @pandabearsquaresx3', 'length': 39}, {'text': '@carlymonson @melischroeder23', 'length': 29}, {'text': '@heleneagraphie @thenameisricky 💧👜💙', 'length': 35}, {'text': '@olivipartridge @lauren.hilder 🤩❤️\u200d🔥💦', 'length': 37}, {'text': '@iam.toxique @ellaavvd 💦💧', 'length': 25}, {'text': '@roseycheeks84 @chow_mein143 💦 💜', 'length': 32}]"
