,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
There are so,<Post Cc7yfi9PcXn>,-1,13,[],29/04/22,"There are so many reasons to 💙  Saliatica 2% BHA Toner T6, but here are the top three:

1️⃣ We have formulated it with actives and botanicals known to benefit oily and acne-prone complexions. 
2️⃣ Like all Facetheory products, it’s vegan, cruelty-free and completely free from parabens and other undesirable ingredients.
3️⃣ We have produced and packaged it sustainably, so it is as kind to the planet as it is to your skin.",424,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #acne #exfoliate #dailyskincare #facecare #skincaretips #acnefree #toner #exfoliates #radiantskin #blemishes #hydratingskincare #hydrate #BHAToner #hydratedskin', 'length': 352}, {'text': 'I need to try it 😍', 'length': 18}, {'text': 'Want to try this 😍', 'length': 18}, {'text': 'bring this on the italian website!', 'length': 34}, {'text': ""Will this be available for delivery to Australia? It's not currently showing up."", 'length': 80}, {'text': 'Ok what is the difference between this and T4 please? X', 'length': 55}, {'text': '@facetheory definitely 😍', 'length': 24}]"
Great news for,<Post Cc49rhNjp_c>,291,12,[],28/04/22,"Great news for anyone with sensitive oily, congested or acne-prone skin - we formulated our new toner especially for you. 🫵💧

Saliatica 2% BHA Toner T6 checks all the boxes for skin that breaks out easily:

✅ Targets bacteria
✅ Exfoliates pores
✅ Balances sebum production
✅ Soothes acne blemishes and lesions
✅ Helps fade acne scars
✅ No greasy residue

Microbiome-balancing complex fights bacteria, regulates sebum, and reduces the appearance of acne blemishes while centella asiatica improves skin’s moisture content and enhances Type-I collagen.

Salicylic and lactic acids exfoliate and brighten. We combined an AHA with a gentler BHA to deliver real results while reducing the risk of sensitivity. 👩‍🔬✨",708,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #acne #exfoliate #dailyskincare #facecare #skincaretips #acnefree #toner #exfoliates #radiantskin #blemishes #hydratingskincare #hydrate #BHAToner #hydratedskin', 'length': 352}, {'text': 'Do you leave on the solution?', 'length': 29}, {'text': 'Would this product be good for acne on the back?', 'length': 48}, {'text': 'JW..do you deliver to Canada 🇨🇦', 'length': 31}, {'text': 'Does this go well with the brightening set? 👀', 'length': 45}, {'text': 'Is this advisable for daily use?', 'length': 32}, {'text': 'What is the difference between the BHA serum and this product? Other than consistency', 'length': 85}]"
Introducing Saliatica 2%,<Post Cc2N-29Mn_N>,-1,37,[],27/04/22,"Introducing Saliatica 2% BHA Toner T6 💦 
 
Formulated with powerful actives and botanicals to help calm problem skin and prevent breakouts while defending against environmental aggressors and fighting the visible signs of ageing. 
 
Salicylic and lactic acids, centella asiatica and a micro-balancing biome work together to exfoliate dead cells and pore debris, target bacteria, soothe acne inflammation, and reduce sebum. 👩‍🔬 
 
All while brightening and evening out skin tone and promoting collagen synthesis to reveal a complexion that’s clearer, brighter, and smoother. ✨",575,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #acne #exfoliate #dailyskincare #facecare #skincaretips #acnefree #toner #exfoliates #radiantskin #blemishes #hydratingskincare #hydrate #BHAToner #hydratedskin', 'length': 352}, {'text': 'How different is this from the Glycolacsal exfoliating toner?', 'length': 61}, {'text': 'This sounds amazing 😍👌', 'length': 22}, {'text': 'Going in my basket asap 😍', 'length': 25}, {'text': 'Nice! Adding it to my wish list \U0001faf6🏻', 'length': 34}, {'text': 'Love BHA for my oily skin😍', 'length': 26}, {'text': 'Wow ❤️', 'length': 6}, {'text': '😍😍😍😍😍', 'length': 5}, {'text': 'What is the consistency of this? Is it  like your S3 serum bha?', 'length': 63}, {'text': 'Will it be available in Canada?', 'length': 31}, {'text': ""As much as I love the recyclable materials, the metal caps on the toner bottles build up a weird black/grey residue underneath which gets on my cotton pads 😕 didn't have this issue with the old plastic caps. Is there any way to prevent this from happening?"", 'length': 256}, {'text': 'Hi, I’m really using the anti-redness toner daily, could I alternate it with this or would you advise to stick to one? x', 'length': 120}, {'text': 'So excited however I can’t find this on the US website!', 'length': 55}, {'text': 'Newness😢, just when i receive my first big box of your products yesterday 😂.', 'length': 76}, {'text': 'Why is it not showing on AU website ?', 'length': 37}, {'text': ""Can't wait to try it!"", 'length': 21}, {'text': '@facetheory ..How about for 🌞 summer us coming', 'length': 46}]"
@ambertheevegan tries on,<Post Ccm7x_tD5Kq>,215,8,[],21/04/22,"@ambertheevegan tries on all 6 shades of our Lip Colour 👄✨ Which shade is your favourite?💄
⠀
“🍑 shade 1 🍑⠀
the first shade is super soft and peachy! very cute but i do think it’s slightly too light for me, a lil bit of lipliner would have been *chefs kiss* ⠀
⠀
🎀 shade 2 🎀⠀
a pretty pink moment! makes me feel like a cutesy barbie babe! i love it! also just imagine it with a glittery gloss over the top omggggg!!!! ⠀
⠀
🍇 shade 3 🍇⠀
kinda pink but also kinda purple-y! honestly didn’t expect to like this one as i’m not usually a berry tones typa gal but it’s actually one of my faves! super pretty and different! ⠀

🤎 shade 4 🤎⠀
i’m getting major 90s vibes!! i have whole outfits planned around this lip colour! jus u wait! ⠀
⠀
💃🏽 shade 5 💃🏽⠀
obsessed with this shade as you already know from my previous post about it!! makes me feel like i should be sipping sangria in spain in the sun jus living my best life! ⠀
⠀
🏝 shade 6 🏝⠀
so i’m not 100% sure if this shade suits me tbh & it’s kinda giving faye from love island vibes! but u have to admit faye is iconic, she brings the drama (just like this lip colour) and therefore we have to stan!! ⠀
⠀
they all have such a pretty finish & i love the formula! even after trying on all 6 of them my lips still felt nice n moisturised!”",1280,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #vegansofig #naturalskincare #antiaging #healthyskin #exfoliate #veganer #skincareproducts #skincarejunkie #skincaretips #skincarecommunity #skincarelover #skincareobsessed #dailyskincare #skincaretips #lipgloss #lipstick #makeup', 'length': 362}, {'text': ""Newbie question ! I'm waiting for the regenacalm pro serum to arrive but not sure how it's best used. Is it to be used AM or PM? It doesn't say on the web 😕"", 'length': 156}, {'text': 'Omg! I need to try these?! Love all but no.4 is stunning 😍😍😍😍', 'length': 61}, {'text': 'great colors!', 'length': 13}, {'text': 'Beautiful colours and I really like the consistency 😍', 'length': 53}]"
Keep your eyes,<Post CcfWizpJjSK>,-1,19,[],18/04/22,Keep your eyes peeled 👀 Any ideas?👩‍🔬,37,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #vegansofig #naturalskincare #antiaging #healthyskin #exfoliate #veganer #skincareproducts #skincarejunkie #skincaretips #skincarecommunity #skincarelover #skincareobsessed #dailyskincare #skincaretips #meme\xa0#cleanser', 'length': 350}, {'text': 'Hydrating face mask. I already have the clay ones and love them.', 'length': 64}, {'text': 'More SPF?! 😍🔥', 'length': 13}, {'text': '👀', 'length': 1}, {'text': 'New eye cream without camomile for us allergic people with dark circles 🤞🤞🤞', 'length': 75}, {'text': '😳😳 hair products?😍', 'length': 18}, {'text': 'Sunscreen', 'length': 9}, {'text': 'Sunscreen 🧴 please 😍', 'length': 20}, {'text': 'Something for bacne?', 'length': 20}, {'text': 'A hydrating mist with glycerin and/or hyaluronic acid 👀👀', 'length': 56}, {'text': '🤞 for a 100ml tube of [M3] Supergel 🤞 - you know WE want this!!!', 'length': 64}, {'text': 'Mineral SPF??', 'length': 13}, {'text': 'Oil free face spf please', 'length': 24}]"
"""I created this",<Post Cccq6RjpwhL>,-1,8,[],17/04/22,"""I created this soft pink dewy look using one product only Facetheory's gel formulated Blush. I used Shade 2 on the cheek, eyes, nose and lips.

Eyes 👀
I love how this blush gave a subtle wash of colour but made my eyes POP.

Cheeks 🥰
A blush that matches the colour of your natural flush is always a good choice. This rosy pink shade looks and feels really natural.

Lips 👄
I used a couple of dots of the blush to create a longer lasting lip colour.""

@itsmalha wears BL2, the perfect pink for Spring 🌸",503,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #dailyskincare #makeup #makeupaddict #makeuplover #makeupjunkie #naturalmakeup #radiantskin #glowing #glowingskin #glowyskin #beautywithreason #blush #blushpink #blusher', 'length': 361}, {'text': 'Looks lovely @itsmalha', 'length': 22}, {'text': 'You look beautiful! That’s a gorgeous colour blush', 'length': 50}, {'text': 'Love this dewy look ❤️❤️', 'length': 24}, {'text': 'Wasn’t a fan of cream blushes until I came across this one right here 🤩', 'length': 71}]"
It can be,<Post CcaT2h-pGlp>,-1,11,[],16/04/22,"It can be a struggle to combat acne and breakouts without drying or stripping your skin. 🤺 
​
​Our Green Tea Rescue Mask MK2 with vitamin C and lactic acid gently clarifies and exfoliates without leaving your skin feeling dry or tight. 🍊🌿 
 
Once or twice a week, apply a thin layer of Green Tea Rescue Mask MK2, and relax for 10 minutes. 🍵🧖‍♀️",344,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #acne #skincareproducts #skincarejunkie #skincaretips #skincarecommunity #skincarelover #skincareobsessed #dailyskincare #skincaretips #beautywithreason\xa0#facemask\xa0#soindelapeau #greentea #soinsnaturels', 'length': 393}, {'text': 'I have this but I can’t remember when I opened it…can this be used on the body too?!🧖\u200d♀️', 'length': 88}, {'text': 'Is this good for acne scarring?', 'length': 31}, {'text': 'Probably my favorite Facetheory product to date— thanks for sharing!', 'length': 68}, {'text': 'She’s too cute!!!! 😍', 'length': 20}, {'text': '😍😍', 'length': 2}]"
Moisturised skin is,<Post CcXP7FWjcWn>,276,17,[],15/04/22,"Moisturised skin is happy skin! 🌼✨

Ocuwake Eye Cream EYE1 is formulated with cutting-edge actives hexylresorcinol to brighten undereye circles and shadows and Meiview to firm and smooth the eye contour. 💞

Stabilised vitamin C helps brighten dark circles and chamomile soothes the delicate skin around your eyes. 🍊",315,"[{'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #wrinkles #dailyskincare #facecare #antiageing #antiage #antiagingskincare #antiagingcream #eyecream #skincareproducts #skincarejunkie #skincaretips #skincarecommunity #skincarelover #skincareobsessed', 'length': 392}, {'text': 'Love love love cannot do without now 😍', 'length': 38}, {'text': 'Amazing ❤️', 'length': 10}, {'text': 'When are the Glycomide Body Cream B1 and Retin-C Vitamin Scar Treatment Oil O9 back in stock? :)', 'length': 96}, {'text': 'Very true', 'length': 9}, {'text': 'Best eye cream ever! 😍', 'length': 22}, {'text': 'When in your skin care routine should you apply eye cream?', 'length': 58}, {'text': 'I have have very dark circles a round my eyes which product is good for eyes for night and day thank you xxx', 'length': 108}, {'text': 'Should probably model a person having real dark circle problems! SMH', 'length': 68}, {'text': 'Oooh could do with this for my dark circles 😍', 'length': 45}, {'text': 'Warte bereits seit Wochen auf die Lieferung. Angeblich nicht auf Lager, aber nicht angegeben, dass es nicht verfügbar ist. Sehr seltsam!', 'length': 136}, {'text': '❤️😍', 'length': 3}]"
What goes into,<Post CcVB0gwJLKq>,-1,26,[],14/04/22,"What goes into our multi-tasking Ocuwake Eye Cream formulation? 👀💕 

Here are the ingredient highlights:

⭐ We use innovative ingredients like hexylresorcinol in the form of Synovea® HR to brighten dark circles.
 ⭐ Natural hydrators like jojoba and argan oil nourish the delicate eye area.
 ⭐ Bacterial ferment agent Meiview firms the eye contour.
 ⭐ Vitamins and acids like Vit C, E, and ferulic acid act as antioxidants to protect the skin.
 ⭐ Liquorice and chamomile soothe, reduce redness and hyperpigmentation.",515,"[{'text': 'Is it safe to use while breastfeeding?', 'length': 38}, {'text': 'I really want to try this but my local council won’t accept these tubes in the recycling and I don’t live near a Terracycle beauty scheme. I switched to Face Theory to avoid more landfill and love the glass/metal packaging! \n\nThis formula in a jar would be amazing. 😍🤞', 'length': 268}, {'text': ""The best eye cream I've ever used 😍"", 'length': 35}, {'text': 'I’ve just started using it today😃good news my sensitive eyes have been fine👍🏻💚', 'length': 78}, {'text': 'My favourite', 'length': 12}, {'text': '😍😍😍😍', 'length': 4}, {'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #wrinkles #dailyskincare #facecare #antiageing #antiage #antiagingskincare #antiagingcream #eyecream\xa0#skincareproducts #skincarejunkie #skincaretips #skincarecommunity #skincarelover #skincareobsessed', 'length': 392}, {'text': 'Does it help with puffy eyes? I have no dark circles but get quite puffy.', 'length': 73}, {'text': 'Mon rituel tous les matins. J adore❤️❤️', 'length': 39}, {'text': 'I ordered this 2 weeks ago and had to chase it up after a week of hearing nothing. Then I was told it was out of stock 🤦🏻\u200d♀️', 'length': 124}, {'text': 'Doen’t work at all', 'length': 18}, {'text': ""I don't really see any improvement 😢"", 'length': 36}, {'text': 'Like the cream, hate the packaging, too much product waste', 'length': 58}, {'text': ""What's the % of urea in this? 🙌"", 'length': 31}, {'text': '❤️', 'length': 2}, {'text': 'Hi @facetheory I have this product but it gives me a burning sensation under the eye. I’m confused 😐 whether this is normal or not', 'length': 130}]"
PolyPep Serum S8,<Post CcTWjLxgMH6>,275,8,[],13/04/22,"PolyPep Serum S8 💚 

A peptide and polyhydroxy acid anti-ageing serum containing 2.5% ChroNOLine - a biomemetic peptide that can reduce the appearance of fine lines and wrinkles in 28 days. 😍",191,"[{'text': '🔥🔥', 'length': 2}, {'text': 'So many good products I need an allowance 😢❤️', 'length': 45}, {'text': 'I never find that facial bar in stock 🥲', 'length': 39}, {'text': '#facetheory #skincare #crueltyfree #vegan #veganskincare #skincareroutine #cleanskincare #daycream #beauty #moisturiser #cleanbeauty #skin #vegansofig #naturalskincare #antiaging #healthyskin #wrinkles #dailyskincare #facecare #antiageing #antiage #antiagingskincare #antiagingcream #eyecream #skincareproducts #skincarejunkie #skincaretips #skincarecommunity #skincarelover #skincareobsessed', 'length': 392}, {'text': '😍😍😍', 'length': 3}]"
