,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
We’re honoring Arbor,<Post Cc7ybYQs_X0>,597,16,"['grovecollaborative', 'treefree', 'arborday', 'arborday2022', 'earthmonth', 'saveourforests', 'planttrees', 'forests', 'trees', 'sustainability', 'bamboo', 'beyondplastic']",29/04/22,"We’re honoring Arbor Day with an exciting announcement! Thanks to your support (and sustainable choices), we’ve planted 1 million trees across the U.S. in partnership with the @ArborDayFoundation. We couldn't be more proud of our community and the positive change we create, together.

Ready to plant more trees? Shop Grove Co. Tree-Free Paper in the link in our bio.
.
.
.
.
.
.
#GroveCollaborative #TreeFree #ArborDay #ArborDay2022 #EarthMonth #SaveOurForests #PlantTrees #Forests #Trees #Sustainability #Bamboo #BeyondPlastic",528,"[{'text': '🙌👏🙌 go us!', 'length': 10}, {'text': 'That’s very cool. Where at?', 'length': 27}, {'text': 'love this', 'length': 9}, {'text': 'Amazing work!!! 👏👏👏', 'length': 19}, {'text': 'Yes! Thank you for your support! 👏🌳💚', 'length': 36}, {'text': 'Wow! I’ve been following this mission since 2019. It’s nice to see that this goal of your have finally come true! Congratulations, Grove Collaborative. My favorite company forever.♥️🙌☀️', 'length': 185}, {'text': 'Congratulations! Way to lead from the front', 'length': 43}, {'text': '👏🏽👏🏽🌳🌳💕', 'length': 7}, {'text': '👏👏👏👏👏👏👏💗💗💗💗💗💗💗💗💗🌳🌳🌳🌲🌲🌲🌲🌲🌲🌱🌱', 'length': 27}]"
That feeling when...you,<Post Cc5UPVxFLdR>,1467,29,"['grovecollaborative', 'spring', 'springrefresh', 'interiordesign', 'springclean', 'budgetfriendly', 'budgetfriendlytips']",28/04/22,"That feeling when...you get the urge to orchestrate an extreme home makeover. 💁‍♀️🏠⁣
⁣
Here's the good news: Your big plans for a spring reset don't have to break the bank. Try these savvy tips to refresh your space, sans any extra spending. 💸⁣
⁣
Video by @emilywelchstyle.⁣
.⁣
.⁣
.⁣
.⁣
#GroveCollaborative #Spring #SpringRefresh #InteriorDesign #SpringClean #BudgetFriendly #BudgetFriendlyTips",394,"[{'text': 'Pulled out my room sprays this week! 👏  #springclean #grovecollaborative #nomoreplastic', 'length': 87}, {'text': 'Are you delivering to Canada yet? 😞', 'length': 35}, {'text': 'Great tips', 'length': 10}, {'text': 'Is the room spray safe for pets?', 'length': 32}, {'text': 'Been trying to reach your company for days! No one gets back to me. I have not received my package and I want a refund!', 'length': 119}, {'text': 'Need I’ve been looking for a good room spray 😍', 'length': 46}, {'text': 'Love these!', 'length': 11}, {'text': 'Love it ! 👏🏾', 'length': 12}, {'text': 'Pleasant 😌', 'length': 10}, {'text': 'The sofa and lounge tho!', 'length': 24}, {'text': 'This was definitely me the past few days', 'length': 40}, {'text': 'Yes and you can often find left over gallons on marketplace or the wrong color section for so much cheaper!!', 'length': 108}, {'text': 'I can smell the freshness 🥰🤌🏼', 'length': 29}, {'text': 'Awesome - this looks great! 🙌💚', 'length': 30}, {'text': 'Love!', 'length': 5}, {'text': 'Will definitely do this! ❤️❤️', 'length': 29}, {'text': 'Where are the pink cannisters from??', 'length': 36}, {'text': 'I have been seeing your ads forever but just saw an endcap in Target and finally bought your room spray.  It is AMAZING.  So fresh and easy.  I have almost used the whole bottle in the first day because I want my whole house to smell like it!  I am sold and converting over to your products.  I have not had the energy to make products myself (and hate the smell of white vinegar!) so I am so grateful for your solutions and glass bottles!  Thank you!!!', 'length': 453}, {'text': '👏👏👏👏', 'length': 4}, {'text': ""Yup!! That's me😂😂😂🤭"", 'length': 19}, {'text': '❤️', 'length': 2}]"
Ohhhhh haaayyyy @grovecollaborative,<Post Cc3EAYnOL7f>,4549,82,"['ad', '1', '2', '3', '4', 'grovecollaborative', 'grovehome']",27/04/22,"Ohhhhh haaayyyy @grovecollaborative 

#ad

Gurl, it's growing season so she's strutting into the lushness with some goodies from Grove to ensure her green gurls serve that new growth realness. So let's get into some helpful thangs for those lush lewks:

#1 A lil repotting rejuvenation, dahling
Get those hands a lil dirtay and spend some time inspecting the roots of your green gurls.  Check to see if the roots are root-bound (tangled mass of roots that allows little or no space for further growth), if this is the sish, she needs a larger planter and new soil. If the roots still have room, then keep her in the same planter, but still give a soil makeover, cuz that new soil will be rich with nutrients she can use to serve new growth realness all spring and summer long

#2 Spritz and a whipe down, gurl
Spraying your green gurls' with room temp water and gently wiping the leaves with a damp cloth is the perfect way to remove any dust or dirt that could find it’s way onto our green gurls’ foliage. This lil routine also rinses away any tragic pest or fungal spores. I tend to wipe the water from her leaves as foliage that remains wet for extended periods of time are prone to those tragic plant diseases that require moist environments to grow

#3  Nutrients be fundamental, kween
While I do fertilize my plants year-round (much less in the fall and winter), the arrival of spring means my green gurls are strutting into growing season, so that extra boost of nutrition on a more frequent basis be needed, hunny! Nitrogen, phosphorus, and potassium, are the primary nutrients in most houseplant fertilizers, along with secondary nutrients in smaller amounts (magnesium, calcium, sulfur, iron and boron)

#4 Mix your insecticide concoctions, hunny
Routine checks on your green gurls’ foliage is always helpful when trying to make sure you live that pest-free lifestyle, gurl. As a preventative measure I routinely spray mine with natural/non-chemical insecticide to ensure any microscopic pest that could be lurking around does not have a chance to spread.

#GroveCollaborative #GroveHome",2097,"[{'text': 'Such a legend and a beauty!!!', 'length': 29}, {'text': 'You make me smile!\nYou are so right.. putting those fingers in the soil, watering, wiping leaves!! Soo therapeutic 💚', 'length': 116}, {'text': 'You and your plants are beauties! 💚🪴🌱🌿', 'length': 38}, {'text': 'Thank you for your wonderful content! 😍', 'length': 39}, {'text': 'So cute! I love it! 😍', 'length': 21}, {'text': 'Oooo good advice ❤️', 'length': 19}, {'text': 'i love this so much!!!❤️', 'length': 24}, {'text': 'Dahlinggg 😍', 'length': 11}, {'text': 'Yassaa', 'length': 6}, {'text': ""I'm inspired."", 'length': 13}, {'text': 'Whew chile 😍😍😍😍😍😍', 'length': 17}, {'text': 'so good 😍', 'length': 9}, {'text': 'Plants are amazing 🌳🌱', 'length': 21}, {'text': '🌈💜', 'length': 2}, {'text': 'Natural, non-chemical is the way to grow! 🙌', 'length': 43}, {'text': '✨That was informative and relaxing to watch ✨', 'length': 45}, {'text': 'Okaaaay!!! Dahling!\U0001faf0🏾', 'length': 21}, {'text': 'Beautiful plants', 'length': 16}, {'text': '😍😍', 'length': 2}, {'text': '😂Thank you for the laugh!!! 👏👏👏 I’ll be getting my goodies now!', 'length': 63}, {'text': 'We have a story we just published on study  that monstera plants are the most popular plants in the U.S - story shows what are most popular plants states by state - check it out 🌷🪴🌻', 'length': 181}, {'text': 'I love this energy you bring to us! I always wanted to have houseplants and start my own plant and vegetable garden.', 'length': 116}, {'text': '@fullcircle2fitness', 'length': 19}, {'text': 'What’s not to love about you and this @plantkween! 🗣 NOTHING!! #BlackWithPlants ❤️🪴🪴🪴🪴', 'length': 86}, {'text': '@titusopeck', 'length': 11}, {'text': '@majestea3', 'length': 10}, {'text': '@queenkatinas @kassie.katinas', 'length': 29}, {'text': '@ronnie_p_rochester', 'length': 19}, {'text': '@tharadactyl', 'length': 12}, {'text': '@plantkween struggling with fungal gnats. They are the bane of my existence. Any recommendations? 🙏❤️', 'length': 101}, {'text': '@wavehappy', 'length': 10}, {'text': 'I would love to hear your secret recipe for number 4 💚💚💚 x', 'length': 58}, {'text': 'New growth REALNESS🌱🌱🌱', 'length': 22}, {'text': 'New growth REALNESS🌱🌱🌱', 'length': 22}, {'text': '🤣🤣 I so love your energy....and as always thanks for the tips huny 🥰🥰', 'length': 69}, {'text': 'OOOOOOOH I love your hair style 😍😍😍', 'length': 35}, {'text': 'LOVE your plants and all the tips 💚', 'length': 35}, {'text': 'You are THE MOST!! 😂🤍🤍', 'length': 22}, {'text': 'Your plants and nail color are EVERYTHINGGGG💚💚💚', 'length': 47}, {'text': 'Yesss sitting pretty too ❤️', 'length': 27}, {'text': 'Making the World Greener!🙌🙏💕', 'length': 28}, {'text': '☀️☀️☀️💚💚💚💚💚💚', 'length': 12}, {'text': 'Best advice reel ever!!!❤️❤️❤️❤️❤️', 'length': 34}, {'text': '💅 💅 💅', 'length': 5}, {'text': '❤️ Glad to have found your page. This is very informative as I am getting into plants. 🌱 ✨', 'length': 90}, {'text': 'LOVE 😍🙌😍🙌', 'length': 9}, {'text': 'I see you also have a humidifier do all plants like that or only certain ones ? And how often do you use it? Thanks 😊', 'length': 117}, {'text': '❤️🪴❤️🪴❤️🪴❤️🪴☺️', 'length': 14}, {'text': 'Yes that’s the way to chill with plants 🙌❤️', 'length': 43}, {'text': ""It's the shoulders for me! Shake 'em!"", 'length': 37}]"
"Hey, you. 👋",<Post Cc0K7FcsC-f>,999,16,"['grovecollaborative', 'grovehome', 'beyondplastic', 'plasticneutral', 'carbonneutral', 'plasticfree', 'plasticfreeliving', 'sustianablehome', 'cleanhome', 'home', 'pantry', 'cleaningpantry', 'organization', 'organizationhacks', 'inspiringinteriors', 'pantrygoals', 'springcleaning', 'treefree', 'getorganized', 'bamboo']",26/04/22,"Hey, you. 👋  What Grove Co. products are currently filling your pantry? 

If you're anything like @francois_et_moi, you might have Grove Co. Tree-Free Paper on hand. Made from 100% panda-friendly bamboo, this sustainable alternative emits 30% less greenhouse gas than traditional tree-based paper products. Plus, every pack helps plant trees, combatting deforestation through our partnership with the @ArborDayFoundation. 

Seriously, nothing feels better than knowing that every Grove order is plastic-neutral and carbon-neutral. Except for maybe wiping up any proverbial spilled milk with super-absorbent towels. 💁‍♀️

Tap the link in our bio to shop all things Grove Co. Don't forget to tell us what you're bringing home! 

📸: @francois_et_moi
.
.
.
.
.
.
#GroveCollaborative #GroveHome #BeyondPlastic #PlasticNeutral #CarbonNeutral #PlasticFree #PlasticFreeLiving #SustianableHome #CleanHome #Home #Pantry #CleaningPantry #Organization #OrganizationHacks #InspiringInteriors #PantryGoals #SpringCleaning #TreeFree #GetOrganized #Bamboo",1039,"[{'text': ""Your multi-purpose cleaner is THE BEST. We also have your glass cleaner, caddy, sink-side tray, bamboo toilet paper, sponges, bottle brush, and much much more. I've gifted so much product to clients of mine because of how much I love your stuff/mission."", 'length': 253}, {'text': 'Except for the tote and scrub brush, all of the above', 'length': 53}, {'text': 'Beautiful! Multipurpose spray is always on my counter ☺️', 'length': 56}, {'text': ""I can't wait for the day you guys ship to Canada 😭😅"", 'length': 51}, {'text': 'Completely inspired! Thanks again Grove :)', 'length': 42}, {'text': 'Too cute', 'length': 8}, {'text': 'This picture makes us want to clean our whole house!', 'length': 52}]"
We're feeling so,<Post CcxmAVRFENm>,5751,104,"['grovecollaborative', 'sustainability', 'ecofriendly', 'savetheplanet', 'plasticcrisis']",25/04/22,"We're feeling so inspired by @danieltoben, the TikTok sensation who spends his free time cleaning up trash-filled streams, beaches, and roads like the one you see here. Daniel has been picking up trash for over 10 years, and he's collected over 8 million pieces of trash from streams and roads. 😱⁣
⁣
To support his incredible efforts, we're sending Daniel as many 100% Recycled Plastic Trash Bags as he needs. Thank you, Daniel, for helping to make our planet a more clean and beautiful place.⁣
⁣
Video by @danieltoben.⁣
.⁣
.⁣
.⁣
.⁣
#GroveCollaborative #Sustainability #EcoFriendly #SavethePlanet #PlasticCrisis",611,"[{'text': ""I use your bags to pick up trash around my neighborhood too! It's sad how ppl disrespect the area around them.  They don't trash their backyard so why do they trash the roads they drive by every day??"", 'length': 200}, {'text': '#thankyou 👏👏👏👏👏❤️😢', 'length': 18}, {'text': 'Wow!! Hero!', 'length': 11}, {'text': 'Love this so much 😍', 'length': 19}, {'text': 'Woah! A good way to be a badass 💪🙌', 'length': 34}, {'text': '❤️❤️❤️ amazing', 'length': 14}, {'text': 'Thank you👏👏👏👏👏👏👏👏👏👏👏👏', 'length': 21}, {'text': 'Thank you Daniel for the great work! 💚Together we can save our home 🌍', 'length': 69}, {'text': 'You’re amazing Daniel!!!👏👏', 'length': 26}, {'text': 'Amazing! 😍🙌🏻✨', 'length': 13}, {'text': 'Wow! 👏', 'length': 6}, {'text': 'What an amazing guy!!!! So inspiring', 'length': 36}, {'text': 'What an inspiration!!!', 'length': 22}, {'text': 'So amazing! Why do people have to litter??', 'length': 42}, {'text': 'Amazing! ❤️👏😘Thanks for caring and sharing.', 'length': 43}, {'text': 'Thank- you for What you are Doing ❤️❤️❤️', 'length': 40}, {'text': 'I absolutely love this!!! You’re a super hero 🦸\u200d♂️', 'length': 50}, {'text': 'Thank you so much😍😍', 'length': 19}, {'text': 'That’s amazing. I too love to keep my community clean and love all the amazing earth friendly products that @grovecollaborative has to offer. Thank u @danieltoben for all u do.  Wish there could be more people like u in this world. ❤️', 'length': 234}, {'text': 'Would like to join the global movement #savesoil ? Get information @consciousplanet 100 days 30,000 kms with @sadhguru', 'length': 118}, {'text': '@danieltoben and #grovecollaborative .  Daniel what an Amazing and conscientious young man you are.  My heart thanks you for your time, energy and efforts to try to undo what millions of people have done.  You are an excellent example of what we all should aspire to be!!! And Grove - thank you for what you do to make it easier for us to break the years of bad habits and put the right spin on our planet!!! God bless you all !!!!', 'length': 431}, {'text': '🙌🔥 Thanks for what you do @danieltoben this world needs more people like you! & good job @grovecollaborative for supporting this initiative 👏👏👏', 'length': 143}, {'text': ""You're beautiful ❤️ @danieltoben"", 'length': 32}, {'text': 'You’re amazing @danieltoben thank you for your service!', 'length': 55}, {'text': 'This is why we love @grovecollaborative 🙌', 'length': 41}, {'text': 'Love that, great job @grovecollaborative 👏👏👏', 'length': 44}, {'text': 'I LOVE you for this. Thank you so much from the bottom of my heart @danieltoben ❤️🙌😍', 'length': 84}, {'text': 'Thanks you @danieltoben', 'length': 23}, {'text': 'Thank you to Daniel and to @GroveCollaborative for contributing to his efforts of cleaning up the planet!', 'length': 105}, {'text': 'This is phenomenal! Thank you @danieltoben 🌎', 'length': 44}, {'text': 'Thank you 🙏 ❤️', 'length': 14}, {'text': '😮😮😮😮😮👏👏👏', 'length': 8}, {'text': '🙌🙌🙌🙌🙌❤️', 'length': 7}, {'text': 'Remarkable', 'length': 10}, {'text': 'Insane! Love this 👏👏👏', 'length': 21}, {'text': 'Amazing ❤️', 'length': 10}, {'text': 'Now there is a hero!', 'length': 20}, {'text': 'Every single person can make a difference.  Love this! 💜', 'length': 56}, {'text': 'Bless you👏🙏', 'length': 11}, {'text': 'Thank you 🙏', 'length': 11}, {'text': 'Love that!!', 'length': 11}, {'text': 'He is amazing!', 'length': 14}, {'text': 'God bless you, Daniel! You are doing GREAT work 👏🏻👏🏻❤️', 'length': 54}, {'text': 'This is awesome!! 👏', 'length': 19}, {'text': 'This is amazing', 'length': 15}, {'text': '👏👏👏👏👏👏👏👏👏', 'length': 9}, {'text': 'Thank you Daniel!🌎😊', 'length': 19}, {'text': 'This is awesome!!! So great to promote and support positive people.', 'length': 67}, {'text': '😮😮🙌🙌🙌❤️❤️❤️❤️❤️', 'length': 15}, {'text': 'Thank you 🙏🏼 ❤️', 'length': 15}]"
Plagued by pesky,<Post CcvBS7sMjaN>,422,7,"['cleaningtips', 'grovehome', 'grovecollaborative', 'allergyseason', 'homecleaningtips', 'homehacks', 'cleanhome', 'sustainablehome', 'healthyhabits', 'health', 'healthytips', 'homecleaning', 'home', 'springallergies', 'allergies', 'greenhome', 'ecofriendlyhome']",24/04/22,"Plagued by pesky seasonal sniffles? We know the feeling. Beat the Spring allergy blues with these 5 sneeze-busting cleaning strategies. 

1️⃣ Wipe surfaces with a damp cloth to trap dust, pollen, and other allergens.
2️⃣ Wash sheets and pillowcases weekly in hot water to remove dust mites and pollen.
3️⃣ Choose a vacuum with a particle-trapping HEPA filter. It will trap irritates instead of sending them airborne. 
4️⃣ Clean entryways to prevent pollen and dirt from being dragged into the house. 
5️⃣ If you've ever found yourself sneezing in the shower, mildew might be the culprit. Use a plant-based shower spray to stop it in its tracks. 

Which tip are you trying first? 👀
.
.
.
.
.
.
#CleaningTips #GroveHome #GroveCollaborative #AllergySeason #HomeCleaningTips #HomeHacks #CleanHome #SustainableHome #HealthyHabits #Health #HealthyTips #HomeCleaning #Home #SpringAllergies #Allergies #GreenHome #EcoFriendlyHome",921,"[{'text': 'Glad to see such helpful tips 😍💚', 'length': 32}, {'text': 'Love your products so far. New customer!', 'length': 40}, {'text': 'Yes yes yes!!', 'length': 13}, {'text': 'Love these!!❤️', 'length': 14}]"
Did you know,<Post Ccs06T5FY_a>,1372,47,"['craft', 'upcycle', 'diy', 'sustainablehome', 'homediy', 'homeupcycle', 'homedecor', 'diydecor', 'plantofinstagram', 'diy', 'ecofriendly', 'grovecollaborative', 'repurposing', 'grovehome']",23/04/22,"Did you know that you can repurpose our Grove Co. Cleaner Concentrate bottles into all different types of treasures? ♻️⁣⁣
⁣⁣
@dreamgreendiy upcycled her Grove Co. packaging into a wood block bud vase, but we've also seen people use them for travel shampoo bottles, plant propagation, calm down jars and more. ✨⁣
⁣
What are you going to create? 💚⁣
⁣
Video by @dreamgreendiy.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#Craft #Upcycle #DIY #SustainableHome #HomeDIY #HomeUpcycle #HomeDecor #DIYDecor #PlantofInstagram #DIY #EcoFriendly #GroveCollaborative #repurposing #GroveHome",550,"[{'text': 'Love this idea 😍', 'length': 16}, {'text': 'I love this idea!!', 'length': 18}, {'text': 'This looks amazing!😍 My spider babies have been propagating in the same glass bottles too! ❤️', 'length': 93}, {'text': 'Maybe Grove could pre-make these and sell for those of us who are not powertool inclined 😂!', 'length': 91}, {'text': 'I ❤️ y’all so much. We literally holler “it’s Grove Day “ when our package arrives 😂 #nerdalert🤓', 'length': 96}, {'text': 'Cute! 🌸', 'length': 7}, {'text': '😍', 'length': 1}, {'text': 'I was thrilled when Grove switched from the tubes to glass bottles! I think I even squealed with delight! I covet pretty glass bottles and these babies are perfect for plant propagation! I also like to fill them with colored water and put them on my window ledges as sun catchers!', 'length': 280}, {'text': 'Glass always is going to be the best solutions', 'length': 46}, {'text': 'Love this!', 'length': 10}, {'text': 'Lol I like how the power tools and drilling part just appears to be incidental to this project demo 😂', 'length': 101}, {'text': 'We need access to a drill press for this?', 'length': 41}, {'text': 'Thanks for sharing!!! We love our bud vase stand! Use it all the time now that it’s spring ☺️🧡🌿', 'length': 95}, {'text': '😮😮😮😮😮😮 this is genius', 'length': 21}, {'text': 'I love people getting into recycling/reusing stuff. I use empty pasta jars in cleaning it well or even the cookie containers when all cookies are gone u wash them and use it as my color palette for my acrylic paintings…save me money from buying art supplies!✨✨✨😊', 'length': 262}, {'text': 'Love this idea!', 'length': 15}, {'text': 'Excellent idea!', 'length': 15}, {'text': 'Yes 🙌 I’ve been wondering what I can do with these', 'length': 50}, {'text': 'I knew I was keeping those bottles for a reason 😍', 'length': 49}, {'text': 'This is a great idea! Love the flowers so beautiful!!❤️🙌😍😍', 'length': 58}, {'text': 'This is exactly what I do to reuse my empty concentrate bottles. Then I also give my plant cuttings to friends in those bottles!', 'length': 128}, {'text': 'Awesome!!!!!', 'length': 12}, {'text': '👏👏😍😍😍😍😍😍😍', 'length': 9}, {'text': ""Ohhh I didn't even think about this! Such cute little bottles. I bit they would be great for starting cuttings."", 'length': 111}, {'text': 'Love this hack 😍', 'length': 16}, {'text': 'They’re so good for propagating too!', 'length': 36}, {'text': 'Cutest idea', 'length': 11}, {'text': 'What a sweet idea!  Thank you! ❤️', 'length': 33}, {'text': 'Love using the bottles to propagate my babies ☺️', 'length': 48}, {'text': 'What a clever idea!', 'length': 19}, {'text': '😍😍😍', 'length': 3}, {'text': '😍😍😍', 'length': 3}, {'text': 'Omg😮😍 what a great 💡 idea', 'length': 25}, {'text': '💜', 'length': 1}, {'text': 'The greatest moment of my life, all thanks @dr_akhimien for helping me and my partner and my mom also, we really appreciate your herbal work me and my husband are now Herpes free and my also helped my mom get rid of Diabetes We are so happy  and thankful to @dr_akhimien for your help, we really do appreciate', 'length': 309}]"
When it comes,<Post Ccpw8IklKte>,498,14,"['grovecollaborative', 'earthday2022', 'earthday', 'earthmonth', 'earthmonth2022', 'sustainability']",22/04/22,"When it comes to protecting the planet, it *truly* takes a village. That’s why we asked you to tell us who inspires you to make sustainable choices, from preserving the environment for future generations to creating a safe space for animals to roam and plants to thrive. 🐃🌿🌎⁣
⁣
It turns out, YOU inspired someone else in the process! Our friend @pamelacarbonell_artwork created this piece based on some of your submissions. Thank you for making a positive impact each day, and for inspiring us to do the same.⁣
⁣
Because sustainability is the only future - and the things we do now matter.⁣
⁣
Who are you saving the Earth for? 💙⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#GroveCollaborative #EarthDay2022 #EarthDay #EarthMonth #EarthMonth2022 #Sustainability",732,"[{'text': 'Inspiring others is one of my most favorite things to do🌎❤️🐾', 'length': 60}, {'text': 'My nieces and nephews…🌎🌱', 'length': 24}, {'text': 'I feel like making more environmentally conscious choices is a must, a win win. I’m becoming very conscious about a more sustainable home decor practice. 🙌🏽🌿', 'length': 157}, {'text': 'I love this! ❤️', 'length': 15}, {'text': 'so beautiful! 💙', 'length': 15}, {'text': '😍😍😍', 'length': 3}, {'text': 'Thank you so much @grovecollaborative for inviting me to create this piece for such an amazing purpose, is an honor. Let’s make positive impact every day! 🌎🌿', 'length': 157}]"
Now the furriest,<Post Ccnn1fqFbp3>,586,24,"['earthmonth', 'dogs', 'dogsofinstagram', 'doglover', 'dogoftheday', 'shamelesspets', 'grovecollaborative', 'corgi', 'doggo', 'sustainable', 'plasticfree', 'dogtreats', 'corgi', 'dogstagram', 'earthmonth2022']",21/04/22,"Now the furriest members of your household can lower their plastic paw print for Earth Month. 🐾 💚⁣
⁣
Here's why your pup should *chews* @shamelesspets Plant a Tree, Eat Your Greens Dog Treats:⁣
⁣
🐾 Made with 75% upcycled ingredients⁣
🐾 Comes in plastic-free packaging⁣
🐾 A tree is planted for every tin sold in partnership with @arbordayfoundation⁣
⁣
This treat is available exclusively at Grove!
.⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#EarthMonth #Dogs #DogsOfInstagram #DogLover #DogoftheDay #ShamelessPets #GroveCollaborative #Corgi #Doggo #Sustainable #Plasticfree #DogTreats #Corgi #Dogstagram #EarthMonth2022",593,"[{'text': 'Can’t wait to try some! ❤️', 'length': 26}, {'text': 'Ooh okay definitely checking them out! Thank you!', 'length': 49}, {'text': '🌲🌱💚 they are super tasty!!', 'length': 26}, {'text': 'My granddog loves the Shameless Pets treats.', 'length': 44}, {'text': 'Love this!', 'length': 10}, {'text': 'Our favorite treats to date!', 'length': 28}, {'text': 'Love it!😍', 'length': 9}, {'text': 'My dog will love this!!!!!!', 'length': 27}, {'text': 'Well isn’t this just the best news ever! I bet those doggos really earned those treats. I would love to try them as well!🐾❤️', 'length': 124}, {'text': '🙌🙌', 'length': 2}, {'text': '😍😍❤️❤️', 'length': 6}, {'text': 'how many treats are in one of these??', 'length': 37}, {'text': '@suyjung @h_yoonee', 'length': 18}, {'text': '@creatingajoyfulreader', 'length': 22}, {'text': '@fennectherescuepup Your mom should definitely add these to her next order. 😉 You deserve extra treats!', 'length': 103}]"
🐙 We're feeling,<Post CcktqPRFHPH>,5422,68,"['grovecollaborative', 'oceanfriendly', 'savetheplanet', 'oceanlife', 'octopus', 'sustainability']",20/04/22,"🐙 We're feeling inspired by @mermaid.kayleigh's day making a difference on the open sea. By picking trash out of the ocean responsibly, she's ensuring these cute little pals have a chance at a new, safe, and natural home.⁣
⁣
Do you pick up litter when you see it? 🌍⁣
⁣
Video by @mermaid.kayleigh.⁣
.⁣
.⁣
.⁣
.⁣
#GroveCollaborative #OceanFriendly #savetheplanet #oceanlife #octopus #sustainability",395,"[{'text': '😍Awww!! Yes, I always pick up litter when I see it. My kids do too', 'length': 66}, {'text': 'Love this! We try to leave places better than we found them! ❤️', 'length': 63}, {'text': 'I make a conscious effort to always pick up whatever I can.', 'length': 59}, {'text': 'Yes! When we go on our family walks, we take a trash bag with us just in case we run into any litter. Little actions can lead to bi change. ❤️', 'length': 142}, {'text': 'I pick up trash when I see it. It’s minimal effort. Can’t understand why people little their space.', 'length': 99}, {'text': '✨Thank you for being kind to these beautiful creatures!!! 🐙🐙🐙. Thank you for doing your part!!!✨. 😊', 'length': 99}, {'text': 'Oh my gosh so cute 😍', 'length': 20}, {'text': 'Own 😍❤️', 'length': 7}, {'text': 'There’s a SpongeBob joke in here somewhere', 'length': 42}, {'text': 'Who lives in a pineapple under the sea  squidward...obviously 😂😂😂😂', 'length': 66}, {'text': 'Who lives in a pineapple under the sea? 😂', 'length': 41}, {'text': 'Yes always! So cute tiny baby octopus!', 'length': 38}, {'text': 'You did not… just show me… 3… not one… but THREE…..LITTLE BABY OCTUPI!!!!!!! 😍😍😍😍😍', 'length': 82}, {'text': '❤️', 'length': 2}, {'text': 'Adorable! So thankful for people helping our environment like this 💛🐙', 'length': 69}, {'text': 'This. Is. Amazing!!! 👏 what an experience. Oh my gosh I’ve never seen a baby octopus. 😍😍😍😂😂', 'length': 91}, {'text': 'So cool 😮', 'length': 9}, {'text': 'Yes, picked up whole trash bags full of trash on hikes. 👏', 'length': 57}, {'text': 'Wow! 😍😍😍', 'length': 8}, {'text': 'Yes, I sure do pick up trash as well as  calling  out on people that litter in front of me (which I am sure will get me into trouble one day)😮😂', 'length': 143}, {'text': 'Love this!!!! 💕🌊🍍🦑', 'length': 18}, {'text': 'Amazing 👏', 'length': 9}, {'text': 'These little things are SO CUTE', 'length': 31}, {'text': 'They’re soooo cute!', 'length': 19}, {'text': 'Wow!!', 'length': 5}, {'text': 'I love this😍what a great idea', 'length': 29}, {'text': 'Sweet 😍', 'length': 7}, {'text': '❤️❤️❤️🙌', 'length': 7}, {'text': '@aggiesoultx 🥰', 'length': 14}, {'text': '@patriciakins 🥰 🐙', 'length': 17}, {'text': 'my fkn heart', 'length': 12}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'I bought a litter claw from the hardware store so when I walk my neighborhood I can more easily keep it clean.', 'length': 110}, {'text': 'What are they?', 'length': 14}, {'text': 'Hello ,I can design images for your website , im from fiverr', 'length': 60}, {'text': 'Kinda looks like squid ?', 'length': 24}, {'text': ""I wouldn't without protection like gloves and bags I do when I can when I walk though I see our washes piles of trash where homeless sleep I would not go there nope"", 'length': 164}, {'text': 'Super cute 😍', 'length': 12}, {'text': 'Omg so cute!!', 'length': 13}, {'text': '🙌🙌🏿🙌🏾🙌🏽🙌🏻', 'length': 9}, {'text': 'so cute', 'length': 7}, {'text': '❤️🧞\u200d♀️', 'length': 6}, {'text': 'Awwwww I love this!', 'length': 19}, {'text': '❤️', 'length': 2}, {'text': '❤️', 'length': 2}, {'text': 'Us at Tera, we share the same values and are building a platform to save the Planet – one small step at a time. Check out our page + discover better product alternatives – our app will recommend you products with no alerts that are better for your health and environment. Sign up for early access here:  https://hellotera.com 💚🌿', 'length': 328}, {'text': 'They are so tiny', 'length': 16}, {'text': '@sean_atchison 😍😍😍', 'length': 18}, {'text': 'Baby 🐙 I had no idea that’s what they were! Thank you for saving them!❤️❤️❤️', 'length': 76}, {'text': '@reisespieces7', 'length': 14}]"
