,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
The spring ’22,<Post Cc8nmDvpGcL>,193,3,[],29/04/22,"The spring ’22 collection is here.

New airy fabrics in fluid silhouettes, so you can channel the brilliance of the Egyptian sun, wherever you are. 

Photography: @aranhahahaha
Model: @malakelfarouk @unnmodels
Styling: @katieellentrotter
Makeup: @agneshkah
Production: @snapfourteen",282,"[{'text': '💚', 'length': 1}, {'text': 'I love the color of this 😍', 'length': 26}, {'text': 'What bra is featured in this photo??', 'length': 36}]"
🌞: To sun-filled,<Post Cc5-DJuJNAS>,328,7,[],28/04/22,🌞: To sun-filled afternoons in Egypt,36,"[{'text': '😍 Wow', 'length': 5}, {'text': '☀️', 'length': 2}, {'text': '🙌', 'length': 1}, {'text': 'Dream backyard', 'length': 14}, {'text': 'I would gladly spend my entire weekend on these rugs 😍', 'length': 54}]"
Even broken dishes,<Post Cc01JHRJoU6>,773,7,[],26/04/22,"Even broken dishes can have more life to give. Ceramist @rachelsaundersceramics shows us how to restore and up-cycle old mugs into beautiful new forms, like a stand-out mosaic table. 

Watch, learn, and redesign in our stories or explore the editorial at kotn.com/editorials for today’s lesson in sustainable practice!",318,"[{'text': '😍😍😍😍', 'length': 4}, {'text': 'Whatta beauty @rachelsaundersceramics 🥰🥰🥰 (mugs are pretty nice too)', 'length': 68}, {'text': 'LOVE this @rachelsaundersceramics 😍', 'length': 35}, {'text': 'Cute', 'length': 4}, {'text': 'Yes to reusing!!! 👏🏼💚', 'length': 21}, {'text': 'Great job!🙌❤️', 'length': 13}, {'text': '❤️❤️', 'length': 4}]"
"April 24, 2013,",<Post CcvSjufFlvv>,417,3,[],24/04/22,"April 24, 2013, marked the Rana Plaza factory collapse in Bangladesh, a tragedy that left over a thousand garment workers dead, highlighting the unsafe work conditions and obscurity of most supply chains in the industry.  

At Kotn, we believe that traceability—the knowledge of where a product came from, who made it, and when—shouldn’t be a luxury, but a standard. It’s why we work with our partners directly, ensuring living wages and safe working conditions at every step of our supply chain. 

So today, in honour of Fashion Revolution Day, we want you to meet some of our makers. Explore our stories to meet the people behind the fibre, fabric, and seams of Kotn!",669,"[{'text': 'Love the level of accountability ❤️', 'length': 35}, {'text': 'a beautiful ethos!', 'length': 18}, {'text': '🤍🤍🤍', 'length': 3}]"
"An ancient practice,",<Post Ccs0FwalMHv>,623,9,[],23/04/22,"An ancient practice, the art of natural dyeing makes the most of the resources already at our, and in our, disposal. Artist and Natural Dyer @caramariepiazza recycles food and floral waste to create her dye matter and transform pre-existing pieces, limiting household and closet waste. 

We asked Cara to walk us through one of her favourites techniques—ice dyeing—as a part of our Sustainability Series. Explore our stories to see how she does it!",448,"[{'text': 'So cool', 'length': 7}, {'text': 'Loved this!!', 'length': 12}, {'text': 'this is amazing!!!', 'length': 18}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': 'Only the best 💙', 'length': 15}, {'text': '❤️', 'length': 2}, {'text': 'What do you use as mordant?', 'length': 27}, {'text': 'I thought this was a charcuterie plate set up 😩', 'length': 47}, {'text': '🙌', 'length': 1}]"
Sustainability today often,<Post CcqNrnmrUm2>,355,9,[],22/04/22,"Sustainability today often comes with a price tag. But for past generations, and still in many communities around the world, ‘sustainability’ exists as an everyday practice of treating our resources with care. So this Earth Day, we asked our community for their traditions and tricks—self-taught and inherited—to live sustainably day-to-day.
Explore the feature in our stories and at kotn.com. Plus, be on the lookout for a week’s worth of takeovers to bring these tricks to life.",480,"[{'text': '🌎🌳🍃', 'length': 3}, {'text': '🌎 ❤️', 'length': 4}, {'text': '💚💚', 'length': 2}, {'text': '💚\U0001f979💚', 'length': 3}, {'text': 'Love all you stand for 👏🌍💚', 'length': 26}, {'text': 'Every day is a new opportunity to do the right thing! 👏🌎💙', 'length': 57}, {'text': '❤️', 'length': 2}, {'text': 'These. Jeans. 😍', 'length': 15}, {'text': '💚', 'length': 1}]"
The Relaxed Pleated,<Post Ccn9j3MJAYN>,197,7,[],21/04/22,"The Relaxed Pleated Trouser is here. An effortlessly elegant wide leg silhouette, ready for wherever life takes you.",116,"[{'text': '🔥🔥', 'length': 2}, {'text': 'obsessed', 'length': 8}, {'text': '😍', 'length': 1}, {'text': '😮', 'length': 1}, {'text': 'can you share details on the belt?', 'length': 34}, {'text': 'Please do these pants in a light wash ❤️❤️❤️', 'length': 44}, {'text': 'Have you abandoned men’ fashion?', 'length': 32}]"
This just in:,<Post CcYCmQNLT6L>,1092,19,[],15/04/22,"This just in: the Babydoll Dresses. The plush softness of our Egyptian cotton tees, in a silhouette made for spring days (and spinning). 

Available now in seven new colours and a brand new midi length!",202,"[{'text': 'Haven’t seen an item of clothing and instantly hit “purchase” in a very long time - but I had to with the antique green 💚', 'length': 121}, {'text': 'Pockets?', 'length': 8}, {'text': 'Love love this photo! And the colour of that dress 😍', 'length': 52}, {'text': 'I have a dress like this in lilac and it’s been sitting in my closet because I have no clue how to style it', 'length': 107}, {'text': 'So cute!! Love the color', 'length': 24}, {'text': 'They’re so cute!! 😍', 'length': 19}, {'text': 'Obsessed', 'length': 8}, {'text': 'Ladies and gentlemen… her 👗', 'length': 27}, {'text': 'want!!!! 🥺', 'length': 10}, {'text': 'Love this omg', 'length': 13}, {'text': 'the clay colour is sooo pretty', 'length': 30}, {'text': 'An icon', 'length': 7}, {'text': ""It's back!!!!!!!! 🔥"", 'length': 19}, {'text': 'There it is 🤩', 'length': 13}, {'text': 'Hero of summer', 'length': 14}, {'text': 'Beautiful!! What size is she wearing?', 'length': 37}, {'text': '@alyssaamber_marsh neeeeed', 'length': 26}]"
Say it with,<Post CcizGcVrdni>,374,4,[],19/04/22,"Say it with us: for best care, hang to dry 🍃",44,"[{'text': '😍', 'length': 1}, {'text': 'What my dreams look like', 'length': 24}, {'text': 'Always 😊', 'length': 8}, {'text': '@airyourlaundrypics 💚', 'length': 21}]"
What’s your carbon,<Post CcgNo7mr1Rl>,645,4,[],18/04/22,"What’s your carbon footprint? When it comes to trying to reduce its size, even the little things can add up to be big things. Here are some questions to ask yourself before your next purchase, keeping your footprint in mind before you buy.",239,"[{'text': '👏', 'length': 1}, {'text': '👏👏', 'length': 2}, {'text': 'You rock! ShoppeGigi shoutout coming up soon 🌎💚💙', 'length': 48}, {'text': 'this is impactful. thank you!', 'length': 29}]"
Styling our favourite,<Post CcdP5XqrMQo>,482,5,[],17/04/22,"Styling our favourite spring staple. We asked our very own Creative and Marketing Intern @sweetbaby.jayde to show us how she styles our best-selling Babydoll Dresses.

☀️: Catch her tips and see her three looks in our stories!",226,"[{'text': 'an icon 😍', 'length': 9}, {'text': '👑', 'length': 1}, {'text': '🖤🖤', 'length': 2}, {'text': 'Just bought one 😍', 'length': 17}, {'text': '🤩🤩🤩🤩🤩', 'length': 5}]"
Magic in the,<Post CcaiLVhlxu4>,1457,19,[],16/04/22,"Magic in the making. 

✨: Behind the scenes with our best-selling Babydoll Dresses. An easy, breezy staple, entirely crafted from our signature long-staple Egyptian cotton. Available now!",187,"[{'text': '❤️❤️❤️', 'length': 6}, {'text': 'Pockets?', 'length': 8}, {'text': 'Love this so much 😍', 'length': 19}, {'text': 'Oh I love this for spring', 'length': 25}, {'text': 'Fav 🤍', 'length': 5}, {'text': '😍😍❤️', 'length': 4}, {'text': 'Love this dress so much 😍', 'length': 25}, {'text': '😍😍😍', 'length': 3}, {'text': 'neeeeeed', 'length': 8}, {'text': '😍', 'length': 1}, {'text': 'These are so cute 😊❤️❤️', 'length': 23}, {'text': 'This dress is so beautiful 💛✨', 'length': 29}, {'text': 'These look so cute!!!! 😍😍😍', 'length': 26}, {'text': 'I really wish you could show the clothes on shorter models, especially the longer dresses and cardigans. 5\'6"" is not short, sorry.', 'length': 130}, {'text': 'Does it fall at the natural waist, or higher?', 'length': 45}, {'text': 'What sizes are these models wearing?', 'length': 36}, {'text': '@kotn I sent a DM asking about whether or not size ranges are staying stocked in stores and haven’t heard back. You’re not the most size inclusive, so accessing those upper sizes can already be tough. Could you please reply?', 'length': 224}]"
