,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Met dit lenteweertje,<Post CcsgHheqRgV>,10,2,"['oseacosmetics', 'professionalcarefromheadtotoe', 'beautygroothandel', 'beautyleverancier', 'schoonheidsspecialiste', 'schoonheidssalon', 'waxing', 'pedicure', 'manicure', 'beauty', 'makeup', 'belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",23/04/22,"Met dit lenteweertje gaan de sandalen weer uit de kast en blijven we onze voeten goed verzorgen met de voetbalsems van O’Sea. Verhitte voeten, warme & transpirerende voeten, droge voeten en kloven. Voor ieder voetkwaaltje is er een oplossing. #oseacosmetics  #professionalcarefromheadtotoe #beautygroothandel #beautyleverancier #schoonheidsspecialiste #schoonheidssalon #waxing #pedicure #manicure #beauty #makeup #belgianbrand #belgie #vlaanderen #wallonie #nederland #oostende",478,"[{'text': 'We love our O’Sea products 😍👣', 'length': 29}, {'text': '😍', 'length': 1}]"
Noteer alvast dat,<Post CcIpVcPNPGt>,6,0,['happyeaster'],09/04/22,Noteer alvast dat O’Sea komende paasweek-end (za.16/04 en ma.18/04)gesloten is.  #happyeaster,93,None
Chris Farrell gelaatsverzorging,<Post CcDtk4IqLGO>,13,0,"['oseacosmetics', 'professionalcarefromheadtotoe', 'schoonheidssalon', 'schoonheidsspecialise', 'beautyleverancier', 'beautygroothandel', 'waxing', 'beauty', 'pedicure', 'manicure', 'makeup', 'belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",07/04/22,Chris Farrell gelaatsverzorging zonder parabenen & paraffine.  Op basis van essentiële oliën voor jong en minder jong.  Kennismakingspakket werd ge update en is opnieuw beschikbaar. #oseacosmetics #professionalcarefromheadtotoe #schoonheidssalon #schoonheidsspecialise #beautyleverancier #beautygroothandel #waxing #beauty #pedicure #manicure #makeup #belgianbrand #belgie #vlaanderen #wallonie #nederland #oostende,415,None
Glamlac verzorgingsproducten voor,<Post CbcRlomg4tW>,4,0,"['oseacosmetics', 'professionalcarefromheadtotoe', 'beautygroothandel', 'beautyleverancier', 'schoonheidssalon', 'schoonheidsspecialiste', 'waxing', 'pedicure', 'manicure', 'makeup', 'beauty', 'belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",23/03/22,"Glamlac verzorgingsproducten voor de manicure van topkwaliteit waaronder de nagelharder, cuticel, nagelolie, base en top verkrijgbaar bij O’Sea. Nog steeds aan de Beursvoorwaarden 6+1 #oseacosmetics #professionalcarefromheadtotoe #beautygroothandel #beautyleverancier #schoonheidssalon #schoonheidsspecialiste #waxing #pedicure #manicure #makeup #beauty #belgianbrand #belgie #vlaanderen #wallonie #nederland #oostende",418,None
Wij zijn er,<Post Ca9lxTyATXn>,18,0,"['opendag', 'oseacosmetics', 'zo130322']",11/03/22,Wij zijn er alvast klaar voor en kijken 👀 uit naar jullie komst. Tot zondag (10-17u) #opendag #oseacosmetics #zo130322,118,None
Welkom op de,<Post CaprfUvAJRr>,16,1,"['oseacosmetics', 'opendag', 'wezijnergraagbij', 'belgianbrand', 'beautygroothandel', 'pedicure', 'manicure', 'beauty', 'makeup']",03/03/22,Welkom op de open dag bij O’Sea op zondag 13 maart van 10-17u. Acties a volonté. En maak kennis met nieuwe producten. #oseacosmetics #opendag #wezijnergraagbij #belgianbrand #beautygroothandel #pedicure #manicure #beauty #makeup,228,"[{'text': '👏👏👏', 'length': 3}]"
Mia Italian brand,<Post CZFh5iyg8Ay>,23,2,"['oseacosmetics', 'professionalcarefromheadtotoe', 'beautygroothandel', 'beautyleverancier', 'schoonheidsspecialiste', 'schoonheidssalon', 'waxing', 'pedicure', 'manicure', 'beauty', 'makeup', 'belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende', 'miamakup', 'italianmakeup', 'brandmakup']",23/01/22,"Mia Italian brand make-up. Exclusief voor de schoonheidsspecialiste. Op basis van kleurpigmenten, vrij van parabenen. Vanaf heden verkrijgbaar bij O’Sea Cosmetics. #oseacosmetics #professionalcarefromheadtotoe #beautygroothandel #beautyleverancier #schoonheidsspecialiste #schoonheidssalon #waxing #pedicure #manicure #beauty #makeup #belgianbrand #belgie #vlaanderen #wallonie #nederland #oostende #miamakup #italianmakeup #brandmakup",435,"[{'text': '@axana_luypaert', 'length': 15}]"
no caption (1),<Post CZcPhKfgy-P>,8,1,[],01/02/22,no caption (1),0,"[{'text': 'Great colours 😍🌈', 'length': 16}]"
O’Sea Cosmetics professional,<Post CYzIxkNAXKn>,15,0,"['belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",16/01/22,"O’Sea Cosmetics professional care from head to toe. Professionele voetverzorgings producten op basis van allantoïne (huidherstellend). Gratis promotiemateriaal ter beschikking, nog tot 31januari ‘22 , -15% extra korting op de cabine en verkooppakketten. #belgianbrand #belgie #vlaanderen #wallonie #nederland #oostende",318,None
O’Sea Cosmetics is,<Post CYbbzDAAkN->,12,0,"['oseacosmetics', 'professionalcarefromheadtotoe', 'beautygroothandel', 'beautyleverancier', 'schoonheidsspecialiste', 'schoonheidssalon', 'waxing', 'pedicure', 'manicure', 'beauty', 'belgianbeand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",07/01/22,O’Sea Cosmetics is geopend van ma-vr alsook iedere za. 10-13u. Van harte welkom. #oseacosmetics #professionalcarefromheadtotoe #beautygroothandel #beautyleverancier #schoonheidsspecialiste #schoonheidssalon #waxing #pedicure #manicure #beauty #belgianbeand #belgie #vlaanderen #wallonie #nederland #oostende,307,None
O’Sea Cosmetics wenst,<Post CXxy_NfAbqn>,27,1,"['oseacosmetics', 'professionalcarefromheadtotoe', 'beautyleverancier', 'beautygroothandel', 'schoonheidsspecialiste', 'schoonheidssalon', 'waxing', 'pedicure', 'manicure', 'beauty', 'makeup', 'belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",22/12/21,O’Sea Cosmetics wenst je prettige kerstdagen 🤶🎄en een gezond 2022🥂. Geopend t/m 24/12-16u en terug vanaf ma.03/01/2022.#oseacosmetics #professionalcarefromheadtotoe #beautyleverancier #beautygroothandel #schoonheidsspecialiste #schoonheidssalon #waxing #pedicure #manicure #beauty #makeup #belgianbrand🇧🇪 #belgie #vlaanderen #wallonie #nederland #oostende,355,"[{'text': 'Happy Christmas & Happy New Year 😍', 'length': 34}]"
O’Sea extra 💯,<Post CWp_kt0AaGu>,21,0,"['oseacosmetics', 'professionalcarefromheadtotoe', 'beautygroothandel', 'beautyleverancier', 'xschoonheidssalon', 'schoonheidsspecialiste', 'waxing', 'pedicure', 'manicure', 'beauty', 'makeup', 'belgianbrand', 'belgie', 'vlaanderen', 'wallonie', 'nederland', 'oostende']",24/11/21,O’Sea extra 💯 is opnieuw leverbaar. Zeer droge voeten 🦶 en kloven zijn de specifieke toepassingen voor deze topper. #oseacosmetics #professionalcarefromheadtotoe #beautygroothandel #beautyleverancier #xschoonheidssalon #schoonheidsspecialiste #waxing #pedicure #manicure #beauty #makeup #belgianbrand #belgie #vlaanderen #Wallonie #nederland #oostende,351,None
