,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
‘Solidarity’ is the,<Post Cc8EYDTIq9T>,-1,8,"['solidarity', 'jointhepact', 'linkinbio', 'membernews', 'inspiration', 'connections', 'makeimpact', 'youngcreatives', 'connection']",29/04/22,"‘Solidarity’ is the title of this work. Made by our member Serana, who keeps broadening their horizon as graphic designer. Head over to @seranaangelista for more of their work!
*
*
*
#solidarity #jointhepact #linkinbio #membernews #inspiration #connections #makeimpact #youngcreatives #connection",296,"[{'text': '🔥', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': '💚', 'length': 1}, {'text': '😍😍😍', 'length': 3}]"
Never forget: this,<Post Cc0RSkVIonF>,-1,0,"['makeanimpact', 'quotes', 'inspiration', 'impact', 'connection', 'connections', 'creativity', 'youngcreatives']",26/04/22,"Never forget: this is your story. 
*
*
*
#makeanimpact #quotes #inspiration #impact #connection #connections #creativity #youngcreatives",136,None
For our Dutchies!,<Post Ccpcfi-oxh_>,35,2,"['membernews', 'vprodorst', 'checkitout']",22/04/22,"For our Dutchies!

Onze vrienden van VPRO Dorst hebben hun aanmeldingen voor 2022 geopend! Heb jij een origineel idee voor een korte non-fictie serie of film? Met behulp van masterclasses, ervaren coaches en door simpelweg te maken, word jij in 2 maanden klaargestoomd tot programmamaker. Meer info: @vprodorst 
*
*
*
#membernews
#vprodorst #checkitout",352,"[{'text': 'yess👏🔥', 'length': 6}, {'text': '🙌', 'length': 1}]"
🚨PACT is looking,<Post CYmKy0soVXW>,-1,1,"['jointhepact', 'linkinbio', 'jointheteam', 'dontforgettoshare', 'lookingforanintern', 'whowantstogrow', 'wholikestoconnect', 'wholikestoinspire', 'wholikestomakeanimpact', 'connections', 'makeimpact', 'youngcreatives', 'growingoldergettingbolder']",11/01/22,"🚨PACT is looking for a new intern!🚨Are you that special someone? Someone who knows a thing or two about designing, Photoshop and social media, but also likes to think about the concepts. Someone who is not afraid of a little challenge. And someone who won’t be getting anyone’s coffee order, but will join the team with some real responsibilities. Check the full description in bio.
*
*
*
*
#jointhepact 
#linkinbio #jointheteam #dontforgettoshare #lookingforanintern #whowantstogrow #wholikestoconnect #wholikestoinspire #wholikestomakeanimpact #connections #makeimpact #youngcreatives ##growingoldergettingbolder",614,"[{'text': 'Promote at @inkpen_ig 3M+', 'length': 25}]"
"Members, listen up!",<Post CcTSc2ZIZzi>,-1,4,"['foam', 'foamamsterdam', 'youngcreatives', 'jointhepact', 'inspiring', 'connecting', 'impact', 'pactcollective', 'inspiration', 'community', 'makeanimpact', 'supportthecommunity', 'art']",13/04/22,"Members, listen up! Tomorrow, you can claim the Foam museum! The students of ‘Your Foam’ believe that the museum belongs to all of us. So come by, for free! There will be several workshops, an interesting talk* and a tour by the Foam Forward crew. In addition, they will be serving snacks and end the night with a silent disco. 🕺
*The talk will be held in Dutch.
claim your spot at the website:
www.foam.org 

*
*
*
#foam #foamamsterdam #youngcreatives #jointhepact #inspiring #connecting #impact #pactcollective #inspiration #community #makeanimpact #supportthecommunity #art",576,"[{'text': '❤️\u200d🔥', 'length': 4}, {'text': '🔥🔥🔥❤️', 'length': 5}]"
🧡Would you just,<Post CcQOSZpIEWZ>,21,4,"['jointhepact', 'pactmembers', 'linkinbio', 'creativity', 'typography', 'inspire', 'connection', 'creativedirector', 'creativity', 'pactmembers']",12/04/22,"🧡Would you just look at that smile! The energy of our member @kevipj is unmatched. His dynamic personality shines through in his work too! Take a look at his typography skills and you’ll see what we mean…

*
*
*
#jointhepact
#pactmembers
#linkinbio #creativity #typography #inspire #connection #creativedirector #creativity #pactmembers",336,"[{'text': 'Send it on @netherlands_fams🔥🔥', 'length': 30}, {'text': 'Go @kevipj 🔥🔥🔥', 'length': 14}]"
Got a new,<Post CcNjQnrIfOk>,-1,0,"['supportthecommunity', 'youngcreatives', 'jointhepact', 'inspiration', 'impact', 'connection', 'connections', 'creativity', 'makeanimpact']",11/04/22,"Got a new project, campaign, illustration, song or event everybody needs to know about? Let us know! We are selecting work for our monthly PACT letter again. So who knows… maybe our curators will choose your work. 

👇👇👇
Link in bio. 
* * *
#supportthecommunity #youngcreatives #jointhepact #inspiration #impact #connection #connections #creativity #makeanimpact",361,None
🙌Full house! Once,<Post CcF5OsdIwME>,38,3,"['jointhepact', 'impactsession', 'afternoonessions', 'inspiring', 'connecting', 'impact', 'raiseyourvoice', 'speakyourmind', 'pactcollective', 'inspiration', 'community']",08/04/22,"🙌Full house! Once again we invited some PACT mentors at our office. This IMPACT session was filled with great discussions, challenging questions & tempura shrimp crumbs. TY all for brainstorming with us!
*
*
*
*
*
#jointhepact
#impactsession #afternoonessions #inspiring #connecting #impact #raiseyourvoice #speakyourmind #pactcollective #inspiration #community",361,"[{'text': '😍', 'length': 1}, {'text': '🙌', 'length': 1}, {'text': '❤️', 'length': 2}]"
The cheesy truth!,<Post CcBXVhPo1CU>,-1,0,"['develop', 'jointhepact', 'makeanimpact', 'quotes', 'inspiration', 'impact', 'connection', 'connections', 'creativity', 'supportthecommunity', 'youngcreatives']",06/04/22,"The cheesy truth! ;) Miss, evaluate, do it again. Learning from each other is priceless. Join the pact. 

👇👇👇
Link in bio. 
* * *
#develop #jointhepact #makeanimpact #quotes #inspiration #impact #connection #connections #creativity #supportthecommunity #youngcreatives",268,None
Frenna looking freshhh!,<Post Cb-jgsQIFjh>,-1,2,"['atoasttotheculture', 'havanaclubxfrenna', 'membernews', 'jointhepact', 'connecting', 'makeanimpact', 'supportthecommunity', 'youngcreatives']",05/04/22,"Frenna looking freshhh! Our PACT member @calvinpausania (photographer/director) did it again. In this new campaign ‘Toast to the Culture’ he worked his magic behind the camera with @frenna777 in collaboration with @havanaclub 

Credits to: @botter_paris @segartists @mrwix_ @julianroebling 

Get your Limited Edition bottle via havana-club.com 🥃 
Bottoms up! 

[Please drink responsibly]
*
*      
*
#atoasttotheculture #havanaclubxfrenna #membernews #jointhepact #connecting #makeanimpact #supportthecommunity #youngcreatives",526,"[{'text': '🔥', 'length': 1}, {'text': '😍😍', 'length': 2}]"
Our members received,<Post Cb2H5z9IqLW>,-1,6,"['jointhepact', 'linkinbio', 'pactletter', 'creativity', 'cruel', 'inspire', 'connection', 'avantgardeclothing', 'creativity', 'pactmembers']",02/04/22,"Our members received their PACT letter again! Including an exclusive interview with our member @cruelwilll About maturing, inner closure and of course his brand CRUÈL. Intrigued? Link in bio!
*
*
*
#jointhepact
#linkinbio
#PACTletter #creativity #CRUEL #inspire #connection #avantgardeclothing #creativity #pactmembers",318,"[{'text': '👏', 'length': 1}, {'text': '🖤', 'length': 1}, {'text': '❤️🕊', 'length': 3}]"
Happy Friday! We're,<Post Cbz84pfomAD>,-1,6,"['jointhepact', 'connecting', 'newsingle', 'birthday', 'anthem', 'vocals', 'makeanimpact', 'shareyourvoice']",01/04/22,"Happy Friday! We're heading into the weekend with some fun news! 
Our PACT member @felicianacacciapuoti returns with her new single ‘Birthday’. Opening with smooth vocals and a sample that anchors the track. It is weightless, but pounding and vitally celebratory, as a R&B birthday anthem is supposed to be.
 
You can stream the single from today. 

Produced by @walshyfire + @therealsmurv 
mixed by @ferminsuerojr

*
*
*
#jointhepact #connecting #newsingle #birthday #anthem #vocals #makeanimpact #shareyourvoice",513,"[{'text': 'Thank you for all the love 🥰🥰🥰', 'length': 30}, {'text': '😍😍', 'length': 2}, {'text': '🔥🔥🔥', 'length': 3}]"
