,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
The foundation may,<Post Cc8enRHMWZ->,7947,11,[],29/04/22,"The foundation may need some work, but the views are tough to beat.

Photo: Eliza Earle / @eliza_earle",102,"[{'text': 'Happy Birthday Alexandra! Great pic! Stunning location.', 'length': 55}, {'text': 'Looks like adventure @patagonia', 'length': 31}, {'text': 'estamos pasando por una situación muy difícil con mi hijo ni cuanto con un empleo soy una persona de escasos recursos se los suplico que me ayuden con algo de comidita ayúdenme por favor se los pido de todo corazón esto es muy duro para mi al ver que mi hijo me pide hambre y no poderle dar😢😢😢', 'length': 293}, {'text': ""I'm in a dire need of a change of environment and a real connection."", 'length': 68}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'This looks like such a great trail!', 'length': 35}, {'text': '🔥🔥🔥❤️❤️❤️', 'length': 9}, {'text': 'This caption 👏👏', 'length': 15}]"
Climate justice is,<Post Cc5j20whukm>,4581,20,[],28/04/22,"Climate justice is social justice. Add your name to help secure the rights of a community displaced by climate change and watch @NewtokFilm through the link in bio. 

Film by: @Andrew__Burton and @MiKirbySmith",209,"[{'text': 'This is Your top photo💞', 'length': 23}, {'text': 'Love the planet ❤️', 'length': 18}, {'text': 'I crash and burn🔥❤', 'length': 18}, {'text': '🔥🔥🔥🔥🔥😍😍😍', 'length': 8}, {'text': 'Powerful.', 'length': 9}, {'text': 'amazing film!', 'length': 13}, {'text': 'I love Patagonia why does everyone hate on them sense that tucker dood read off a teleprompter', 'length': 94}, {'text': 'Sucks. Some places just aren’t good for long term human habilitation.', 'length': 69}, {'text': '👏', 'length': 1}, {'text': '🔥', 'length': 1}, {'text': '❤️❤️', 'length': 4}, {'text': ""@patagonia Are you only able to add your name if you're in the US? 🙏"", 'length': 68}, {'text': ""@patagonia @patagoniaprovisions @patagoniavta help us natives by hiring more inclusively, at every level of the organization, don't use us as your token for inclusivity. That hurts deeply, far more than it brings awareness of the problem without being part of the solution. You use us as a PR stunt. Hire more diversely, Your entire management staff is as shamefully monochromatic and culturally ethnocentric as it gets. Shame on you for marketing without practicing, just look at your history of diversity, inclusion and racism staff. Your HR department is about as blond as it gets!"", 'length': 584}, {'text': '@keithalv77', 'length': 11}, {'text': '@patagonia looking forward to have an opportunity from your side to serve with best moto', 'length': 88}]"
Sometimes you gotta,<Post Cc3N4CZJrLe>,27581,101,[],27/04/22,"Sometimes you gotta walk it a couple steps back to step forward again. 
Video: @keahideaboitiz",94,"[{'text': 'Homie I am LIVING for your vintage throwback content eta 🙌', 'length': 58}, {'text': '#champ', 'length': 6}, {'text': 'Fabulous foot work!', 'length': 19}, {'text': 'Mooooooona! 😍', 'length': 13}, {'text': '🤘😎🤘', 'length': 3}, {'text': 'Is this @moonawhyte ?', 'length': 21}, {'text': '@keahideaboitiz @moonawhyte 🥰😍', 'length': 30}, {'text': '@dannijo7 @sophieroselt let’s go here', 'length': 37}, {'text': '@saiyai @jokeiz415 goals....', 'length': 28}, {'text': '@kaiyabubba the dream.', 'length': 22}, {'text': 'So vo @laubalmaceda_lau ?', 'length': 25}, {'text': '@suzciezlica', 'length': 12}, {'text': '@___ryan_smith___  the dream', 'length': 28}, {'text': '@alexeyhonorio', 'length': 14}, {'text': '@trisimboden look at this beautiful ride. Art!🔥', 'length': 47}, {'text': '@michellelakin they took a video of you surfing 😉☺️ missed you sistera! Xoxo', 'length': 76}, {'text': '@sha.dano', 'length': 9}, {'text': '@jnycrl', 'length': 7}, {'text': 'looks a lot like @nique_miller style ... 😶😗', 'length': 43}, {'text': ""@ryanharpur I reckon if I'd gone bigger than the 9ft board I would have nailed it. Looks easy on a bigger board 🤔 😂"", 'length': 115}, {'text': '@matthewrdesantis 🤙🤙', 'length': 20}, {'text': '@anais_gats is it you 🙌', 'length': 23}, {'text': '😍 @belllaroses', 'length': 14}, {'text': '@humoyesua', 'length': 10}, {'text': '@michiamoestate', 'length': 15}, {'text': '@tomubolds diventare così', 'length': 25}, {'text': '@superquickjellyfish', 'length': 20}, {'text': '@alicedesmoutisperrine', 'length': 22}, {'text': '@pjbeeparker 😍', 'length': 14}, {'text': '@kristie.yung this reminded me of you! 🌊', 'length': 40}, {'text': '@beej76', 'length': 7}, {'text': '@reachforeden', 'length': 13}, {'text': '@reamrangel 👏👏👏', 'length': 15}, {'text': 'That water 😍😍😍', 'length': 14}, {'text': 'That reef-ballsy!!', 'length': 18}, {'text': 'Beautiful 👏', 'length': 11}, {'text': ""Who's the surfer please?"", 'length': 24}, {'text': 'Dont fall', 'length': 9}, {'text': '👏👏👏', 'length': 3}, {'text': 'So Nice and smooth 🙌.', 'length': 21}, {'text': 'The water!!!!', 'length': 13}, {'text': 'So true 😍', 'length': 9}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '🙏🙏🙏', 'length': 3}, {'text': 'Hermosa metáfora de la vida 👏❤️', 'length': 31}, {'text': 'All those rocks! No thanks.', 'length': 27}, {'text': 'Wow!! Water is amazing, what an amazing experience', 'length': 50}, {'text': 'Awesome', 'length': 7}, {'text': 'I can’t even stand up on a board she out here dancing!!!', 'length': 56}, {'text': 'Fantastisch !!!!🔥🔥🔥🔥🔥❤️😍', 'length': 24}]"
“The climate crisis,<Post Cc0n5WaJfhZ>,4538,23,[],26/04/22,"“The climate crisis we’re facing is an opportunity for people to recognize the power of Indigenous knowledge and to recognize that tribes have the ability, if we could empower them, to help co-manage the environment up and down the state.”—Kouslaa Kessler-Mata, Yak Tityu Tityu Yak Tiłhini Northern Chumash and Yokut
 
Along California’s windswept coast, in the rocky crags and tide pools, California Indians (as this group prefers to be called) have subsisted for millennia on fish, abalone and seaweed, never taking more than can be naturally replaced. The effects of the climate crisis combined with unsustainable harvesting by non-native people have decimated their traditional food sources. Today, despite regulations, they continue the hard work of subsistence gathering and keep their cultural practices alive.
 
Watch Holdfast through the link in bio.",859,"[{'text': '✅🔆🆓', 'length': 3}, {'text': 'rock on patagonia 🤘🏼we love to see it', 'length': 37}, {'text': 'Nice 💯👌🏽😈', 'length': 9}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'Indigenous peoples rise 👏🙌', 'length': 26}, {'text': '👏👏👏', 'length': 3}, {'text': 'Thank you...', 'length': 12}, {'text': 'Isn’t the point of fishing licenses for preservation of the fish and abalone though so they don’t get overfished', 'length': 112}, {'text': '🐚🙏', 'length': 2}, {'text': '👏👏', 'length': 2}, {'text': '❤️🙌❤️', 'length': 5}, {'text': '🙌', 'length': 1}, {'text': '👏🙌❤️', 'length': 4}, {'text': '❤️', 'length': 2}, {'text': '👀', 'length': 1}, {'text': 'This is awesome! We are starting a sustainable outdoors brand based out of Kent, Ohio and we think it would be something you would like. Check us out!', 'length': 150}]"
She knows what,<Post Ccx8LDUlhrw>,11172,27,[],25/04/22,"She knows what to take time for. @patagoniakids

Photo: Somira Sao / @somirasao",79,"[{'text': 'I can’t find this jacket on your site? Direct link please', 'length': 57}, {'text': '😍😍 too cute', 'length': 11}, {'text': 'Love our kids and baby Patagonia wear so hard wearing and comfortable. We wouldn’t choose any other brand now 🙌', 'length': 111}, {'text': 'Beautiful 💜💜☀️💜💜', 'length': 16}, {'text': 'Soooo cute!!!!', 'length': 14}, {'text': 'Lavender magic 😍', 'length': 16}, {'text': 'Bijzonder mooi foto !🔥🔥🔥🔥😍', 'length': 26}, {'text': 'Priotirites are straight!', 'length': 25}, {'text': '可愛い😍😍😍😍', 'length': 7}, {'text': '❤️', 'length': 2}, {'text': '😍😍', 'length': 2}, {'text': '💕💕', 'length': 2}, {'text': '😍❤️❤️', 'length': 5}, {'text': 'Tormentina!:😍', 'length': 13}, {'text': '👏👏👏', 'length': 3}, {'text': '💜', 'length': 1}, {'text': '💜', 'length': 1}, {'text': '😃😉', 'length': 2}, {'text': 'https://youtu.be/365ixInMiUE', 'length': 28}, {'text': '@somirasao beautiful', 'length': 20}, {'text': '@chocolandrea 😆', 'length': 15}, {'text': '@noefzgz foto 🔝', 'length': 15}, {'text': ""Thanks for restoring my happiness those period I invested $500\nand to my greatest surprise I got a return of $1,400 in just 2days her reliability can't be equated @trade_with_joan__"", 'length': 181}, {'text': ""I've been seeing post everywhere and lot of people keep saying reach out to her and eventually I did and it turned out to be legit I invested $2500 and got $20,500 @trade_with_joan__"", 'length': 182}, {'text': 'Opportunities will always come your way but if you have already accepted defeat, you might not get to see what life has in store for you. You are the best I must recommend @elizabeth_financial_services_', 'length': 202}]"
Yup’ik residents will,<Post CcvNUUPsUe1>,10157,64,[],24/04/22,"Yup’ik residents will become some of America’s first climate refugees. This is a film about a village seeking justice in the face of climate disaster.

Watch @NewtokFilm through the link in bio. 

Film by: @Andrew__Burton and @MiKirbySmith",239,"[{'text': 'This is reality! And it’s so sad! 😢', 'length': 35}, {'text': 'Seeing this all over Alaska. People who have been subsisting on the land and water here for time immemorial, losing their homes to climate change, on the ocean from erosion or inland due to permafrost melting. It’s pretty devastating how climate change disproportionately affects people who have the smallest voices.', 'length': 316}, {'text': 'Love and hope 😈', 'length': 15}, {'text': 'Colonialism has starved and killed more indigenous communities than ""climate change"" ever will, but instead of returning land for the remaining tribes to subsist and live with, let\'s just demand justice from the weather and sue the climate.', 'length': 240}, {'text': 'Way to go Patagonia, how bout you just get boots on the ground and help instead of blaming everybody else', 'length': 105}, {'text': 'Thank you for investing into things like this to create awareness ❤️', 'length': 68}, {'text': ""Climate change is not what indigenous communities are suffering from. But let's not talk about the elephant in the room."", 'length': 120}, {'text': 'What a story and how can I help', 'length': 31}, {'text': ""This is happening all up and down the west coast of AK and the Kobuk River drainage. Increase temps (air and water) cause erosion and mass flooding. If it's not break-up causing flooding it's the increase in severe weather. It's been happening for decades, thankful light is finally being shed on it. The voices that have crying out for help are exhausted."", 'length': 356}, {'text': 'Heart breaking 💔', 'length': 16}, {'text': 'this is terrible wow', 'length': 20}, {'text': 'Amazing work! I cant wait to share my film of Alaska!', 'length': 53}, {'text': '“Climate change”', 'length': 16}, {'text': 'Climate change something that is being made to be what it’s not! A bunch of rich higher class who were looking for a way to capitalize off of bleeding heart people more.  We can not change the earths axis', 'length': 204}, {'text': 'It has nothing to do with climate change, the gov is forcing them out, has everything to do with agenda 2030.', 'length': 109}, {'text': 'I’m curious about some stuff. America is held to s higher standard and mostly we seem to care about this, what about countries like China and India that don’t care and openly say they’ll be worse in the near future', 'length': 214}, {'text': 'Saw it.  So very sad.', 'length': 21}, {'text': 'The village is also on the outside bend of the river and no one can control the will of a river even if they tried.', 'length': 115}, {'text': 'Wow nature doing nature things it’s almost like the world knows that they’re terrible for the environment', 'length': 105}, {'text': 'Thank you for bringing awareness. We will do what we can to give our customers and team opportunities to make make an impact!', 'length': 125}, {'text': 'Seriously????', 'length': 13}, {'text': 'How do you seek justice from a natural event like a storm?', 'length': 58}, {'text': 'Enjoy 🙌', 'length': 7}, {'text': 'are there subtitles??', 'length': 21}, {'text': '😢', 'length': 1}, {'text': '☮️', 'length': 2}, {'text': '😮😮😢', 'length': 3}, {'text': 'Thank you @patagonia ❤️', 'length': 23}, {'text': 'Thanks for calling attention to this and other climate issues @patagonia. Maybe you could lead by example by not using petroleum-based materials in your products?', 'length': 162}, {'text': 'This looks really interesting @stephanie_2me', 'length': 44}, {'text': '😢😢😢', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': '😮😮', 'length': 2}, {'text': '😍', 'length': 1}, {'text': '😮😢', 'length': 2}, {'text': '😮', 'length': 1}, {'text': '🙏🏻', 'length': 2}, {'text': 'Ask the communist Chinese what they are doing to slow global warming. Because we America has done our part.', 'length': 107}, {'text': ""The ones that should be paying and helping correct climate change is only the major corporations. I do not make their products I simply use them. If I were running the show we wouldn't be building things that last 3-5 years max. We'd be building things that last for generations. We'd have cures and food for all."", 'length': 313}, {'text': 'How dare the climate trash their village with all that trash. SMH what’s this world coming to?', 'length': 94}]"
Water will erase,<Post Ccp_9mhMB1V>,11485,87,[],22/04/22,"Water will erase Newtok, Alaska. To keep their culture and community intact, the Yup’ik residents must relocate their entire village upriver while battling government inertia. They will become some of America’s first climate refugees. This is a film about a village seeking justice in the face of climate disaster.

Watch @NewtokFilm now through the link in bio. 

Film by: @Andrew__Burton and @MiKirbySmith",407,"[{'text': ""I can't find the link to watch the film? Just trailers😔... is it available to watch?? TY☮️❤️"", 'length': 92}, {'text': 'How can I see this documentary?', 'length': 31}, {'text': '#earthday 👏👏👏', 'length': 13}, {'text': '“Well if it isn’t happening to me, it mustn’t be a real problem”….A lot of that going around. 🙈🙉🙊', 'length': 97}, {'text': 'Unbelievable! 😢 will definitely be watching this tonight', 'length': 56}, {'text': 'So important. Thank you for sharing.', 'length': 36}, {'text': 'I get that this is tragic but so is thinking that things will always be there and you’ll never have to move or change what you do. The earth is changing and not a person I know hasn’t had to change with it.', 'length': 206}, {'text': '354 people? Living in a hash tenable location near a large sea? Ummmmmmm', 'length': 72}, {'text': 'Yeah but the people of Alaska elect GOP congresspeople who do absolutely nothing about this. How do you square that circle? 😮', 'length': 125}, {'text': 'This trailer alone made my blood run cold. Will definitely watch it 👏🏻', 'length': 70}, {'text': 'I personally spent 2 months there, last year building 10 homes in the new village near there. There has been a relocation project running at least 5 years now. To watch the erosion first hand is wild.', 'length': 200}, {'text': '😢😢😢', 'length': 3}, {'text': 'Same phenomenon to apply round the coastal world - we are all Newtok.', 'length': 69}, {'text': 'Wow', 'length': 3}, {'text': 'Excited to watch, learn, change! Thank you! ❤️', 'length': 46}, {'text': 'Whoa 😮 ❤️', 'length': 9}, {'text': 'i’m yupik', 'length': 9}, {'text': 'I love this brand ❤️', 'length': 20}, {'text': 'Sea levels around Alaska are actually dropping, some of which due to Alaska itself rising. Along with that as ice caps are melting in the Arctic  ice caps are growing in the bearing sea. Google: Is Alaska’s sea level Rising? The answers are easy to find. Patagonia should change its name to propaganda. Climate change needs to be addressed but the scientific community also needs to be more transparent. As a wildlife biologist I can tell you that you are only getting the info that is being allowed to be reported.', 'length': 515}, {'text': 'Shishmaref and others', 'length': 21}, {'text': ':( Tom John', 'length': 11}, {'text': 'Heartbreaking 💔', 'length': 15}, {'text': '🙌🏽❤️🙌🏽', 'length': 6}, {'text': ""@theurbanfarmhands @rydagaines @lolagaines8 Let's watch this weekend!"", 'length': 69}, {'text': '🙏🏼🌍🙏🏼🌍 My thoughts are with the people ln Newtok @newtokfilm', 'length': 60}, {'text': '@jemtif', 'length': 7}, {'text': '@kaidiver', 'length': 9}, {'text': '@teklacayers you can watch from home now.', 'length': 41}, {'text': '@beej76', 'length': 7}, {'text': 'Sadly, with earth day upon us, even in 70’s we knew and vocalized change was needed! Unfortunately @newtok is 1 example of poor government understanding and unbridled greed that plagues our nation’s servants.', 'length': 208}, {'text': '❤️', 'length': 2}, {'text': '💔😢', 'length': 2}, {'text': '👏❤️', 'length': 3}, {'text': '😮😮😢😢', 'length': 4}, {'text': '❤️', 'length': 2}, {'text': '❤️🔥', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': '👏', 'length': 1}, {'text': '😢', 'length': 1}, {'text': '😢', 'length': 1}, {'text': '👏👏👏', 'length': 3}, {'text': 'Not true. PROPAGANDA.', 'length': 21}, {'text': 'Fake news', 'length': 9}, {'text': 'Climate-deniers don’t care because they don’t care about what happens to their way of life. I can only surmise that it is because they’re racist or fail to recognize and act to remedy the racism in their world view.', 'length': 215}]"
Compost like our,<Post CcnhjksM5P3>,7849,11,[],21/04/22,"Compost like our future depends on it (because it does). Abby Zac fills the wheelbarrow with future soil at Wolf Ridge Organic Farm, a land stewardship learning center in Finland, Minnesota.

Photo: Leslie Hittmeier / @lesliehittmeier",234,"[{'text': '🔥', 'length': 1}, {'text': 'Go go @patagonia!', 'length': 17}, {'text': '👏👏👏', 'length': 3}, {'text': '😮😮😮', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': 'Yes to composting 💯👏', 'length': 20}, {'text': ""So awesome! Thank you so much for reppin' my home state @patagonia (btw for the rest of y'all if you visit hit up the North Shore and BWCA!)"", 'length': 140}, {'text': '💚', 'length': 1}, {'text': 'Mmm mmm delicious!', 'length': 18}, {'text': '🙌🏽❤️🙌🏽🌱', 'length': 7}, {'text': '❤️ You all!!!🙌', 'length': 14}]"
Shout out to,<Post CcjCH9qpqKw>,7028,38,[],19/04/22,"Shout out to all those that have about 25 extra pounds on their backs and still manage to get playful while getting the job done.

Rider: @pedalhomie
Video: @elliottmilner",171,"[{'text': '@pedalhomie get em!', 'length': 19}, {'text': 'This is so satisfying to watch!', 'length': 31}, {'text': 'Looks a ton like Gooseberry Mesa in Utah', 'length': 40}, {'text': '7up in Moab?', 'length': 12}, {'text': 'Yewwwhoooo', 'length': 10}, {'text': '👏👏👏', 'length': 3}, {'text': 'This is so cool and beautiful🔥', 'length': 30}, {'text': 'Man, I wish I had the time to do this.', 'length': 38}, {'text': 'Y’all need a tour guide next time?', 'length': 34}, {'text': 'Sedonaaaa 😍', 'length': 11}, {'text': 'Sedona ❤️', 'length': 9}, {'text': '🔥🔥🔥 sick dude', 'length': 13}, {'text': '❤️ my son and grandson  are so in to this.', 'length': 42}, {'text': 'Ahhhmazing 🔥🔥', 'length': 13}, {'text': 'Wow👏😮', 'length': 5}, {'text': '🏄🏾\u200d♂️🏄🏾\u200d♂️', 'length': 10}, {'text': '🔥', 'length': 1}, {'text': '🙌🏽❤️🙌🏽', 'length': 6}, {'text': '🙌🏾', 'length': 2}, {'text': '💪🏻💪🏻💪🏻', 'length': 6}, {'text': '🔥🔥🔥🔥🔥', 'length': 5}, {'text': '🔥', 'length': 1}, {'text': 'mountains look more mike Sedona - maybe mescal trail?', 'length': 53}, {'text': '@darrenomg', 'length': 10}, {'text': 'Yeah @pedalhomie 🙌', 'length': 18}, {'text': '👀 @pedalhomie 👀', 'length': 15}, {'text': '@timstevens.photo you', 'length': 21}, {'text': '@skisandtrees', 'length': 13}]"
Lean in. Photo:,<Post Ccfzgq9MAGv>,59811,349,[],18/04/22,"Lean in. 
Photo:  @vickyvicti",29,"[{'text': ""I'm pretty cool leaning into my couch right now 😂"", 'length': 49}, {'text': '#strongchin', 'length': 11}, {'text': 'Tag me cowards', 'length': 14}, {'text': 'That splitter tho 👀', 'length': 19}, {'text': 'Nice melly', 'length': 10}, {'text': 'Who’s the climber? Credit athlete and photog always please', 'length': 58}, {'text': '@patagonia tag the climber!!! @jckngnt', 'length': 38}, {'text': '@isaac_harding_01 @hutchins._c Madness…', 'length': 39}, {'text': 'Ay ya plebs tag the climber @jckngnt', 'length': 36}, {'text': '@matthewrconroy 👀 is this you?', 'length': 30}, {'text': ""That's a melly! @melanzana_leadville"", 'length': 36}, {'text': '@marianna.georgouli', 'length': 19}, {'text': 'Tag this dude @jckngnt.... people not named Patagonia care to be credited', 'length': 73}, {'text': '@elijahasa', 'length': 10}, {'text': '@melanzana_leadville', 'length': 20}, {'text': '@anne_theriault', 'length': 15}, {'text': '@shauntoughh', 'length': 12}, {'text': '@americanriver', 'length': 14}, {'text': 'TAG HIM @jckngnt', 'length': 16}, {'text': 'Let’s go @vickyvicti 👏', 'length': 22}, {'text': '@lestatt 😳', 'length': 10}, {'text': '@tufenuf31', 'length': 10}, {'text': '@austinezman', 'length': 12}, {'text': '@k_eith__', 'length': 9}, {'text': '@finn_howell_', 'length': 13}, {'text': '@melanzana_leadville', 'length': 20}, {'text': '@xxholzz lean in…', 'length': 17}, {'text': '@annalouisetodsen I have the fear', 'length': 33}, {'text': '@_michelesacco direttissima mazzotti', 'length': 36}, {'text': ""@juliebellula y'a plus qu'à s'entraîner ! 🤯😅"", 'length': 44}, {'text': 'Tilt your phone 90 deg 😂', 'length': 24}, {'text': '@melanzana_leadville !', 'length': 22}, {'text': '@mikeylunks \U0001fae3', 'length': 13}, {'text': 'He is laying on the ground 😂', 'length': 28}, {'text': 'I got chills just looking at this. So brave!', 'length': 44}, {'text': 'BRO what is he standing on?!', 'length': 28}, {'text': 'Nope.', 'length': 5}, {'text': 'Nope.', 'length': 5}, {'text': 'Oh hell no!!', 'length': 12}, {'text': 'Melly in the wild', 'length': 17}, {'text': 'Maybe he’s just laying on the ground?', 'length': 37}, {'text': 'In the melanzana 😎', 'length': 18}, {'text': ""That's a hard Nope."", 'length': 19}, {'text': 'The melly drip🔥🔥', 'length': 16}, {'text': 'Wow 😯', 'length': 5}, {'text': 'WoW!!! 👏', 'length': 8}, {'text': 'Lol no thanks 😂', 'length': 15}, {'text': ""Turn it to the side he's just laying down 😂"", 'length': 43}, {'text': 'wow...', 'length': 6}, {'text': 'How are we supposed to look at this picture?', 'length': 44}]"
