,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
@kendalljenner just being,<Post Cc6mDn9p1kR>,9157,44,[],29/04/22,@kendalljenner just being @kendalljenner in Ref Vintage.,56,"[{'text': ""Umm... Do y'all still sell this dress? Because please!."", 'length': 55}, {'text': 'What dress is this?!', 'length': 20}, {'text': ""Sandra bullock a la 90's"", 'length': 24}, {'text': 'You know what I love about Kendall Jenner? I almost never hear about her.', 'length': 73}, {'text': 'Since when does she have red hair?', 'length': 34}, {'text': 'Does anyone know just the name of the dress?', 'length': 44}, {'text': 'Thought this was Taylor Swift 😭', 'length': 31}, {'text': 'She looks like someone mashed Taylor Swift and Scarlett Johansson together ❤️', 'length': 77}, {'text': 'Well I wish you chose someone who doesn’t have 100k clothes that they wear only once for your ambasador. She and other rich kids promote overconsumption which is real bad for environment. Your brand is supposed to be green, no?', 'length': 227}, {'text': 'Please make the Belgium Linen Dress in Es! The danube color fits small and I’d love for it to fit more comfortably 🥺', 'length': 116}, {'text': 'Dress me up in dresses ✨🤍', 'length': 25}, {'text': 'Thought she was Bella Thorne 😮', 'length': 30}, {'text': 'Ok brb adding to cart 😍😍😍', 'length': 25}, {'text': 'She really looks somehow different now.', 'length': 39}, {'text': 'Um guys press the @ and go to her page. That’s def Kendall Jenner.', 'length': 66}, {'text': 'she is so so not kendall', 'length': 24}, {'text': '🔥🔥🔥🔥🔥', 'length': 5}, {'text': 'sexy..', 'length': 6}, {'text': 'Keep finding these dresses! Beautiful', 'length': 37}, {'text': 'Honestly the look is so amazing', 'length': 31}, {'text': 'First', 'length': 5}, {'text': 'That’s not her', 'length': 14}, {'text': 'KJ JK', 'length': 5}, {'text': '👏👏', 'length': 2}, {'text': '@reformation dress name?', 'length': 24}, {'text': '@reformation Will the Cooper top in Corsica be restocked?', 'length': 57}, {'text': '@reformation bring it back please 🙏', 'length': 35}, {'text': '@its_a_graffiti  소원임 ㅋㅋ', 'length': 23}, {'text': 'She kind of looks like @taylorswift', 'length': 35}, {'text': '@reformation Are you guys getting the Nikita dress back in Es?? I neeeeeed it', 'length': 77}, {'text': 'ew no pls', 'length': 9}]"
So what if,<Post Cc38yC9Dlf6>,62508,1349,[],28/04/22,So what if all your friends have great taste.,45,"[{'text': 'The cars 😭', 'length': 10}, {'text': 'LOL', 'length': 3}, {'text': 'Them wigs tho mann 😂😂😂shaking ltf 🤣🤣🤣', 'length': 37}, {'text': 'Imma start parking like the first girl did 🤣🤣🤣🤣🤣🤣🤣🤣', 'length': 51}, {'text': 'Can’t none of them park?? 😂😂😂', 'length': 29}, {'text': 'So they all bought their license, ok got it 😂😂', 'length': 46}, {'text': 'The BLONDE AUNTIE HAIRCUT 😂', 'length': 27}, {'text': '#SheIn 😂', 'length': 8}, {'text': '😂😂😂😂😂😂 😂 not the friends too with the same walk....', 'length': 51}, {'text': 'I cannot believe reformation partnered with you 👏👏👏👏', 'length': 52}, {'text': 'But where did you ""purchase"" your dress 😂😂😂😂😂😂😂😂😂😂😂', 'length': 51}, {'text': 'Need spin-off series with these new characters', 'length': 46}, {'text': 'The one with shortest hair walks a bit different😂💯 love the personality', 'length': 71}, {'text': '😂😂😂 love this so much', 'length': 21}, {'text': 'nan one of em can drive😂', 'length': 24}, {'text': 'Stiff walk. Short wig. I live.', 'length': 30}, {'text': 'Goalz pour Hawaii @kenzanti @mc_pelletier @catheleclerc @alexearruda @barrolea', 'length': 78}, {'text': '@laurbeck27 @stina_rawles @cristelle__ us at the wedding 😂', 'length': 58}, {'text': ""@chasemissd hahaha I'm parking like the 2nd chick thooo 🤣"", 'length': 57}, {'text': '@ashtonb_lewis please look at the cars in every background', 'length': 58}, {'text': '@shira_weeks 😂😂', 'length': 15}, {'text': '@sallymaefitt dead 💀', 'length': 20}, {'text': '@_sara.pell', 'length': 11}, {'text': '@tay.rov', 'length': 8}, {'text': '@jennyyjennaa  jamais !!!! 😂😂😂', 'length': 30}, {'text': '@iamprettyprincesss 😂😂', 'length': 22}, {'text': '@siimonee.c', 'length': 11}, {'text': '@kmowil 😂', 'length': 9}, {'text': '@g_delp317 HAHAHAHAHAHAHA I can’t even with these videos 😂😂', 'length': 59}, {'text': 'I think this is @__gab.alicious__', 'length': 33}, {'text': ""I really like the way they've parked their cars 😂😂😂"", 'length': 51}, {'text': 'IM DEAD😂😂😂😂😂😂😂😂', 'length': 15}, {'text': 'Lmfboooooo! This collab 😂😂😂😂', 'length': 28}, {'text': 'The parking gets me every single time 😂', 'length': 39}, {'text': ""It's the coordinated walk and wig shakes for me. I need friends like these minus the driving skills 😂😂😂"", 'length': 103}, {'text': 'Sisterhood of the terrible parking jobs', 'length': 39}, {'text': 'Lmfaooooooo 😂😂🤣🤣🤣😭😭😭😭💀💀😭😭😂😂💀👏🏾👏🏾👏🏾', 'length': 34}, {'text': '😂😂😂 u make my day every time. I love you 😘', 'length': 42}, {'text': '😂😂😂😂😂 I enjoy your funny videos', 'length': 31}, {'text': ""The collab I didn't know I needed ✨💅🏽❤️\u200d🔥"", 'length': 41}, {'text': '😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂', 'length': 23}, {'text': 'Omggggggggggg this is everything 😍', 'length': 34}, {'text': 'It’s the hair whip for me 😂💁🏼\u200d♀️', 'length': 32}, {'text': ""It's the friend in the pink flower dress foh me."", 'length': 48}, {'text': 'The parking kills me 🤣', 'length': 22}, {'text': ""It's the wigs always wiggin for me😂😂😂😂😂"", 'length': 39}, {'text': 'And they all walk the same apparently', 'length': 37}, {'text': 'Omg this is amazing, love you ref and love this creator 😂❤️', 'length': 59}, {'text': 'Your walking...I love it! 🤣', 'length': 27}, {'text': 'Short hair and the though walk did it for me 😂😂😂😂😂😂😂', 'length': 52}]"
Ref but smaller.,<Post CcyRPUGPOTw>,3433,55,[],25/04/22,Ref but smaller. Say hi to The Little Ref Collection.,53,"[{'text': 'I can think of a couple of things better for the planet in between being naked > making new clothes from new fabric. Dead stock clothes, recycled fabric, reusing the clothes already in circulation, and also buying many fewer things that we don’t need, but that one is up to us :) do you do or promote any of those things? Just read your website policy and couldn’t see it x', 'length': 373}, {'text': 'Is your website down because it charged me three times 😢', 'length': 56}, {'text': 'What’s the name of the other dress with the puff sleeve? 😍', 'length': 58}, {'text': 'When will the Veria Silk Dress be in stock？', 'length': 43}, {'text': 'I made a purchase but was charged twice. Will the second charge be dropped?', 'length': 75}, {'text': 'Time to have a kid🤪🥰🤣', 'length': 21}, {'text': 'Please consider making some matching dresses in extended sizes next time ❤️', 'length': 75}, {'text': 'Cannot waitttt how cute!! 😍❤️🙌', 'length': 30}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'Ahhhhh❤️❤️❤️❤️', 'length': 14}, {'text': 'Messaged x', 'length': 10}, {'text': 'Love!!! 🤍🌿🌸', 'length': 11}, {'text': 'Oh wow, now I’m going to be spending a lot of money at this store. Mom of two girls is excited! 😂', 'length': 97}, {'text': 'Omg so cute', 'length': 11}, {'text': '😍', 'length': 1}, {'text': 'Such a lovely photo, thank you 👑👑', 'length': 33}, {'text': 'Hello @reformation , are you going to restock the ELEONORA SLING BACK BLOCK HEEL SANDAL in GOLD and SERENADE PATENT ? I’m 9.5 :) thanks 🙏', 'length': 137}, {'text': 'Will you be re-stocking sizes in the Saskia dress? @reformation', 'length': 63}, {'text': '@amandalynnbecker', 'length': 17}, {'text': '@eccles.charlotte me an’ you! 😍😂', 'length': 32}, {'text': 'Syx is so beautiful 😍😍 and so is @jaycina', 'length': 41}, {'text': '@chelseapaniagua of interest to you', 'length': 35}, {'text': '@jo.and.di stay tuned for Alora and auntie’s matching dresses', 'length': 61}, {'text': '@katekolenda  soo good', 'length': 22}, {'text': '@angediaries uh ohhhhh', 'length': 22}, {'text': '@reformation has the WORST customer service you can imagine!!!', 'length': 62}, {'text': '@jaycina so cute!!! 🥺🥺', 'length': 22}, {'text': '@reformation will steal you money and not give it a second thought when you have validity in your argument', 'length': 106}, {'text': '@reformation claims they are about the environment but don’t let that fool you…. They truly do not care for PEOPLE', 'length': 114}, {'text': ""It's been 3+ weeks and my returns using your label STILL haven't been delivered back to you and no one in customer service will help me. Is this normal?? How long will I have to wait to get these refunds? Seriously starting to regret ever buying from @reformation !!"", 'length': 266}, {'text': 'historians will say they were best friends', 'length': 42}, {'text': 'Adorable!! Madeline and I need thse matching dresses!!', 'length': 54}, {'text': 'Ohhhh!!!', 'length': 8}, {'text': 'Dreamteammmm 😍 whoaaaa', 'length': 22}, {'text': 'Whaaaaat!!!! I am going to be all about this with my two girls!!!😍', 'length': 66}, {'text': 'Beautiful 😍', 'length': 11}, {'text': 'Cute 😍', 'length': 6}, {'text': 'i’m crying', 'length': 10}, {'text': 'Oh my freaking god I need to get pregnant right now', 'length': 51}, {'text': 'Just DM’d you', 'length': 13}, {'text': 'Omg', 'length': 3}, {'text': 'Love!!', 'length': 6}, {'text': '♥️♥️♥️', 'length': 6}, {'text': '😍😍😍', 'length': 3}, {'text': '❤️❤️❤️', 'length': 6}]"
We also wear,<Post CcwSzijpJMj>,28043,359,[],25/04/22,We also wear the Darian Two Piece in our dreams. @arthurgarros,62,"[{'text': 'Hi @reformation I found it really hard to understand the length of your dress/skirt. Can you post info on the length of your clothes rather than just the model height? Most of us are much shorter than the model. Thanks!', 'length': 219}, {'text': '@lellykuo @jordannnnnnnny', 'length': 25}, {'text': '@thebridalbae @tinaanstey this is actually what you guys are doing when hitting snooze 😂😂', 'length': 89}, {'text': '@stephclaire19 @em_whitehouse this did actually make me lol', 'length': 59}, {'text': '@chloe.solla @ca1is3', 'length': 20}, {'text': '@badgirlreeeree @elyn360', 'length': 24}, {'text': '@cheriewearne @_jahneya', 'length': 23}, {'text': '@amybrowny', 'length': 10}, {'text': '@infantesarah tu todas las mañanas 🕺🏼', 'length': 37}, {'text': '@ivyseddon me', 'length': 13}, {'text': '@tatianantz 😂', 'length': 13}, {'text': '@cmarcelo7', 'length': 10}, {'text': '@donnamcdermot lol', 'length': 18}, {'text': '@jenisha.govender hahahaha us 😂', 'length': 31}, {'text': '@vanshizzzzzka this better not be you tomorrow 😒', 'length': 48}, {'text': '@boshrah.iqbal', 'length': 14}, {'text': '@louizepleez', 'length': 12}, {'text': '@eddiemeetworld', 'length': 15}, {'text': 'This is @itumbahangphe', 'length': 22}, {'text': '@andreacolasrgz', 'length': 15}, {'text': '@mccabe92', 'length': 9}, {'text': '@diana_digal', 'length': 12}, {'text': '@nataliia.om', 'length': 12}, {'text': 'Let’s manifest this @sarahcaruth', 'length': 32}, {'text': '@benjaminlplummer  hahaha dis me', 'length': 32}, {'text': '@campnorthfork this feels like you. Lol', 'length': 39}, {'text': '@staceylswift different but similar 🤣', 'length': 37}, {'text': '@senorjoe_ gotta be me', 'length': 22}, {'text': '@michaeljhodson', 'length': 15}, {'text': '😂😂😂 @scout.goldthorp', 'length': 20}, {'text': '@emersonidk 😂', 'length': 13}, {'text': '@arthurgarros 🔥🔥🔥🔥', 'length': 18}, {'text': '@jas_obed26', 'length': 11}, {'text': '@anishwelde', 'length': 11}, {'text': '@graceakkaoui 😂', 'length': 15}, {'text': '@timothykeith 😂', 'length': 15}, {'text': '@puppyt88 dis you erry morning', 'length': 30}, {'text': '@horsegirl_rox 😂', 'length': 16}, {'text': '@_pearls.of.wisdom this took me tf out 🤣🤣', 'length': 41}, {'text': '@ivonatakephotos', 'length': 16}, {'text': '@bronsonboards', 'length': 14}, {'text': '@rhayadauz 😂', 'length': 12}, {'text': '@_thebrendadiaries', 'length': 18}, {'text': '@b_fresh01', 'length': 10}, {'text': 'Does anyone else get triggered when they hear this sound?', 'length': 57}, {'text': '@jjstone95', 'length': 10}, {'text': '😂 @jeezzzzzy', 'length': 12}, {'text': '@brittnylillian', 'length': 15}, {'text': '@lunakakaa', 'length': 10}, {'text': '@lisarinna look', 'length': 15}]"
Now that we,<Post Cctb7kKDtPE>,7816,28,[],23/04/22,"Now that we have your attention, let’s talk science. We used it to set some official goals to help us become Climate Positive by 2025. Link up top to read them.
📹: @motherthemountain",182,"[{'text': 'Hi I found it really hard to understand the length of your dress/skirt. Can you post info on the length of your clothes rather than just the model height? Most of us are much shorter than the model. Thanks!', 'length': 206}, {'text': 'Nasturtium the duck is very impressed 💗🐥🌻🌷', 'length': 42}, {'text': 'do you mean carbon neutral or carbon negative?', 'length': 46}, {'text': '\U0001f979\U0001f979\U0001f979 so cute', 'length': 11}, {'text': 'Best spring bonnets I’ve ever seen😍', 'length': 35}, {'text': '😍😍😍', 'length': 3}, {'text': 'lol nice hat! I want one!! 😱', 'length': 28}, {'text': '😍😍😍😍😍😍😍😍', 'length': 8}, {'text': '❤️', 'length': 2}, {'text': '💛💛💛', 'length': 3}, {'text': '😍', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': '@zhangkaidi @fishingforyuu', 'length': 26}, {'text': '@i._elmiraa_.i خود خرتی🙂💖', 'length': 25}, {'text': '@lvaice', 'length': 7}, {'text': '@luana.holban 😘', 'length': 15}, {'text': '@maythehm 👀👀👀👀👀👀👀👀🤍🤍🤍🤍🤍🤍🤍', 'length': 25}, {'text': '@collin1287', 'length': 11}, {'text': '@_zeinab__e', 'length': 11}, {'text': 'תגידי לי שאת מבינה למה אני מתייגת חחחחח @cohadas', 'length': 48}, {'text': '@yasorno', 'length': 8}, {'text': '@hsgh_', 'length': 6}, {'text': '@gia41210', 'length': 9}]"
We found some,<Post CcrhEtNrb6o>,1805,6,[],23/04/22,We found some Ref kids around the office and put our new Earth Tees on them. 50% of the proceeds from every tee sold goes to nonprofits doing good stuff for the Earth.,167,"[{'text': 'Check dms please @reformation', 'length': 29}, {'text': 'restock babes', 'length': 13}, {'text': '@reformation when will you be having a sale again? Been saving all my pay checks for you 🙌🏼', 'length': 91}, {'text': 'L@h', 'length': 3}, {'text': 'Gorgeous', 'length': 8}]"
More sustainable stuff,<Post Ccq2aqUDS9S>,583,4,[],22/04/22,More sustainable stuff in our Q1 Sustainability Report. Read it up top.,71,"[{'text': '🌎', 'length': 1}, {'text': 'Is Tilda a scientist yet? We’ve all be waiting patiently for her to solve our problems. 🥰', 'length': 89}, {'text': 'Stop farting', 'length': 12}, {'text': 'Lol with a plastic balloon: All released balloons, including those falsely marketed as “biodegradable latex,” return to Earth as ugly litter. They kill countless animals and cause dangerous power outages. Balloons are also a waste of Helium, a finite resource.', 'length': 260}]"
Honey we shrunk,<Post CcoornGpepT>,2408,44,[],22/04/22,Honey we shrunk the Ref. Coming soon.,37,"[{'text': 'Lol so cute', 'length': 11}, {'text': 'What about sizes for teens 10-14? My girl loves your styles 😍', 'length': 61}, {'text': 'Does it come in sizes for 13-14 year olds???', 'length': 44}, {'text': 'How small do they start?! 😍😍😍', 'length': 29}, {'text': 'Time to have a kid🥰🥳🤫🤪🤣', 'length': 23}, {'text': 'Any boy items? 🙃', 'length': 16}, {'text': 'Wow! So cute! 😍🥰', 'length': 16}, {'text': 'I would wear this…', 'length': 18}, {'text': 'But what about curvy jeans 😭', 'length': 28}, {'text': '*buys five years in advance for future baby*', 'length': 44}, {'text': 'So cute💚💚💚', 'length': 10}, {'text': 'Don’t buy sets from these fools will send you incomplete sets and not process returns or refunds from their mistakes the worst costumer service save your money for a company who cares \n\nAlso good luck your poorly made set will fall apart after 1 wash 🔥', 'length': 252}, {'text': '😍 Can’t wait!', 'length': 13}, {'text': 'My 2 year old son loves his tropical ref outfit. He always wants to wear it. He looks like an old man', 'length': 101}, {'text': 'This is so cute!!! 💘', 'length': 20}, {'text': 'How dare you, days after I find out I have a girl coming 😂', 'length': 58}, {'text': ""Can't wait to see the whole collection"", 'length': 38}, {'text': 'Okay, i want this outfit but...in adult size', 'length': 44}, {'text': 'Boooo I hate when brands start advertising kids clothes on the same  Instagram as adults. It has zero interest to me', 'length': 116}, {'text': 'Ahhh', 'length': 4}, {'text': '@stefanie_cantafio 😍', 'length': 20}, {'text': '@amyboraston omg', 'length': 16}, {'text': '@shleymayking RIP my wallet.', 'length': 28}, {'text': '@kmarkosova', 'length': 11}, {'text': '@madeleinepelton', 'length': 16}, {'text': '@sweet_carolion need the adult version', 'length': 38}, {'text': '@lo.larson Quinnie’s been waiting 👀', 'length': 35}, {'text': '@fsc1111 honey we have shrunken the ref', 'length': 39}, {'text': '@hilarynicoledro', 'length': 16}, {'text': '@cyndirobison u ok?', 'length': 19}, {'text': 'no', 'length': 2}, {'text': '😍😍😍😍😍', 'length': 5}]"
Sustainable looks good,<Post CcmIRgYpfKl>,3991,24,[],21/04/22,Sustainable looks good on you.,30,"[{'text': 'when will you restock the vesta pant in corvette and the overland linen top matching top? 😮😢', 'length': 92}, {'text': 'Sent an important DM!', 'length': 21}, {'text': 'When will you be restocking the Cleo Linen Two Piece set in Corvette? I need it in my life. 💔', 'length': 93}, {'text': 'Ohh la laaa a DREAMMMM☁️', 'length': 24}, {'text': 'Would really love to see more options coming out for extended sizes :(', 'length': 70}, {'text': 'obsessed👏', 'length': 9}, {'text': 'The first photo is a total vibe💙', 'length': 32}, {'text': '😍😍😍', 'length': 3}, {'text': '❤️❤️❤️🙌🔥👏', 'length': 9}, {'text': 'Can’t wait to visit the sf store soon!!', 'length': 39}, {'text': 'Indeed it does 🔥', 'length': 16}, {'text': '❤️', 'length': 2}, {'text': '❤️', 'length': 2}, {'text': '😍', 'length': 1}, {'text': '💘💘💘', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': '🔥', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': '🔥🔥🔥🔥🔥🔥', 'length': 6}, {'text': '@reformation Any plans to bring back the Toscana print?', 'length': 55}]"
Your clothes deserve,<Post CcjTrgjvSGK>,2266,13,[],19/04/22,"Your clothes deserve a second chance. RefRecycling gives them one and gives you credit toward new Ref, so your clothes can move on just like you. Link up top to learn how.",171,"[{'text': 'Hi guys I have trouble registering. You send to my country but on the list is Yugoslavia that does not exaist for 25 years etc.', 'length': 127}, {'text': 'what do we put for when we bought something if we don’t remember the date? i have a few pieces i bought a long time ago and it was in store', 'length': 139}, {'text': '😍😍😍', 'length': 3}, {'text': 'Great job!!!', 'length': 12}, {'text': 'Love this!', 'length': 10}, {'text': 'I come here for the funny posts, the clothes are just the icing on the cake.', 'length': 76}, {'text': '👏', 'length': 1}, {'text': 'Stunning❤️', 'length': 10}, {'text': '@reformation when will the barrow dress be restocked?', 'length': 53}, {'text': '@reformation When will the mylah dress in Ronan be restocked?', 'length': 61}]"
