,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Our new Dishwasher,<Post Cc7ywqGM9fN>,118,3,[],29/04/22,"Our new Dishwasher Detergent Booster is a hit! With a super-charged cleaning power that breaks down tough messes, prevents hard water spots, and an EPA Safer Choice 100% biodegradable formula, what’s not to love? Simply pair it with your favorite Seventh Generation Dishwasher Detergent for ultra-clean dishes. Learn more at the link in our bio.

USDA Certified Biobased Product 94%",382,"[{'text': 'So proud to be apart of the team for this innovation!!', 'length': 54}, {'text': 'I just read that you all don’t support our police officers. While your products are great, I’ll never give you another penny. Crime is out of control and we need law and order more now than ever. 😡 #BackTheBlue', 'length': 210}, {'text': 'Defund seventh generation', 'length': 25}]"
Our EasyDose™ Ultra-concentrated,<Post Cc3s2g2gqgs>,147,3,['cleanwithpurpose'],27/04/22,"Our EasyDose™ Ultra-concentrated Laundry Detergent: Half the size, half the plastic, all the clean. #CleanWithPurpose",117,"[{'text': 'Yay!! Thank U So Much Again, @seventhgeneration, For Giving Me The Opportunity To Showcase This Product!!! It Was An Honor & So Much Fun...🙌🔥💕', 'length': 142}, {'text': 'Just saw this ad on YouTube and had to come to say HOW MUCH I LOVED IT! 👏🏻👏🏻👏🏻👏🏻❤️❤️❤️', 'length': 86}, {'text': 'So cute!', 'length': 8}]"
Happy Earth Day!,<Post CcpxsR1LCV->,166,15,['cleanwithpurpose'],22/04/22,"Happy Earth Day! To celebrate, we’re sharing how we practice our mission to build a healthier, more equitable future for the next seven generations every day. How are you spending the day? #CleanWithPurpose",206,"[{'text': 'How do we know if we got Authentic Product off Amazon Prime or to know if it is a third party knock off. The box my detergent came in from Amazon said iHerb…? I bought off Prime which said seller was Seventh Gen.', 'length': 212}, {'text': 'Never mind the planet nonsense \nare these detergents free of harmful chemicals so we won’t get cancer etc?', 'length': 106}, {'text': ""I bought the Easy Dose Laundry detergent and it says it does 66 loads... the bottle is 683 ml which equates to 10 ml per load of laundry. This isn't even 1 table spoon, yet the instructions say to give a good squeeze - which I did and it end up being way more than 10 ml. I think that you are advertising the product incorrectly. 10 ml is not much."", 'length': 348}, {'text': 'Please consider publicly supporting nuclear energy as a clean and safe alternative.', 'length': 83}, {'text': '❤️🌎', 'length': 3}, {'text': '👍', 'length': 1}, {'text': 'Stick to selling crap products. 🤡🤡🤡🤡🤡', 'length': 37}, {'text': ""Reusable package? What does that even mean?? \nIt's going to be plastic that never biodegrades. You're just another polluter"", 'length': 123}, {'text': 'You guys awful. You just greenwashing company with green logo. ""certified"" liars.', 'length': 81}]"
Celebrate Earth Month,<Post Ccl5jFfNp1F>,96,6,['cleanwithpurpose'],20/04/22,"Celebrate Earth Month with up to 30% savings on select Seventh Generation products on Amazon! Click the link in our bio to stock up on your favorite dish, laundry, and cleaning products made with your family and the planet in mind. 🌎 #CleanWithPurpose

Valid at Amazon only through 5/2/22 or while supplies last. Select products only.",334,"[{'text': 'Mint wipes are 🔥', 'length': 16}, {'text': 'I 💚the mint wipes. Recently bought them.🥰', 'length': 41}, {'text': 'I wouldn’t support your company if you were offering 100% off. 🤡🤡🤡🤡', 'length': 67}, {'text': 'Love the lavender smell on 7thGen', 'length': 33}, {'text': ""I don't like supporting Amazon but I love your products"", 'length': 55}, {'text': 'Check dm ❤️', 'length': 11}]"
Only two days,<Post Ccgo2RXMzDk>,278,130,"['sweepstakes', 'earthdaysweeps']",18/04/22,"Only two days left to participate in our Earth Day Sweeps! 🌎 For a chance to win an Earth Day Clean Kitchen bundle which includes a drying rack, a variety of Bee's Wrap, and Seventh Generation kitchen products:

1. Follow @Seventhgeneration and @Beeswrap 
2. Comment on either post using #sweepstakes and #EarthDaySweeps

$100 value. Must be 18+, 50 US & DC, no purchase necessary, promotion 4/14/22 11AM EDT – 4/19/22 11:59PM EDT. Promo Info & Rules: Link in bio.",464,"[{'text': 'LOVE these brands! 😍 #earthdaysweeps #sweepstakes 🌎🍃🐝', 'length': 53}, {'text': '#sweepstakes #earthdaysweeps Thank you so much I love your brand!!', 'length': 66}, {'text': 'Love Seventh gen!!!! #sweepstakes #earthdaysweeps', 'length': 49}, {'text': '#sweepstakes #EarthDaySweeps ❤️ 🌎', 'length': 33}, {'text': '💚 🌎 #sweepstakes #EarthDaySweeps', 'length': 32}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': 'Love this 🌍 #EarthDaySweeps #sweepstakes', 'length': 40}, {'text': '❤️ #sweepstakes #earthdaysweeps', 'length': 31}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps 🌎🌱🌲🌳♻️', 'length': 35}, {'text': '#sweepstakes #earthdaysweeps 🌎❤️', 'length': 32}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}, {'text': '#Sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#EarthDaySweeps #Sweepstakes', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps 🌎❤️', 'length': 32}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes#EarthDaySweeps', 'length': 27}, {'text': '#EarthDaySweeps #sweepstakes', 'length': 28}, {'text': '#sweepstakes  #earthdaysweeps  i love how you guys working for mother earth❤️', 'length': 77}, {'text': '@gadgeteer12 #EarthDaySweeps #sweepstakes 🌍♻️💙', 'length': 46}, {'text': '@allisonbread look at this one ! #sweepstakes #earthdaysweeps', 'length': 61}, {'text': '#sweepstakes #earthdaysweepstakes ❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 52}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '🌎 #Sweepstakes #EarthDaySweeps', 'length': 30}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}, {'text': '#Sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes  #earthdaysweeps', 'length': 29}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#Sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#EarthDaySweeps  #Sweepstakes', 'length': 29}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}, {'text': '#EarthDaySweeps #Sweepstakes', 'length': 28}, {'text': 'Natural is better #sweepstakes #EarthDaySweeps 🙌', 'length': 48}, {'text': 'I love seventh generation products and we celebrate Earth Day in our house like any other big holiday! Love this! #sweepstakes #EarthDaySweeps', 'length': 142}, {'text': '#EarthDaySweeps & #sweepstakes', 'length': 30}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': 'Thank you #sweepstakes #earthdaysweeps', 'length': 38}]"
EARTH DAY SWEEPS!,<Post CcVfHL7rLmQ>,210,88,"['sweepstakes', 'earthdaysweeps']",14/04/22,"EARTH DAY SWEEPS! 🌎 We’re teaming up to offer 3 lucky winners an Earth Day Clean Kitchen bundle. For a chance to win, follow @Seventhgeneration and @Beeswrap and comment below using #sweepstakes and #EarthDaySweeps.
 
Must be 18+, 50 US & DC, no purchase necessary, promotion 4/14/22 11AM EDT – 4/19/22 11:59PM EDT. Promo Info & Rules: Link in bio.",348,"[{'text': 'Happy earth day 💚🌏#earthdaysweeps #sweepstakes', 'length': 46}, {'text': '🌬 This is #awesomesauce🤯 🤔💡#sweepstakes 🍀🌺🌷🌻🐝🐝 #EarthDaySweeps 🌎', 'length': 64}, {'text': '♻️ #sweepstakes #EarthDaySweeps 💚', 'length': 33}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': 'Love it! #sweepstakes #earthdaysweeps', 'length': 37}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#EarthDaySweeps #sweepstakes thank you for the chance!!', 'length': 55}, {'text': 'Love this 🌍 #EarthDaySweeps #sweepstakes', 'length': 40}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps 🌎', 'length': 30}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '🌿#earthdaysweeps #sweepstakes', 'length': 29}, {'text': '#sweepstakes#earthdaysweepstakes', 'length': 32}, {'text': '🤞 #sweepstakes #EarthDaySweeps', 'length': 30}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes. #earthdaysweeps', 'length': 29}, {'text': '#sweepstakes #EarthDaySweeps ❤️', 'length': 31}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': 'Thank you #sweepstakes #earthdaysweeps ❤️', 'length': 41}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#earthdaysweeps  #sweepstakes  @chicagobakeoff', 'length': 46}, {'text': '#sweepstakes  #earthdaysweeps  @croat23', 'length': 39}, {'text': '@cdk7997  #sweepstakes  #earthdaysweeps', 'length': 39}, {'text': '#sweepstakes #Earthdaysweeps @el__duderino', 'length': 42}, {'text': '#sweepstakes #EarthDaySweeps @jam5785', 'length': 37}, {'text': '#sweepstakes #EarthDaySweeps @gabsready', 'length': 39}, {'text': '#sweepstakes #earthdaysweeps @carolinehauser', 'length': 44}, {'text': '#sweepstakes #earthdaysweeps @mchaps76', 'length': 38}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps 💕', 'length': 30}, {'text': '#sweepstakes #EarthDaySweeps 🌿', 'length': 30}, {'text': '#sweepstakes #EarthDaySweeps 🌿', 'length': 30}, {'text': '#sweepstakes #EarthDaySweeps how exciting!!!! Teo of my favorite brands 😍', 'length': 73}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes and #EarthDaySweeps', 'length': 32}, {'text': '@juliesfreebies #sweepstakes #EarthDaySweeps', 'length': 44}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': 'Hope I win…I love your products #sweepstakes  #EarthDaySweeps', 'length': 61}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps 😍', 'length': 30}, {'text': 'Thank you for this awesome opportunity! 🤗😍🤗 #sweepstakes #earthdaysweeps', 'length': 72}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #EarthDaySweeps ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'length': 57}, {'text': '#Sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#sweepstakes #earthdaysweeps', 'length': 28}, {'text': '#earthdaysweeps #sweepstakes', 'length': 28}]"
Spring cleaning is,<Post CcN_GyIFYMw>,93,2,['cleanwithpurpose'],11/04/22,Spring cleaning is better when you feel good about the products you use. We have you covered with cleaners that work hard in your home and are safer for your family so you can #CleanWithPurpose. What's your favorite spring cleaning tip?,236,"[{'text': 'Woke as a joke.  No more $ from us.', 'length': 35}, {'text': ""this is wonderful news I don't really believe it happening God bless 💕  @dr_oso8  for healing me . his treatment are natural treatments for any kind of Herpes or health issues i advice please you contact @dr_oso8 🌿 I really appreciate you for the marvelous healing in my life,"", 'length': 276}]"
"New look, same",<Post Cb-8x2qFKOl>,239,24,['cleanwithpurpose'],05/04/22,"New look, same powerful clean. With seven overlapping leaves that symbolize the generations to come, our new logo embodies our mission to build a more healthy, sustainable, and equitable future. Learn more at the link in our bio and stay tuned for exciting new products that help you #CleanWithPurpose.",302,"[{'text': 'Love the look 💚👏💚', 'length': 17}, {'text': 'new growth, same great products!', 'length': 32}, {'text': 'Love the new look 👏😍', 'length': 20}, {'text': '🙌👏', 'length': 2}, {'text': 'Proud #SVGemployee 💚💚', 'length': 21}, {'text': '👏👏👏👏', 'length': 4}, {'text': 'This is great design!', 'length': 21}, {'text': 'So good! 👏', 'length': 10}, {'text': '🙌', 'length': 1}, {'text': 'Love it!', 'length': 8}, {'text': 'None of your  products for me, my family, or friends. Over your woke crap.', 'length': 74}, {'text': 'You’re actually supporting defunding the police?? WTH is wrong with you ppl? Better hope and pray you’re never in a situation where you need them.. SMH 🤦\u200d♀️ \n#boycottseventhgeneration', 'length': 183}, {'text': 'Equitable.... 😂😂😂😂 Whoomp... there it is!', 'length': 41}, {'text': '😍', 'length': 1}, {'text': 'Yes. I no longer follow or support this company!', 'length': 48}, {'text': 'I’m not a person who menstruates. I’m a WOMAN who menstruates and ONLY women can menstruate. If someone is so delusional that they think otherwise, that’s their problem.', 'length': 169}, {'text': 'I’m so glad I don’t buy their corrupt, disgusting woke cr*p anymore.', 'length': 68}, {'text': '#pastemployee so proud to see the design and #cleanwithpurpose come to life!  It was a real labor of love @kcoale1 @tomlynnbiondo ❤️', 'length': 132}, {'text': 'I\'ve been using your products for YEARS! You\'ve become a woke political company, unfortunately. Myself and many others will not be purchasing your products in the future. ✌️Taking the word ""feminine"" off of your FEMININE HYGIENE products is ridiculous! Only women menstruate! I can\'t believe I have to even say that @seventhgeneration 🤦\u200d♀️', 'length': 339}]"
Tiannis Coffie from,<Post CbXwcEfgfl2>,47,3,[],21/03/22,Tiannis Coffie from @environmental_advocates_ny is teaming up with @nyrenews to ensure equity is core to the state's plan to fund a just transition for NY. Tell Albany to commit to climate in the 2022 budget at the link in our bio.,231,"[{'text': 'When all you have left is your Instagram account #defundseventhgeneration', 'length': 73}, {'text': 'Climate change from the company still cranking out plastic.', 'length': 59}, {'text': 'Still want to defund the police????????? People don’t forget you idiots.', 'length': 72}]"
The Safer Choice,<Post CbNODdTsW_w>,60,4,['cleanwithpurpose'],17/03/22,"The Safer Choice label on our laundry, dish, and other products means every ingredient inside meets the EPA’s standards to be safer for your family. Part of our mission to create healthier solutions for families today and seven generations to come.  What’s most important to you in choosing household products for your family? #CleanWithPurpose",344,"[{'text': '#defundseventhgeneration #backtheblue', 'length': 37}, {'text': 'the main problem with cleaning or skincare products is the use of palm oil.  check out palmoilalliance.eu to understand the destruction of rainforests in columbia, nigeria and indonesia.  remember we use the rainforests to breath and we all love animals too.  all these certifications are a start.  but the destruction of the sourced item Palm Oil is the main issue and this topic has been left out of the discussion even by seventh generation.  you can give all you like but if you are using this palm oil so that you can stay in business are you really part of the solution?', 'length': 576}, {'text': 'Dm ❤️', 'length': 5}, {'text': 'Corrupt business', 'length': 16}]"
