,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Happy Farm Friday🐄,<Post Cc8zM7ipSl9>,2236,84,"['greenyourbeautyroutine', 'farmfriday']",29/04/22,"Happy Farm Friday🐄

Come along with us for a behind the scenes look into where our green beauty magic happens👩‍🔬

#greenyourbeautyroutine #farmfriday",149,"[{'text': 'Omg heaven ❤️', 'length': 13}, {'text': '💚💚💚', 'length': 3}, {'text': 'So cool 💚', 'length': 9}, {'text': 'I want to submerge myself in some of those yummies!!! 😍😍😍💚💚💚🍯🐝', 'length': 62}, {'text': 'Fresh from the farm!💚😍👏🏻', 'length': 24}, {'text': 'Love watching where the magic happens! 🪄💚✨👩\u200d🔬', 'length': 45}, {'text': 'So cool💚💚 love to see this behind the scene💚', 'length': 44}, {'text': 'So cool!!! 🧪✨💚', 'length': 14}, {'text': '😍👏', 'length': 2}, {'text': '😍', 'length': 1}, {'text': '😍💚💚', 'length': 3}, {'text': '💚', 'length': 1}, {'text': '👏👏👏Where magic happens', 'length': 22}, {'text': 'LOVE LOVE LOVE those green outfits 💚', 'length': 36}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '😍😍😍', 'length': 3}, {'text': 'Green was always my favorite color. This video reminds me why! 💚💚💚', 'length': 66}, {'text': 'Wow! This is very inspiring to see. Thank you for sharing with us. As an aspiring brand following in your vertically integrated footsteps, every little peek helps my confidence in my vision. 😍', 'length': 192}, {'text': '😍😍😍💚💚💚💚💚💚💚best face cleansers ever &Etc.😇', 'length': 41}, {'text': 'I have a very sensitive skin. Do you have a special line for this? 💚', 'length': 68}, {'text': '💚💚💚💚💚💚💚💚💚✨✨✨✨✨✨✨✨✨✨', 'length': 19}, {'text': 'This is so awesome🙌 love the behind the scenes😍👏', 'length': 48}, {'text': '😍💚✨😍💚✨ I want to visit one day! 🙏🏽✨', 'length': 35}, {'text': 'So nice to see this !! 💚', 'length': 24}, {'text': '💚💚💚 Tata you’re the best 💚💚💚', 'length': 28}, {'text': '😍😍😍 Love it!!', 'length': 13}, {'text': 'Can the public take a tour?', 'length': 27}, {'text': 'That’s so interesting to see😍', 'length': 29}, {'text': 'Love this BTS content😍😍😍😍', 'length': 25}, {'text': 'Thanks for the tour. Love everything from @tataharperskincare 💚 💚 💚', 'length': 67}, {'text': 'This is awesome! Love seeing behind the scenes content like this! 💚🙏', 'length': 68}, {'text': 'Love it 🌱🌱🌱', 'length': 11}, {'text': 'I want to dive in 🏊\u200d♀️', 'length': 22}, {'text': 'Heaven!!❤️', 'length': 10}, {'text': '💚💚 looks awesome', 'length': 16}, {'text': 'So beautiful 💚💚', 'length': 15}, {'text': 'Would be interesting to visit it 👌', 'length': 34}, {'text': 'Love the behind the scene💚💚💚', 'length': 28}, {'text': 'The best skincare on the planet 💚 now that I’m no longer working it is hard to afford 😕', 'length': 87}, {'text': 'You have transformed my life and skin in ways I never thought possible. You helped me believe that I’m beautiful without a ton of makeup. 💄', 'length': 139}, {'text': 'Is that high pitched sound going all the time on that room?? 😰Sounds awful!', 'length': 75}, {'text': 'Amazing 💚', 'length': 9}, {'text': 'Your prices skyrocketed mam 🤦\u200d♀️', 'length': 32}, {'text': 'My favorite place ! I Wish I could visit!', 'length': 41}, {'text': 'Amazing🙌', 'length': 8}, {'text': 'In love 😍😍', 'length': 10}, {'text': 'What is your minimum order', 'length': 26}, {'text': 'Love your products!!', 'length': 20}, {'text': 'I would like a bucket of each!!! 💚', 'length': 34}, {'text': 'I want a giant five gallon bucket of Tata stuff!', 'length': 48}]"
Your green bottles,<Post Cc8LoORrrPi>,242,6,[],29/04/22,"Your green bottles are planting trees! 🌱 

Last year we chose to partner with @treesforthefuture : a not-for-profit working to educate people around sustainable farming practices while planting trees. In 2021, with your help, we planted 250,000 trees! Swipe to see more of our 2021 impact report and our upcoming goals for this year. Thank you so much for your ongoing support, we couldn't do it without you. 💚

🖌: @victorianakada.art",434,"[{'text': '❤️❤️', 'length': 4}, {'text': 'Love to see it 🌱💚🌳🌲', 'length': 19}, {'text': '🙌🌳💚', 'length': 3}, {'text': 'Yay! 🌿✨', 'length': 7}, {'text': '🔥🔥🔥AMAZING', 'length': 10}, {'text': '👏👏👏', 'length': 3}]"
Bring the spa,<Post Cc6RXfgpICH>,452,22,"['greenyourbeautyroutine', 'mothersday']",28/04/22,"Bring the spa to you (and your little ones!) this Mother's Day 👩‍👧‍👧 @livjudd and her girls treated themselves to a much deserved spa day using our new Mother’s Day gift sets:

💚Radiant Body Treatment: Deeply nourish and retexturize your skin from head-to-toe with our Raw Honey Crystal Mask and Smoothing Body Scrub. 

💚Eye Therapy Ritual: Revitalize and rejuvenate tired eyes with our Boosted Contouring Eye Balm and our Hukka Orbit Eye Stones (packed in our Green Beauty Bag!)

Click the link in bio to shop these sets and more. #greenyourbeautyroutine #mothersday",567,"[{'text': 'Obsessed 💚', 'length': 10}, {'text': 'Liv Judd! Love her! This is so sweet 💕✨', 'length': 39}, {'text': 'Adorable!! Happy Mother’s Day! 😍💚💚💚💚💚', 'length': 37}, {'text': 'so precious!', 'length': 12}, {'text': 'It’s just too good to be true ✨💚🍯', 'length': 33}, {'text': 'Such a beautiful woman', 'length': 22}, {'text': '🔥🔥', 'length': 2}, {'text': 'Love this idea for Mother’s Day! 💚🌿✨', 'length': 36}, {'text': 'Lovely fam! ❤️', 'length': 14}, {'text': '💚✨💚✨💚', 'length': 5}, {'text': '💚🙌👏', 'length': 3}, {'text': '💚💚💚', 'length': 3}, {'text': '💗💗', 'length': 2}, {'text': '😍😍', 'length': 2}]"
This algae is,<Post Cc3o0ugJCVM>,294,10,['greenyourbeautyroutine'],27/04/22,"This algae is powered by Cell Energizing Technology that works to firm and recharge your aging skin, and maintain your most lifted, sculpted, and resilient-looking skin 🔋 

Click the link in our bio to #greenyourbeautyroutine and learn more about our powerful ingredients",271,"[{'text': '🧪🧪🧪', 'length': 3}, {'text': '❤️❤️❤️❤️', 'length': 8}, {'text': 'This is so beautiful! 🧪🌿✨', 'length': 25}, {'text': 'Which products contain  this algae?', 'length': 35}, {'text': '☘️💚', 'length': 3}, {'text': '💚💚', 'length': 2}]"
Your Mom deserves,<Post Cc1HiKLpe7E>,1037,18,['greenyourbeautyroutine'],26/04/22,"Your Mom deserves the best, so spoil her with the best products nature has to offer 💚 Our Mother’s Day Sale has arrived just in time for you to get your shopping in early!

Use MOM22 for 20% off your order site wide with orders over $100

Click the link in our bio to #greenyourbeautyroutine and shop our two new curated Mother’s Day sets",338,"[{'text': 'Beautiful family 😍', 'length': 18}, {'text': 'Mis amores 💚', 'length': 12}, {'text': '@tataharperskincare amazing family 💚\U0001faf6🏼', 'length': 38}, {'text': 'Can you let my hubby and kids know…I need the entire skincare line!😁😉💚', 'length': 70}, {'text': 'Love all your products!', 'length': 23}, {'text': 'Oooo my mom will loveeeeee this!!', 'length': 33}, {'text': 'Beautiful family 😍', 'length': 18}, {'text': 'Mom always deserves best and Tata products make such beautiful gifts! 🎁💚✨', 'length': 73}, {'text': 'Stunning family', 'length': 15}, {'text': 'Beautiful family ❤️', 'length': 19}, {'text': 'Great sale ! Beautiful family ❤️', 'length': 32}, {'text': 'Happy fam!', 'length': 10}, {'text': 'Los adoro!!! ❤️❤️❤️', 'length': 19}, {'text': 'Agreed!', 'length': 7}, {'text': '😍', 'length': 1}, {'text': 'Quilla presente, tiempo sin verlas, saludos a Cuca.', 'length': 51}, {'text': 'Beautiful! Amo tus productos! @tataharperskincare', 'length': 49}]"
Running low? Stock,<Post Cc0VG7ULOWS>,507,17,['greenyourbeautyroutine'],26/04/22,"Running low? Stock up on all your favorites 🛒

Click the link in our bio to #greenyourbeautyroutine and save some green 💚",121,"[{'text': 'The green bottles are so beautiful and I love to reuse them! 💚🌿✨', 'length': 64}, {'text': 'green beauties!', 'length': 15}, {'text': 'Loveeeee 💚🌱', 'length': 11}, {'text': 'I need to!', 'length': 10}, {'text': 'I want to but I’m #poor', 'length': 23}, {'text': 'I just got the clarifying mask in the mail and it might be the best mask I’ve ever used!!! My large blackhead pores have magically become smaller. It looks like I just had a facial! 🧖🏼\u200d♀️🌿', 'length': 188}, {'text': 'I see my favorite color here! 💚 Need everything here', 'length': 52}, {'text': 'Love 💚', 'length': 6}, {'text': 'I see my favorite mist 😍', 'length': 24}, {'text': 'All the best green in the world!', 'length': 32}, {'text': 'Stunning color!💚', 'length': 16}, {'text': '😍😍😍😍', 'length': 4}, {'text': '$5000 for the first 5 people to DM “STRUGGLING""🤝 🇺🇸🇨🇦💰💰', 'length': 55}]"
The eyes never,<Post Ccyhw0JJPV9>,-1,2,['greenyourbeautyroutine'],25/04/22,"The eyes never lie 👀 

The eyes will always be the first place that you’ll see signs of aging. That’s why eye care is a must-have step in your skincare routine. Do you know which eye treatment is right for you?

💫 Refillable Restorative Eye Creme: do-it-all treatment for brighter, firmer, smoother eyes

💫 Illuminating Eye Creme: diamond-infused brightener and hydrator for dark circles

💫 Elixir Vitae Eye Serum: powerful volumizer and smoother for lines and wrinkles 

💫 Boosted Contouring Eye Balm: potent lifter and firmer for crepey skin & under eye bags 

Click the link in bio to explore our non-negotiable eye treatments and find your newest routine companion. #greenyourbeautyroutine",693,"[{'text': 'Boosted Contouring eye balm or bust 🙌🏼💚', 'length': 39}, {'text': 'Will you be at the clean BEAUTY summit in CA with Credo Beauty June 4th?', 'length': 72}]"
Skincare meets earth,<Post Ccx07Zcl4GZ>,257,8,['greenyourbeautyroutine'],25/04/22,"Skincare meets earth care 🌎 have you tried our new Refillable Restorative Eye Creme yet?

By purchasing our refillable pod, you save up to 6 bottles from the land fill per year! Now that’s how you #greenyourbeautyroutine

🎥 @mamalovesbeaute",240,"[{'text': 'I love this!💚🌱💚', 'length': 15}, {'text': '👏', 'length': 1}, {'text': 'In lovee💚💚\U0001faf6', 'length': 11}, {'text': 'love the refillable idea!!', 'length': 26}, {'text': 'Beautiful products and initiatives 😍🙌', 'length': 37}, {'text': '💚💚💚', 'length': 3}, {'text': '💚💚', 'length': 2}, {'text': 'I need to order my favorites! Just ran out. @tataharperskincare', 'length': 63}]"
Get the @matildadjerf,<Post CcvNo6AL_i0>,352,3,['greenyourbeautyroutine'],24/04/22,"Get the @matildadjerf glow with help from Selena, our Skincare Concierge!  Our Skincare Concierge brings our in-home spa treatments to you when you join one of our interactive, virtually guided Green Beauty Classes 👩‍💻💚 

At the link in our bio, browse our upcoming schedule and attend classes to learn new tips & techniques from the comfort of your own home. Receive perks and additional gifts when you attend! #greenyourbeautyroutine",435,"[{'text': 'Selena is THE BEST 🙌🏼💚', 'length': 22}, {'text': 'our ultimate Green Queen! 🥰', 'length': 27}, {'text': '😍😍', 'length': 2}]"
Seeing Green 🌿,<Post Cctae6ipKv7>,1571,62,['greenyourbeautyroutine'],23/04/22,"Seeing Green 🌿 

Comment your favorite Green Beauty Product below ↓

📸 @mamalovesbeaute 

#greenyourbeautyroutine",113,"[{'text': 'Green beauty heaven 💚\U0001f979', 'length': 22}, {'text': 'Superkind cream & mak. I would like the travel version for this summer', 'length': 70}, {'text': 'Which cream/ balm is the best for eye treatment for woman with sensitive skin ?', 'length': 79}, {'text': 'The best looking #shelfie', 'length': 25}, {'text': 'I have two I can’t live without. Retinoic nutrient face oil has dramatically improved my skin and the Creme riche leaves my skin baby soft in the morning.', 'length': 154}, {'text': 'Tata Harper’s heaven dream come true!! 😍💚💚💚💚💚', 'length': 45}, {'text': 'I’m in love with the body oil. I can’t get enough of it 💚', 'length': 57}, {'text': 'The nourishing oil cleanser is always such a pleasure to use! 🌱', 'length': 63}, {'text': 'Oh wow so gorgeous 😍', 'length': 20}, {'text': 'Elixir Vitale!!!✅✅✅', 'length': 19}, {'text': '😍😍😍 goals!', 'length': 10}, {'text': 'I’m currently loving the Restorative Eye Cream, Resurfacing Serum and  Regenerating Cleanser!', 'length': 93}, {'text': 'Resurfacing Serum!!! ❤️❤️❤️', 'length': 27}, {'text': 'Stunning ❤️❤️', 'length': 13}, {'text': 'Devine 🤩', 'length': 8}, {'text': 'My dream', 'length': 8}, {'text': 'Ahhhh 💚💚💚💚💚💚', 'length': 12}, {'text': 'The Rejuvenating Serum is like a facial in a bottle. Every time I use it I scream in the mirror at how great my skin looks! 💐💚', 'length': 126}, {'text': 'Only one, I can’t choose 🙀🙀 I love them all 💚💚💚', 'length': 47}, {'text': 'Your Resurfacing Serum is fabulous. 🙌🔥💚', 'length': 39}, {'text': 'Crème riche 💚💚💚', 'length': 15}, {'text': '😍😍😍😍😍', 'length': 5}, {'text': 'This is heaven 😍😍', 'length': 17}, {'text': 'All of them! 😍😍😍', 'length': 16}, {'text': 'Ahhhh this shelfie is goalss❤️❤️❤️❤️', 'length': 36}, {'text': 'i can’t choose!! 😭💚', 'length': 19}, {'text': 'So good 🤍🤍', 'length': 10}, {'text': 'SOS! 💚 So, obviously, suculento!! 💚', 'length': 35}, {'text': '💚💚💚 Stunning 💚💚💚', 'length': 16}, {'text': 'Kindly launch @tataharperskincare  products in India 🇮🇳🙏. @tataharper', 'length': 69}, {'text': '💚💚💚💚💚', 'length': 5}, {'text': 'So many faves 😍🙌 !!! 💚💚💚', 'length': 24}, {'text': 'Illuminating eye cream 💯 every morning and night!!', 'length': 50}, {'text': 'Shelfie goals', 'length': 13}, {'text': 'Resurfacing serum!!!! 💚', 'length': 23}, {'text': 'The boosted contouring eye balm 🙌🏼💚', 'length': 35}, {'text': '❤️', 'length': 2}, {'text': 'All of it! I have everything!!! Is that a problem?😂', 'length': 51}, {'text': 'Regenerating cleanser rocks', 'length': 27}, {'text': 'Retinoic nutrient face oil 💕', 'length': 28}, {'text': '😍', 'length': 1}, {'text': 'The best', 'length': 8}, {'text': 'My fav color 💚😍💚😍💚', 'length': 18}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '😍', 'length': 1}, {'text': '♥️', 'length': 2}, {'text': '💚💚💚💚💚💚💚', 'length': 7}, {'text': 'The super velvety yet light Hyaluronic Gel moisturizer 💚💚💚', 'length': 58}, {'text': '💚💚', 'length': 2}, {'text': 'How could I choose?! 😍💚🌿', 'length': 24}]"
We're both proud,<Post CctFPBJJdVo>,653,15,[],23/04/22,"We're both proud and excited to partner with @credobeauty as our exclusive retail launch partner for our new Refillable Restorative Eye Creme! Join Tata and the Credo community for a special masterclass on Tuesday, May rd at 7PM EST 💚
RSVP and get your products in time to follow along through our link in bio!",310,"[{'text': 'So excited about the Master Class 💚 We love Tata and the Full Tata Harper Skincare Line ✨', 'length': 89}, {'text': 'You are so beautiful, i live in France and i am super fan of your products for my skincare routine ❤️❤️', 'length': 103}, {'text': 'I am a big fan of your products and had. Man I miss you when you Where in Paris at oh my cream during the fashion week... maybe next time....😉👍🙏🙏🧘🧘', 'length': 147}, {'text': 'So exciting! 💚✨', 'length': 15}, {'text': '💚🌱💚🌱💚🌱', 'length': 6}, {'text': 'Киииса🔥🙌❤️', 'length': 10}, {'text': '❤️', 'length': 2}, {'text': '💚💚💚', 'length': 3}, {'text': '😍❤️😍❤️', 'length': 6}, {'text': 'Beautiful! ❤️', 'length': 13}, {'text': '💚', 'length': 1}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '@tataharper who makes your tata necklace?', 'length': 41}]"
Say hello to,<Post Ccqwc6LJXZS>,401,13,"['happyearthday', 'sustainableskincare', 'greenyourbeautyroutine']",22/04/22,"Say hello to our sustainable skincare farm 👋 Where we make products that are pure by nature and sustainable by design 🌎 Our farm is where we formulate, batch, fill, and package every product. It’s where we make everything under one roof sustainably, and with full transparency, from beginning to end, for a low carbon footprint. We only use pure ingredients that come from nature and then we package our formulas in recyclable, reusable, earth-friendly materials. Finally, we ship our products directly from our farm to your doorstep, with no stops in between.

#happyearthday🌎 #sustainableskincare #greenyourbeautyroutine",622,"[{'text': '😍😍 love it', 'length': 10}, {'text': 'So dreamy 😍💚🌱✨', 'length': 14}, {'text': 'Such a beautiful farm! 🌞💚🌻✨', 'length': 27}, {'text': 'This farm 💚 Such a dream!', 'length': 25}, {'text': 'Need to build a retreat center next — we can come and enjoy', 'length': 59}, {'text': '😍😍😍😍', 'length': 4}, {'text': '😍😍', 'length': 2}, {'text': 'Happy Earth day 🌎', 'length': 17}, {'text': '😍😍😍😍', 'length': 4}, {'text': '😍😍😍', 'length': 3}, {'text': 'Happy earth day!!! 🐄💚🌎', 'length': 22}]"
