,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Creating packaging for,<Post Ccqey9OlJp9>,154,1,"['earthday', 'tillamook', 'bcorp']",22/04/22,"Creating packaging for a sustainable future is no small task, but our Tillamook team is up to the challenge. 💪

With innovative thinking, science-based analysis and a strategic mindset, we’re working hard to create better packaging with less impact. Learn more about how we do right by the future at Tillamook.com/packaging
.
.
.
#EarthDay #Tillamook #BCorp",357,"[{'text': 'Brilliant', 'length': 9}]"
Doggos of Tillamook:,<Post CclK6oPprGq>,683,13,"['tillamook', 'tillamookcreamery', 'instadog']",20/04/22,"Doggos of Tillamook: Part 156
.
.
.
#Tillamook #TillamookCreamery #InstaDog",75,"[{'text': 'I love your products tillamook 🥺', 'length': 32}, {'text': 'Um, I need one of the eyemasks', 'length': 30}, {'text': 'I really need to see more Tilliamook dogs please 🧀', 'length': 50}, {'text': 'I was just at tillamook, I was wondering if there were any plans to return to the previous distribution method for the cheese samples?', 'length': 134}, {'text': 'We love you Tillamook doggos!', 'length': 29}, {'text': 'The golden girls love their Tillamook cheese!  Thank you for the shoutout!', 'length': 74}, {'text': 'Where do I get one of those eye masks l', 'length': 39}, {'text': 'You need to do Cats of Tillamook. My cat Soup steals cheese if you are not watching. Pepper Jack is her current favorite', 'length': 120}, {'text': 'Promote it on 🐶👉@dogs_world_promo_3', 'length': 35}]"
"Here at Tillamook,",<Post CcjP99AKm7A>,252,6,"['1', 'tillamook', 'bcorp', 'cowcare']",19/04/22,"Here at Tillamook, taking care of cows is #1. And one way to care for cows is by providing clean, comfortable bedding -- they do spend a lot of time resting 😴

Keeping cows comfy ultimately means better Tillamook products you love. Visit the link in our bio to learn more about our commitment to cow care.
.
.
.
#Tillamook #BCorp #CowCare",338,"[{'text': 'notice me. please.', 'length': 18}, {'text': 'Thanks for these fun facts', 'length': 26}, {'text': 'Those cows look happy and well taken care of. It does make a difference! Thank you Tillamook!', 'length': 93}, {'text': '💯❤️', 'length': 3}]"
If you think,<Post CcYMRyxFpvB>,260,15,"['tillamook', 'cheddar', 'breakfast', 'savory']",15/04/22,"If you think your morning oatmeal has to be sweet, think again because @tallulahalexandra delivers on the savory breakfast side with her 2 Minute Savory Oatmeal Bowl, topped with Tillamook Sharp Cheddar Slices and a poached egg. Find the recipe below and pick up Tillamook Cheddar near you at Tillamaps.com. 

-- 

½ cup quick cook rolled oats 
¾ cup chicken bone broth 
1 @Tillamook Farmstyle Thick Cut Sharp Cheddar Slice 
1 large egg, poached 
Salt and pepper to taste 
Hot sauce + sesame seeds (optional) 

In a microwave safe bowl combine oats and broth then season to taste. Microwave for 60 seconds, then remove bowl from microwave and give oats a gentle stir. Top with @Tillamook Extra Sharp Cheddar Slice then microwave for an additional 30 seconds. 
. 
. 
.
#Tillamook #Cheddar #Breakfast #Savory",806,"[{'text': 'Yummmm me!~!! #TillamookCheese', 'length': 30}, {'text': 'What??? I’m going to try this😍', 'length': 30}, {'text': 'Uhh…YUM', 'length': 7}, {'text': ""I'll try anything with cheese😍"", 'length': 30}, {'text': 'Yes! I was just thinking about making savory oats the other day!!!', 'length': 66}, {'text': 'Yessss I do this too! It’s fantastic and I’m glad there are others who know Oatmeal as a neutral base! So good savory!!!', 'length': 120}, {'text': 'Try Irish steel cut oats and and tillamook pepper jack cheese and either hot sauce or soy sauce.  Been doing this for years.', 'length': 124}, {'text': 'Yummy!', 'length': 6}, {'text': '@Tillamook, what a great idea! #TogetherWithTillamook 🧀', 'length': 55}, {'text': 'Sorry guys I love @tillamook and @bobsredmill oats but NO WAY! 🤮', 'length': 64}, {'text': '@rafbigdaddi 🤤 🤤', 'length': 16}]"
Culture is important,<Post CcTC0NgFyez>,364,10,"['tillamook', 'yogurt', 'hottake']",13/04/22,"Culture is important to us here at Tillamook, especially when it comes to our yogurt 😉 

Swipe to hear straight from the source – our employees! – on their favorite Tillamook Yogurt picks and check out our stories for more of their hot tips. Don’t forget to visit Tillamaps.com to find Tillamook Yogurt near you.
.
. 
.
#Tillamook #Yogurt #HotTake",347,"[{'text': ""there are people who don't like it!?"", 'length': 36}, {'text': '#lickthefoil?always 😉', 'length': 21}, {'text': 'tillamook😍', 'length': 10}, {'text': '❤️', 'length': 2}, {'text': 'Stop spamming people on Instagram', 'length': 33}, {'text': 'This take is not hot. A hot take is saying you like the way cheddar slides down your throat more than Swiss.', 'length': 108}, {'text': 'White Mero', 'length': 10}, {'text': 'I want that cheddar sweatshirt', 'length': 30}, {'text': 'Got some in my ‘fridge right now', 'length': 32}]"
The longer you,<Post CcQcXmvoQrW>,379,18,"['nationalgrilledcheeseday', 'nationalgrilledcheeseday', 'tillamookcheese', 'cheesepull', 'grilledcheese']",12/04/22,"The longer you stare, the meltier it gets. Hungry yet? 😏 Feed your grilled cheese appetite for #NationalGrilledCheeseDay, with Tillamook Cheddar, ofc.
.

.

.

#NationalGrilledCheeseDay #TillamookCheese #CheesePull #GrilledCheese",229,"[{'text': 'YUM!!!!!', 'length': 8}, {'text': 'Nationalgrilledcheeseday!?!? Thanks for reminding me! 🤩🤤', 'length': 56}, {'text': 'Just recently got tillamook cheese to make a pizza later!', 'length': 57}, {'text': 'This is what heaven looks like.', 'length': 31}, {'text': 'I swear I can see it melting before my eyes 😍', 'length': 45}, {'text': 'Dang 😍', 'length': 6}, {'text': 'That cheeese 😍 I’ll take 3', 'length': 26}, {'text': 'Yum!!', 'length': 5}, {'text': ""Well now I know what I'm having for lunch 😍"", 'length': 43}, {'text': '🤤', 'length': 1}, {'text': '@dawg8035 my favorite day of the year “National Cheese Day” 😜', 'length': 61}, {'text': 'I love grilled cheese but can we get a pizza post please? Tillamook mozzarella anyone? 😍 @tillamook', 'length': 99}]"
"OOTW, Tillamook Yogurt",<Post CbiPRUVpAtS>,230,12,"['tillamook', 'yogurt', 'ootd', 'ootw', 'outfitoftheday']",25/03/22,"OOTW, Tillamook Yogurt Edition. Drop a heart in the comments with which outfit you’re choosing this week. ❤️💚🤍💙💗
.
.
.
#Tillamook #Yogurt #OOTD 
#ootw #outfitoftheday",166,"[{'text': '🧀', 'length': 1}, {'text': 'I will never get over the strawberry outfit. Iconic.', 'length': 52}, {'text': 'my fav is marionberry', 'length': 21}, {'text': 'My favorite!!', 'length': 13}, {'text': '@tillamook your yogurt offerings are quickly replacing my usuals. Super yum!!! 💜', 'length': 80}, {'text': '@marquimode I love when you do ones like this! Maybe you and Tillymook can team up for some CHEESE', 'length': 98}]"
"Less waste, while",<Post CbgAONtFHKZ>,3850,127,"['tillamook', 'bcorp', 'bcorpmonth']",24/03/22,"Less waste, while keeping all the taste 🧀 

As a Certified B Corp, we’re always looking for ways to keep food fresh and delicious while finding ways to reduce waste. Protecting your favorite Tillamook Cheddar Baby Loaf not only helps you enjoy it longer but helps reduce the amount of food waste in landfills.
.
.
.
#Tillamook #BCorp #BCorpMonth",345,"[{'text': 'You had me at cheese hat.', 'length': 25}, {'text': 'Love this 🧡', 'length': 11}, {'text': 'Someone needs a raise. 🙌', 'length': 24}, {'text': 'Why have I never done this and always tried to roll the wrapper down and fold it back up 🤦🏼\u200d♀️', 'length': 94}, {'text': '🤯 Genius!', 'length': 9}, {'text': 'Say what 🤯 this just changed my life!! 💯👍🏽', 'length': 42}, {'text': 'I was today years old… 😮', 'length': 24}, {'text': 'Mind blown!!! 🔥', 'length': 15}, {'text': '🤯 seriously! I wish I knew that sooner!! 😍', 'length': 42}, {'text': 'Best cheese ever👏👏', 'length': 18}, {'text': 'Why have I never seen this! We’ve always done the tinfoil trick but this is so cool!', 'length': 84}, {'text': 'I have been doing this for a while now!!! 👏', 'length': 43}, {'text': 'Whattttt why am I just learning this!?!? 😍', 'length': 42}, {'text': 'WHAT!!! NO MORE WASTED glad bag! ❤️', 'length': 35}, {'text': '😱😱👏👏 speechless! 🎤', 'length': 18}, {'text': '❤️🙌', 'length': 3}, {'text': 'Great idea! Thanks for sharing! 👏🏼👍🏼', 'length': 36}, {'text': 'Brilliant!', 'length': 10}, {'text': 'This beats our method of giant ziplock bags…', 'length': 44}, {'text': 'Always wash your hands before handling the loaf!!', 'length': 49}, {'text': 'Best company', 'length': 12}, {'text': 'buy this all the time....just love it', 'length': 37}, {'text': 'Ooohhhhhh 😮👏', 'length': 12}, {'text': '🤯! It’s a “why didn’t I think I think of that?”🙌', 'length': 48}, {'text': 'Such good cheese😍😍', 'length': 18}, {'text': 'This is “grate” 🧀 @herbertserrano', 'length': 33}, {'text': '@susieqrob  Told ya. 😏🤭😘', 'length': 24}, {'text': '@emilymariko', 'length': 12}, {'text': '@nicksprops', 'length': 11}, {'text': '@thepoorfarm_er', 'length': 15}, {'text': '😍😍😍', 'length': 3}, {'text': 'Wow! 😮', 'length': 6}, {'text': '🤯🤯', 'length': 2}, {'text': 'No whey?!?!', 'length': 11}, {'text': '🤯', 'length': 1}, {'text': ""Hat's off to thr BEST cheese ❤️"", 'length': 31}, {'text': ""I wish I could find Tillamook cheese where I live. It's hard to find good cheese here."", 'length': 86}, {'text': 'Niiiiice', 'length': 8}, {'text': 'I like it!', 'length': 10}, {'text': 'To think I got out a Ziploc and put the cheese in it! Learn something new every day! CHEESE HAT, not just for Wisconsin anymore.', 'length': 128}, {'text': 'Brilliant!!!!', 'length': 13}, {'text': ""Wait- those bricks of cheese are single-servings aren't they? I mean- what's next- you telling me that there are more than 2 glasses in a bottle of wine?!"", 'length': 154}, {'text': 'Been doing this for decades', 'length': 27}, {'text': '@alanapokorny', 'length': 13}, {'text': '@elis_forge that’s how it’s done', 'length': 32}, {'text': '👏👏👏', 'length': 3}, {'text': 'Nice', 'length': 4}, {'text': '👏👏👏👏👏👏👏', 'length': 7}, {'text': 'Thanks @tillamook for promoting hand-washing! We as a species are going to get the hang of it someday! 😂 (Also OMG this is really helpful! Cheese hat!)', 'length': 151}, {'text': 'So clever! 👏', 'length': 12}]"
The best reward,<Post CbdR1cwveKR>,914,13,"['tillamook', 'tillamookcreamery', 'tillamookicecream']",23/03/22,"The best reward for A+ work? Ice cream, of course. Swipe to see how it's done 💯
📷: @michaeljcady, @feisty.optimist
.
.
.
#Tillamook #TillamookCreamery #TillamookIceCream",169,"[{'text': 'Carl_Goes_On_Vacation', 'length': 21}, {'text': 'BRING BACK THE BUBBLEGUM FLAVOR 🔥', 'length': 33}, {'text': 'I love that place too. Good memories.', 'length': 37}, {'text': 'I see you have updated the building the last time I was there was in the mid-90s', 'length': 80}, {'text': 'Marionberry cures post report card blues we hear…', 'length': 49}, {'text': 'So sweet ❤️', 'length': 11}, {'text': ""@tillamook you need to start advertising you sugar free beef jerky. I recommend it to everyone I come across. It's sooooo good!"", 'length': 127}, {'text': 'On your way to Cannon Beach, recommend stopping by for the best cheese, ice cream, Mac and cheese! Everything is so good! @tay_13lu', 'length': 131}]"
Tillamook Frozen Custards,<Post CbaYtT_oCt5>,1036,71,"['soundon', 'springbreak', 'tillamook', 'happyspring']",22/03/22,"Tillamook Frozen Custards = your new Spring Break vacay sidekick 🍨🏖 Stock your cooler and check out all 8 flavors at Tillamaps.com.
.
Frozen Custard 101: Our most ultra-decadent, extra-creamy treat. Made with cage-free eggs, and 16% butterfat (hello indulgence!), this is sure to be a new staple in your freezer. 
.
#SoundOn #SpringBreak #Tillamook #HappySpring",361,"[{'text': 'I’m  in', 'length': 7}, {'text': '😮 Need to try!!!', 'length': 16}, {'text': 'yummy #ScoopCreamier', 'length': 20}, {'text': 'Yum', 'length': 3}, {'text': 'I need', 'length': 6}, {'text': 'one of my absolute faves! 😋', 'length': 27}, {'text': 'oh yum looks amazing 😍', 'length': 22}, {'text': 'Omg! 🔥', 'length': 6}, {'text': 'Have these little pints made their way to the east coast at all? I know where I can but tillamook near me but we haven’t seen these….can we expect them this summer? I’m dying to try sea salt and honeycomb toffee', 'length': 211}, {'text': 'Delicious!!!! ♥️♥️♥️', 'length': 20}, {'text': 'Could y’all put more cookie dough bites in your chocolate chip cookie dough ice cream? Bought a gallon and I think there were 3 bites. Still great ice cream, but I do love some cookie dough bites.', 'length': 196}, {'text': 'That looks pretty good tillamook im impressed', 'length': 45}, {'text': 'One of my fav flavors!!', 'length': 23}, {'text': 'where can we find it? safeway?', 'length': 30}, {'text': 'I love frozen custard. I need this ASAP', 'length': 39}, {'text': 'Frozen Custard 101: Our most ultra-decadent, extra-creamy treat. Made with cage-free eggs, and 16% butterfat (hello indulgence!), this is sure to be a new staple in your freezer.', 'length': 178}, {'text': 'Can you ship this to Florida please!!!', 'length': 38}, {'text': '😍😍😍 must try this one!', 'length': 22}, {'text': 'Oh my goodness! Get this shipped to Georgia please!!!', 'length': 53}, {'text': 'Any chance this will make it to the east coast? 😅', 'length': 49}, {'text': 'Are these pasteurized?', 'length': 22}, {'text': 'Can I pay with both cash and card at the Tillamook Creamery?', 'length': 60}, {'text': 'This sounds amazing!', 'length': 20}, {'text': '🤤🤤🤤🤤🤤🤤', 'length': 6}, {'text': '😋', 'length': 1}, {'text': '🙌🙌🙌', 'length': 3}, {'text': 'Loved the Strawberry Cheesecake custard during our visit! 😍🍓🍦 Team TILLAMOOK! 🎉🐄', 'length': 80}, {'text': '@megankayolsen I feel like you should replicate this scene', 'length': 58}, {'text': '@iambrandonbanks 😳', 'length': 18}, {'text': '@courtneyhen nooooooooooooo', 'length': 27}, {'text': '@scalessue', 'length': 10}, {'text': 'Best spring break if you ask me!', 'length': 32}, {'text': 'Yes please. Hope I can find this in Colorado.', 'length': 45}, {'text': '@maddieroy', 'length': 10}, {'text': '😍😍', 'length': 2}, {'text': 'I wish this was available in south Florida', 'length': 42}, {'text': '🥲🥲🥲', 'length': 3}, {'text': '♥️♥️♥️♥️', 'length': 8}, {'text': 'One of my pet peeves is companies who keep shrinking their pint containers to 15 or 14 oz to save money thinking no one will notice instead of just being honest and saying hey costs are up so we need to charge a little more. Please tell me you made these a full pint.', 'length': 267}]"
