,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
"245g - 8,6oz:",<Post Cc8HNJ2s0KX>,3085,18,"['veja', 'vejaimpala']",29/04/22,"245g - 8,6oz: the Impala, the lightest VEJA sneakers ever made. 
The sole of the Impala is made from 61% bio-based materials (30% Amazonian rubber, 31% rice waste). 

Our first training style is now available on veja.store. 

📸: @rahel_weiss 
Model: @lisamdesir 
#veja #vejaimpala",280,"[{'text': 'How do we convert to US dollars?', 'length': 32}, {'text': 'THIS is THE shoe I’m going to get next ! 😍', 'length': 42}, {'text': 'Absolutely love❤️', 'length': 17}, {'text': 'Love the minimalist look 🤍', 'length': 26}, {'text': '❤️❤️❤️', 'length': 6}, {'text': '🤍', 'length': 1}, {'text': 'Best shoes ever 👏👏👏👏', 'length': 20}, {'text': '👏👏👏👌👌👌i love that', 'length': 17}, {'text': 'Vejas are literally my favourite shoes ever!', 'length': 44}, {'text': '🔥😍❤️', 'length': 4}, {'text': 'LOVE', 'length': 4}, {'text': '🔥', 'length': 1}, {'text': '@susangibson645 😍', 'length': 17}, {'text': '@ella_torres_ check out Veja for your 👟 hunt 😉😉😉', 'length': 48}]"
VEJA designed its,<Post Cc46qJ8Mjcq>,948,14,"['veja', 'vejaimpala']",28/04/22,"VEJA designed its first training style: the Impala. 
Made for a wide range of exercises: gym workouts, runs on a treadmill, bootcamp and crossfit.
For the upper, VEJA uses ENGINEERED-MESH – it’s made from 100% recycled polyester. 
Available on veja.store

📸: @rahel_weiss 
Models: @lubershit, @iscia__, @lisamdesir 
#veja #vejaimpala",333,"[{'text': 'Let‘s get active 🏋🏼\u200d♂️ #vejaimpala', 'length': 34}, {'text': 'When are you getting more v10 in stock?', 'length': 39}, {'text': 'How are these for width please? I have a wide size 37 foot.', 'length': 59}, {'text': 'No men sizing? 😕', 'length': 16}, {'text': 'Looking great!', 'length': 14}, {'text': 'I LOVE THESE', 'length': 12}, {'text': 'Ok, let’s test them for CrossFit…', 'length': 33}, {'text': '😍', 'length': 1}, {'text': '🤍🤍🤍', 'length': 3}, {'text': '😍😍', 'length': 2}, {'text': '@_fred_fernandez 😍😍', 'length': 19}]"
Coming soon... @vejarunning,<Post Cc24EM3jWTr>,1263,24,['veja'],27/04/22,"Coming soon... 
@vejarunning 

#veja",36,"[{'text': 'In LOVE with this shoot and the looks and the vibes GIVE US EVERYTHING 🔥🔥', 'length': 73}, {'text': 'Hey 👋🏻 , I just reached out to you. Please verify your DM! Thanks 😊', 'length': 67}, {'text': 'One question, condor 2 what size I need if I have 25,50  centimeters? Thank you !', 'length': 81}, {'text': '👏👏👏👏', 'length': 4}, {'text': '🔥🔥🔥🏃🏽\u200d♀️🏃🏽\u200d♀️🏃🏽\u200d♀️', 'length': 18}, {'text': '👏👏👏👏', 'length': 4}, {'text': '👏👏👏👏😍😍', 'length': 6}, {'text': '😍', 'length': 1}, {'text': '👏', 'length': 1}, {'text': '😍', 'length': 1}, {'text': '🤍🤍🤍', 'length': 3}, {'text': '😍😍😍😍', 'length': 4}, {'text': '🔥🔥🔥🔥', 'length': 4}, {'text': '🔥🔥🔥🔥', 'length': 4}, {'text': '👏👏👏', 'length': 3}, {'text': '😍🔥', 'length': 2}, {'text': '🔥🔥', 'length': 2}, {'text': 'About to pick up your converse collection 🙌🏾', 'length': 44}, {'text': '@veja Hi there I placed an order over 2 weeks ago and have yet to receive it. Any help would be appreciated', 'length': 107}, {'text': 'okkkk @veja @vejarunning 🤩🤩', 'length': 27}, {'text': '@marie.kox yeaah😍', 'length': 17}]"
Textures and details.,<Post Cc0Yr1hIcOR>,9117,51,"['veja', 'vejav10']",26/04/22,"Textures and details. ​
The upper of the V-10 is made of B-Mesh, a 100% recycled material. It's coming from recycled plastic bottles shredded into flakes and transformed into fibers in a Brazilian factory.​

📸: @charlotte_lapalus 
Model: @irisdelcourt 
#veja #vejav10",267,"[{'text': 'Hola donde se pueden comprar en argentina?', 'length': 42}, {'text': 'Not happy with my pair. :-( after two months, it already showed major signs of “falling apart”. After sales is not helpful, anyway. 😢', 'length': 133}, {'text': 'These are lovely. Can I ask where the socks are from please!x', 'length': 61}, {'text': ""Yall need to make skate shoes, I'd rep them❗"", 'length': 44}, {'text': 'Hi! Where can I get Veja in Miami?', 'length': 34}, {'text': 'Dónde puedo comprar veja en Granada, España? Gracias', 'length': 52}, {'text': 'Hi veja, is this a legitimate website: https://www.veja-ayakkabi.com', 'length': 68}, {'text': 'My favorite shoes ❤️', 'length': 20}, {'text': '😍😍😍', 'length': 3}, {'text': '🔥🔥🔥🔥🔥🔥', 'length': 6}, {'text': '🔥🤍', 'length': 2}, {'text': 'Super cool !!', 'length': 13}, {'text': 'Já quero ❤️', 'length': 11}, {'text': 'Oh no. I""m gonna need these....', 'length': 31}, {'text': 'Saved ✔️', 'length': 8}, {'text': 'Love these 🤍🤎', 'length': 13}, {'text': 'I love my veja’s so much 😍', 'length': 26}, {'text': '🙌', 'length': 1}, {'text': '😍😍', 'length': 2}, {'text': '😍😍', 'length': 2}, {'text': '👏', 'length': 1}, {'text': '🤍🤍', 'length': 2}, {'text': '😍😍😍', 'length': 3}, {'text': '😍', 'length': 1}, {'text': '@eder_tavares20 @wilniston_nepomuceno e @lincaoch opção de presente pra mamis 🔥😍❤️', 'length': 82}, {'text': '@mayjordan beige, color that we loves 🤍🤎', 'length': 40}, {'text': '@izzigaskell  my next pair', 'length': 26}, {'text': '@hansheitzmann', 'length': 14}, {'text': '@senkamesic  za nasip', 'length': 21}, {'text': '@cecilia_laphitz', 'length': 16}, {'text': '🙌🏼', 'length': 2}, {'text': '🤍✨', 'length': 2}, {'text': '🔥🔥', 'length': 2}, {'text': '🔥😍', 'length': 2}, {'text': '😍👍🏻', 'length': 3}, {'text': '😍', 'length': 1}, {'text': '😍', 'length': 1}]"
On-the-go with the,<Post Ccx0Ms_MaWp>,4895,23,"['veja', 'vejav10', 'vejacampo']",25/04/22,"On-the-go with the V-10 and the CAMPO. 

📸: @charlotte_lapalus 
Model: @irisdelcourt 
#veja #vejav10 #vejacampo",111,"[{'text': 'In Turkey, you have an spam website which is exactly the copy of your official website and this website is taking order but sending nothing. It is better if you can check that website.', 'length': 184}, {'text': 'Do you have any tips for washing them?', 'length': 38}, {'text': ""I've never worn anything so uncomfortable and hard. ☹"", 'length': 53}, {'text': 'L O V E !', 'length': 9}, {'text': 'Need those😍', 'length': 11}, {'text': 'Thank you for my favourite shoes 🌈', 'length': 34}, {'text': '😍😍😍😍😍', 'length': 5}, {'text': '😍😍😍', 'length': 3}, {'text': 'Nahhh them brown jawns is 🔥', 'length': 27}, {'text': 'Hi @veja any idea when the Campo Chromefree White Natural will be back in stock in the US?', 'length': 90}, {'text': '@tefi_torresjave 😍', 'length': 18}, {'text': '@izzigaskell @harry.broadley', 'length': 28}, {'text': '@pamelamelawon', 'length': 14}]"
@marni x VEJA,<Post CcvIOREIlcu>,3214,16,"['veja', 'vejaxmarni', 'marni']",24/04/22,"@marni x VEJA in action. ​

​📸: @helenacuesta, @marieclaireau​, @everettwilliams, @qiu.bohan
#veja #vejaxmarni #marni​",118,"[{'text': 'Why present products who are not aviable ??? Out of stock …', 'length': 59}, {'text': '😍', 'length': 1}, {'text': 'NEED', 'length': 4}, {'text': 'Loveeeee🔥❤️😍', 'length': 12}, {'text': '😍😍😍😍😍❤️', 'length': 7}, {'text': '❤️', 'length': 2}, {'text': '💛💙🖤', 'length': 3}, {'text': '❤️', 'length': 2}, {'text': '🖍🖍🖍', 'length': 3}, {'text': 'And the shirt is @demi_ds_', 'length': 26}, {'text': '@everettwilliams 🔥🔥', 'length': 19}, {'text': '@differentbymartina', 'length': 19}]"
Introducing the Esplar,<Post CcsqTcVI0C0>,3138,21,"['veja', 'vejaesplar', 'vejav10']",23/04/22,"Introducing the Esplar in White Lavande and V-10 in Parme Jaune Fluo, available exclusively on veja.store.​

​#veja #vejaesplar #vejav10",136,"[{'text': 'Malísima experiencia una pena! Me compre dos pares unas xa mi niña y otras para mi! La de la niña la puntera toda despellejada en un uso y las mias se abre la goma y se ha desteñido una zapatilla el logo \nAhora llevo una rosa y otra blanca pésimo \nUna lástima porque el diseño está bien pero la calidad…', 'length': 303}, {'text': 'Is this a legitimate site https://www.vejaesplarcanada.com/', 'length': 59}, {'text': '💚💜', 'length': 2}, {'text': 'my fave ❤️❤️❤️❤️❤️', 'length': 18}, {'text': 'Loved❤️❤️', 'length': 9}, {'text': 'Wore mine all day today & my feet & body felt better tha@n any other sneaker! ❤️', 'length': 80}, {'text': 'Me encantan', 'length': 11}, {'text': 'Perfect Spring colour 💜', 'length': 23}, {'text': '❣️', 'length': 2}, {'text': 'Love them ❤️', 'length': 12}, {'text': '🤤🤤🤤', 'length': 3}, {'text': '@the_wandering_wilsons what you think of this colour..', 'length': 54}, {'text': '@the_wandering_wilsons what you think of this colour..', 'length': 54}, {'text': '@francaparra', 'length': 12}]"
A new chapter,<Post CcqGcrKs5wi>,1414,19,"['veja', 'vejarunning', 'vejacondor2']",22/04/22,"A new chapter has started: @vejarunning. 

Model: @_schdt 
#veja #vejarunning #vejacondor2",90,"[{'text': 'Please restock these in 39,5!', 'length': 29}, {'text': 'How much in US $$?', 'length': 18}, {'text': 'Ça arrive forrrtttt ♻️♻️♻️', 'length': 26}, {'text': 'Neeeeed', 'length': 7}, {'text': 'Here for it.', 'length': 12}, {'text': '🔥🔥🔥 love!!', 'length': 10}, {'text': 'Veja tennis 🙏', 'length': 13}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '🤍', 'length': 1}, {'text': '🔥🔥', 'length': 2}, {'text': '👏👏👏', 'length': 3}, {'text': '@fernandafeffer sua cara 😍', 'length': 26}, {'text': '@frasermgreen', 'length': 13}]"
Pourquoi le coton,<Post CcpVcnPo02m>,512,10,"['veja', 'vejaproject']",22/04/22,"Pourquoi le coton bio de VEJA est-il si différent ? 

Depuis 2004, nous travaillons sur le terrain avec des producteurs de coton biologique. 
Nous avons commencé en 2004, avec 30 producteurs de l’agriculture familiale, qui plantaient haricots, coton, graine de sésame, mais nous avons appris à partir de 2004 ce qu’était l’agroécologie, une manière de cultiver qui enrichit les sols au lieu de les détruire. 

Aujourd'hui, VEJA travaille avec près de 1 200 familles et plus de 22 associations basées au Brésil et au Pérou. 
Le coton bio brésilien vient uniquement de l’agriculture familiale, le coton péruvien est un projet verticalisé depuis 1987, un exemple mondial. 

Cette année, VEJA paie 24,77 R$ par kilo de coton, soit près de 50 % de plus que le prix du marché. En 2021, nous payions 18,72 R$ par kilo de coton, et en 2020, nous avons payé 17,94 R$ par kilo. 

Le prix du coton biologique est déterminé en avance avec les producteurs. VEJA établit un contrat de deux ans garantissant l'achat de leur coton bio à un prix fixé, ce qui leur permet d’avoir une visibilité, dépassant 2 ou 3 récoltes, ce qui est l’un des problèmes majeurs de l’agriculture mondiale : quand un producteur plante une graine de coton, il ne sait pas combien il vendra le kilo de coton issu de cette graine. 
Ces prix comprennent une prime pour les producteurs et les associations qui leur permet de mettre en œuvre plus de pratiques agroécologiques et régénératives. Cela signifie que ce coton est récolté dans le même champ que d'autres cultures de subsistance, comme le maïs, le sésame ou les haricots. Il est cultivé sans engrais chimiques ni pesticides. Contrairement aux exploitations intensives de coton, chaque culture donne des apports naturels différents au sol tout en l'enrichissant. 

4 membres de l’équipe travaillent quotidiennement dans le Nordeste brésilien avec les producteurs de coton bio, sans intermédiaire. 
La différence de VEJA : travailler directement sur le terrain, savoir exactement d’où viennent les matières premières, qui les cultivent. La transparence ou traçabilité, appelez cela comme vous voulez, nous l’appelons travailler sur le terrain. 

📸: @melanie.bahuon 
#veja #vejaproject",2199,"[{'text': '👏👏', 'length': 2}, {'text': '🙌🙌', 'length': 2}, {'text': '𝐂𝐚𝐬𝐡 𝐜𝗼𝗺𝐛𝐢𝐧𝐞𝐝 𝐰𝐢𝐭𝐡  𝐜𝗼𝐮𝐫𝐚𝐠𝐞 𝐢𝐧 𝐚 𝐭𝐢𝗺𝐞 𝗼𝐟 𝐜𝐫𝐢𝐬𝐢𝐬 𝐢𝐬 𝐩𝐫𝐢𝐜𝐞𝐥𝐞𝐬𝐬, 𝐢 𝗺𝐚𝐝𝐞 𝐭𝐡𝐞 𝐫𝐢𝐠𝐡𝐭 𝐜𝐡𝗼𝐢𝐜𝐞 𝐛𝐲 𝐢𝐧𝐯𝐞𝐬𝐭𝐢𝐧𝐠 𝐰𝐢𝐭𝐡  @earn__.with__olivia 𝐢 𝐞𝐚𝐫𝐧𝐞𝐝 $50,000  𝐰𝐢𝐭𝐡 𝐭𝐡𝐞 𝐥𝐢𝐭𝐭𝐥𝐞 𝐢𝐧𝐯𝐞𝐬𝐭𝗺𝐞𝐧𝐭 𝐜𝐚𝐩𝐢𝐭𝐚𝐥 𝗼𝐟 $5000 𝐰𝐢𝐭𝐡𝐢𝐧 5 days  𝗼𝐟 𝐭𝐫𝐚𝐝𝐢𝐧𝐠 , 𝐢 𝐫𝐞𝐚𝐥𝐥𝐲 𝐚𝐩𝐩𝐫𝐞𝐜𝐢𝐚𝐭𝐞 her effort 𝐜𝗼𝐧𝐭𝐚𝐜𝐭 𝐡er 𝐭𝗼 𝐠𝐞𝐭 𝐬𝐭𝐚𝐫𝐭𝐞𝐝 𝐧𝗼𝐰 @earn__.with__olivia', 'length': 298}, {'text': '👏', 'length': 1}, {'text': '❤️', 'length': 2}, {'text': '👏🏻👏🏻', 'length': 4}, {'text': '👏🔥❤️', 'length': 4}, {'text': 'This is veryyyyy cool!!!', 'length': 24}, {'text': 'Et vos ouvriers sont payés combien ?', 'length': 36}]"
¿Por qué el,<Post Cck743Uo3rQ>,509,11,"['veja', 'vejaproject']",20/04/22,"¿Por qué el algodón orgánico VEJA es diferente? ​

​Llevamos trabajando con los agricultores de algodón ecológico sobre el terreno desde 2004. Empezamos en 2004, con 30 agricultores familiares, sembrando judías, algodón, semillas de sésamo, pero a partir de 2004 aprendimos lo que era la agroecología, una forma de cultivar que enriquece el suelo en lugar de destruirlo. ​

​En la actualidad, VEJA trabaja con casi 1.200 familias y más de 22 asociaciones con sede en Brasil y Perú. ​

​El algodón orgánico brasileño proviene exclusivamente de la agricultura familiar, el peruano es un proyecto verticalizado desde 1987, un ejemplo mundial. ​

​Este año, VEJA está pagando 24,77 reales por kilo de algodón, casi un 50% más que el precio de mercado. ​
En 2021, pagamos 18,72 reales por kilo de algodón, y en 2020, 17,94 reales por kilo. ​

​El precio del algodón ecológico se determina de antemano con los productores. VEJA establece un contrato de dos años que garantiza la compra de este algodón ecológico a un precio fijo, lo que les permite tener visibilidad, más allá de 2 o 3 cosechas, que es uno de los principales problemas de la agricultura mundial: cuando un productor planta una semilla de algodón, no sabe a cuánto va a vender el kilo de algodón de esa semilla. ​

​Estos precios también incluyen una prima para que los productores y las asociaciones apliquen más prácticas agroecológicas y regenerativas. ​

​Esto significa que el algodón se cosecha en el mismo campo que otros cultivos de subsistencia, como el maíz, el sésamo o las judías. ​

​Se cultiva sin fertilizantes ni pesticidas químicos. A diferencia de las explotaciones intensivas de algodón, cada cultivo aporta diferentes insumos naturales al suelo y lo enriquece. ​

​4 miembros del equipo trabajan diariamente en el Nordeste brasileño con los productores de algodón orgánico, sin intermediarios. ​

​La diferencia de VEJA: trabajar directamente en el campo, saber exactamente de dónde vienen las materias primas y quién las cultiva. Transparencia o trazabilidad, llámelo como quiera, nosotros lo llamamos trabajar sobre el terreno. ​

📸: @melanie.bahuon 
​#veja #vejaproject​",2153,"[{'text': '👏👏👏👏', 'length': 4}, {'text': '👏👏👏👏', 'length': 4}, {'text': '👏👏👏', 'length': 3}, {'text': '@veja DM 📩👀', 'length': 11}, {'text': '🙌', 'length': 1}, {'text': 'Please where can I buy in Spain Madrid ?', 'length': 40}, {'text': '👏👏👏💚💚💚', 'length': 6}, {'text': 'It would be great if you have joined the FR campaign and highlight even more the makers here on your ig. I am waiting for my fourth pair 🙂. The MG pink ones 💞', 'length': 158}, {'text': 'Deberían también tener tiendas en Peru \U0001f979', 'length': 40}]"
