,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
We all know,<Post Cc6gHcSBztt>,498,22,['earthday'],29/04/22,"We all know someone who seems weirdly OK with climate change. It can be hard to fathom when the state of the world is keeping you up at night.

Apparently people are more likely to engage when they hear the facts from their friends and family (really, scientists have done research on this). So we asked around to see what our team is coming up against from their loved ones. #EarthDay",385,"[{'text': 'Loving this for some simple  #climateeducation 🙌👏', 'length': 49}, {'text': 'Any plans for making papertowels?', 'length': 33}, {'text': ""I'm gutted that we can't get your toilet paper in Canada anymore."", 'length': 65}, {'text': 'I LOVE your products! The tp goes farther than any paper tp I’ve ever used. I can’t imagine any reason why NOT to use bamboo (grass) rather than paper (trees). Every tree full of singing birds convinces me that it’s the best option. AND you help people who need clean water and toilets! It’s just a no-brainer.', 'length': 310}, {'text': 'Love this! We love a positive kind approach to a climate conversation!!🙌🙌❤️❤️❤️', 'length': 79}, {'text': ""Y'all, yes! Keep sharing content like this; it is SO important! Also it's just crazy to note that a TP company talks more about the environment than a lot of news channels. Keep leading 💪💪💪"", 'length': 189}, {'text': 'Thanks for sharing this! A great way to discuss climate change and raise more awareness 🌎💚💙💚🌎', 'length': 93}, {'text': 'The more you talk about it, the easier it gets.', 'length': 47}, {'text': 'Thanks for sharing! Climate change is real and we need to raise awareness 👏', 'length': 75}, {'text': '❤️', 'length': 2}, {'text': 'thank you for sharing ! ""but Im only one person"" thats classic', 'length': 62}, {'text': ""Seems it's sadly still the minority that is taking this seriously. Keep up the good work team wgac"", 'length': 98}, {'text': ""Honestly, my big issue is that, due to the way it is being talked, I have barely ever even HEARD of a positive news regarding Climate Change, to the point where it feels like there's NEVER a glimpse of hope"", 'length': 206}, {'text': ""Important to note that is not just climate change, it's anthropogenic climate change, two different things 👍🏻"", 'length': 109}, {'text': 'This post is great Pippy @emailphilking 💕', 'length': 41}]"
Suddenly very into,<Post Cc3mqZKOzJL>,3651,68,['accidentalbutt'],27/04/22,Suddenly very into aquariums #AccidentalButt,44,"[{'text': '#patrickstar', 'length': 12}, {'text': 'Is he really gonna swim on by without saying hello? 🥺', 'length': 53}, {'text': 'Patrick 😂', 'length': 9}, {'text': 'Is this the Krusty Krab? NO THIS IS PATRICK.', 'length': 44}, {'text': 'We need to up our squat game! 😂😂😅', 'length': 33}, {'text': '😂😂😂 Patrick Star 😍', 'length': 18}, {'text': 'Is that Patrick??', 'length': 17}, {'text': 'I thought it was a crocheted chicken to start with 😬🙄. So much craft of my feed ❤️', 'length': 82}, {'text': 'Pat has been in the gym this season 💪🏽', 'length': 38}, {'text': 'SpongeBob square pants must be around somewhere… 😂', 'length': 50}, {'text': 'I sure was like where is Patrick going?😂😂', 'length': 41}, {'text': ""Patrick!! That's where you've been!"", 'length': 35}, {'text': 'Looks like Patrick from spongebob 😂', 'length': 35}, {'text': 'dat booty', 'length': 9}, {'text': 'Patrick’s Peach! 😂', 'length': 18}, {'text': 'Patrick has been working OUT!', 'length': 29}, {'text': 'Patrick 😂👋', 'length': 10}, {'text': 'Patrick has lost his trousers again 😂', 'length': 37}, {'text': 'But why is it clenching so hard? 😅', 'length': 34}, {'text': '@mr_moo1997 😂', 'length': 13}, {'text': '@selinathegreat you', 'length': 19}, {'text': '@brookeb.harder', 'length': 15}, {'text': '@nikki.douflias 😂😂😂 Patrick', 'length': 27}, {'text': '@idrink_therefore_idram ❤️😂', 'length': 27}, {'text': '@koolgurl_y2k 😂', 'length': 15}, {'text': '@jesslperez', 'length': 11}, {'text': '@kirehajba 😂😂', 'length': 13}, {'text': '@ryan.h00per', 'length': 12}, {'text': '@lharrington98', 'length': 14}, {'text': '@navarreaux', 'length': 11}, {'text': 'I should call him..', 'length': 19}, {'text': 'Hehe ⭐️🍑', 'length': 8}, {'text': 'Where is this image from bc I need this framed in my home.', 'length': 58}, {'text': 'Y’ALL 😂', 'length': 7}, {'text': 'Patrick? .. why you naked tho? 😮', 'length': 32}, {'text': 'Looks like Patrick 😂😂😂', 'length': 22}, {'text': 'Is this.. Patrick Star', 'length': 22}, {'text': 'Patrick!', 'length': 8}, {'text': 'Haha', 'length': 4}, {'text': 'Definitely Patrick', 'length': 18}, {'text': 'patrick thicc', 'length': 13}, {'text': '🤣', 'length': 1}, {'text': '😂😂😂😂', 'length': 4}, {'text': 'Patrick the bum😂', 'length': 16}, {'text': 'Patrick is thicccc!', 'length': 19}, {'text': '😂😂😂😂😂', 'length': 5}, {'text': 'Butt star I believe very rare', 'length': 29}, {'text': '😍', 'length': 1}, {'text': '😂😂', 'length': 2}, {'text': '🙌🙌🙌', 'length': 3}]"
Turns out it’s,<Post Cc1kNY2N_4b>,863,330,[],27/04/22,"Turns out it’s nip it in the bud, not butt 🤷‍♀️",47,"[{'text': 'My husband has been saying “I knew it from the gecko”, not “get go” 😂', 'length': 69}, {'text': '“No”- it’s been coming out as “sure”', 'length': 36}, {'text': 'Intents and purposes. Not intense. 😂', 'length': 36}, {'text': 'Its a doggy dog world...', 'length': 24}, {'text': 'For the longest time I thought the line of lyric from The Smiths ‘How Soon Is Now’ was “I am the sun and the air”, those homophones got me 😂', 'length': 140}, {'text': 'My sister thought it was ""lying doormat"" not dormant. 😂😂 ""I could care less"" is one I hear all the time too!', 'length': 108}, {'text': 'Whenever I’ve sneezed I’ve always said “Bless Me” since I was a child. I sneezed at work about 5 years ago and learned form a colleague that saying “bless me” isn’t a thing. I guess as a child I knew you said “bless you” when someone else sneezed so at some point figured when I sneezed I was supposed to say “bless me”. No idea why my parents never corrected me and told me I should say “excuse me” instead. I still say bless me as it’s just automatic habit when a sneeze comes out. 😂', 'length': 485}, {'text': 'I was writing ""bare with me"" in emails instead of ""bear with me"" 😂 Jeez, how embarrassing...', 'length': 92}, {'text': 'I wish so many others knew it was a ‘sliver’ of cake, not a ‘slither’ 🙄🙄🙄🙄', 'length': 74}, {'text': 'That it’s Brush turkey not Bush Turkey 🦃 🤯', 'length': 42}, {'text': 'When I read Harry Potter for the first time (pre-movies obviously!), I was pronouncing it How-garts 🤦🏻\u200d♀️', 'length': 105}, {'text': 'Worked with a woman who thought (and probably still thinks) “errands” is both pronounced and spelled as “erins”. \n\nI was really confused one day when she wrote in an email, “going out to run erins”; who TF is Erin and why is she running?! 😂', 'length': 240}, {'text': 'In Home Alone, I that Joe Pesci was calling his partner “Mauve” like the color. Not “Marv” with a accent 😂 So I always just called that character Mauve', 'length': 151}, {'text': 'Any Irish first name e.g. Caoimhe', 'length': 33}, {'text': 'I just found out it’s “Brussels sprouts”, not brussel sprouts. 😮', 'length': 64}, {'text': 'Someone at work said ""Bob\'s your Uncle"" one day and I was so confused because my dad has always said ""Bob\'s your Aunty"" so I just thought that was the saying.', 'length': 158}, {'text': 'When I was a kid I thought it was Chunky Cheese, rather than Chuck E.', 'length': 69}, {'text': 'My son used to say taste bugs instead of tastebuds and it was the cutest thing ever!! I wish he still said it but he’s 15 now and knows 😞', 'length': 137}, {'text': 'my husband says hugabaloo, instead of hullabaloo 😂', 'length': 50}, {'text': 'Paradigm is not pronounced para-didge-um 🤷🏻\u200d♀️', 'length': 46}, {'text': 'Singing along with Toto “i guess it rains down in Africa”', 'length': 57}, {'text': 'Oh I also thought it was “paper view” not “pay per view.” I mean the list of the weekly options was always viewed by me… on paper.', 'length': 130}, {'text': 'Faux. I been pronouncing it like “fox”', 'length': 38}, {'text': 'As I child I used to sing the song “I can’t believe you ate an artichoke, instead of “I can’t believe you got a heart of stone.”!! @fairyraerae @pauldbc', 'length': 152}, {'text': 'It’s Chimley not Chimney😂 @sophsmiffs', 'length': 37}, {'text': '@k.bon.d we know which word yours is 😂', 'length': 38}, {'text': '@micaschmidt 🧐', 'length': 14}, {'text': '@maddisondawnfaye', 'length': 17}, {'text': '@__misty_pines__ these are really good.', 'length': 39}, {'text': '@kriddle_lee 😂', 'length': 14}, {'text': 'I’ve heard people pronounce “arugula” different ways and still don’t know the correct pronunciation 😆', 'length': 101}, {'text': '“I’m your fetus, I’m your power, your desire”\n.\nIt’s Venus lol not fetus', 'length': 72}, {'text': 'Been saying for all intensive purposes rather than intents and purposes', 'length': 71}, {'text': '“Tenterhooks” not “tender hooks” also my 5 year old currently has “chickenpops” it’s so cute how he says it, I can’t correct him 🙊', 'length': 130}, {'text': '""in the wars"" not ""in the walls""', 'length': 32}, {'text': 'I used to say Play it by Year. Lol. Oh, my friend was using bicuriously in place of vicariously.', 'length': 96}, {'text': 'Draught beer - thought it was pronounced “drawt”. Hyperbole - thought it was hypa-bowl. 🙃', 'length': 89}, {'text': 'Joaquin Phoenix. Been mispronouncing his name since forever and no one has ever corrected me. Only realised when someone said it correctly the other day and I was like, ""who\'s that guy??"".', 'length': 188}, {'text': 'I say Sloth - rhymes with Cloth. I can never get it right…', 'length': 58}, {'text': ""Arkansas. It is NOT pronounced how it's spelt. 🙄"", 'length': 48}, {'text': 'I looked up how to pronounce “gif” once and it said “yif” and that was not an option I was considering', 'length': 102}, {'text': 'I’ve been taking things for granite (not granted) for 40 years! 🤣', 'length': 65}, {'text': 'The shit will hit the van 😂', 'length': 27}, {'text': ""When I was like 7 I use to go to church, and when they said peace be with you. I thought it was something else and I'd say please to meet you!!!! Till my older sister said wtf! Are you saying!! Lol 😂😂"", 'length': 200}, {'text': '“Yes, I’d love to do that”', 'length': 26}, {'text': 'Unrelated a bit, but I RECENTLY learned golf has holes. I thought it was just a game of hitting balls far (like driving ranges, but on lawns). Explains why mini golf is called mini golf though 😂', 'length': 194}, {'text': 'Case in point, not case and point. Also, mullet is a French word so 😮', 'length': 69}, {'text': ""pronouncing valet saw a movie and they empasized the et like wallet instead of lay, but just looked it up and looks like they're multiple variations of the word like gyro. Soooo"", 'length': 177}, {'text': 'Off your own back… 🏏 😂', 'length': 22}, {'text': 'If you ask my ex… everything. 😂', 'length': 31}]"
Go from outhouse,<Post Ccy_vG3JUEy>,345,23,[],26/04/22,Go from outhouse to greenhouse in three easy steps. 🌱 Did you know our empty rolls make perfect seed starters? 📸 @urbanoreganics,128,"[{'text': 'Hi there, how do I contact you? I’ve been waiting a week for a reply to my email and my delivery has now gone missing', 'length': 117}, {'text': 'quick question: I want to repurpose some loo rolls to make a squirel feeder. Do you know anybody in the WGAC community who has a tutorial?', 'length': 138}, {'text': 'never thought of this but I love it! I already save the paper wrap for gift wrap 🥰', 'length': 82}, {'text': 'Thanks so much for featuring our project! This was 2 years ago and we keep doing it! We have a bag next to the trash can in the bathroom for empty toilet paper rolls ❤️♻️', 'length': 170}, {'text': 'Such a good idea! 💙', 'length': 19}, {'text': '...just like my post I tagged you into a few weeks ago', 'length': 54}, {'text': ""Great idea - we've been growing lots of plants in upcycled jars and cans and giving them away to our lovely customers. We'll try toilet rolls next for our seedlings! 🌱"", 'length': 167}, {'text': 'Love this!', 'length': 10}, {'text': 'Order just arrived 👏 thank you 😍', 'length': 32}, {'text': 'They go soggy when seeds are watered. ❤️', 'length': 40}, {'text': 'Such a good idea 🤯', 'length': 18}, {'text': '🙌❤️', 'length': 3}, {'text': ""What a fab idea, I'm definitely going to be trying this!"", 'length': 56}, {'text': '👏', 'length': 1}, {'text': '@whogivesacraptp Can you compost the rolls / wrappers 🤔?', 'length': 56}, {'text': '@sheld647', 'length': 9}, {'text': '@schnikkilou', 'length': 12}]"
👀 #EarthDay2022,<Post CcwLq-JF3Gq>,1238,13,['earthday2022'],24/04/22,👀 #EarthDay2022,15,"[{'text': ""Hey can you tell me why you don't acknowledge Anzac Day?"", 'length': 56}, {'text': '🙊🙊🙊 💨', 'length': 5}, {'text': '👏', 'length': 1}, {'text': 'Oof 💥💥💥', 'length': 7}, {'text': 'Love this!!!', 'length': 12}, {'text': 'So true.', 'length': 8}, {'text': '👏👏 facts', 'length': 8}, {'text': '👏👏👏', 'length': 3}, {'text': '😂😂😂', 'length': 3}, {'text': '👏👏👏', 'length': 3}, {'text': '🔥', 'length': 1}, {'text': '@elisha.kelly', 'length': 13}]"
We’re on the,<Post CcoaGsxBHRZ>,102,7,['earthday2022'],21/04/22,"We’re on the last leg of the Earth Day Save the Treesathon for Trees in Need, and our 10,000 subscriber goal is in sight! Let’s keep those new subscriptions rolling in - we have word the trees are very grateful.

A reminder that we’re offering 20% off your first subscription order with code ‘TREESATHON’, and there are ridiculous(ly awesome) prizes up for grabs. Get in before time runs out at the link in our bio! #EarthDay2022",429,"[{'text': ""LOVE 😂 I've been getting deliveries from you going on 2 years now! So happy I made the switch ❤️"", 'length': 96}, {'text': 'Love what you do … i have been getting my deliveries and to my mums now for 4years 😍', 'length': 84}, {'text': 'Come back to Canada 😭 of course after I finally subscribed 😢', 'length': 60}, {'text': 'Placed an order and courier attempted to deliver but it was over the Easter weekend and no one was in. Courier has returned it to you apparently. Been emailing all week and not had a response :(', 'length': 194}, {'text': 'please ship to singapore! you produce in china but don’t supply to asia at all ):', 'length': 81}, {'text': 'I would totally use your toilet paper if it didn’t leave me in pain afterwards. Is there a way you can make it so that it doesn’t mean I have to go to the doctor after I use it? I avoid going to the toilet at work cos they use your toilet paper. I can’t stand it. My rear end is far too sensitive for your terrible paper :(', 'length': 323}, {'text': '❤️❤️❤️', 'length': 6}]"
Traditional toilet paper,<Post CcjRbPBtBWz>,525,25,['earthday2022'],19/04/22,"Traditional toilet paper wipes out an alarming number of trees each day. That’s why we’re looking for 10,000 new subscribers as part of our Earth Day Save the Treesathon for Trees in Need. We have 72 hours to reach our goal, and save a whole lot of trees in the process! Hit the link in our bio to subscribe today. #EarthDay2022",328,"[{'text': 'Hi there. Love your products but ours has gone missing in transit 😔. I’ve reached out a couple of times but haven’t heard back. Please help!!', 'length': 141}, {'text': 'Hi, tried using this code for my first subscription order. It does not work.', 'length': 76}, {'text': 'Logging into your website atm has me going around in circles 🥴', 'length': 62}, {'text': 'Why are they individually wrapped? X', 'length': 36}, {'text': 'The price increase is really a bummer.', 'length': 38}, {'text': '@rowiek06 💩', 'length': 11}]"
Welcome to the,<Post CcjQQLXhr4H>,129,9,['earthday2022'],19/04/22,"Welcome to the inaugural Earth Day Save the Treesathon for Trees in Need! 🌲

Using our eco-friendly TP is the easiest way to avoid destroying forests with your bum. So, this #EarthDay2022 we’re giving everyone 20% off their first subscription order - for 72 hours only. 

Did we mention there are real prizes up for grabs? Like a personalised poem or a toilet paper roll with your face on it! Sign up by 3am AEDT on 23/04/22 to be in the draw. 

Here’s the rest of the fine print: Each prize has great bragging value and negligible financial value. Winners will be notified via email on 26/04/22. This competition is in no way sponsored, endorsed, administered by or associated with Instagram. For full T&Cs, head to the link in our bio.",737,"[{'text': 'Brilliant 👏', 'length': 11}, {'text': 'Using that kids microphone is everything. 🔥🔥🔥', 'length': 45}, {'text': 'Looks like John Bala. Hot.', 'length': 26}, {'text': '👏👏😂😂', 'length': 4}, {'text': '🔥🔥🔥', 'length': 3}, {'text': '😂👏', 'length': 2}, {'text': ""Maybe it's just me but the link in your bio doesn't have any way to enter this drawing..."", 'length': 89}]"
"Every day, more",<Post Ccg4oawttL2>,1023,27,[],19/04/22,"Every day, more than 1 million trees are cut down to make traditional toilet paper. We knew it was a lot, but even we were shocked by how staggering this number turned out to be. ⁠
⁠
How did we get to this? Well, we commissioned a report from an environmental third party about the impact of traditional TP on the planet. If you're interested in the graphs and big numbers, you can read it at the link in our bio. ⁠
⁠
Our bums hold the power to make change, so share this news with someone you know who still wipes with trees!⁠",527,"[{'text': 'You only ship to Australia 😢', 'length': 28}, {'text': 'It’s a great TP. Shame it’s made in China and shipped from there. Any plans to manufacture in the UK / Europe?', 'length': 110}, {'text': 'Thanks for being a caring company ❤️', 'length': 36}, {'text': 'From today my rental cottage is no longer responsible for that! We give a crap 😂', 'length': 80}, {'text': 'That just kills me!! 😞', 'length': 22}, {'text': '24 rolls for $54 in Canada…. I get 36 double rolls at Costco for $18', 'length': 68}, {'text': 'Geez…', 'length': 5}, {'text': ""Wow, that's a scary statistic! So glad we made the switch to who gives a crap!"", 'length': 78}, {'text': '❤️🙌', 'length': 3}, {'text': 'Am I the only one that wants y’all to make black wgac toilet paper?', 'length': 67}, {'text': 'I’m having a terrible experience with this company. My order was supposed to arrive then it was delayed, didnt hear back about rescheduled date. Literally no customer service, only useless BOTs, when I did get a reply to my complaint I was told there looking into, 3 days later no reply, complained via email again another 5 days still no reply.', 'length': 345}, {'text': 'Crazy!', 'length': 6}, {'text': '❤️', 'length': 2}, {'text': 'That makes me so sad', 'length': 20}]"
"Go on, send",<Post CcWWEe7OOa_>,781,43,[],14/04/22,"Go on, send this to your housemate, we dare you 😈",49,"[{'text': '😂 I’d just like someone (other than me) to hang the toilet paper at all #changetheroll', 'length': 86}, {'text': '😂😂😂😂', 'length': 4}, {'text': '😂😂😂😂😂', 'length': 5}, {'text': '😂', 'length': 1}, {'text': ""Is it better to have someone change it, even though it's the wrong way, or have it be left empty? 🤔"", 'length': 99}, {'text': '😂😂😂😂😂😂', 'length': 6}, {'text': 'Ha! Clever 😂 👀', 'length': 14}, {'text': '😂😮😂😮😂😮 don’t look at me', 'length': 23}, {'text': 'I could totally find the integral of that', 'length': 41}, {'text': '🤣🤣🤣🤣🤣', 'length': 5}, {'text': 'Lookin at you, mom', 'length': 18}, {'text': '😂😂😂😂😂', 'length': 5}, {'text': '😆😆😆😆', 'length': 4}, {'text': '😂😂😂', 'length': 3}, {'text': 'Lolz', 'length': 4}, {'text': '😂', 'length': 1}, {'text': '😂😂', 'length': 2}, {'text': '😂', 'length': 1}, {'text': '😂😂', 'length': 2}, {'text': '@abby.portillo1021', 'length': 18}, {'text': '@lyle_g', 'length': 7}, {'text': '@bettythebunny', 'length': 14}, {'text': '@p_colbeck', 'length': 10}, {'text': '@ging3rlaura 😱', 'length': 14}, {'text': '@cousinshelen', 'length': 13}, {'text': '@daniellee_wx', 'length': 13}, {'text': '@queen_dels 🤣', 'length': 13}, {'text': '@lissa.babe', 'length': 11}, {'text': '@declan_west', 'length': 12}, {'text': '@dylan_osborne', 'length': 14}, {'text': '😂', 'length': 1}, {'text': '😂😂😂😂😂😂😂😂😂😂 got us', 'length': 17}]"
Found all the,<Post CcUKnkspRqX>,278,40,[],14/04/22,Found all the toilets on your Where’s The Loo rolls? We’ve got a new challenge for you: this Aussie scene is stuffed to the gills with sneaky dunnies. How many can you find?,173,"[{'text': 'I tried to order these Find the Loo loo rolls on the EU website but they aren’t there 🙁', 'length': 87}, {'text': '20', 'length': 2}, {'text': '26!?😬😅', 'length': 6}, {'text': 'This created lots of fun over dinner!', 'length': 37}, {'text': 'You should sell the prints!', 'length': 27}, {'text': 'I just got my box and it’s so cute!', 'length': 35}, {'text': '25 🤷\u200d♂️', 'length': 7}, {'text': '25?', 'length': 3}, {'text': '25', 'length': 2}, {'text': '22???', 'length': 5}, {'text': '25 🤔', 'length': 4}, {'text': 'Should I count all of the places that I think is acceptable to poop?', 'length': 68}, {'text': '25', 'length': 2}, {'text': '24 or 25 👀', 'length': 10}, {'text': '23 thrones?', 'length': 11}, {'text': '24? 🚽🚽🚽', 'length': 7}, {'text': '24?', 'length': 3}, {'text': '24?', 'length': 3}, {'text': 'Whenever I think I’ve found them all - I find another!! 😱🤯😯', 'length': 59}, {'text': '26 🤔', 'length': 4}, {'text': '25? 🤔', 'length': 5}, {'text': '24?', 'length': 3}, {'text': '26!', 'length': 3}, {'text': '24 👀', 'length': 4}, {'text': '25', 'length': 2}, {'text': '25', 'length': 2}, {'text': '25', 'length': 2}, {'text': '27', 'length': 2}, {'text': 'nice @whogivesacraptp 👍🏼👍🏼who’s the illustrator?', 'length': 48}, {'text': ""@whogivesacraptp Hi guys! Wondering if there is a loo on the box or just the wrappers? Have been searching the box for a while and can't find one, and need to know if it's there or this is a fruitless exercise.. pls 🙏"", 'length': 217}, {'text': '24', 'length': 2}, {'text': '24🚽', 'length': 3}, {'text': '25', 'length': 2}]"
"Presenting, your monthly",<Post CcRRkdyhOB4>,293,3,['dreambathroom'],12/04/22,"Presenting, your monthly dose of #dreambathroom for the mood board",66,"[{'text': 'The one that makes you feel like you’re taking a dump in a safari park is really nice! ✌🏽', 'length': 89}, {'text': 'Sooo beautiful!!', 'length': 16}]"
Bamboo: better than,<Post CcOsxSNO_ij>,1427,43,[],11/04/22,Bamboo: better than regular toilet paper and most of your local dating pool,75,"[{'text': 'I am so sad to hear that shipments to Canada are being suspended 😞 I understand the reasons, but this is terrible as honestly your bamboo tp is the best tp.', 'length': 156}, {'text': 'I LOVE your toilet paper but no more shipping to Canada !!! Boo hoo hoo😒', 'length': 72}, {'text': 'I’ve just stumbled onto your page….so sad to see you don’t ship to the UK! Keep doing the fabulous work you are and hopefully one day I will be able to get my cheeks on some 😂', 'length': 175}, {'text': 'Bamboo, be my bam-boo 💚', 'length': 23}, {'text': '😂😂😂', 'length': 3}, {'text': '🙌', 'length': 1}, {'text': '10/10 marketing', 'length': 15}, {'text': '🤣', 'length': 1}, {'text': 'Multiplies quickly👀', 'length': 19}, {'text': '😂😂😂 love it!', 'length': 12}, {'text': '😂😂😂😂', 'length': 4}, {'text': 'This is quality copy 👏', 'length': 22}, {'text': '😍', 'length': 1}, {'text': '😂', 'length': 1}, {'text': 'This add can be seen as retrograde', 'length': 34}, {'text': 'Love it', 'length': 7}, {'text': 'Clever, 😂😍', 'length': 10}, {'text': 'Brilliant copy! 👏', 'length': 17}, {'text': 'Brilliant 😍', 'length': 11}, {'text': 'Oh my! *flustered* 😂😂❤️', 'length': 23}, {'text': '👏👏👏', 'length': 3}, {'text': '😂🔥👏👏👏', 'length': 5}, {'text': 'Reliable scaffolding 🚫\nHelps build a future together ✅', 'length': 54}, {'text': 'Girth and length also.', 'length': 22}, {'text': 'And depending on the type of bamboo can kill your enemies like the good old days.', 'length': 81}, {'text': '😂😂😂😂😂 @f.r.e.e._s.p.i.r.i.t._ @_sl.maxxysmommie', 'length': 47}, {'text': 'Hahaha @dbo876 😂', 'length': 16}, {'text': '@paaaulina_g', 'length': 12}, {'text': '@tayrossetti dead 😂😂', 'length': 20}, {'text': '@mindyloot83', 'length': 12}, {'text': 'I’ll start rubbing myself against some bamboo very soon. 👯\u200d♀️', 'length': 61}]"
We can’t decide,<Post CcMOJqauyfs>,1451,319,[],11/04/22,We can’t decide which novelty toilet roll holder to install in the office. Cast your vote below 😅,97,"[{'text': '😂 install them all!', 'length': 19}, {'text': 'What?!? No cats???😽', 'length': 19}, {'text': '# 3: holds your phone and your TP 👏', 'length': 35}, {'text': 'Tough decision between 1 & 9. 😂', 'length': 31}, {'text': 'Def the hands 🔥', 'length': 15}, {'text': '2, he looks polite', 'length': 18}, {'text': '#8', 'length': 2}, {'text': '#1', 'length': 2}, {'text': 'Definitely #1', 'length': 13}, {'text': 'A tough call, but I say 7', 'length': 25}, {'text': '#1', 'length': 2}, {'text': '1 or 8 🤔', 'length': 8}, {'text': '#1 for sure', 'length': 11}, {'text': '1, 3, and 4', 'length': 11}, {'text': '1. For sure.', 'length': 12}, {'text': '1!', 'length': 2}, {'text': 'The dolphin one for sure! 😂', 'length': 27}, {'text': 'The bear is best ❤️', 'length': 19}, {'text': 'Tough choice! But my vote is 2!', 'length': 31}, {'text': '#1, to help you with #2🤣🤣🤣🤣', 'length': 27}, {'text': 'Hands!', 'length': 6}, {'text': '#7 needs a wall though🤔', 'length': 23}, {'text': '1!', 'length': 2}, {'text': '1, 5, or 6 😂', 'length': 12}, {'text': 'Number Two, of course. 💀 ""Your poo tickets, my lord.""', 'length': 53}, {'text': '5🙌', 'length': 2}, {'text': '#1', 'length': 2}, {'text': '1!😂', 'length': 3}, {'text': ""This is really tough. Can't you rotate a few throughout the year, one for each season? If yes my votes are for 1,2,7....and 8 🙌❤️😍"", 'length': 130}, {'text': 'Def 8', 'length': 5}, {'text': 'The first one! 😂😂😂', 'length': 18}, {'text': 'Bear pooping paper', 'length': 18}, {'text': '2 or 9.', 'length': 7}, {'text': '2 💀', 'length': 3}, {'text': '#1', 'length': 2}, {'text': '#1 or#3 😂', 'length': 9}, {'text': '#1', 'length': 2}, {'text': '#1 😂', 'length': 4}, {'text': 'Really like the dolphin, knight is cool. Cow is cute, want it on the wall tho haha', 'length': 82}, {'text': '8!', 'length': 2}, {'text': 'Number  2 obviously @brittypye', 'length': 30}, {'text': '#6 for me', 'length': 9}, {'text': '3!', 'length': 2}, {'text': '#1 !!!!', 'length': 7}, {'text': 'Tough choice. #1', 'length': 16}, {'text': '#1 ~ It’s a classic!', 'length': 20}, {'text': '#4', 'length': 2}, {'text': '#2 for sure! 👏😊', 'length': 15}, {'text': '3', 'length': 1}, {'text': 'Bear shitting 😂', 'length': 15}]"
