,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2582929253866337293,True,240,13.0,4473.0,,https://www.instagram.com/p/CPYaHiwqvQN/,1,"Join us as Isabela del Alcázar Benjumea, the Global Head of Sustainability at IE University, explains how #sustainability is at the heart of the #IETower, and how the Tower aims to become a model in sustainability by 2030.",2021-05-27 15:26:49,1
2566271779356656108,True,307,14.366,5269.0,,https://www.instagram.com/p/COdOpYtqcHs/,1,"We asked our Executive Vice President, Diego del Alcázar to define entrepreneurship in 15 seconds. How would you answer? Tell us below 👇🏻",2021-05-04 15:51:13,2
2455958434324797880,False,510,,,,https://www.instagram.com/p/CIVUS8NDdm4/,2,"Did you know @paula_izquierdo was recently selected to represent Spain at Aspire 2020, a women’s workshop hosted by @bcg ? This program brings together talented female students from 30 different countries and degree programs. Congrats, Paula! 👏🏻",2020-12-03 10:58:01,14
2534962750041161103,False,552,,,,https://www.instagram.com/p/CMt_zC7DP2P/,1,IE University's current COVID-19 measures allow students to stay safe and feel comfortable on campus.,2021-03-22 11:05:30,8
2444500438912419362,True,193,56.866,2980.0,,https://www.instagram.com/p/CHsnDKaqUYi/,1,"We have all found ourselves facing the #pandemic together as one. Wherever we may be, we have learned to adapt to the circumstances and #WeAreReady. Are you?",2020-11-17 15:33:30,1
2551588549110243004,True,572,97.933,4834.0,Career Report 2020,https://www.instagram.com/p/CNpEEQ6q568/,1,"🚀 We're happy to announce that 95% of our students who were looking for a job, reported being working within 6 months of graduation. 41% are working outside their country of origin, and 39% of international students decided to stay in Spain.

Our Talent & Careers department is here to help IE students secure positions both during and after graduation. Click below to learn more about employability statistics at IE University. #IECareerReport",2021-04-14 09:40:29,4
2561758543095828890,False,822,,,,https://www.instagram.com/p/CONMdJ5jJGa/,2,"Dear Class of 2021, what will you miss the most about walking up these steps? Tell us below 👇🏼 #WeAreIE",2021-04-28 10:23:57,36
2553162312662644665,True,275,145.433,4058.0,#YourOwnPath Meet Tamara!,https://www.instagram.com/p/CNup5icK_e5/,1,"@tamara_abusara 💙 A Bachelor in Business Administration alum that works at Mondelez, she has always been interested in entrepreneurship and finding new ways to channel her passion.

Tamara chose IE University because she identifies with our values: being open-minded, business-driven, and culturally aware. At IE University, Tamara was able to put her entrepreneurial skills into practice.Together with her partners she is working on the launch of Baby Pakka – a baby clothing brand.

To this day, Tamara is still a proud member of our community. Tamara chose IE University to help her build her future. Have you started your IE University journey? 👏",2021-04-16 13:49:19,21
2588543795780685938,False,598,,,,https://www.instagram.com/p/CPsWt4ZDJBy/,2,"Want to hear an inspiring story for World Bicycle Day? IE University student, Giorgio Fourage, has one more challenge he wants to overcome before graduating. The Belgian native plans to cycle from Madrid to his home city of Brussels as part of the Bike for Kivu initiative. By the end of the 1,700 km journey, Giorgio hopes to have raised €2,000, which will go toward sustainable development projects in the Kivu region of DR Congo. #WorldBicycleDay @ieuathletics @giorgio.fouarge  @bike_for_kivu @fondsngangi @vivabicicletas",2021-06-04 09:21:28,9
2414776993872543502,False,421,,,,https://www.instagram.com/p/CGDAuHDjv8O/,3,"When we make decisions, we must always remember our community. Let's stay safe, we depend on each other. #ProtectIE
Thank you to @amine_141, a second year of the Bachelor of Communication and Digital Media for the incredible illustrations!",2020-10-07 15:17:51,7
2393584400264129995,True,360,215.866,5072.0,Heal the World by Michael Jackson,https://www.instagram.com/p/CE3uFSNqO3L/,1,"To close yesterday’s opening ceremony, we had a performance by the @ieumusicclub. What song would you like to see them perform next? #IETalent @raquel_hzg @mariasanchezfaus @carlacosta_m",2020-09-08 09:34:25,8
2435696678256086633,False,954,,,,https://www.instagram.com/p/CHNVTlYDY5p/,1,Who is already missing the days of studying under the sun? ☀️ Tag a friend and share a memory to remind them of the warm days in Segovia campus 👇🏼 📸: @robertoarribas,2020-11-05 12:01:32,9
2497245312493102472,True,755,215.033,17219.0,Alejandro Sáez Novales  Your Own Path,https://www.instagram.com/p/CKn_2F4KSWI/,1,"Alejandro Sáez Novales, an alumnus of the Dual Degree in Business Administration and Laws, is currently the CEO and founder of eGoGames, Europe’s leading eSports platform. He believes IE University inspired him to believe, push and lead while instilling teamwork and human values. For Alejandro becoming an entrepreneur means believing in yourself and taking care of your whole team. Watch the video below to hear more about his path! ⬇️ @niinosaez",2021-01-29 10:08:29,33
2440737440729212016,True,226,74.933,3242.0,What have you learned from the pandemic?,https://www.instagram.com/p/CHfPcVQqSRw/,1,"Our community shares how the #COVID19 crisis made them more resilient, entrepreneurial and positive when pursuing their goals. Discover more below ⬇️ #WeAreIE #IECares #ProtectIE @iecampuslife @nashiv_1 @luiscalzadillak @rashanabulsii",2020-11-12 10:57:07,1
2451552564497254707,False,387,,,,https://www.instagram.com/p/CIFqhGLDokz/,2,"Our student, @inesitamunoz shares how the #LiquidLearning method has helped her become more organized. What have you learnt this year? Tell us below ⬇️",2020-11-27 09:04:21,5
2484189099365229789,False,2021,,,,https://www.instagram.com/p/CJ5nNL2j-Td/,6,"⚠️ Reminder that due to snowstorm #filomena, classes will be taught exclusively online today and tomorrow. #LiquidLearning 

The campus will remain open as MM31, V130 and the Pinar 9 infirmary. The #covid19 tests will continue as scheduled on both campuses. 

Tag us in your snow memories using @ieuniversity and remember to stay safe, roads are very icy now! 🧊 

Thank you @giutheginger @camillelonguet @adimar_hm and @cecidcj for capturing these moments!",2021-01-11 09:47:19,13
2422016197313714477,False,931,,,,https://www.instagram.com/p/CGcuuYpIFkt/,2,🎬 Season 2 of In Their Shoes is in production! Check out @_isa_rose on set! 👆🏼 #WeAreIE,2020-10-17 15:00:51,4
2600844250833678303,True,276,92.266,3281.0,IE Tower | Humanities,https://www.instagram.com/p/CQYDhD3Du_f/,1,"Catalina Tejero, Executive Head of the IE University Arts & Humanities Division, walks us through the importance of humanities. She explains how the #IETower will bring more possibilities to the arts and humanities, not only for IE University, but for the entire city of Madrid.",2021-06-21 08:44:10,1
2561016601153964575,True,754,30.0,8485.0,,https://www.instagram.com/p/COKjwenqQof/,1,"First reactions are priceless, we cant wait to see yours! #IETower",2021-04-27 09:50:36,19
2426217993312549804,False,381,,,,https://www.instagram.com/p/CGrqGkHDjus/,1,Looking at things from a different perspective or just excited that it’s finally Friday? Take your guess 👇🏼 📸: @jpbstill,2020-10-23 10:09:04,1
2509727363274475444,False,1088,,,,https://www.instagram.com/p/CLUV71jDYe0/,6,"To celebrate ♥️ Valentine’s Day ♥️, we wanted to share a few stories from IE University alumni who found love at our dear institution. According to a study conducted by Facebook Data Sciences, approximately 28% of married graduates attended the same university as their spouse. It is no surprise then, that there are many couples who met their significant other at IE University. Read their stories through the link in our bio. ⬆️",2021-02-15 15:27:17,12
2597220795257114557,True,1411,30.833,10981.0,,https://www.instagram.com/p/CQLLo14js-9/,1,"Our logo can now be seen on the façade of the #IETower—we are officially a part of the Madrid skyline! This new building reaffirms IE University’s commitment to driving positive change through #education, #research and #innovation.

The 35 floors stand 180 meters high and have a capacity for 6,000 students, with 50,000 square meters available inside and another 7,000 square meters of green space outside. As one of the few high-rise university centers in the world, it is designed to be a benchmark for innovation and #technology in education. What’s more, it has also been built with #sustainability criteria and maximum energy efficiency in mind.

With the IE Tower, we are proud to reaffirm Madrid’s position as a leading global educational hub.  #WeAreIE",2021-06-16 08:41:45,16
2529997962219500961,False,812,,,,https://www.instagram.com/p/CMcW738jjWh/,1,"Despite COVID-19, our students are still out enjoying the sunshine in Segovia while staying safe! ☀️ 📸: @donovan.schar",2021-03-15 14:41:21,4
2606630346898825229,True,286,82.266,2679.0,IE Tower | Diversity,https://www.instagram.com/p/CQsnH1vqGAN/,1,"Celia de Anca, Deputy Dean for Ethics, Diversity and Inclusion, discusses the importance of diversity at IE University. This extends further than the backgrounds of our students, faculty, and staff—it is a diversity of ideas, origins, and experiences which all combine to form a unique ecosystem. #IETower",2021-06-29 08:20:58,7
2629112749661913031,False,485,,,,https://www.instagram.com/p/CR8fB2-DH_H/,1,"On the International #DayOfFriendship, let's celebrate those individuals that make our journey more enjoyable and memorable. 

Despite all of life's ups and downs, as said by Bill Watterson, ""Things are never quite as scary when you've got a best friend."" We make some of our strongest, lifelong friendships at #university. 🥰

Tag your friends below and let them know they're loved and appreciated! 👇🏼",2021-07-30 08:44:44,1
2449521828495797376,False,821,,,,https://www.instagram.com/p/CH-cx_5DqyA/,1,How many times do you think you will have walked through these arches by the time you’re done being a student in Segovia campus? 🤔,2020-11-24 13:49:38,2
2404523495756698932,False,1950,,,,https://www.instagram.com/p/CFelWEyqJU0/,1,What has been your favourite thing about liquid learning? Tell us below 👇 #WeAreIE #ProtectIE,2020-09-23 11:45:59,1
2389364602680458578,True,1357,44.433,11589.0,,https://www.instagram.com/p/CEounJdqT1S/,1,"Wondering what the first day on our Madrid campus looked like? Live it through the eyes of our second year dual degree student, María Del Mar González! ⬆️ 📸: @ieustork",2020-09-02 13:49:48,38
2408935429214289711,False,732,,,,https://www.instagram.com/p/CFuQgKBK78v/,1,"Thank you to all our professors that have led us to a new way of learning through this difficult time. Thank you for spearheading innovation, adaptability and resilience. In the words of Professor Michele Testoni, you are a crucial part in ensuring the safety of our community. #ProtectIE",2020-09-29 13:51:42,9
2389258390244861464,False,984,,,,https://www.instagram.com/p/CEoWdjbKqYY/,1,Excited to see the wonders Segovia has to offer? Tell us your favourite place 👇🏼 📸: @angelikatraczz,2020-09-02 10:16:56,9
2424142828625930873,False,724,,,,https://www.instagram.com/p/CGkSQ8ZDyp5/,1,What’s your favorite spot to catch up on class work? Tell us below 👇🏼 📸: @luca.diaussie,2020-10-20 13:26:06,4
2440071725225619854,False,550,,,,https://www.instagram.com/p/CHc4E5YjDGO/,2,"Galilea Domingo shares her experience with our #LiquidLearning model, ""you make fewer friends but they become closer to you. In school Liquid Learning has been really helpful because it gives you the opportunity to have some in personal classes but without putting your health at risk.""",2020-11-11 12:53:58,9
2573462088360447417,True,243,15.0,3541.0,,https://www.instagram.com/p/CO2xiJzqM25/,1,"Juan José Güemes, Chairman of the Entrepreneurship & Innovation Center at IE University, walks us through the IE Tower and explains how IE University's values and identity played a key role in its design. What are you looking forward to most about the new IE Tower? Tell us below!",2021-05-14 13:57:14,0
2577719626608643337,False,917,,,,https://www.instagram.com/p/CPF5lfSj40J/,1,"Plaza Mayor is one of our favorite places in Segovia. It's the perfect place to grab a bite to eat with friends, at any time of day. Our favorite restaurant is definitely @juanbravo_segovia. What's yours? 👇🏻 📸: @donovan.schar",2021-05-20 10:55:47,4
2511792021835605438,True,245,91.133,3923.0,IEU Dual Degrees,https://www.instagram.com/p/CLbrYkrK-W-/,1,"From exposure to diverse backgrounds to dealing with complex realities, these students share why they took the dual degree route at IE University.",2021-02-18 11:51:03,11
2413145776737270202,True,274,135.066,3902.0,Who do you wear a mask for?,https://www.instagram.com/p/CF9N0xtqLm6/,1,"We wear our masks to protect our most diverse and vibrant IE community. We wear our masks for our students to continue to be able to live a life full of new experiences. We wear our masks for our colleagues, their families and loved ones. We wear our masks for you. Who do you wear your mask for? Thank you to @kartik.kotwani , Bachelor in Communication and Digital Media student Class of 2022 for the making of the video #IECares #IECares @iecampuslife @ieglobalalumni",2020-10-05 09:17:41,3
2624278460698731604,True,636,30.133,8225.0,,https://www.instagram.com/p/CRrT1shqCRU/,1,"Every ending is a new beginning, and after this year's very special, hybrid #IEgraduation, we unveil the biggest surprise yet: the #IETower. 

As we say goodbye to our #ClassOf2021, we can’t wait to meet our incoming class this September. See you soon at the IE Tower!

#WeAreIE",2021-07-23 16:40:51,3
2593726804775664511,True,344,30.0,3962.0,,https://www.instagram.com/p/CP-xMlrD_t_/,1,"Meet Beyzanur Inal, a Turkish student in the Dual Degree in Business Administration and Laws. Her enrollment at IE University came after a turbulent time in her life, fleeing from Turkey to Senegal before finally arriving in Spain. Today, she tells us about that journey and how IE University and the IE Foundation helped her secure a full scholarship that would change her path completely.",2021-06-11 13:00:57,12
2511173852702059934,False,368,,,,https://www.instagram.com/p/CLZe1Bzji2e/,2,"Leadership in a complex world is no easy task. @cnmaia , a Dual Degree in Business Administration and International Relations student, tells us why pursuing a dual degree was the right choice for him.",2021-02-17 15:21:12,9
2421095050844592494,False,589,,,,https://www.instagram.com/p/CGZdR8JDFlu/,4,"IEU students, @nicholas_saye, @Federica_Caso, @young_ecab and @mjheshiki have created @tumbaobrand which makes #sustainable purses and wallets from the skin of the Mexican nopal cactus, better known as prickly pear. Check our their micro-funding campaign on Kickstarter! #WeAreIE",2020-10-16 08:30:42,4
2505978384443505265,False,794,,,,https://www.instagram.com/p/CLHBhA7j_px/,1,"Our students enjoy the endless sites and activities Madrid has to offer✨🇪🇸
📸: @careerpathslive @maras_jelena",2021-02-10 11:18:44,2
2508877661894975735,True,275,263.2,3012.0,We’re all Connected #WeAreIE,https://www.instagram.com/p/CLRUvDeKaD3/,1,"We're all connected, near or far. Tag the person you've been separated from due to #COVDI19 travel restrictions. 👇🏻 @cafecentralmadrid @elenabohm @mremanueldiaz @israelsandovalguitar @bao_anye @cafecentralmadrid @laurenhendersonmusic",2021-02-14 11:19:58,13
2474376153231401405,False,557,,,,https://www.instagram.com/p/CJWwABmDiG9/,1,"When our students in the Segovia campus want to take a break from their studies, they go up the mountain and appreciate the breathtaking views of the town and the gorgeous Segovia cathedral. 📸 @naue_1",2020-12-28 20:50:45,2
2521167077730750368,False,1160,,,,https://www.instagram.com/p/CL8_Bl3jQ-g/,1,"Congratulations to @architecture.with.an.a, @lazzzarov, Ángela Cano Lloret, @beafunesa, @humberbravo05, @lea_mathies, and @mery.morales for coming in first place in the Honour's Program: IE Amazon Alexa Competition!

For this competition, students were divided into 14 teams and asked to improve educational experiences using voice technology. The winning team created “Alexita,” a brand new Alexa-inspired teaching assistant.",2021-03-03 10:15:57,25
2402940978607972216,False,2838,,,,https://www.instagram.com/p/CFY9ha2KF94/,1,Every single student and staff member has a role to play in keeping our community safe. Don’t be the one bringing COVID-19 to your classroom. #ProtectIE 📸: @karlaramon,2020-09-21 07:21:48,1
2556098438272436226,True,675,17.566,8646.0,,https://www.instagram.com/p/CN5FfygKMgC/,1,Who else needs an excuse to update their Instagram feed? Use our campus as a backdrop! 💃 #ieuniversity #photoshoot 📸: @cecidcj @paola.iph,2021-04-20 14:58:51,16
