,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2272532220148599091,False,236,,,,https://www.instagram.com/p/B-JqAOKlkkz/,1,"“Mijn generatie is vrij individualistisch maar tijdens het sporten heb ik ervaren hoe belangrijk presteren in teamverband is. Vooral achteraf merk ik dat dat veel impact op me heeft gehad als persoon”, vertelt BScBA-alumnus Alexander van den Bergh vanuit zijn ouderlijk huis in België waar hij nu in lockdown zit. ➡️ Lees meer: Nyenrode.nl/nieuws
.
.
.
.
#nyenrode #alumnus #bachelor #businessadministration",2020-03-25 09:02:53,5
2511136733993076135,False,208,,,,https://www.instagram.com/p/CLZWY4UF4Wn/,2,"“Alles wat bij een ‘echt’ bedrijf aan de orde is, maken wij in kleine stappen mee, van belastingaangifte tot het verzenden van pakketjes”

Eind 2020 startten Mike Bakker, Nick Stavenuiter, Marijn Blom en Rodny Stolk aan een bijzonder avontuur binnen het tweede studiejaar van de BSc in Business Administration (BScBA). Zij grepen deze kans aan om te gaan ondernemen en hadden met het West-Fries en Texels Minuutje een succesnummer te pakken.

➡️ Lees hier het volledige artikel: Nyenrode.nl/nieuws",2021-02-17 14:07:27,0
2635613417245644617,False,217,,,,https://www.instagram.com/p/CSTlHBcLhdJ/,1,"Internationale Kattendag

Een dag van erkenning van het oudste en meest geliefde huisdier. 

Campuskat CamPoes beleeft de spannendste verhalen op Nyenrode en vermaakt zich prima tussen de studenten. 

Deel hieronder jouw leukste kattenverhaal.

#internationalekattendag #catstagram",2021-08-08 08:00:26,7
2298074548699216151,False,252,,,,https://www.instagram.com/p/B_kZqBWlTkX/,1,"New Rector and Chairman of the Executive Board of Nyenrode | Koen Becking

Prof. Dr. Koen Becking will become the new Rector Magnificus of Nyenrode on Oct 1st, 2020. He will take over the role from Prof. Dr. Miša Džoljić, who has held this position since Nov 1st, 2012.

The ceremonial handover of the Rectorate will take place on Nov 20th, 2020 during the 74th Dies Natalis of Nyenrode. 
Read more about Prof. Dr. Koen Becking ➡️ nyenrode.nl/en/news
.
.
.
.
#NYENRODE #BUSINESSSCHOOL #LEADERSHIP #ENTREPRENEURSHIP #STEWARDSHIP #LEADER",2020-04-29 14:50:56,4
2703934442667811065,False,68,,,,https://www.instagram.com/p/CWGTgyvKKD5/,1,"Op 3 november 2021 is op Nyenrode Business Universiteit de kunsttentoonstelling ‘De wijde wereld in’ feestelijk geopend met 25 werken uit de privécollectie van het echtpaar Henk de Heus en Victoria de Heus-Zomer. Dit is de zestiende tentoonstelling van Art Fund Nyenrode. Art Fund Nyenrode biedt op afspraak rondleidingen aan voor kleine groepen. De tentoonstelling duurt tot mei 2022. 

➡️ Lees het artikel: nyenrode.nl/nieuws",2021-11-10 14:22:09,0
2631995361893398425,True,350,59.466,4350.0,,https://www.instagram.com/p/CSGudY0IbeZ/,1,"Summer vibes op Nyenrode 

Onder het motto ""Finance is fun"" danst Drs. Cees Koomen MRE met de deelnemers van Foundations of Management de zomer in. Cees Koomen geeft de colleges Accounting & Finance in het FMA én is een echte salsaliefhebber. 

Onder enthousiaste begeleiding van Sederick Blommestijn-Short gaan de voetjes van de vloer voor een echte salsa #jerusalema challenge! 

Credits: Master KG feat. Nomcebo - Jerusalema
Video credits: Visionary Minds 

#nyenrodebusinessuniversiteit #salsadancing #financeisfun",2021-08-03 08:12:21,3
2421137161003101814,False,154,,,,https://www.instagram.com/p/CGZm2uSFm52/,1,"Full-time MBA alumnus Thomas Iain Harrison-Prentice, awarded Valedictorian and Student of the Year of the Class of 2020, shares with us his MBA journey and the importance of leading from the inside out when facing change. 🎓🙂 

➡️ Read the full article at: Nyenrode.nl/news

#nyenrode #mba #graduation #classof2020 #studyinholland #nyenrodeftmba",2020-10-16 09:54:22,0
2251102085528840640,False,124,,,,https://www.instagram.com/p/B89hWuBFmnA/,1,"Time to reconnect! 🙂 IMBA and FTMBA alumni are invited for drinks on Friday 28th at 16.30 at Nyenrode in Amsterdam. 🥂 RSVP via CPD@nyenrode.nl. ✉ Our current MBA students are now in the middle of their program and are thinking about their company project and their careers after the MBA. They would be delighted to learn from your experience, and get first-hand advice! 😉 #nyenrode #mba #alumni #studyinholland #nyenrodeftmba #bschool",2020-02-24 19:25:02,2
2489435588539103332,False,289,,,,https://www.instagram.com/p/CKMQHpqFrhk/,2,"Onze nieuwe lichting Parttime MSc studenten zijn het eerste college feestelijk begonnen! #ptmsc #superstart #nyenrode #arewardforlife 

Meer informatie >>> https://www.nyenrode.nl/ptmsc",2021-01-18 15:31:09,3
2685182281360048889,False,206,,,,https://www.instagram.com/p/CVDrw7lo4L5/,10,"The Global Track of MSc29 has had an incredible week in Milan! A big thank you to @mip_polimi @dallaragroup @3m @parmiggianoreggiano.it for the collaboration. 

#Milan #globalimmersionprogramme #NBU #NyenrodeAmsterdam #Nyenrode",2021-10-15 17:24:53,2
