,is_video,likes,video_duration,video_view_count,title,url,mediacount,caption,date_utc,comments
2588008963878739782,False,472,,,,https://www.instagram.com/p/CPqdHDXhN9G/,1,"UPDATE #coronavirus ❗ The end of the academic year is approaching, and so we look ahead to the new academic year - a year in which education will once again take place on campus. Expectations are that the circumstances towards the end of August will allow for that. We are, of course, hopeful and optimistic.
🔹The Ministry of Education, Culture and Science has formulated a “base scenario” (in Dutch) and the OMT will issue a definitive recommendation in early July. As it currently stands, expectations for the new academic year are that higher education institutions will be allowed to open their doors, social distancing will no longer be required, and voluntary self-tests will remain available for those who are not vaccinated. 
🔹Face masks will likely remain compulsory while walking through the buildings, however, and we are currently operating under the assumption that lectures will be subject to a maximum of 75 persons starting from September. Naturally, we hope that this restriction will also be lifted.
🔹The UvA’s focus is on a return to on-campus education and being able to meet each other.  For students, that means that from September on, lectures will once again require you to be present in Amsterdam. The normal attendance requirements will be in effect. This also applies to foreign students. Only in special cases, e.g. for foreign students who are unable to attend due to international travel restrictions, programmes may explore additional solutions to enable students to receive education. 
🔹The decision to “return to normal” education is based on current developments. While we remain optimistic, we are also taking into account less ideal scenarios in which we have to (partly or temporarily) revert to online education. 
🔹Read more about lectures, exams, vaccinations and self-testing in the update via the link in bio or in our stories",2021-06-03 15:38:51,4
2416115427005735311,True,451,349.266,6075.0,Coming Out Day,https://www.instagram.com/p/CGHxC4DBKGP/,1,"🌈 Sunday 11 October is Coming Out Day. On that day, attention is paid to the moment a lesbian, gay, bisexual, transgender or other person (LGBT+) openly expresses a sexual orientation or gender identity: ‘coming out’. This is not a one-off event, because a new context with new people always requires a new legitimation or acceptance of someone's gender and / or sexuality. A (first) coming out can therefore be personal and vulnerable, but it is often experienced as a relief afterwards. What does that mean?

In this video, 5 students share their opinion on Coming Out Day❤️

#comingoutday #lgbtq #lgbt #universityofamsterdam #uvapride",2020-10-09 11:37:56,6
2503754921473760267,False,6135,,,,https://www.instagram.com/p/CK_H9XrFFwL/,1,☃️❄️,2021-02-07 09:41:07,16
2621315782215675687,False,2267,,,,https://www.instagram.com/p/CRgyNDLFy8n/,1,"We 😍 the sun! ☀️ With summer heat also comes packing on sunscreen. Do you know why it sticks? Or whether it matters which sunscreen you use? 🕶 PhD student Heleen Kibbelaar @sciencemeetscosmetics has answered some of these questions, which you can find in our stories or via the 🔗 in bio",2021-07-19 14:33:33,5
2568252994986917701,False,1075,,,,https://www.instagram.com/p/COkRH3jhz9F/,4,"Have you picked up any new hobbies during lockdown? 🙋‍♀️ Meet Naomi (Medicine student) and her Corona hobby: rollerblading along the Amstel river in the final part of our hobby series.

Naomi: “Last March, at the start of the pandemic, I started rollerblading (along with the rest of the country I think). Rollerblades were pretty much sold out everywhere but eventually I managed to snag a pair 🛼 When I began rollerblading again I thought: wow, this is great! 

I started skating along the Amstel river 🌊 Sometimes I skated nearly 40 kilometers. I got lost once or twice but I always eventually managed to find my way home. Rollerblading is my escape from a computer screen. I don't really pick up the phone when I go rollerblading, so that I'm really able to turn off 🔇

The pandemic has helped me learn how important it is to make time for rest. I often meet up with friends and they'll come rollerblading with me or I'll rollerblade and they will run, skateboard, cycle. It's a lot of fun and COVID-proof!”

📸 by @ilsoovandijk",2021-05-07 09:27:16,9
2390695821516936349,True,168,43.533,2732.0,,https://www.instagram.com/p/CEtdS7nhxSd/,1,"📱Student life is hectic. You have to keep track of so many things. When is my next class? What was my last grade? With the secure My UvA app, you’ll always have important information close at hand. Download it now in the App Store or the Play Store!",2020-09-04 09:53:15,2
2406061010697277517,True,87,474.266,1388.0,Volle Week aan Studie en Veel in Amsterdam|Student Vlogs Week 4 |Maaike|UvA,https://www.instagram.com/p/CFkC73Kh1BN/,1,"Hi!
Ik ben Maaike, ik ben 19 jaar en ik kom uit Nederland, maar ben ook half Canadees. Ik studeer de internationale track van Communication Science! Als je vragen hebt, dm mij op Instagram, @maaike_elisabeth!

Ben jij benieuwd hoe het onze eerstejaars afgaat? Kijk dan onze nieuwe serie studentenvlogs. Vier eerstejaarsstudenten delen hun ervaringen over het starten van een studie in deze gekke tijd. 

#StudentVlog #Universitylife #UniversityofAmsterdam",2020-09-25 14:47:03,2
2413361815544538017,False,605,,,,https://www.instagram.com/p/CF9-8jiBiOh/,1,"Wow, a lot of (online) events are planned in the upcoming weeks😊. In our stories, you can find a few of them: have discussions at @spui25, look at Mars☄️ with the Anton Pannekoek Institute or, if you are an international student, check out events by ISN Amsterdam!",2020-10-05 16:26:09,5
2434381872206604247,False,1055,,,,https://www.instagram.com/p/CHIqWo0hmfX/,1,"Both Bachelor's and Master's programmes at the UvA have considerably more first year students this year than last year, with 17% and 19% increases, respectively. We are now with more than 39,000 students! 🤩

Students are not just studying in Amsterdam right now, but all over the world. 🌍 We want to showcase some of your study spots in other countries. Share a photo of where you are studying (tag @uva_amsterdam or DM us) and we might share it in our stories! 🇩🇪🇮🇳🇺🇸🇯🇵

PS. This photo was taken last year, before the corona virus, by Bob Bronshoff",2020-11-03 16:29:15,7
2603063083736070539,True,257,60.0,2752.0,The Green Minute - Climate Change Litigation 🌱,https://www.instagram.com/p/CQf8BVCBXmL/,1,"In the first episode of The Green Minute, Laura Burgers (assistant professor at the private law department), talks about her research on climate change litigation: lawsuits about who is responsible for climate change.",2021-06-24 10:12:10,5
2570519368791730271,False,2835,,,,https://www.instagram.com/p/COsUb8pF6hf/,1,"🌧☀️Can’t live without Buienradar* these days.. 🌧☀️

*Have you downloaded this handy app yet? It tells you exactly when and how much it’s going to rain each day in the Netherlands",2021-05-10 12:30:09,12
2489460978480452579,False,2567,,,,https://www.instagram.com/p/CKMV5H4hhPj/,1,"Today is Blue Monday💙🟦🔷🔵, usually known as the most depressing day of the year. We dug into our archives for a blue look on Amsterdam… 

Some of our professors have their own outlook on Blue Monday. Their insights💡:

Reinout Wiers, professor of Developmental Psychopathology and co-director of the Centre for Urban Mental Health💬: ‘Almost half of the people meet lifetime criteria for a mental disorder; most prevalent are anxiety, depression and addictions. On Blue Monday, or another blue day during lockdown, this may be bearable, because we're all in the same boat. It becomes difficult when everyone else is having fun, and you can only watch through your window or telephone-screen.’

Claudi Bockting, professor in Clinical Psychology and co-director of the Centre for Urban Mental Health💬: Blue Monday is made up by advertising agencies to sell more sun vacations. There are effective treatments for depression and anxiety; a sun holiday is not amongst them. Interdisciplinary research, as executed in the Center for Urban Mental Health at our university, is crucial to achieve a breakthrough in this field.’",2021-01-18 16:21:36,9
2597983877256814605,True,156,3125.828,3189.0,IG live Q&A met UvA studenten (NL),https://www.instagram.com/p/CQN5JJYFaAN/,1,In deze live Q&A beantwoorden Meike (BA Biologie) en Pieter (BA Rechtsgeleerdheid) al jullie vragen over studeren aan de UvA en het (studenten)leven in Amsterdam 😃,2021-06-17 09:57:28,5
2532789034745702369,False,787,,,,https://www.instagram.com/p/CMmRjUzBafh/,3,It's not quite summer yet but at the UvA Summer School Online you can get a taste of our summer programmes with a whole bunch of free content such as city tours ❌❌❌ podcasts 👂 articles 📖 and videos 🎥 From discovering Amsterdam’s arboreal wonders to questioning how to talk about migration or an interview on the importance of studying political economy: there is something for everyone. Check out our stories or link in bio! 🙏,2021-03-19 11:06:43,13
2466267276182538717,False,1767,,,,https://www.instagram.com/p/CI58QVWB8nd/,2,"If you could use a speed button right now (haven’t we all wanted one at some point 😋), to which moment in time would you wanna speed up to? 🚀

(These timelapses were filmed by @reinwieringa before the Netherlands went into lockdown again)",2020-12-17 16:19:51,18
2495100504205750758,True,499,465.333,4280.0,🌳✨Amsterdam Arboreal Wonders,https://www.instagram.com/p/CKgYLBgFPHm/,1,"Another week of winter school by @amsterdamsummerprograms , another video tour! Join Dr. Nadina Galle on a tour of Amsterdam’s arboreal wonders as she explains how we can use emerging technologies to build better urban ecosystems for both people and nature.

Discover how UvA programmes approach sustainability differently and what appeals to you 👉Visit the UvA online Open House (openhuis.uva.nl)",2021-01-26 11:09:25,2
2466763078063570204,True,636,15.666,5638.0,,https://www.instagram.com/p/CI7s_M1Bz0c/,1,"✨We reached 40,000 followers ✨

Thanks for being part of the UvA community - we love sharing UvA news, events, photos and everything around student life with you. But what we like best is hearing from you 😃

In honour of this milestone we wanna give you guys the chance to shape our content next year. Let us know what you want to see on here. Top 3 ideas will be part of our Instagram content in 2021! 🎉 Also, you’ll win a beanie and socks from the UvA merchandise to survive the cold this winter. Each of you can send in one idea by commenting down below. You’ll have until midnight this Sunday (20-12-2020). Good luck! 🍀",2020-12-18 08:53:07,35
2464802573828638690,False,728,,,,https://www.instagram.com/p/CI0vOG-hkfi/,1,"Writing a book with art historian Judith Noorman. That’s what 34 students of the UvA did in the bachelor course ‘Let’s write a book’👩‍💻📚

Last week three of them handed over their project to the directors of the Rijksmuseum, Mauritshuis and Van Gogh Museum. The book is called Gouden Vrouwen (translated: Gold Women) and describes the role women play in the art world in the seventeenth century 🎨👩‍🎨

If you could write a book. What would it be about? 💭",2020-12-15 15:49:45,7
2613975036620947154,False,1467,,,,https://www.instagram.com/p/CRGtHJFh77S/,4,"👀 Get a glimpse at your fellow UvA students’ real life rooms in our photo series, ‘Gluren bij de Buren’ (ENG: A peek inside your neighbour’s house). This week we visit Matt’s (28) apartment. He’s an international MA student in Communication Science from the US. Although our previous housing examples show that preparation is key in finding a room, Matt shows that luck can play a big part as well ✨

Matt: “My flatmate and I had an appointment in the city. We showed up five minutes early and saw two people standing outside a building, who just happened to a landlord and real estate agent. After chatting to them, we immediately got a tour around the apartment and that night we got an offer to be the renters of the apartment 😱 

I’ve lived here since January 2020 so I’ve experienced Amsterdam in a really unique time. Living in the city centre is very convenient, location wise, but if I have to name something which I get annoyed by it’s for sure the church bells ringing every 15 minutes 🔔 They are beautiful, don't get me wrong, but there are times when I want to sleep but I can’t. My best option are my earplugs although they also don’t work all the time. An advantage, however, is that I’m always very aware of the time 😉” 

Stats 📋
83m2 apartment (room: 9m2) | location: city centre (Jewish neighborhood) | price: €825 (excluding utilities) | 1 roommate | shared bathroom, kitchen, living room.",2021-07-09 11:28:48,18
2497234072083350834,True,166,72.366,2199.0,ACE Incubation Program,https://www.instagram.com/p/CKn9Shbh8Uy/,1,"🚀 Get your startup market-ready 🚀

Have you always dreamed of starting your own tech or science-based company? The ACE Incubation Program empowers you to grow your business. It offers training, support and access to an extensive network of mentors, entrepreneurs and business professionals to help you make that dream come true. 

Think you have what it takes to be a founder? 💪 Applications for the Spring program (May 3 - July 12) are open to students, alumni researchers and academics. Go to https://ace-incubator.nl/ready-to-start/incubation-program/ for more information or take a look at @ace_incubator 🤩",2021-01-29 09:47:41,4
2431472678826540630,True,276,351.766,5731.0,Living in Amsterdam and Studying Online  Student Vlogs Month 2 |Leila| UvA,https://www.instagram.com/p/CG-U4TWhf5W/,1,"Hey everyone! 

My name is Leila, I’m 18, from Lebanon, studying Communication Science at the University of Amsterdam. Really excited to show you guys how my first year in the Netherlands goes, so I hope you enjoy my vlog series :D 

We are incredibly excited to share this new series of student vlogs with you!! Four first-year students have been documenting their experiences of coming to Amsterdam and starting their studies in the fall of 2020. As this academic year looks different compared to others we thought it would be interesting to see how students are experiencing this change. 

#StudentVlog #Universitylife #UniversityofAmsterdam",2020-10-30 16:17:29,8
2480590207259522762,False,439,,,,https://www.instagram.com/p/CJs06aZBDbK/,1,"You are hereby invited to our 389th Dies Natalis this Friday at 3 pm! 🎊 Join our online celebration in which science journalist and UvA alumnus @annagimbrere takes you along the various topics and speakers. And btw: do you know who this staff belongs to? In our stories, you can find out all about this and other fun Dies facts!",2021-01-06 10:36:57,6
2406059633388367750,True,113,298.0,1835.0,Looking Back on the First Month at UvA |Student Vlogs Week 4  Oisín  UvA,https://www.instagram.com/p/CFkCn0chS-G/,1,"Hey everyone! 

My name is Oisín and I am 18 years old coming from Dublin, Ireland. I worked as a lifeguard for the past year before deciding to move to Amsterdam. I love traveling and have even reached the summit of Mt.Kilimanjaro so I am dying to see what Amsterdam has to offer as I will be pursuing a BSc in Psychology here at the UvA. 

We are incredibly excited to share this new series of student vlogs with you!! Four first-year students have been documenting their experiences of coming to Amsterdam and starting their studies in the fall of 2020. As this academic year looks different compared to others we thought it would be interesting to see how students are experiencing this change. 

#StudentVlog #Universitylife #UniversityofAmsterdam",2020-09-25 14:57:04,1
2419106238128656559,False,1413,,,,https://www.instagram.com/p/CGSZE59lxCv/,1,"🤩😮

Great 📸 by:@reinwieringa",2020-10-13 14:39:17,6
2572001786458519736,False,903,,,,https://www.instagram.com/p/COxlf9rh7i4/,1,"Oudemanhuispoort is looking sunny today! ☀️ Do you know which statue is represented here? 

Please note that most of the UvA buildings are closed this Thursday and Friday, except for the University Library Single and the Library Learning Centre (REC-H) @uva_library ➡️ You can check out the opening hours via our 🔗 in bio.",2021-05-12 13:35:27,6
2487214602782516185,False,927,,,,https://www.instagram.com/p/CKEXIDfBCPZ/,1,"Attention first year students! Dutch universities, including the UvA, are lowering the standard for BSA this year! 👌🏻 For the UvA, this means that students need 6 ECs less to continue to the next academic year. Find out more via our 🔗 in bio and let your friends know below ⬇️",2021-01-15 13:58:27,7
2611096288644999125,False,1872,,,,https://www.instagram.com/p/CQ8ej2HBqfV/,1,Are you missing the sun as much as campus at the moment? 😜☀️ We hope you’re enjoying your summer holiday!,2021-07-05 12:09:15,15
2522604686532886415,False,1569,,,,https://www.instagram.com/p/CMCF5jZhz-P/,3,"Many students have to deal with loneliness, feeling low and other effects of the current situation. That is why Pam, Bregje and Tessa started the petition @magiknaarschool. They request the government to come up with more concrete proposals to (partially) reopen education on location, to offer more perspective on the quality of education and to offer financial compensation for the past academic year.

As first year students, Pam and Bregje had an unpleasant start. They have hardly seen their fellow students in real life and making friends from behind a laptop is very difficult! As a 3rd year student, Tessa was only allowed to come to campus once.

Do you experience the same or do you support students in the current situation? Check out the petition in the link in our bio! 🏫",2021-03-05 09:52:14,24
2556711555170582127,True,521,2048.3,7668.0,Science Park Campus Tour,https://www.instagram.com/p/CN7Q50HFD5v/,1,"Science students Anna @ask1022 (MSc Forensic Science) and Abinash @abinashbunty (MSc Computational Science) show you around our Science Park, which includes lecture rooms, canteens, laboratories and the USC Sports Centre.

Masks are mandatory on campus but our students received special permission to film the tour without masks so that the sound will be understandable.",2021-04-21 11:16:48,6
2576149409398391795,False,1961,,,,https://www.instagram.com/p/CPAUj0jhgPz/,1,"🏠 We've never spent so much time in so few square meters. We're curious where you're spending your time! For a new photo series about student housing in Amsterdam, we're looking for students who want to show their room (or house). Interested? A professional photographer will capture you and your room on Wednesday the 26th of May. Visit our stories for more info 👀",2021-05-18 06:56:02,24
2388462216594029139,True,810,141.366,9673.0,Aan de Amsterdamse grachten - Sweelinck orchestra,https://www.instagram.com/p/CElhbs7h3pT/,1,"In honour of the new academic year, our very own @sweelinckorkest performed an instrumental version of the Dutch song “Aan de Amsterdamse grachten” (along the canals of Amsterdam) as an ode to our city! 🎻🎷🎼",2020-09-01 08:00:27,17
2490910582237456965,False,2418,,,,https://www.instagram.com/p/CKRffolhmpF/,3,"Can’t imagine that it was snowing in Amsterdam just a few days ago! ❄️ #winterwonderland 
📸: @reinwieringa",2021-01-20 16:21:42,5
2445938675658720978,False,1288,,,,https://www.instagram.com/p/CHxuEQxBwbS/,1,"🏠Are you an international student like @oisinmcginley and looking for a room in Amsterdam?
 
Good news! Temporary rooms are available until the summer of 2021.
 
Check the link in our bio to get in touch with the International Student Housing Office.",2020-11-19 15:10:33,29
2400867603679013399,True,317,137.533,3312.0,Professor Damiaan Denys wins Ig Nobel Prize,https://www.instagram.com/p/CFRmF1-B-oX/,1,"Congratulations to professor Damiaan Denys @amsterdam_umc for winning the Ig Nobel Prize! 🎉🥳🎊 The prize is awarded each year to research that makes people laugh at first, and then makes them think. Professor Denys' team researched and first labeled the term 'mysofonia', a condition in which specific sounds, such as sneazing or rustling of paper can lead to disgust or aggression😤. In this video, Damiaan Denys describes his research and how he came in contact with it 🏆.",2020-09-18 10:43:12,2
2550262970727218247,False,2057,,,,https://www.instagram.com/p/CNkWqj2BzxH/,2,"Are you team Science Park 💚 or team Roeters 💙? Comment down below 🔽

Thanks Hans Hulst and @nfuster for the beautiful photos of our campuses surrounded by flowers 🌷",2021-04-12 13:44:18,34
2436372948949668483,False,2155,,,,https://www.instagram.com/p/CHPvEnihBKD/,5,"Maybe a little bit different than usual this year but that doesn’t make graduating less special! 🎓 Congratulations to all students who attained their diploma in the middle of a pandemic 🎉 You can be really proud of yourselves!

📸 Jasper ter Schetter",2020-11-06 10:25:10,45
2414034723262486695,False,714,,,,https://www.instagram.com/p/CGAX8prhNin/,1,"Are you a first-year international student? Congrats on finishing the first month of your studies! 🎉 Would you love some help & tips about topics such as academic reading, study skills, the Dutch labour market, coping with stress etc? We’ve got you: register for one of our Study Success Sessions! Go to our stories for more info or visit www.uva.nl/successions 👍",2020-10-06 14:43:06,2
2485718537747211193,False,331,,,,https://www.instagram.com/p/CJ_C9cWBqO5/,1,"UPDATE #coronavirus❗The current coronavirus measures will be extended by three weeks. This means that the measures currently in place for teaching at the UvA will also be extended until (at least) 9 February 2021. Keep on reading or check our link in bio for the update. 
🔹In 2021, we will continue to work and study from home🏠 for the time being. Everyone should work or study from home unless this is genuinely impossible. To make working and studying from home a little easier, we have listed all the working-from-home tips once again. Students can get support from study advisers or a student psychologist and find general tips in the A-Z list.
🔹The mandate to study from home has put a strain on social contact between students👥, at a time when we just might need each other more than ever. The Executive Board is aware of this issue and has allocated funding to help the UvA promote socially distanced social interaction between students in 2021. We are doing this through the Keep in Touch campaign. Study associations can submit ideas💡 for consideration until 31 January 2021. 
🔹Study places for vulnerable students are available in the University Library. The places can only be used if you book in advance. Find out whether you are eligible via the library. 
🔹The University Library on Singel is open for returning and borrowing books📚. The information desk on the first floor is open daily from 09:00 to 18:00. The other University Library branches are closed.",2021-01-13 12:26:02,6
2522079439689678117,True,3530,11.8,28537.0,,https://www.instagram.com/p/CMAOeNKBP0l/,1,"There’s not much to celebrate during this pandemic, but UvA Communication & Media Studies has just been ranked #1 worldwide for the 4th year in a row in the QS World University Rankings by subject! 🎉 And a total of 6 UvA subject areas are top 20 in the world. We’re so proud of our researchers and lecturers who do their very best to provide high-quality research and education!! 👏",2021-03-04 16:28:51,35
